result/io_traces.ns732.oracleGeneral.zst ARC cache size      818, 2200000 req, miss ratio 0.3690, byte miss ratio 0.3690
result/io_traces.ns732.oracleGeneral.zst ARC cache size     2456, 2200000 req, miss ratio 0.3459, byte miss ratio 0.3459
result/io_traces.ns732.oracleGeneral.zst ARC cache size     8187, 2200000 req, miss ratio 0.3395, byte miss ratio 0.3395
result/io_traces.ns732.oracleGeneral.zst ARC cache size    16374, 2200000 req, miss ratio 0.2580, byte miss ratio 0.2580
result/io_traces.ns732.oracleGeneral.zst ARC cache size    32749, 2200000 req, miss ratio 0.1125, byte miss ratio 0.1125
result/io_traces.ns732.oracleGeneral.zst ARC cache size    65498, 2200000 req, miss ratio 0.0391, byte miss ratio 0.0391
result/io_traces.ns732.oracleGeneral.zst Clock cache size       81, 2200000 req, miss ratio 0.5185, byte miss ratio 0.5185
result/io_traces.ns732.oracleGeneral.zst Clock cache size      245, 2200000 req, miss ratio 0.4080, byte miss ratio 0.4080
result/io_traces.ns732.oracleGeneral.zst Clock cache size      818, 2200000 req, miss ratio 0.3758, byte miss ratio 0.3758
result/io_traces.ns732.oracleGeneral.zst Clock cache size     2456, 2200000 req, miss ratio 0.3663, byte miss ratio 0.3663
result/io_traces.ns732.oracleGeneral.zst Clock cache size     8187, 2200000 req, miss ratio 0.3532, byte miss ratio 0.3532
result/io_traces.ns732.oracleGeneral.zst Clock cache size    16374, 2200000 req, miss ratio 0.2531, byte miss ratio 0.2531
result/io_traces.ns732.oracleGeneral.zst Clock cache size    32749, 2200000 req, miss ratio 0.1196, byte miss ratio 0.1196
result/io_traces.ns732.oracleGeneral.zst Clock cache size    65498, 2200000 req, miss ratio 0.0384, byte miss ratio 0.0384
result/io_traces.ns732.oracleGeneral.zst Cacheus cache size       81, 2200000 req, miss ratio 0.4640, byte miss ratio 0.4640
result/io_traces.ns732.oracleGeneral.zst Cacheus cache size      245, 2200000 req, miss ratio 0.3800, byte miss ratio 0.3800
result/io_traces.ns732.oracleGeneral.zst Cacheus cache size      818, 2200000 req, miss ratio 0.3680, byte miss ratio 0.3680
result/io_traces.ns732.oracleGeneral.zst Cacheus cache size     2456, 2200000 req, miss ratio 0.3508, byte miss ratio 0.3508
result/io_traces.ns732.oracleGeneral.zst Cacheus cache size     8187, 2200000 req, miss ratio 0.3181, byte miss ratio 0.3181
result/io_traces.ns732.oracleGeneral.zst Cacheus cache size    16374, 2200000 req, miss ratio 0.2329, byte miss ratio 0.2329
result/io_traces.ns732.oracleGeneral.zst Cacheus cache size    32749, 2200000 req, miss ratio 0.1209, byte miss ratio 0.1209
result/io_traces.ns732.oracleGeneral.zst Cacheus cache size    65498, 2200000 req, miss ratio 0.0379, byte miss ratio 0.0379
result/io_traces.ns732.oracleGeneral.zst LeCaR cache size       81, 2200000 req, miss ratio 0.5082, byte miss ratio 0.5082
result/io_traces.ns732.oracleGeneral.zst LeCaR cache size      245, 2200000 req, miss ratio 0.4037, byte miss ratio 0.4037
result/io_traces.ns732.oracleGeneral.zst LeCaR cache size      818, 2200000 req, miss ratio 0.3762, byte miss ratio 0.3762
result/io_traces.ns732.oracleGeneral.zst LeCaR cache size     2456, 2200000 req, miss ratio 0.3669, byte miss ratio 0.3669
result/io_traces.ns732.oracleGeneral.zst LeCaR cache size     8187, 2200000 req, miss ratio 0.3551, byte miss ratio 0.3551
result/io_traces.ns732.oracleGeneral.zst LeCaR cache size    16374, 2200000 req, miss ratio 0.2364, byte miss ratio 0.2364
result/io_traces.ns732.oracleGeneral.zst LeCaR cache size    32749, 2200000 req, miss ratio 0.1130, byte miss ratio 0.1130
result/io_traces.ns732.oracleGeneral.zst LeCaR cache size    65498, 2200000 req, miss ratio 0.0375, byte miss ratio 0.0375
result/io_traces.ns732.oracleGeneral.zst S3FIFO-d-1 cache size       81, 2200000 req, miss ratio 0.4184, byte miss ratio 0.4184
result/io_traces.ns732.oracleGeneral.zst S3FIFO-d-1 cache size      245, 2200000 req, miss ratio 0.3793, byte miss ratio 0.3793
result/io_traces.ns732.oracleGeneral.zst S3FIFO-d-1 cache size      818, 2200000 req, miss ratio 0.3708, byte miss ratio 0.3708
result/io_traces.ns732.oracleGeneral.zst S3FIFO-d-1 cache size     2456, 2200000 req, miss ratio 0.3448, byte miss ratio 0.3448
result/io_traces.ns732.oracleGeneral.zst S3FIFO-d-1 cache size     8187, 2200000 req, miss ratio 0.3022, byte miss ratio 0.3022
result/io_traces.ns732.oracleGeneral.zst S3FIFO-d-1 cache size    16374, 2200000 req, miss ratio 0.2322, byte miss ratio 0.2322
result/io_traces.ns732.oracleGeneral.zst S3FIFO-d-1 cache size    32749, 2200000 req, miss ratio 0.1091, byte miss ratio 0.1091
result/io_traces.ns732.oracleGeneral.zst S3FIFO-d-1 cache size    65498, 2200000 req, miss ratio 0.0387, byte miss ratio 0.0387
result/io_traces.ns732.oracleGeneral.zst LRB cache size       81, 2200000 req, miss ratio 0.4186, byte miss ratio 0.4186
result/io_traces.ns732.oracleGeneral.zst LRB cache size      245, 2200000 req, miss ratio 0.3870, byte miss ratio 0.3870
result/io_traces.ns732.oracleGeneral.zst LRB cache size      818, 2200000 req, miss ratio 0.3661, byte miss ratio 0.3661
result/io_traces.ns732.oracleGeneral.zst LRB cache size     2456, 2200000 req, miss ratio 0.3454, byte miss ratio 0.3454
result/io_traces.ns732.oracleGeneral.zst LRB cache size     8187, 2200000 req, miss ratio 0.2986, byte miss ratio 0.2986
result/io_traces.ns732.oracleGeneral.zst LRB cache size    16374, 2200000 req, miss ratio 0.2250, byte miss ratio 0.2250
result/io_traces.ns732.oracleGeneral.zst LRB cache size    32749, 2200000 req, miss ratio 0.0957, byte miss ratio 0.0957
result/io_traces.ns732.oracleGeneral.zst LRB cache size    65498, 2200000 req, miss ratio 0.0386, byte miss ratio 0.0386
result/io_traces.ns732.oracleGeneral.zst TwoQ cache size       81, 2200000 req, miss ratio 0.4232, byte miss ratio 0.4232
result/io_traces.ns732.oracleGeneral.zst TwoQ cache size      245, 2200000 req, miss ratio 0.3844, byte miss ratio 0.3844
result/io_traces.ns732.oracleGeneral.zst TwoQ cache size      818, 2200000 req, miss ratio 0.3671, byte miss ratio 0.3671
