result/io_traces.ns269.oracleGeneral.zst FIFO cache size     7813, 10400000 req, miss ratio 0.6338, byte miss ratio 0.6338
result/io_traces.ns269.oracleGeneral.zst FIFO cache size    26045, 10400000 req, miss ratio 0.4586, byte miss ratio 0.4586
result/io_traces.ns269.oracleGeneral.zst FIFO cache size    78136, 10400000 req, miss ratio 0.3774, byte miss ratio 0.3774
result/io_traces.ns269.oracleGeneral.zst FIFO cache size   260456, 10400000 req, miss ratio 0.3247, byte miss ratio 0.3247
result/io_traces.ns269.oracleGeneral.zst FIFO cache size   520913, 10400000 req, miss ratio 0.3038, byte miss ratio 0.3038
result/io_traces.ns269.oracleGeneral.zst FIFO cache size  1041826, 10400000 req, miss ratio 0.2826, byte miss ratio 0.2826
result/io_traces.ns269.oracleGeneral.zst FIFO cache size  2083652, 10400000 req, miss ratio 0.2562, byte miss ratio 0.2562
result/io_traces.ns269.oracleGeneral.zst ARC cache size     2604, 10400000 req, miss ratio 0.6280, byte miss ratio 0.6280
result/io_traces.ns269.oracleGeneral.zst ARC cache size     7813, 10400000 req, miss ratio 0.6198, byte miss ratio 0.6198
result/io_traces.ns269.oracleGeneral.zst ARC cache size    26045, 10400000 req, miss ratio 0.3669, byte miss ratio 0.3669
result/io_traces.ns269.oracleGeneral.zst ARC cache size    78136, 10400000 req, miss ratio 0.3152, byte miss ratio 0.3152
result/io_traces.ns269.oracleGeneral.zst ARC cache size   260456, 10400000 req, miss ratio 0.2876, byte miss ratio 0.2876
result/io_traces.ns269.oracleGeneral.zst ARC cache size   520913, 10400000 req, miss ratio 0.2816, byte miss ratio 0.2816
result/io_traces.ns269.oracleGeneral.zst ARC cache size  1041826, 10400000 req, miss ratio 0.2723, byte miss ratio 0.2723
result/io_traces.ns269.oracleGeneral.zst ARC cache size  2083652, 10400000 req, miss ratio 0.2523, byte miss ratio 0.2523
result/io_traces.ns269.oracleGeneral.zst clock2 cache size     2604, 10400000 req, miss ratio 0.6333, byte miss ratio 0.6333
result/io_traces.ns269.oracleGeneral.zst clock2 cache size     7813, 10400000 req, miss ratio 0.6262, byte miss ratio 0.6262
result/io_traces.ns269.oracleGeneral.zst clock2 cache size    26045, 10400000 req, miss ratio 0.3697, byte miss ratio 0.3697
result/io_traces.ns269.oracleGeneral.zst clock2 cache size    78136, 10400000 req, miss ratio 0.3475, byte miss ratio 0.3475
result/io_traces.ns269.oracleGeneral.zst clock2 cache size   260456, 10400000 req, miss ratio 0.2951, byte miss ratio 0.2951
result/io_traces.ns269.oracleGeneral.zst clock2 cache size   520913, 10400000 req, miss ratio 0.2849, byte miss ratio 0.2849
result/io_traces.ns269.oracleGeneral.zst clock2 cache size  1041826, 10400000 req, miss ratio 0.2733, byte miss ratio 0.2733
result/io_traces.ns269.oracleGeneral.zst clock2 cache size  2083652, 10400000 req, miss ratio 0.2523, byte miss ratio 0.2523
result/io_traces.ns269.oracleGeneral.zst LHD cache size     2604, 10400000 req, miss ratio 0.6251, byte miss ratio 0.6251
result/io_traces.ns269.oracleGeneral.zst LHD cache size     7813, 10400000 req, miss ratio 0.5102, byte miss ratio 0.5102
result/io_traces.ns269.oracleGeneral.zst LHD cache size    26045, 10400000 req, miss ratio 0.3631, byte miss ratio 0.3631
result/io_traces.ns269.oracleGeneral.zst LHD cache size    78136, 10400000 req, miss ratio 0.3264, byte miss ratio 0.3264
result/io_traces.ns269.oracleGeneral.zst LHD cache size   260456, 10400000 req, miss ratio 0.2955, byte miss ratio 0.2955
result/io_traces.ns269.oracleGeneral.zst LHD cache size   520913, 10400000 req, miss ratio 0.2878, byte miss ratio 0.2878
result/io_traces.ns269.oracleGeneral.zst LHD cache size  1041826, 10400000 req, miss ratio 0.2706, byte miss ratio 0.2706
result/io_traces.ns269.oracleGeneral.zst LHD cache size  2083652, 10400000 req, miss ratio 0.2514, byte miss ratio 0.2514
