result/io_traces.ns360.oracleGeneral.zst Clock cache size     4439, 9600000 req, miss ratio 0.7068, byte miss ratio 0.7068
result/io_traces.ns360.oracleGeneral.zst Clock cache size    13319, 9600000 req, miss ratio 0.6114, byte miss ratio 0.6114
result/io_traces.ns360.oracleGeneral.zst Clock cache size    44398, 9600000 req, miss ratio 0.1609, byte miss ratio 0.1609
result/io_traces.ns360.oracleGeneral.zst Clock cache size    88796, 9600000 req, miss ratio 0.0820, byte miss ratio 0.0820
result/io_traces.ns360.oracleGeneral.zst Clock cache size   177592, 9600000 req, miss ratio 0.0492, byte miss ratio 0.0492
result/io_traces.ns360.oracleGeneral.zst Clock cache size   355185, 9600000 req, miss ratio 0.0466, byte miss ratio 0.0466
result/io_traces.ns360.oracleGeneral.zst LHD cache size      443, 9600000 req, miss ratio 0.7830, byte miss ratio 0.7830
result/io_traces.ns360.oracleGeneral.zst LHD cache size     1331, 9600000 req, miss ratio 0.7292, byte miss ratio 0.7292
result/io_traces.ns360.oracleGeneral.zst LHD cache size     4439, 9600000 req, miss ratio 0.6640, byte miss ratio 0.6640
result/io_traces.ns360.oracleGeneral.zst LHD cache size    13319, 9600000 req, miss ratio 0.4924, byte miss ratio 0.4924
result/io_traces.ns360.oracleGeneral.zst LHD cache size    44398, 9600000 req, miss ratio 0.1642, byte miss ratio 0.1642
result/io_traces.ns360.oracleGeneral.zst LHD cache size    88796, 9600000 req, miss ratio 0.0770, byte miss ratio 0.0770
result/io_traces.ns360.oracleGeneral.zst LHD cache size   177592, 9600000 req, miss ratio 0.0496, byte miss ratio 0.0496
result/io_traces.ns360.oracleGeneral.zst LHD cache size   355185, 9600000 req, miss ratio 0.0465, byte miss ratio 0.0465
result/io_traces.ns360.oracleGeneral.zst LeCaR cache size      443, 9600000 req, miss ratio 0.7849, byte miss ratio 0.7849
result/io_traces.ns360.oracleGeneral.zst LeCaR cache size     1331, 9600000 req, miss ratio 0.7317, byte miss ratio 0.7317
result/io_traces.ns360.oracleGeneral.zst LeCaR cache size     4439, 9600000 req, miss ratio 0.7071, byte miss ratio 0.7071
result/io_traces.ns360.oracleGeneral.zst LeCaR cache size    13319, 9600000 req, miss ratio 0.6132, byte miss ratio 0.6132
result/io_traces.ns360.oracleGeneral.zst LeCaR cache size    44398, 9600000 req, miss ratio 0.1574, byte miss ratio 0.1574
result/io_traces.ns360.oracleGeneral.zst LeCaR cache size    88796, 9600000 req, miss ratio 0.0825, byte miss ratio 0.0825
result/io_traces.ns360.oracleGeneral.zst LeCaR cache size   177592, 9600000 req, miss ratio 0.0493, byte miss ratio 0.0493
result/io_traces.ns360.oracleGeneral.zst LeCaR cache size   355185, 9600000 req, miss ratio 0.0466, byte miss ratio 0.0466
result/io_traces.ns360.oracleGeneral.zst LIRS cache size      443, 9600000 req, miss ratio 0.7502, byte miss ratio 0.7502
result/io_traces.ns360.oracleGeneral.zst LIRS cache size     1331, 9600000 req, miss ratio 0.7067, byte miss ratio 0.7067
result/io_traces.ns360.oracleGeneral.zst LIRS cache size     4439, 9600000 req, miss ratio 0.6883, byte miss ratio 0.6883
