result/io_traces.ns826.oracleGeneral.zst LeCaR cache size    19353, 2800000 req, miss ratio 0.7416, byte miss ratio 0.7416
result/io_traces.ns826.oracleGeneral.zst LeCaR cache size    58060, 2800000 req, miss ratio 0.7390, byte miss ratio 0.7390
result/io_traces.ns826.oracleGeneral.zst LeCaR cache size   193535, 2800000 req, miss ratio 0.7317, byte miss ratio 0.7317
result/io_traces.ns826.oracleGeneral.zst LeCaR cache size   387071, 2800000 req, miss ratio 0.7285, byte miss ratio 0.7285
result/io_traces.ns826.oracleGeneral.zst LeCaR cache size   774142, 2800000 req, miss ratio 0.7135, byte miss ratio 0.7135
result/io_traces.ns826.oracleGeneral.zst LeCaR cache size  1548285, 2800000 req, miss ratio 0.6927, byte miss ratio 0.6927
result/io_traces.ns826.oracleGeneral.zst Clock cache size     1935, 2800000 req, miss ratio 0.7527, byte miss ratio 0.7527
result/io_traces.ns826.oracleGeneral.zst Clock cache size     5806, 2800000 req, miss ratio 0.7467, byte miss ratio 0.7467
result/io_traces.ns826.oracleGeneral.zst Clock cache size    19353, 2800000 req, miss ratio 0.7425, byte miss ratio 0.7425
result/io_traces.ns826.oracleGeneral.zst Clock cache size    58060, 2800000 req, miss ratio 0.7390, byte miss ratio 0.7390
result/io_traces.ns826.oracleGeneral.zst Clock cache size   193535, 2800000 req, miss ratio 0.7339, byte miss ratio 0.7339
result/io_traces.ns826.oracleGeneral.zst Clock cache size   387071, 2800000 req, miss ratio 0.7285, byte miss ratio 0.7285
result/io_traces.ns826.oracleGeneral.zst Clock cache size   774142, 2800000 req, miss ratio 0.7160, byte miss ratio 0.7160
result/io_traces.ns826.oracleGeneral.zst Clock cache size  1548285, 2800000 req, miss ratio 0.6925, byte miss ratio 0.6925
result/io_traces.ns826.oracleGeneral.zst clock2 cache size     1935, 2800000 req, miss ratio 0.7523, byte miss ratio 0.7523
result/io_traces.ns826.oracleGeneral.zst clock2 cache size     5806, 2800000 req, miss ratio 0.7464, byte miss ratio 0.7464
result/io_traces.ns826.oracleGeneral.zst clock2 cache size    19353, 2800000 req, miss ratio 0.7417, byte miss ratio 0.7417
result/io_traces.ns826.oracleGeneral.zst clock2 cache size    58060, 2800000 req, miss ratio 0.7384, byte miss ratio 0.7384
result/io_traces.ns826.oracleGeneral.zst clock2 cache size   193535, 2800000 req, miss ratio 0.7342, byte miss ratio 0.7342
result/io_traces.ns826.oracleGeneral.zst clock2 cache size   387071, 2800000 req, miss ratio 0.7284, byte miss ratio 0.7284
result/io_traces.ns826.oracleGeneral.zst clock2 cache size   774142, 2800000 req, miss ratio 0.7155, byte miss ratio 0.7155
result/io_traces.ns826.oracleGeneral.zst clock2 cache size  1548285, 2800000 req, miss ratio 0.6925, byte miss ratio 0.6925
result/io_traces.ns826.oracleGeneral.zst LIRS cache size     1935, 2800000 req, miss ratio 0.7696, byte miss ratio 0.7696
result/io_traces.ns826.oracleGeneral.zst LIRS cache size     5806, 2800000 req, miss ratio 0.7553, byte miss ratio 0.7553
result/io_traces.ns826.oracleGeneral.zst LIRS cache size    19353, 2800000 req, miss ratio 0.7427, byte miss ratio 0.7427
result/io_traces.ns826.oracleGeneral.zst LIRS cache size    58060, 2800000 req, miss ratio 0.7374, byte miss ratio 0.7374
result/io_traces.ns826.oracleGeneral.zst LIRS cache size   193535, 2800000 req, miss ratio 0.7245, byte miss ratio 0.7245
