result/io_traces.ns205.oracleGeneral.zst LRU cache size    20619, 19600000 req, miss ratio 0.4629, byte miss ratio 0.4629
result/io_traces.ns205.oracleGeneral.zst LRU cache size    61857, 19600000 req, miss ratio 0.3128, byte miss ratio 0.3128
result/io_traces.ns205.oracleGeneral.zst LRU cache size   206190, 19600000 req, miss ratio 0.2189, byte miss ratio 0.2189
result/io_traces.ns205.oracleGeneral.zst LRU cache size   412381, 19600000 req, miss ratio 0.1958, byte miss ratio 0.1958
result/io_traces.ns205.oracleGeneral.zst LRU cache size   824762, 19600000 req, miss ratio 0.1654, byte miss ratio 0.1654
result/io_traces.ns205.oracleGeneral.zst LRU cache size  1649524, 19600000 req, miss ratio 0.1094, byte miss ratio 0.1094
result/io_traces.ns205.oracleGeneral.zst FIFO cache size     2061, 19600000 req, miss ratio 0.6376, byte miss ratio 0.6376
result/io_traces.ns205.oracleGeneral.zst FIFO cache size     6185, 19600000 req, miss ratio 0.6032, byte miss ratio 0.6032
result/io_traces.ns205.oracleGeneral.zst FIFO cache size    20619, 19600000 req, miss ratio 0.4827, byte miss ratio 0.4827
result/io_traces.ns205.oracleGeneral.zst FIFO cache size    61857, 19600000 req, miss ratio 0.3526, byte miss ratio 0.3526
result/io_traces.ns205.oracleGeneral.zst FIFO cache size   206190, 19600000 req, miss ratio 0.2562, byte miss ratio 0.2562
result/io_traces.ns205.oracleGeneral.zst FIFO cache size   412381, 19600000 req, miss ratio 0.2132, byte miss ratio 0.2132
result/io_traces.ns205.oracleGeneral.zst FIFO cache size   824762, 19600000 req, miss ratio 0.1590, byte miss ratio 0.1590
result/io_traces.ns205.oracleGeneral.zst FIFO cache size  1649524, 19600000 req, miss ratio 0.1113, byte miss ratio 0.1113
result/io_traces.ns205.oracleGeneral.zst Cacheus cache size     2061, 19600000 req, miss ratio 0.5961, byte miss ratio 0.5961
result/io_traces.ns205.oracleGeneral.zst Cacheus cache size     6185, 19600000 req, miss ratio 0.5611, byte miss ratio 0.5611
result/io_traces.ns205.oracleGeneral.zst Cacheus cache size    20619, 19600000 req, miss ratio 0.4736, byte miss ratio 0.4736
result/io_traces.ns205.oracleGeneral.zst Cacheus cache size    61857, 19600000 req, miss ratio 0.2854, byte miss ratio 0.2854
result/io_traces.ns205.oracleGeneral.zst Cacheus cache size   206190, 19600000 req, miss ratio 0.2173, byte miss ratio 0.2173
