result/io_traces.ns207.oracleGeneral.zst LeCaR cache size   236768, 51400000 req, miss ratio 0.7707, byte miss ratio 0.7707
result/io_traces.ns207.oracleGeneral.zst LeCaR cache size   710305, 51400000 req, miss ratio 0.7070, byte miss ratio 0.7070
result/io_traces.ns207.oracleGeneral.zst LeCaR cache size  2367683, 51400000 req, miss ratio 0.5841, byte miss ratio 0.5841
result/io_traces.ns207.oracleGeneral.zst LeCaR cache size  4735367, 51400000 req, miss ratio 0.5319, byte miss ratio 0.5319
result/io_traces.ns207.oracleGeneral.zst LeCaR cache size  9470734, 51400000 req, miss ratio 0.4902, byte miss ratio 0.4902
result/io_traces.ns207.oracleGeneral.zst LeCaR cache size 18941469, 51400000 req, miss ratio 0.4633, byte miss ratio 0.4633
result/io_traces.ns207.oracleGeneral.zst LIRS cache size    23676, 51400000 req, miss ratio 0.8299, byte miss ratio 0.8299
result/io_traces.ns207.oracleGeneral.zst LIRS cache size    71030, 51400000 req, miss ratio 0.7969, byte miss ratio 0.7969
result/io_traces.ns207.oracleGeneral.zst LIRS cache size   236768, 51400000 req, miss ratio 0.7203, byte miss ratio 0.7203
result/io_traces.ns207.oracleGeneral.zst LIRS cache size   710305, 51400000 req, miss ratio 0.6490, byte miss ratio 0.6490
result/io_traces.ns207.oracleGeneral.zst LIRS cache size  2367683, 51400000 req, miss ratio 0.5848, byte miss ratio 0.5848
result/io_traces.ns207.oracleGeneral.zst LIRS cache size  4735367, 51400000 req, miss ratio 0.5522, byte miss ratio 0.5522
result/io_traces.ns207.oracleGeneral.zst LIRS cache size  9470734, 51400000 req, miss ratio 0.5148, byte miss ratio 0.5148
result/io_traces.ns207.oracleGeneral.zst LIRS cache size 18941469, 51400000 req, miss ratio 0.4694, byte miss ratio 0.4694
result/io_traces.ns207.oracleGeneral.zst ARC cache size    23676, 51400000 req, miss ratio 0.8284, byte miss ratio 0.8284
result/io_traces.ns207.oracleGeneral.zst ARC cache size    71030, 51400000 req, miss ratio 0.7951, byte miss ratio 0.7951
result/io_traces.ns207.oracleGeneral.zst ARC cache size   236768, 51400000 req, miss ratio 0.7181, byte miss ratio 0.7181
result/io_traces.ns207.oracleGeneral.zst ARC cache size   710305, 51400000 req, miss ratio 0.6407, byte miss ratio 0.6407
result/io_traces.ns207.oracleGeneral.zst ARC cache size  2367683, 51400000 req, miss ratio 0.5672, byte miss ratio 0.5672
result/io_traces.ns207.oracleGeneral.zst ARC cache size  4735367, 51400000 req, miss ratio 0.5284, byte miss ratio 0.5284
result/io_traces.ns207.oracleGeneral.zst ARC cache size  9470734, 51400000 req, miss ratio 0.4890, byte miss ratio 0.4890
result/io_traces.ns207.oracleGeneral.zst ARC cache size 18941469, 51400000 req, miss ratio 0.4625, byte miss ratio 0.4625
result/io_traces.ns207.oracleGeneral.zst FIFO cache size    23676, 51400000 req, miss ratio 0.8809, byte miss ratio 0.8809
result/io_traces.ns207.oracleGeneral.zst FIFO cache size    71030, 51400000 req, miss ratio 0.8533, byte miss ratio 0.8533
result/io_traces.ns207.oracleGeneral.zst FIFO cache size   236768, 51400000 req, miss ratio 0.7899, byte miss ratio 0.7899
result/io_traces.ns207.oracleGeneral.zst FIFO cache size   710305, 51400000 req, miss ratio 0.7253, byte miss ratio 0.7253
result/io_traces.ns207.oracleGeneral.zst FIFO cache size  2367683, 51400000 req, miss ratio 0.6192, byte miss ratio 0.6192
result/io_traces.ns207.oracleGeneral.zst FIFO cache size  4735367, 51400000 req, miss ratio 0.5559, byte miss ratio 0.5559
result/io_traces.ns207.oracleGeneral.zst FIFO cache size  9470734, 51400000 req, miss ratio 0.5046, byte miss ratio 0.5046
