result/io_traces.ns41.oracleGeneral.zst LeCaR cache size     6181, 8600000 req, miss ratio 0.2234, byte miss ratio 0.2234
result/io_traces.ns41.oracleGeneral.zst LeCaR cache size    18545, 8600000 req, miss ratio 0.1842, byte miss ratio 0.1842
result/io_traces.ns41.oracleGeneral.zst LeCaR cache size    61817, 8600000 req, miss ratio 0.1071, byte miss ratio 0.1071
result/io_traces.ns41.oracleGeneral.zst LeCaR cache size   123635, 8600000 req, miss ratio 0.0852, byte miss ratio 0.0852
result/io_traces.ns41.oracleGeneral.zst LeCaR cache size   247270, 8600000 req, miss ratio 0.0767, byte miss ratio 0.0767
result/io_traces.ns41.oracleGeneral.zst LeCaR cache size   494541, 8600000 req, miss ratio 0.0720, byte miss ratio 0.0720
result/io_traces.ns41.oracleGeneral.zst clock2 cache size      618, 8600000 req, miss ratio 0.3624, byte miss ratio 0.3624
result/io_traces.ns41.oracleGeneral.zst clock2 cache size     1854, 8600000 req, miss ratio 0.2860, byte miss ratio 0.2860
result/io_traces.ns41.oracleGeneral.zst clock2 cache size     6181, 8600000 req, miss ratio 0.2225, byte miss ratio 0.2225
result/io_traces.ns41.oracleGeneral.zst clock2 cache size    18545, 8600000 req, miss ratio 0.1865, byte miss ratio 0.1865
result/io_traces.ns41.oracleGeneral.zst clock2 cache size    61817, 8600000 req, miss ratio 0.1111, byte miss ratio 0.1111
result/io_traces.ns41.oracleGeneral.zst clock2 cache size   123635, 8600000 req, miss ratio 0.0892, byte miss ratio 0.0892
result/io_traces.ns41.oracleGeneral.zst clock2 cache size   247270, 8600000 req, miss ratio 0.0730, byte miss ratio 0.0730
result/io_traces.ns41.oracleGeneral.zst clock2 cache size   494541, 8600000 req, miss ratio 0.0719, byte miss ratio 0.0719
result/io_traces.ns41.oracleGeneral.zst ARC cache size      618, 8600000 req, miss ratio 0.3386, byte miss ratio 0.3386
result/io_traces.ns41.oracleGeneral.zst ARC cache size     1854, 8600000 req, miss ratio 0.2383, byte miss ratio 0.2383
result/io_traces.ns41.oracleGeneral.zst ARC cache size     6181, 8600000 req, miss ratio 0.2150, byte miss ratio 0.2150
result/io_traces.ns41.oracleGeneral.zst ARC cache size    18545, 8600000 req, miss ratio 0.1793, byte miss ratio 0.1793
result/io_traces.ns41.oracleGeneral.zst ARC cache size    61817, 8600000 req, miss ratio 0.1072, byte miss ratio 0.1072
result/io_traces.ns41.oracleGeneral.zst ARC cache size   123635, 8600000 req, miss ratio 0.0867, byte miss ratio 0.0867
result/io_traces.ns41.oracleGeneral.zst ARC cache size   247270, 8600000 req, miss ratio 0.0730, byte miss ratio 0.0730
result/io_traces.ns41.oracleGeneral.zst ARC cache size   494541, 8600000 req, miss ratio 0.0719, byte miss ratio 0.0719
result/io_traces.ns41.oracleGeneral.zst LRU cache size      618, 8600000 req, miss ratio 0.3666, byte miss ratio 0.3666
result/io_traces.ns41.oracleGeneral.zst LRU cache size     1854, 8600000 req, miss ratio 0.2990, byte miss ratio 0.2990
result/io_traces.ns41.oracleGeneral.zst LRU cache size     6181, 8600000 req, miss ratio 0.2274, byte miss ratio 0.2274
result/io_traces.ns41.oracleGeneral.zst LRU cache size    18545, 8600000 req, miss ratio 0.1860, byte miss ratio 0.1860
result/io_traces.ns41.oracleGeneral.zst LRU cache size    61817, 8600000 req, miss ratio 0.1112, byte miss ratio 0.1112
result/io_traces.ns41.oracleGeneral.zst LRU cache size   123635, 8600000 req, miss ratio 0.0898, byte miss ratio 0.0898
result/io_traces.ns41.oracleGeneral.zst LRU cache size   247270, 8600000 req, miss ratio 0.0778, byte miss ratio 0.0778
result/io_traces.ns41.oracleGeneral.zst LRU cache size   494541, 8600000 req, miss ratio 0.0720, byte miss ratio 0.0720
result/io_traces.ns41.oracleGeneral.zst S3FIFO-d-1 cache size      618, 8600000 req, miss ratio 0.3375, byte miss ratio 0.3375
