result/io_traces.ns145.oracleGeneral.zst Clock cache size    87074, 14400000 req, miss ratio 0.8070, byte miss ratio 0.8070
result/io_traces.ns145.oracleGeneral.zst Clock cache size   261223, 14400000 req, miss ratio 0.7638, byte miss ratio 0.7638
result/io_traces.ns145.oracleGeneral.zst Clock cache size   870743, 14400000 req, miss ratio 0.7325, byte miss ratio 0.7325
result/io_traces.ns145.oracleGeneral.zst Clock cache size  1741487, 14400000 req, miss ratio 0.7178, byte miss ratio 0.7178
result/io_traces.ns145.oracleGeneral.zst Clock cache size  3482975, 14400000 req, miss ratio 0.6573, byte miss ratio 0.6573
result/io_traces.ns145.oracleGeneral.zst Clock cache size  6965951, 14400000 req, miss ratio 0.6117, byte miss ratio 0.6117
result/io_traces.ns145.oracleGeneral.zst LRU cache size     8707, 14400000 req, miss ratio 0.8300, byte miss ratio 0.8300
result/io_traces.ns145.oracleGeneral.zst LRU cache size    26122, 14400000 req, miss ratio 0.8266, byte miss ratio 0.8266
result/io_traces.ns145.oracleGeneral.zst LRU cache size    87074, 14400000 req, miss ratio 0.8064, byte miss ratio 0.8064
result/io_traces.ns145.oracleGeneral.zst LRU cache size   261223, 14400000 req, miss ratio 0.7682, byte miss ratio 0.7682
result/io_traces.ns145.oracleGeneral.zst LRU cache size   870743, 14400000 req, miss ratio 0.7340, byte miss ratio 0.7340
result/io_traces.ns145.oracleGeneral.zst LRU cache size  1741487, 14400000 req, miss ratio 0.7146, byte miss ratio 0.7146
result/io_traces.ns145.oracleGeneral.zst LRU cache size  3482975, 14400000 req, miss ratio 0.6562, byte miss ratio 0.6562
result/io_traces.ns145.oracleGeneral.zst LRU cache size  6965951, 14400000 req, miss ratio 0.6104, byte miss ratio 0.6104
result/io_traces.ns145.oracleGeneral.zst FIFO cache size     8707, 14400000 req, miss ratio 0.8311, byte miss ratio 0.8311
result/io_traces.ns145.oracleGeneral.zst FIFO cache size    26122, 14400000 req, miss ratio 0.8271, byte miss ratio 0.8271
result/io_traces.ns145.oracleGeneral.zst FIFO cache size    87074, 14400000 req, miss ratio 0.8097, byte miss ratio 0.8097
result/io_traces.ns145.oracleGeneral.zst FIFO cache size   261223, 14400000 req, miss ratio 0.7815, byte miss ratio 0.7815
result/io_traces.ns145.oracleGeneral.zst FIFO cache size   870743, 14400000 req, miss ratio 0.7524, byte miss ratio 0.7524
result/io_traces.ns145.oracleGeneral.zst FIFO cache size  1741487, 14400000 req, miss ratio 0.7229, byte miss ratio 0.7229
result/io_traces.ns145.oracleGeneral.zst FIFO cache size  3482975, 14400000 req, miss ratio 0.6635, byte miss ratio 0.6635
result/io_traces.ns145.oracleGeneral.zst FIFO cache size  6965951, 14400000 req, miss ratio 0.6153, byte miss ratio 0.6153
result/io_traces.ns145.oracleGeneral.zst Cacheus cache size     8707, 14400000 req, miss ratio 0.8299, byte miss ratio 0.8299
result/io_traces.ns145.oracleGeneral.zst Cacheus cache size    26122, 14400000 req, miss ratio 0.8257, byte miss ratio 0.8257
result/io_traces.ns145.oracleGeneral.zst Cacheus cache size    87074, 14400000 req, miss ratio 0.7869, byte miss ratio 0.7869
result/io_traces.ns145.oracleGeneral.zst Cacheus cache size   261223, 14400000 req, miss ratio 0.7366, byte miss ratio 0.7366
result/io_traces.ns145.oracleGeneral.zst Cacheus cache size   870743, 14400000 req, miss ratio 0.7214, byte miss ratio 0.7214
result/io_traces.ns145.oracleGeneral.zst Cacheus cache size  1741487, 14400000 req, miss ratio 0.7037, byte miss ratio 0.7037
result/io_traces.ns145.oracleGeneral.zst Cacheus cache size  3482975, 14400000 req, miss ratio 0.6555, byte miss ratio 0.6555
result/io_traces.ns145.oracleGeneral.zst Cacheus cache size  6965951, 14400000 req, miss ratio 0.6273, byte miss ratio 0.6273
result/io_traces.ns145.oracleGeneral.zst S3FIFO-d-1 cache size     8707, 14400000 req, miss ratio 0.8300, byte miss ratio 0.8300
result/io_traces.ns145.oracleGeneral.zst S3FIFO-d-1 cache size    26122, 14400000 req, miss ratio 0.8241, byte miss ratio 0.8241
result/io_traces.ns145.oracleGeneral.zst S3FIFO-d-1 cache size    87074, 14400000 req, miss ratio 0.7486, byte miss ratio 0.7486
result/io_traces.ns145.oracleGeneral.zst S3FIFO-d-1 cache size   261223, 14400000 req, miss ratio 0.7331, byte miss ratio 0.7331
result/io_traces.ns145.oracleGeneral.zst S3FIFO-d-1 cache size   870743, 14400000 req, miss ratio 0.7154, byte miss ratio 0.7154
result/io_traces.ns145.oracleGeneral.zst S3FIFO-d-1 cache size  1741487, 14400000 req, miss ratio 0.6978, byte miss ratio 0.6978
result/io_traces.ns145.oracleGeneral.zst S3FIFO-d-1 cache size  3482975, 14400000 req, miss ratio 0.6538, byte miss ratio 0.6538
result/io_traces.ns145.oracleGeneral.zst S3FIFO-d-1 cache size  6965951, 14400000 req, miss ratio 0.6117, byte miss ratio 0.6117
result/io_traces.ns145.oracleGeneral.zst LRB cache size     8707, 14400000 req, miss ratio 0.8213, byte miss ratio 0.8213
result/io_traces.ns145.oracleGeneral.zst LRB cache size    26122, 14400000 req, miss ratio 0.7716, byte miss ratio 0.7716
result/io_traces.ns145.oracleGeneral.zst LRB cache size    87074, 14400000 req, miss ratio 0.7413, byte miss ratio 0.7413
result/io_traces.ns145.oracleGeneral.zst LRB cache size   261223, 14400000 req, miss ratio 0.7260, byte miss ratio 0.7260
result/io_traces.ns145.oracleGeneral.zst LRB cache size   870743, 14400000 req, miss ratio 0.7060, byte miss ratio 0.7060
result/io_traces.ns145.oracleGeneral.zst LRB cache size  1741487, 14400000 req, miss ratio 0.6870, byte miss ratio 0.6870
result/io_traces.ns145.oracleGeneral.zst LRB cache size  3482975, 14400000 req, miss ratio 0.6497, byte miss ratio 0.6497
result/io_traces.ns145.oracleGeneral.zst LRB cache size  6965951, 14400000 req, miss ratio 0.6098, byte miss ratio 0.6098
result/io_traces.ns145.oracleGeneral.zst S4LRU(25:25:25:25) cache size     8707, 14400000 req, miss ratio 0.8296, byte miss ratio 0.8296
result/io_traces.ns145.oracleGeneral.zst S4LRU(25:25:25:25) cache size    26122, 14400000 req, miss ratio 0.8170, byte miss ratio 0.8170
result/io_traces.ns145.oracleGeneral.zst S4LRU(25:25:25:25) cache size    87074, 14400000 req, miss ratio 0.7957, byte miss ratio 0.7957
result/io_traces.ns145.oracleGeneral.zst S4LRU(25:25:25:25) cache size   261223, 14400000 req, miss ratio 0.7347, byte miss ratio 0.7347
result/io_traces.ns145.oracleGeneral.zst S4LRU(25:25:25:25) cache size   870743, 14400000 req, miss ratio 0.7115, byte miss ratio 0.7115
result/io_traces.ns145.oracleGeneral.zst S4LRU(25:25:25:25) cache size  1741487, 14400000 req, miss ratio 0.6925, byte miss ratio 0.6925
result/io_traces.ns145.oracleGeneral.zst S4LRU(25:25:25:25) cache size  3482975, 14400000 req, miss ratio 0.6586, byte miss ratio 0.6586
result/io_traces.ns145.oracleGeneral.zst S4LRU(25:25:25:25) cache size  6965951, 14400000 req, miss ratio 0.6114, byte miss ratio 0.6114
result/io_traces.ns145.oracleGeneral.zst B-LRU cache size     8707, 14400000 req, miss ratio 0.9160, byte miss ratio 0.9160
result/io_traces.ns145.oracleGeneral.zst B-LRU cache size    26122, 14400000 req, miss ratio 0.8972, byte miss ratio 0.8972
result/io_traces.ns145.oracleGeneral.zst B-LRU cache size    87074, 14400000 req, miss ratio 0.8571, byte miss ratio 0.8571
result/io_traces.ns145.oracleGeneral.zst B-LRU cache size   261223, 14400000 req, miss ratio 0.8244, byte miss ratio 0.8244
result/io_traces.ns145.oracleGeneral.zst B-LRU cache size   870743, 14400000 req, miss ratio 0.7962, byte miss ratio 0.7962
result/io_traces.ns145.oracleGeneral.zst B-LRU cache size  1741487, 14400000 req, miss ratio 0.7857, byte miss ratio 0.7857
result/io_traces.ns145.oracleGeneral.zst B-LRU cache size  3482975, 14400000 req, miss ratio 0.7832, byte miss ratio 0.7832
result/io_traces.ns145.oracleGeneral.zst B-LRU cache size  6965951, 14400000 req, miss ratio 0.7832, byte miss ratio 0.7832
result/io_traces.ns145.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     8707, 14400000 req, miss ratio 0.8302, byte miss ratio 0.8302
result/io_traces.ns145.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    26122, 14400000 req, miss ratio 0.8274, byte miss ratio 0.8274
result/io_traces.ns145.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    87074, 14400000 req, miss ratio 0.8074, byte miss ratio 0.8074
result/io_traces.ns145.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   261223, 14400000 req, miss ratio 0.7568, byte miss ratio 0.7568
result/io_traces.ns145.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   870743, 14400000 req, miss ratio 0.7236, byte miss ratio 0.7236
