result/io_traces.ns650.oracleGeneral.zst Cacheus cache size     6689, 5800000 req, miss ratio 0.5436, byte miss ratio 0.5436
result/io_traces.ns650.oracleGeneral.zst Cacheus cache size    22296, 5800000 req, miss ratio 0.3353, byte miss ratio 0.3353
result/io_traces.ns650.oracleGeneral.zst Cacheus cache size    44593, 5800000 req, miss ratio 0.1131, byte miss ratio 0.1131
result/io_traces.ns650.oracleGeneral.zst Cacheus cache size    89187, 5800000 req, miss ratio 0.0439, byte miss ratio 0.0439
result/io_traces.ns650.oracleGeneral.zst Cacheus cache size   178375, 5800000 req, miss ratio 0.0387, byte miss ratio 0.0387
result/io_traces.ns650.oracleGeneral.zst LRU cache size      222, 5800000 req, miss ratio 0.7415, byte miss ratio 0.7415
result/io_traces.ns650.oracleGeneral.zst LRU cache size      668, 5800000 req, miss ratio 0.7123, byte miss ratio 0.7123
result/io_traces.ns650.oracleGeneral.zst LRU cache size     2229, 5800000 req, miss ratio 0.6238, byte miss ratio 0.6238
result/io_traces.ns650.oracleGeneral.zst LRU cache size     6689, 5800000 req, miss ratio 0.5792, byte miss ratio 0.5792
result/io_traces.ns650.oracleGeneral.zst LRU cache size    22296, 5800000 req, miss ratio 0.3302, byte miss ratio 0.3302
result/io_traces.ns650.oracleGeneral.zst LRU cache size    44593, 5800000 req, miss ratio 0.1166, byte miss ratio 0.1166
result/io_traces.ns650.oracleGeneral.zst LRU cache size    89187, 5800000 req, miss ratio 0.0439, byte miss ratio 0.0439
result/io_traces.ns650.oracleGeneral.zst LRU cache size   178375, 5800000 req, miss ratio 0.0386, byte miss ratio 0.0386
result/io_traces.ns650.oracleGeneral.zst S3FIFO-1 cache size      222, 5800000 req, miss ratio 0.6739, byte miss ratio 0.6739
result/io_traces.ns650.oracleGeneral.zst S3FIFO-1 cache size      668, 5800000 req, miss ratio 0.6601, byte miss ratio 0.6601
result/io_traces.ns650.oracleGeneral.zst S3FIFO-1 cache size     2229, 5800000 req, miss ratio 0.5655, byte miss ratio 0.5655
result/io_traces.ns650.oracleGeneral.zst S3FIFO-1 cache size     6689, 5800000 req, miss ratio 0.5346, byte miss ratio 0.5346
result/io_traces.ns650.oracleGeneral.zst S3FIFO-1 cache size    22296, 5800000 req, miss ratio 0.3525, byte miss ratio 0.3525
result/io_traces.ns650.oracleGeneral.zst S3FIFO-1 cache size    44593, 5800000 req, miss ratio 0.1004, byte miss ratio 0.1004
result/io_traces.ns650.oracleGeneral.zst S3FIFO-1 cache size    89187, 5800000 req, miss ratio 0.0463, byte miss ratio 0.0463
result/io_traces.ns650.oracleGeneral.zst S3FIFO-1 cache size   178375, 5800000 req, miss ratio 0.0392, byte miss ratio 0.0392
result/io_traces.ns650.oracleGeneral.zst Clock cache size      222, 5800000 req, miss ratio 0.7373, byte miss ratio 0.7373
result/io_traces.ns650.oracleGeneral.zst Clock cache size      668, 5800000 req, miss ratio 0.7027, byte miss ratio 0.7027
result/io_traces.ns650.oracleGeneral.zst Clock cache size     2229, 5800000 req, miss ratio 0.6214, byte miss ratio 0.6214
result/io_traces.ns650.oracleGeneral.zst Clock cache size     6689, 5800000 req, miss ratio 0.5718, byte miss ratio 0.5718
result/io_traces.ns650.oracleGeneral.zst Clock cache size    22296, 5800000 req, miss ratio 0.3735, byte miss ratio 0.3735
result/io_traces.ns650.oracleGeneral.zst Clock cache size    44593, 5800000 req, miss ratio 0.1197, byte miss ratio 0.1197
result/io_traces.ns650.oracleGeneral.zst Clock cache size    89187, 5800000 req, miss ratio 0.0442, byte miss ratio 0.0442
result/io_traces.ns650.oracleGeneral.zst Clock cache size   178375, 5800000 req, miss ratio 0.0392, byte miss ratio 0.0392
result/io_traces.ns650.oracleGeneral.zst S3FIFO-d-1 cache size      222, 5800000 req, miss ratio 0.6760, byte miss ratio 0.6760
result/io_traces.ns650.oracleGeneral.zst S3FIFO-d-1 cache size      668, 5800000 req, miss ratio 0.6592, byte miss ratio 0.6592
result/io_traces.ns650.oracleGeneral.zst S3FIFO-d-1 cache size     2229, 5800000 req, miss ratio 0.5630, byte miss ratio 0.5630
result/io_traces.ns650.oracleGeneral.zst S3FIFO-d-1 cache size     6689, 5800000 req, miss ratio 0.5338, byte miss ratio 0.5338
result/io_traces.ns650.oracleGeneral.zst S3FIFO-d-1 cache size    22296, 5800000 req, miss ratio 0.3537, byte miss ratio 0.3537
result/io_traces.ns650.oracleGeneral.zst S3FIFO-d-1 cache size    44593, 5800000 req, miss ratio 0.0998, byte miss ratio 0.0998
result/io_traces.ns650.oracleGeneral.zst S3FIFO-d-1 cache size    89187, 5800000 req, miss ratio 0.0459, byte miss ratio 0.0459
result/io_traces.ns650.oracleGeneral.zst S3FIFO-d-1 cache size   178375, 5800000 req, miss ratio 0.0392, byte miss ratio 0.0392
