result/io_traces.ns672.oracleGeneral.zst LeCaR cache size     1324, 2000000 req, miss ratio 0.4348, byte miss ratio 0.4348
result/io_traces.ns672.oracleGeneral.zst LeCaR cache size     3973, 2000000 req, miss ratio 0.4325, byte miss ratio 0.4325
result/io_traces.ns672.oracleGeneral.zst LeCaR cache size    13244, 2000000 req, miss ratio 0.3283, byte miss ratio 0.3283
result/io_traces.ns672.oracleGeneral.zst LeCaR cache size    26488, 2000000 req, miss ratio 0.2350, byte miss ratio 0.2350
result/io_traces.ns672.oracleGeneral.zst LeCaR cache size    52976, 2000000 req, miss ratio 0.0814, byte miss ratio 0.0814
result/io_traces.ns672.oracleGeneral.zst LeCaR cache size   105952, 2000000 req, miss ratio 0.0663, byte miss ratio 0.0663
result/io_traces.ns672.oracleGeneral.zst Cacheus cache size      132, 2000000 req, miss ratio 0.4441, byte miss ratio 0.4441
result/io_traces.ns672.oracleGeneral.zst Cacheus cache size      397, 2000000 req, miss ratio 0.4369, byte miss ratio 0.4369
result/io_traces.ns672.oracleGeneral.zst Cacheus cache size     1324, 2000000 req, miss ratio 0.4335, byte miss ratio 0.4335
result/io_traces.ns672.oracleGeneral.zst Cacheus cache size     3973, 2000000 req, miss ratio 0.4314, byte miss ratio 0.4314
result/io_traces.ns672.oracleGeneral.zst Cacheus cache size    13244, 2000000 req, miss ratio 0.3444, byte miss ratio 0.3444
result/io_traces.ns672.oracleGeneral.zst Cacheus cache size    26488, 2000000 req, miss ratio 0.2359, byte miss ratio 0.2359
result/io_traces.ns672.oracleGeneral.zst Cacheus cache size    52976, 2000000 req, miss ratio 0.0809, byte miss ratio 0.0809
result/io_traces.ns672.oracleGeneral.zst Cacheus cache size   105952, 2000000 req, miss ratio 0.0662, byte miss ratio 0.0662
result/io_traces.ns672.oracleGeneral.zst LHD cache size      132, 2000000 req, miss ratio 0.4540, byte miss ratio 0.4540
result/io_traces.ns672.oracleGeneral.zst LHD cache size      397, 2000000 req, miss ratio 0.4412, byte miss ratio 0.4412
result/io_traces.ns672.oracleGeneral.zst LHD cache size     1324, 2000000 req, miss ratio 0.4346, byte miss ratio 0.4346
result/io_traces.ns672.oracleGeneral.zst LHD cache size     3973, 2000000 req, miss ratio 0.4237, byte miss ratio 0.4237
result/io_traces.ns672.oracleGeneral.zst LHD cache size    13244, 2000000 req, miss ratio 0.3332, byte miss ratio 0.3332
result/io_traces.ns672.oracleGeneral.zst LHD cache size    26488, 2000000 req, miss ratio 0.2221, byte miss ratio 0.2221
result/io_traces.ns672.oracleGeneral.zst LHD cache size    52976, 2000000 req, miss ratio 0.0835, byte miss ratio 0.0835
result/io_traces.ns672.oracleGeneral.zst LHD cache size   105952, 2000000 req, miss ratio 0.0663, byte miss ratio 0.0663
result/io_traces.ns672.oracleGeneral.zst FIFO cache size      132, 2000000 req, miss ratio 0.5171, byte miss ratio 0.5171
result/io_traces.ns672.oracleGeneral.zst FIFO cache size      397, 2000000 req, miss ratio 0.4675, byte miss ratio 0.4675
result/io_traces.ns672.oracleGeneral.zst FIFO cache size     1324, 2000000 req, miss ratio 0.4449, byte miss ratio 0.4449
result/io_traces.ns672.oracleGeneral.zst FIFO cache size     3973, 2000000 req, miss ratio 0.4370, byte miss ratio 0.4370
result/io_traces.ns672.oracleGeneral.zst FIFO cache size    13244, 2000000 req, miss ratio 0.3432, byte miss ratio 0.3432
result/io_traces.ns672.oracleGeneral.zst FIFO cache size    26488, 2000000 req, miss ratio 0.2557, byte miss ratio 0.2557
result/io_traces.ns672.oracleGeneral.zst FIFO cache size    52976, 2000000 req, miss ratio 0.1171, byte miss ratio 0.1171
result/io_traces.ns672.oracleGeneral.zst FIFO cache size   105952, 2000000 req, miss ratio 0.0810, byte miss ratio 0.0810
result/io_traces.ns672.oracleGeneral.zst S3FIFO-d-1 cache size      132, 2000000 req, miss ratio 0.4430, byte miss ratio 0.4430
result/io_traces.ns672.oracleGeneral.zst S3FIFO-d-1 cache size      397, 2000000 req, miss ratio 0.4367, byte miss ratio 0.4367
result/io_traces.ns672.oracleGeneral.zst S3FIFO-d-1 cache size     1324, 2000000 req, miss ratio 0.4333, byte miss ratio 0.4333
result/io_traces.ns672.oracleGeneral.zst S3FIFO-d-1 cache size     3973, 2000000 req, miss ratio 0.4291, byte miss ratio 0.4291
result/io_traces.ns672.oracleGeneral.zst S3FIFO-d-1 cache size    13244, 2000000 req, miss ratio 0.3417, byte miss ratio 0.3417
result/io_traces.ns672.oracleGeneral.zst S3FIFO-d-1 cache size    26488, 2000000 req, miss ratio 0.2339, byte miss ratio 0.2339
result/io_traces.ns672.oracleGeneral.zst S3FIFO-d-1 cache size    52976, 2000000 req, miss ratio 0.0853, byte miss ratio 0.0853
result/io_traces.ns672.oracleGeneral.zst S3FIFO-d-1 cache size   105952, 2000000 req, miss ratio 0.0681, byte miss ratio 0.0681
result/io_traces.ns672.oracleGeneral.zst LRB cache size      132, 2000000 req, miss ratio 0.5204, byte miss ratio 0.5204
result/io_traces.ns672.oracleGeneral.zst LRB cache size      397, 2000000 req, miss ratio 0.4689, byte miss ratio 0.4689
result/io_traces.ns672.oracleGeneral.zst LRB cache size     1324, 2000000 req, miss ratio 0.4343, byte miss ratio 0.4343
result/io_traces.ns672.oracleGeneral.zst LRB cache size     3973, 2000000 req, miss ratio 0.4025, byte miss ratio 0.4025
result/io_traces.ns672.oracleGeneral.zst LRB cache size    13244, 2000000 req, miss ratio 0.3054, byte miss ratio 0.3054
result/io_traces.ns672.oracleGeneral.zst LRB cache size    26488, 2000000 req, miss ratio 0.1836, byte miss ratio 0.1836
result/io_traces.ns672.oracleGeneral.zst LRB cache size    52976, 2000000 req, miss ratio 0.0872, byte miss ratio 0.0872
result/io_traces.ns672.oracleGeneral.zst LRB cache size   105952, 2000000 req, miss ratio 0.0662, byte miss ratio 0.0662
result/io_traces.ns672.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      132, 2000000 req, miss ratio 0.4606, byte miss ratio 0.4606
result/io_traces.ns672.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      397, 2000000 req, miss ratio 0.4417, byte miss ratio 0.4417
result/io_traces.ns672.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1324, 2000000 req, miss ratio 0.4359, byte miss ratio 0.4359
result/io_traces.ns672.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     3973, 2000000 req, miss ratio 0.4283, byte miss ratio 0.4283
result/io_traces.ns672.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    13244, 2000000 req, miss ratio 0.3833, byte miss ratio 0.3833
result/io_traces.ns672.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    26488, 2000000 req, miss ratio 0.2955, byte miss ratio 0.2955
result/io_traces.ns672.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    52976, 2000000 req, miss ratio 0.1344, byte miss ratio 0.1344
result/io_traces.ns672.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   105952, 2000000 req, miss ratio 0.0755, byte miss ratio 0.0755
result/io_traces.ns672.oracleGeneral.zst B-LRU cache size      132, 2000000 req, miss ratio 0.4954, byte miss ratio 0.4954
result/io_traces.ns672.oracleGeneral.zst B-LRU cache size      397, 2000000 req, miss ratio 0.4788, byte miss ratio 0.4788
result/io_traces.ns672.oracleGeneral.zst B-LRU cache size     1324, 2000000 req, miss ratio 0.4730, byte miss ratio 0.4730
result/io_traces.ns672.oracleGeneral.zst B-LRU cache size     3973, 2000000 req, miss ratio 0.4703, byte miss ratio 0.4703
result/io_traces.ns672.oracleGeneral.zst B-LRU cache size    13244, 2000000 req, miss ratio 0.3638, byte miss ratio 0.3638
result/io_traces.ns672.oracleGeneral.zst B-LRU cache size    26488, 2000000 req, miss ratio 0.2679, byte miss ratio 0.2679
result/io_traces.ns672.oracleGeneral.zst B-LRU cache size    52976, 2000000 req, miss ratio 0.1318, byte miss ratio 0.1318
result/io_traces.ns672.oracleGeneral.zst B-LRU cache size   105952, 2000000 req, miss ratio 0.1269, byte miss ratio 0.1269
result/io_traces.ns672.oracleGeneral.zst S4LRU(25:25:25:25) cache size      132, 2000000 req, miss ratio 0.4491, byte miss ratio 0.4491
result/io_traces.ns672.oracleGeneral.zst S4LRU(25:25:25:25) cache size      397, 2000000 req, miss ratio 0.4418, byte miss ratio 0.4418
