result/io_traces.ns270.oracleGeneral.zst Clock cache size      429, 1200000 req, miss ratio 0.1855, byte miss ratio 0.1855
result/io_traces.ns270.oracleGeneral.zst Clock cache size     1289, 1200000 req, miss ratio 0.1648, byte miss ratio 0.1648
result/io_traces.ns270.oracleGeneral.zst Clock cache size     4299, 1200000 req, miss ratio 0.1355, byte miss ratio 0.1355
result/io_traces.ns270.oracleGeneral.zst Clock cache size     8598, 1200000 req, miss ratio 0.1021, byte miss ratio 0.1021
result/io_traces.ns270.oracleGeneral.zst Clock cache size    17196, 1200000 req, miss ratio 0.0647, byte miss ratio 0.0647
result/io_traces.ns270.oracleGeneral.zst Clock cache size    34392, 1200000 req, miss ratio 0.0372, byte miss ratio 0.0372
result/io_traces.ns270.oracleGeneral.zst LHD cache size       42, 1200000 req, miss ratio 0.3587, byte miss ratio 0.3587
result/io_traces.ns270.oracleGeneral.zst LHD cache size      128, 1200000 req, miss ratio 0.2336, byte miss ratio 0.2336
result/io_traces.ns270.oracleGeneral.zst LHD cache size      429, 1200000 req, miss ratio 0.1848, byte miss ratio 0.1848
result/io_traces.ns270.oracleGeneral.zst LHD cache size     1289, 1200000 req, miss ratio 0.1626, byte miss ratio 0.1626
result/io_traces.ns270.oracleGeneral.zst LHD cache size     4299, 1200000 req, miss ratio 0.1338, byte miss ratio 0.1338
result/io_traces.ns270.oracleGeneral.zst LHD cache size     8598, 1200000 req, miss ratio 0.1012, byte miss ratio 0.1012
result/io_traces.ns270.oracleGeneral.zst LHD cache size    17196, 1200000 req, miss ratio 0.0633, byte miss ratio 0.0633
result/io_traces.ns270.oracleGeneral.zst LHD cache size    34392, 1200000 req, miss ratio 0.0370, byte miss ratio 0.0370
result/io_traces.ns270.oracleGeneral.zst clock2 cache size       42, 1200000 req, miss ratio 0.3742, byte miss ratio 0.3742
result/io_traces.ns270.oracleGeneral.zst clock2 cache size      128, 1200000 req, miss ratio 0.2432, byte miss ratio 0.2432
result/io_traces.ns270.oracleGeneral.zst clock2 cache size      429, 1200000 req, miss ratio 0.1836, byte miss ratio 0.1836
result/io_traces.ns270.oracleGeneral.zst clock2 cache size     1289, 1200000 req, miss ratio 0.1637, byte miss ratio 0.1637
result/io_traces.ns270.oracleGeneral.zst clock2 cache size     4299, 1200000 req, miss ratio 0.1357, byte miss ratio 0.1357
result/io_traces.ns270.oracleGeneral.zst clock2 cache size     8598, 1200000 req, miss ratio 0.1065, byte miss ratio 0.1065
result/io_traces.ns270.oracleGeneral.zst clock2 cache size    17196, 1200000 req, miss ratio 0.0674, byte miss ratio 0.0674
result/io_traces.ns270.oracleGeneral.zst clock2 cache size    34392, 1200000 req, miss ratio 0.0369, byte miss ratio 0.0369
result/io_traces.ns270.oracleGeneral.zst Cacheus cache size       42, 1200000 req, miss ratio 0.3179, byte miss ratio 0.3179
result/io_traces.ns270.oracleGeneral.zst Cacheus cache size      128, 1200000 req, miss ratio 0.2260, byte miss ratio 0.2260
result/io_traces.ns270.oracleGeneral.zst Cacheus cache size      429, 1200000 req, miss ratio 0.1752, byte miss ratio 0.1752
result/io_traces.ns270.oracleGeneral.zst Cacheus cache size     1289, 1200000 req, miss ratio 0.1570, byte miss ratio 0.1570
result/io_traces.ns270.oracleGeneral.zst Cacheus cache size     4299, 1200000 req, miss ratio 0.1284, byte miss ratio 0.1284
result/io_traces.ns270.oracleGeneral.zst Cacheus cache size     8598, 1200000 req, miss ratio 0.1021, byte miss ratio 0.1021
result/io_traces.ns270.oracleGeneral.zst Cacheus cache size    17196, 1200000 req, miss ratio 0.0632, byte miss ratio 0.0632
result/io_traces.ns270.oracleGeneral.zst Cacheus cache size    34392, 1200000 req, miss ratio 0.0367, byte miss ratio 0.0367
result/io_traces.ns270.oracleGeneral.zst S3FIFO-d-1 cache size       42, 1200000 req, miss ratio 0.3116, byte miss ratio 0.3116
result/io_traces.ns270.oracleGeneral.zst S3FIFO-d-1 cache size      128, 1200000 req, miss ratio 0.2183, byte miss ratio 0.2183
result/io_traces.ns270.oracleGeneral.zst S3FIFO-d-1 cache size      429, 1200000 req, miss ratio 0.1710, byte miss ratio 0.1710
result/io_traces.ns270.oracleGeneral.zst S3FIFO-d-1 cache size     1289, 1200000 req, miss ratio 0.1518, byte miss ratio 0.1518
result/io_traces.ns270.oracleGeneral.zst S3FIFO-d-1 cache size     4299, 1200000 req, miss ratio 0.1271, byte miss ratio 0.1271
result/io_traces.ns270.oracleGeneral.zst S3FIFO-d-1 cache size     8598, 1200000 req, miss ratio 0.1006, byte miss ratio 0.1006
result/io_traces.ns270.oracleGeneral.zst S3FIFO-d-1 cache size    17196, 1200000 req, miss ratio 0.0617, byte miss ratio 0.0617
result/io_traces.ns270.oracleGeneral.zst S3FIFO-d-1 cache size    34392, 1200000 req, miss ratio 0.0369, byte miss ratio 0.0369
result/io_traces.ns270.oracleGeneral.zst LRB cache size       42, 1200000 req, miss ratio 0.3614, byte miss ratio 0.3614
result/io_traces.ns270.oracleGeneral.zst LRB cache size      128, 1200000 req, miss ratio 0.2272, byte miss ratio 0.2272
result/io_traces.ns270.oracleGeneral.zst LRB cache size      429, 1200000 req, miss ratio 0.1724, byte miss ratio 0.1724
result/io_traces.ns270.oracleGeneral.zst LRB cache size     1289, 1200000 req, miss ratio 0.1548, byte miss ratio 0.1548
result/io_traces.ns270.oracleGeneral.zst LRB cache size     4299, 1200000 req, miss ratio 0.1292, byte miss ratio 0.1292
