result/cluster1.oracleGeneral.sample10.zst LRU cache size    10093, 820195910 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cluster1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size       12, 820195910 req, miss ratio 0.7150, byte miss ratio 0.7150
result/cluster1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size       37, 820195910 req, miss ratio 0.3651, byte miss ratio 0.3651
result/cluster1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size      126, 820195910 req, miss ratio 0.0682, byte miss ratio 0.0682
result/cluster1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size      378, 820195910 req, miss ratio 0.0106, byte miss ratio 0.0106
result/cluster1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size     1261, 820195910 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cluster1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size     2523, 820195910 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cluster1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size     5046, 820195910 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cluster1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    10093, 820195910 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cluster1.oracleGeneral.sample10.zst LRB cache size       12, 820195910 req, miss ratio 0.6824, byte miss ratio 0.6824
result/cluster1.oracleGeneral.sample10.zst LRB cache size       37, 820195910 req, miss ratio 0.3586, byte miss ratio 0.3586
result/cluster1.oracleGeneral.sample10.zst LRB cache size      126, 820195910 req, miss ratio 0.0582, byte miss ratio 0.0582
result/cluster1.oracleGeneral.sample10.zst LRB cache size      378, 820195910 req, miss ratio 0.0084, byte miss ratio 0.0084
result/cluster1.oracleGeneral.sample10.zst LRB cache size     1261, 820195910 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cluster1.oracleGeneral.sample10.zst LRB cache size     2523, 820195910 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cluster1.oracleGeneral.sample10.zst LRB cache size     5046, 820195910 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cluster1.oracleGeneral.sample10.zst LRB cache size    10093, 820195910 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cluster1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size       12, 820195910 req, miss ratio 0.6943, byte miss ratio 0.6943
result/cluster1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size       37, 820195910 req, miss ratio 0.3618, byte miss ratio 0.3618
result/cluster1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size      126, 820195910 req, miss ratio 0.0741, byte miss ratio 0.0741
result/cluster1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size      378, 820195910 req, miss ratio 0.0113, byte miss ratio 0.0113
result/cluster1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size     1261, 820195910 req, miss ratio 0.0007, byte miss ratio 0.0007
result/cluster1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size     2523, 820195910 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cluster1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size     5046, 820195910 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cluster1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    10093, 820195910 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cluster1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size       12, 820195910 req, miss ratio 0.6475, byte miss ratio 0.6475
result/cluster1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size       37, 820195910 req, miss ratio 0.4049, byte miss ratio 0.4049
result/cluster1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size      126, 820195910 req, miss ratio 0.1039, byte miss ratio 0.1039
result/cluster1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size      378, 820195910 req, miss ratio 0.0151, byte miss ratio 0.0151
result/cluster1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size     1261, 820195910 req, miss ratio 0.0010, byte miss ratio 0.0010
