result/cluster36.oracleGeneral.sample10.zst LRB cache size   711399, 541003154 req, miss ratio 0.0346, byte miss ratio 0.0346
result/cluster36.oracleGeneral.sample10.zst LRB cache size  1422799, 541003154 req, miss ratio 0.0254, byte miss ratio 0.0254
result/cluster36.oracleGeneral.sample10.zst LRB cache size  2845598, 541003154 req, miss ratio 0.0181, byte miss ratio 0.0181
result/cluster36.oracleGeneral.sample10.zst LRB cache size  5691197, 541003154 req, miss ratio 0.0134, byte miss ratio 0.0134
result/cluster36.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size     7113, 541003154 req, miss ratio 0.2163, byte miss ratio 0.2163
result/cluster36.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    21341, 541003154 req, miss ratio 0.1601, byte miss ratio 0.1601
result/cluster36.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    71139, 541003154 req, miss ratio 0.1118, byte miss ratio 0.1118
result/cluster36.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   213419, 541003154 req, miss ratio 0.0759, byte miss ratio 0.0759
result/cluster36.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   711399, 541003154 req, miss ratio 0.0435, byte miss ratio 0.0435
result/cluster36.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  1422799, 541003154 req, miss ratio 0.0279, byte miss ratio 0.0279
result/cluster36.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  2845598, 541003154 req, miss ratio 0.0179, byte miss ratio 0.0179
result/cluster36.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  5691197, 541003154 req, miss ratio 0.0134, byte miss ratio 0.0134
result/cluster36.oracleGeneral.sample10.zst TwoQ cache size     7113, 541003154 req, miss ratio 0.1899, byte miss ratio 0.1899
result/cluster36.oracleGeneral.sample10.zst TwoQ cache size    21341, 541003154 req, miss ratio 0.1397, byte miss ratio 0.1397
result/cluster36.oracleGeneral.sample10.zst TwoQ cache size    71139, 541003154 req, miss ratio 0.1009, byte miss ratio 0.1009
result/cluster36.oracleGeneral.sample10.zst TwoQ cache size   213419, 541003154 req, miss ratio 0.0657, byte miss ratio 0.0657
result/cluster36.oracleGeneral.sample10.zst TwoQ cache size   711399, 541003154 req, miss ratio 0.0387, byte miss ratio 0.0387
result/cluster36.oracleGeneral.sample10.zst TwoQ cache size  1422799, 541003154 req, miss ratio 0.0270, byte miss ratio 0.0270
result/cluster36.oracleGeneral.sample10.zst TwoQ cache size  2845598, 541003154 req, miss ratio 0.0197, byte miss ratio 0.0197
result/cluster36.oracleGeneral.sample10.zst TwoQ cache size  5691197, 541003154 req, miss ratio 0.0152, byte miss ratio 0.0152
result/cluster36.oracleGeneral.sample10.zst B-LRU cache size     7113, 541003154 req, miss ratio 0.2345, byte miss ratio 0.2345
result/cluster36.oracleGeneral.sample10.zst B-LRU cache size    21341, 541003154 req, miss ratio 0.1751, byte miss ratio 0.1751
result/cluster36.oracleGeneral.sample10.zst B-LRU cache size    71139, 541003154 req, miss ratio 0.1248, byte miss ratio 0.1248
result/cluster36.oracleGeneral.sample10.zst B-LRU cache size   213419, 541003154 req, miss ratio 0.0883, byte miss ratio 0.0883
result/cluster36.oracleGeneral.sample10.zst B-LRU cache size   711399, 541003154 req, miss ratio 0.0571, byte miss ratio 0.0571
result/cluster36.oracleGeneral.sample10.zst B-LRU cache size  1422799, 541003154 req, miss ratio 0.0407, byte miss ratio 0.0407
result/cluster36.oracleGeneral.sample10.zst B-LRU cache size  2845598, 541003154 req, miss ratio 0.0307, byte miss ratio 0.0307
result/cluster36.oracleGeneral.sample10.zst B-LRU cache size  5691197, 541003154 req, miss ratio 0.0261, byte miss ratio 0.0261
result/cluster36.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size     7113, 541003154 req, miss ratio 0.2318, byte miss ratio 0.2318
result/cluster36.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    21341, 541003154 req, miss ratio 0.1717, byte miss ratio 0.1717
result/cluster36.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    71139, 541003154 req, miss ratio 0.1194, byte miss ratio 0.1194
result/cluster36.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   213419, 541003154 req, miss ratio 0.0803, byte miss ratio 0.0803
result/cluster36.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   711399, 541003154 req, miss ratio 0.0459, byte miss ratio 0.0459
result/cluster36.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  1422799, 541003154 req, miss ratio 0.0295, byte miss ratio 0.0295
result/cluster36.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  2845598, 541003154 req, miss ratio 0.0188, byte miss ratio 0.0188
result/cluster36.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  5691197, 541003154 req, miss ratio 0.0144, byte miss ratio 0.0144
result/cluster36.oracleGeneral.sample10.zst S3FIFO cache size     7113, 541003154 req, miss ratio 0.1973, byte miss ratio 0.1973
