result/cluster46.oracleGeneral.sample10.zst LIRS cache size  1158854, 676371275 req, miss ratio 0.2116, byte miss ratio 0.2116
result/cluster46.oracleGeneral.sample10.zst LIRS cache size  3476562, 676371275 req, miss ratio 0.2000, byte miss ratio 0.2000
result/cluster46.oracleGeneral.sample10.zst LIRS cache size 11588541, 676371275 req, miss ratio 0.1892, byte miss ratio 0.1892
result/cluster46.oracleGeneral.sample10.zst LIRS cache size 23177083, 676371275 req, miss ratio 0.1807, byte miss ratio 0.1807
result/cluster46.oracleGeneral.sample10.zst LIRS cache size 46354167, 676371275 req, miss ratio 0.1752, byte miss ratio 0.1752
result/cluster46.oracleGeneral.sample10.zst LIRS cache size 92708334, 676371275 req, miss ratio 0.1716, byte miss ratio 0.1716
result/cluster46.oracleGeneral.sample10.zst LHD cache size   115885, 676371275 req, miss ratio 0.2292, byte miss ratio 0.2292
result/cluster46.oracleGeneral.sample10.zst LHD cache size   347656, 676371275 req, miss ratio 0.2171, byte miss ratio 0.2171
result/cluster46.oracleGeneral.sample10.zst LHD cache size  1158854, 676371275 req, miss ratio 0.2055, byte miss ratio 0.2055
result/cluster46.oracleGeneral.sample10.zst LHD cache size  3476562, 676371275 req, miss ratio 0.1992, byte miss ratio 0.1992
result/cluster46.oracleGeneral.sample10.zst LHD cache size 11588541, 676371275 req, miss ratio 0.1914, byte miss ratio 0.1914
result/cluster46.oracleGeneral.sample10.zst LHD cache size 23177083, 676371275 req, miss ratio 0.1831, byte miss ratio 0.1831
result/cluster46.oracleGeneral.sample10.zst LHD cache size 46354167, 676371275 req, miss ratio 0.1764, byte miss ratio 0.1764
result/cluster46.oracleGeneral.sample10.zst LHD cache size 92708334, 676371275 req, miss ratio 0.1716, byte miss ratio 0.1716
result/cluster46.oracleGeneral.sample10.zst S3FIFO-1 cache size   115885, 676371275 req, miss ratio 0.2340, byte miss ratio 0.2340
result/cluster46.oracleGeneral.sample10.zst S3FIFO-1 cache size   347656, 676371275 req, miss ratio 0.2208, byte miss ratio 0.2208
result/cluster46.oracleGeneral.sample10.zst S3FIFO-1 cache size  1158854, 676371275 req, miss ratio 0.2077, byte miss ratio 0.2077
