result/cluster19.oracleGeneral.sample10.zst clock2 cache size  3283131, 200696850 req, miss ratio 0.2258, byte miss ratio 0.2258
result/cluster19.oracleGeneral.sample10.zst clock2 cache size  6566263, 200696850 req, miss ratio 0.1949, byte miss ratio 0.1949
result/cluster19.oracleGeneral.sample10.zst clock2 cache size 13132526, 200696850 req, miss ratio 0.1759, byte miss ratio 0.1759
result/cluster19.oracleGeneral.sample10.zst clock2 cache size 26265052, 200696850 req, miss ratio 0.1648, byte miss ratio 0.1648
result/cluster19.oracleGeneral.sample10.zst LIRS cache size    32831, 200696850 req, miss ratio 0.6400, byte miss ratio 0.6400
result/cluster19.oracleGeneral.sample10.zst LIRS cache size    98493, 200696850 req, miss ratio 0.5974, byte miss ratio 0.5974
result/cluster19.oracleGeneral.sample10.zst LIRS cache size   328313, 200696850 req, miss ratio 0.4851, byte miss ratio 0.4851
result/cluster19.oracleGeneral.sample10.zst LIRS cache size   984939, 200696850 req, miss ratio 0.3373, byte miss ratio 0.3373
result/cluster19.oracleGeneral.sample10.zst LIRS cache size  3283131, 200696850 req, miss ratio 0.2277, byte miss ratio 0.2277
result/cluster19.oracleGeneral.sample10.zst LIRS cache size  6566263, 200696850 req, miss ratio 0.1961, byte miss ratio 0.1961
result/cluster19.oracleGeneral.sample10.zst LIRS cache size 13132526, 200696850 req, miss ratio 0.1770, byte miss ratio 0.1770
result/cluster19.oracleGeneral.sample10.zst LIRS cache size 26265052, 200696850 req, miss ratio 0.1648, byte miss ratio 0.1648
result/cluster19.oracleGeneral.sample10.zst FIFO cache size    32831, 200696850 req, miss ratio 0.6482, byte miss ratio 0.6482
result/cluster19.oracleGeneral.sample10.zst FIFO cache size    98493, 200696850 req, miss ratio 0.6088, byte miss ratio 0.6088
result/cluster19.oracleGeneral.sample10.zst FIFO cache size   328313, 200696850 req, miss ratio 0.5091, byte miss ratio 0.5091
result/cluster19.oracleGeneral.sample10.zst FIFO cache size   984939, 200696850 req, miss ratio 0.3631, byte miss ratio 0.3631
result/cluster19.oracleGeneral.sample10.zst FIFO cache size  3283131, 200696850 req, miss ratio 0.2465, byte miss ratio 0.2465
result/cluster19.oracleGeneral.sample10.zst FIFO cache size  6566263, 200696850 req, miss ratio 0.2072, byte miss ratio 0.2072
result/cluster19.oracleGeneral.sample10.zst FIFO cache size 13132526, 200696850 req, miss ratio 0.1854, byte miss ratio 0.1854
result/cluster19.oracleGeneral.sample10.zst FIFO cache size 26265052, 200696850 req, miss ratio 0.1686, byte miss ratio 0.1686
result/cluster19.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    32831, 200696850 req, miss ratio 0.6422, byte miss ratio 0.6422
result/cluster19.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    98493, 200696850 req, miss ratio 0.5903, byte miss ratio 0.5903
result/cluster19.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   328313, 200696850 req, miss ratio 0.4778, byte miss ratio 0.4778
result/cluster19.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   984939, 200696850 req, miss ratio 0.3322, byte miss ratio 0.3322
result/cluster19.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  3283131, 200696850 req, miss ratio 0.2270, byte miss ratio 0.2270
result/cluster19.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  6566263, 200696850 req, miss ratio 0.1981, byte miss ratio 0.1981
result/cluster19.oracleGeneral.sample10.zst S3FIFO-d-1 cache size 13132526, 200696850 req, miss ratio 0.1782, byte miss ratio 0.1782
result/cluster19.oracleGeneral.sample10.zst S3FIFO-d-1 cache size 26265052, 200696850 req, miss ratio 0.1714, byte miss ratio 0.1714
result/cluster19.oracleGeneral.sample10.zst LRB cache size    32831, 200696850 req, miss ratio 0.6122, byte miss ratio 0.6122
result/cluster19.oracleGeneral.sample10.zst LRB cache size    98493, 200696850 req, miss ratio 0.5612, byte miss ratio 0.5612
result/cluster19.oracleGeneral.sample10.zst LRB cache size   328313, 200696850 req, miss ratio 0.4704, byte miss ratio 0.4704
result/cluster19.oracleGeneral.sample10.zst LRB cache size   984939, 200696850 req, miss ratio 0.3577, byte miss ratio 0.3577
result/cluster19.oracleGeneral.sample10.zst LRB cache size  3283131, 200696850 req, miss ratio 0.2328, byte miss ratio 0.2328
result/cluster19.oracleGeneral.sample10.zst LRB cache size  6566263, 200696850 req, miss ratio 0.1927, byte miss ratio 0.1927
result/cluster19.oracleGeneral.sample10.zst LRB cache size 13132526, 200696850 req, miss ratio 0.1762, byte miss ratio 0.1762
result/cluster19.oracleGeneral.sample10.zst LRB cache size 26265052, 200696850 req, miss ratio 0.1647, byte miss ratio 0.1647
result/cluster19.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    32831, 200696850 req, miss ratio 0.6499, byte miss ratio 0.6499
