result/cluster53.oracleGeneral.sample10.zst clock2 cache size     7264, 26142189 req, miss ratio 0.1443, byte miss ratio 0.1443
result/cluster53.oracleGeneral.sample10.zst clock2 cache size    21793, 26142189 req, miss ratio 0.0889, byte miss ratio 0.0889
result/cluster53.oracleGeneral.sample10.zst clock2 cache size    72644, 26142189 req, miss ratio 0.0520, byte miss ratio 0.0520
result/cluster53.oracleGeneral.sample10.zst clock2 cache size   145289, 26142189 req, miss ratio 0.0393, byte miss ratio 0.0393
result/cluster53.oracleGeneral.sample10.zst clock2 cache size   290578, 26142189 req, miss ratio 0.0301, byte miss ratio 0.0301
result/cluster53.oracleGeneral.sample10.zst clock2 cache size   581156, 26142189 req, miss ratio 0.0280, byte miss ratio 0.0280
result/cluster53.oracleGeneral.sample10.zst LRU cache size      726, 26142189 req, miss ratio 0.4452, byte miss ratio 0.4452
result/cluster53.oracleGeneral.sample10.zst LRU cache size     2179, 26142189 req, miss ratio 0.2415, byte miss ratio 0.2415
result/cluster53.oracleGeneral.sample10.zst LRU cache size     7264, 26142189 req, miss ratio 0.1484, byte miss ratio 0.1484
result/cluster53.oracleGeneral.sample10.zst LRU cache size    21793, 26142189 req, miss ratio 0.0914, byte miss ratio 0.0914
result/cluster53.oracleGeneral.sample10.zst LRU cache size    72644, 26142189 req, miss ratio 0.0531, byte miss ratio 0.0531
result/cluster53.oracleGeneral.sample10.zst LRU cache size   145289, 26142189 req, miss ratio 0.0385, byte miss ratio 0.0385
result/cluster53.oracleGeneral.sample10.zst LRU cache size   290578, 26142189 req, miss ratio 0.0302, byte miss ratio 0.0302
result/cluster53.oracleGeneral.sample10.zst LRU cache size   581156, 26142189 req, miss ratio 0.0279, byte miss ratio 0.0279
result/cluster53.oracleGeneral.sample10.zst Clock cache size      726, 26142189 req, miss ratio 0.4373, byte miss ratio 0.4373
result/cluster53.oracleGeneral.sample10.zst Clock cache size     2179, 26142189 req, miss ratio 0.2417, byte miss ratio 0.2417
result/cluster53.oracleGeneral.sample10.zst Clock cache size     7264, 26142189 req, miss ratio 0.1491, byte miss ratio 0.1491
result/cluster53.oracleGeneral.sample10.zst Clock cache size    21793, 26142189 req, miss ratio 0.0926, byte miss ratio 0.0926
result/cluster53.oracleGeneral.sample10.zst Clock cache size    72644, 26142189 req, miss ratio 0.0543, byte miss ratio 0.0543
result/cluster53.oracleGeneral.sample10.zst Clock cache size   145289, 26142189 req, miss ratio 0.0411, byte miss ratio 0.0411
result/cluster53.oracleGeneral.sample10.zst Clock cache size   290578, 26142189 req, miss ratio 0.0312, byte miss ratio 0.0312
result/cluster53.oracleGeneral.sample10.zst Clock cache size   581156, 26142189 req, miss ratio 0.0282, byte miss ratio 0.0282
result/cluster53.oracleGeneral.sample10.zst ARC cache size      726, 26142189 req, miss ratio 0.3590, byte miss ratio 0.3590
result/cluster53.oracleGeneral.sample10.zst ARC cache size     2179, 26142189 req, miss ratio 0.2307, byte miss ratio 0.2307
result/cluster53.oracleGeneral.sample10.zst ARC cache size     7264, 26142189 req, miss ratio 0.1445, byte miss ratio 0.1445
result/cluster53.oracleGeneral.sample10.zst ARC cache size    21793, 26142189 req, miss ratio 0.0909, byte miss ratio 0.0909
result/cluster53.oracleGeneral.sample10.zst ARC cache size    72644, 26142189 req, miss ratio 0.0541, byte miss ratio 0.0541
result/cluster53.oracleGeneral.sample10.zst ARC cache size   145289, 26142189 req, miss ratio 0.0394, byte miss ratio 0.0394
result/cluster53.oracleGeneral.sample10.zst ARC cache size   290578, 26142189 req, miss ratio 0.0302, byte miss ratio 0.0302
result/cluster53.oracleGeneral.sample10.zst ARC cache size   581156, 26142189 req, miss ratio 0.0280, byte miss ratio 0.0280
result/cluster53.oracleGeneral.sample10.zst S3FIFO-d-1 cache size      726, 26142189 req, miss ratio 0.3575, byte miss ratio 0.3575
result/cluster53.oracleGeneral.sample10.zst S3FIFO-d-1 cache size     2179, 26142189 req, miss ratio 0.2188, byte miss ratio 0.2188
result/cluster53.oracleGeneral.sample10.zst S3FIFO-d-1 cache size     7264, 26142189 req, miss ratio 0.1366, byte miss ratio 0.1366
result/cluster53.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    21793, 26142189 req, miss ratio 0.0845, byte miss ratio 0.0845
result/cluster53.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    72644, 26142189 req, miss ratio 0.0509, byte miss ratio 0.0509
result/cluster53.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   145289, 26142189 req, miss ratio 0.0377, byte miss ratio 0.0377
result/cluster53.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   290578, 26142189 req, miss ratio 0.0307, byte miss ratio 0.0307
result/cluster53.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   581156, 26142189 req, miss ratio 0.0282, byte miss ratio 0.0282
result/cluster53.oracleGeneral.sample10.zst LRB cache size      726, 26142189 req, miss ratio 0.3181, byte miss ratio 0.3181
result/cluster53.oracleGeneral.sample10.zst LRB cache size     2179, 26142189 req, miss ratio 0.2135, byte miss ratio 0.2135
result/cluster53.oracleGeneral.sample10.zst LRB cache size     7264, 26142189 req, miss ratio 0.1313, byte miss ratio 0.1313
result/cluster53.oracleGeneral.sample10.zst LRB cache size    21793, 26142189 req, miss ratio 0.0833, byte miss ratio 0.0833
result/cluster53.oracleGeneral.sample10.zst LRB cache size    72644, 26142189 req, miss ratio 0.0548, byte miss ratio 0.0548
result/cluster53.oracleGeneral.sample10.zst LRB cache size   145289, 26142189 req, miss ratio 0.0411, byte miss ratio 0.0411
result/cluster53.oracleGeneral.sample10.zst LRB cache size   290578, 26142189 req, miss ratio 0.0314, byte miss ratio 0.0314
result/cluster53.oracleGeneral.sample10.zst LRB cache size   581156, 26142189 req, miss ratio 0.0286, byte miss ratio 0.0286
result/cluster53.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size      726, 26142189 req, miss ratio 0.4342, byte miss ratio 0.4342
result/cluster53.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size     2179, 26142189 req, miss ratio 0.2562, byte miss ratio 0.2562
result/cluster53.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size     7264, 26142189 req, miss ratio 0.1555, byte miss ratio 0.1555
result/cluster53.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    21793, 26142189 req, miss ratio 0.0955, byte miss ratio 0.0955
result/cluster53.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    72644, 26142189 req, miss ratio 0.0548, byte miss ratio 0.0548
result/cluster53.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   145289, 26142189 req, miss ratio 0.0404, byte miss ratio 0.0404
result/cluster53.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   290578, 26142189 req, miss ratio 0.0315, byte miss ratio 0.0315
result/cluster53.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   581156, 26142189 req, miss ratio 0.0287, byte miss ratio 0.0287
result/cluster53.oracleGeneral.sample10.zst B-LRU cache size      726, 26142189 req, miss ratio 0.4647, byte miss ratio 0.4647
result/cluster53.oracleGeneral.sample10.zst B-LRU cache size     2179, 26142189 req, miss ratio 0.2610, byte miss ratio 0.2610
result/cluster53.oracleGeneral.sample10.zst B-LRU cache size     7264, 26142189 req, miss ratio 0.1684, byte miss ratio 0.1684
result/cluster53.oracleGeneral.sample10.zst B-LRU cache size    21793, 26142189 req, miss ratio 0.1123, byte miss ratio 0.1123
result/cluster53.oracleGeneral.sample10.zst B-LRU cache size    72644, 26142189 req, miss ratio 0.0754, byte miss ratio 0.0754
result/cluster53.oracleGeneral.sample10.zst B-LRU cache size   145289, 26142189 req, miss ratio 0.0618, byte miss ratio 0.0618
result/cluster53.oracleGeneral.sample10.zst B-LRU cache size   290578, 26142189 req, miss ratio 0.0546, byte miss ratio 0.0546
result/cluster53.oracleGeneral.sample10.zst B-LRU cache size   581156, 26142189 req, miss ratio 0.0530, byte miss ratio 0.0530
result/cluster53.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size      726, 26142189 req, miss ratio 0.3672, byte miss ratio 0.3672
result/cluster53.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size     2179, 26142189 req, miss ratio 0.2278, byte miss ratio 0.2278
result/cluster53.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size     7264, 26142189 req, miss ratio 0.1397, byte miss ratio 0.1397
result/cluster53.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    21793, 26142189 req, miss ratio 0.0861, byte miss ratio 0.0861
