result/meta_rprn.oracleGeneral.zst                              LRU cache size  2903028, 88470732 req, miss ratio 0.4400, byte miss ratio 0.4400
result/meta_rprn.oracleGeneral.zst                              LRU cache size  5806056, 88470732 req, miss ratio 0.3977, byte miss ratio 0.3977
result/meta_rprn.oracleGeneral.zst                              LRU cache size 11612112, 88470732 req, miss ratio 0.3563, byte miss ratio 0.3563
result/meta_rprn.oracleGeneral.zst                              LRU cache size 23224225, 88470732 req, miss ratio 0.3301, byte miss ratio 0.3301
result/meta_rprn.oracleGeneral.zst                              ARC cache size    29030, 88470732 req, miss ratio 0.5811, byte miss ratio 0.5811
result/meta_rprn.oracleGeneral.zst                              ARC cache size    87090, 88470732 req, miss ratio 0.5518, byte miss ratio 0.5518
result/meta_rprn.oracleGeneral.zst                              ARC cache size   290302, 88470732 req, miss ratio 0.5165, byte miss ratio 0.5165
result/meta_rprn.oracleGeneral.zst                              ARC cache size   870908, 88470732 req, miss ratio 0.4795, byte miss ratio 0.4795
result/meta_rprn.oracleGeneral.zst                              ARC cache size  2903028, 88470732 req, miss ratio 0.4255, byte miss ratio 0.4255
result/meta_rprn.oracleGeneral.zst                              ARC cache size  5806056, 88470732 req, miss ratio 0.3833, byte miss ratio 0.3833
result/meta_rprn.oracleGeneral.zst                              ARC cache size 11612112, 88470732 req, miss ratio 0.3525, byte miss ratio 0.3525
result/meta_rprn.oracleGeneral.zst                              ARC cache size 23224225, 88470732 req, miss ratio 0.3303, byte miss ratio 0.3303
result/meta_rprn.oracleGeneral.zst                             LIRS cache size    29030, 88470732 req, miss ratio 0.5982, byte miss ratio 0.5982
result/meta_rprn.oracleGeneral.zst                             LIRS cache size    87090, 88470732 req, miss ratio 0.5632, byte miss ratio 0.5632
result/meta_rprn.oracleGeneral.zst                             LIRS cache size   290302, 88470732 req, miss ratio 0.5266, byte miss ratio 0.5266
result/meta_rprn.oracleGeneral.zst                             LIRS cache size   870908, 88470732 req, miss ratio 0.4892, byte miss ratio 0.4892
result/meta_rprn.oracleGeneral.zst                             LIRS cache size  2903028, 88470732 req, miss ratio 0.4289, byte miss ratio 0.4289
result/meta_rprn.oracleGeneral.zst                             LIRS cache size  5806056, 88470732 req, miss ratio 0.3898, byte miss ratio 0.3898
result/meta_rprn.oracleGeneral.zst                             LIRS cache size 11612112, 88470732 req, miss ratio 0.3579, byte miss ratio 0.3579
result/meta_rprn.oracleGeneral.zst                             LIRS cache size 23224225, 88470732 req, miss ratio 0.3317, byte miss ratio 0.3317
result/meta_rprn.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    29030, 88470732 req, miss ratio 0.6453, byte miss ratio 0.6453
result/meta_rprn.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    87090, 88470732 req, miss ratio 0.6053, byte miss ratio 0.6053
result/meta_rprn.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   290302, 88470732 req, miss ratio 0.5449, byte miss ratio 0.5449
result/meta_rprn.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   870908, 88470732 req, miss ratio 0.5061, byte miss ratio 0.5061
result/meta_rprn.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  2903028, 88470732 req, miss ratio 0.4479, byte miss ratio 0.4479
result/meta_rprn.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  5806056, 88470732 req, miss ratio 0.4071, byte miss ratio 0.4071
result/meta_rprn.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size 11612112, 88470732 req, miss ratio 0.3689, byte miss ratio 0.3689
result/meta_rprn.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size 23224225, 88470732 req, miss ratio 0.3351, byte miss ratio 0.3351
result/meta_rprn.oracleGeneral.zst                             TwoQ cache size    29030, 88470732 req, miss ratio 0.5760, byte miss ratio 0.5760
result/meta_rprn.oracleGeneral.zst                             TwoQ cache size    87090, 88470732 req, miss ratio 0.5489, byte miss ratio 0.5489
result/meta_rprn.oracleGeneral.zst                             TwoQ cache size   290302, 88470732 req, miss ratio 0.5132, byte miss ratio 0.5132
result/meta_rprn.oracleGeneral.zst                             TwoQ cache size   870908, 88470732 req, miss ratio 0.4757, byte miss ratio 0.4757
result/meta_rprn.oracleGeneral.zst                             TwoQ cache size  2903028, 88470732 req, miss ratio 0.4280, byte miss ratio 0.4280
result/meta_rprn.oracleGeneral.zst                             TwoQ cache size  5806056, 88470732 req, miss ratio 0.3957, byte miss ratio 0.3957
result/meta_rprn.oracleGeneral.zst                             TwoQ cache size 11612112, 88470732 req, miss ratio 0.3680, byte miss ratio 0.3680
result/meta_rprn.oracleGeneral.zst                             TwoQ cache size 23224225, 88470732 req, miss ratio 0.3373, byte miss ratio 0.3373
result/meta_rprn.oracleGeneral.zst    QDLPv1-0.1000-0.9000-Clock2-1 cache size    29030, 88470732 req, miss ratio 0.5780, byte miss ratio 0.5780
result/meta_rprn.oracleGeneral.zst    QDLPv1-0.1000-0.9000-Clock2-1 cache size    87090, 88470732 req, miss ratio 0.5491, byte miss ratio 0.5491
result/meta_rprn.oracleGeneral.zst    QDLPv1-0.1000-0.9000-Clock2-1 cache size   290302, 88470732 req, miss ratio 0.5132, byte miss ratio 0.5132
result/meta_rprn.oracleGeneral.zst    QDLPv1-0.1000-0.9000-Clock2-1 cache size   870908, 88470732 req, miss ratio 0.4752, byte miss ratio 0.4752
result/meta_rprn.oracleGeneral.zst    QDLPv1-0.1000-0.9000-Clock2-1 cache size  2903028, 88470732 req, miss ratio 0.4185, byte miss ratio 0.4185
result/meta_rprn.oracleGeneral.zst    QDLPv1-0.1000-0.9000-Clock2-1 cache size  5806056, 88470732 req, miss ratio 0.3831, byte miss ratio 0.3831
result/meta_rprn.oracleGeneral.zst    QDLPv1-0.1000-0.9000-Clock2-1 cache size 11612112, 88470732 req, miss ratio 0.3524, byte miss ratio 0.3524
result/meta_rprn.oracleGeneral.zst    QDLPv1-0.1000-0.9000-Clock2-1 cache size 23224225, 88470732 req, miss ratio 0.3303, byte miss ratio 0.3303
result/meta_rprn.oracleGeneral.zst                  QDLPv2-Clock2 cache size    29030, 88470732 req, miss ratio 0.5768, byte miss ratio 0.5768
result/meta_rprn.oracleGeneral.zst                  QDLPv2-Clock2 cache size    87090, 88470732 req, miss ratio 0.5484, byte miss ratio 0.5484
result/meta_rprn.oracleGeneral.zst                  QDLPv2-Clock2 cache size   290302, 88470732 req, miss ratio 0.5128, byte miss ratio 0.5128
result/meta_rprn.oracleGeneral.zst                  QDLPv2-Clock2 cache size   870908, 88470732 req, miss ratio 0.4743, byte miss ratio 0.4743
result/meta_rprn.oracleGeneral.zst                  QDLPv2-Clock2 cache size  2903028, 88470732 req, miss ratio 0.4179, byte miss ratio 0.4179
result/meta_rprn.oracleGeneral.zst                  QDLPv2-Clock2 cache size  5806056, 88470732 req, miss ratio 0.3826, byte miss ratio 0.3826
result/meta_rprn.oracleGeneral.zst                  QDLPv2-Clock2 cache size 11612112, 88470732 req, miss ratio 0.3524, byte miss ratio 0.3524
result/meta_rprn.oracleGeneral.zst                  QDLPv2-Clock2 cache size 23224225, 88470732 req, miss ratio 0.3303, byte miss ratio 0.3303
result/meta_rprn.oracleGeneral.zst                            Clock cache size    29030, 88470732 req, miss ratio 0.5936, byte miss ratio 0.5936
result/meta_rprn.oracleGeneral.zst                            Clock cache size    87090, 88470732 req, miss ratio 0.5643, byte miss ratio 0.5643
result/meta_rprn.oracleGeneral.zst                            Clock cache size   290302, 88470732 req, miss ratio 0.5275, byte miss ratio 0.5275
result/meta_rprn.oracleGeneral.zst                            Clock cache size   870908, 88470732 req, miss ratio 0.4892, byte miss ratio 0.4892
result/meta_rprn.oracleGeneral.zst                            Clock cache size  2903028, 88470732 req, miss ratio 0.4380, byte miss ratio 0.4380
result/meta_rprn.oracleGeneral.zst                            Clock cache size  5806056, 88470732 req, miss ratio 0.3975, byte miss ratio 0.3975
result/meta_rprn.oracleGeneral.zst                            Clock cache size 11612112, 88470732 req, miss ratio 0.3558, byte miss ratio 0.3558
result/meta_rprn.oracleGeneral.zst                            Clock cache size 23224225, 88470732 req, miss ratio 0.3303, byte miss ratio 0.3303
result/meta_rprn.oracleGeneral.zst                            LeCaR cache size    29030, 88470732 req, miss ratio 0.5955, byte miss ratio 0.5955
result/meta_rprn.oracleGeneral.zst                            LeCaR cache size    87090, 88470732 req, miss ratio 0.5665, byte miss ratio 0.5665
result/meta_rprn.oracleGeneral.zst                            LeCaR cache size   290302, 88470732 req, miss ratio 0.5298, byte miss ratio 0.5298
result/meta_rprn.oracleGeneral.zst                            LeCaR cache size   870908, 88470732 req, miss ratio 0.4912, byte miss ratio 0.4912
result/meta_rprn.oracleGeneral.zst                            LeCaR cache size  2903028, 88470732 req, miss ratio 0.4399, byte miss ratio 0.4399
result/meta_rprn.oracleGeneral.zst                            LeCaR cache size  5806056, 88470732 req, miss ratio 0.3976, byte miss ratio 0.3976
result/meta_rprn.oracleGeneral.zst                            LeCaR cache size 11612112, 88470732 req, miss ratio 0.3563, byte miss ratio 0.3563
result/meta_rprn.oracleGeneral.zst                            LeCaR cache size 23224225, 88470732 req, miss ratio 0.3301, byte miss ratio 0.3301
result/meta_rprn.oracleGeneral.zst                              LHD cache size    29030, 88470732 req, miss ratio 0.5779, byte miss ratio 0.5779
result/meta_rprn.oracleGeneral.zst                              LHD cache size    87090, 88470732 req, miss ratio 0.5482, byte miss ratio 0.5482
result/meta_rprn.oracleGeneral.zst                              LHD cache size   290302, 88470732 req, miss ratio 0.5161, byte miss ratio 0.5161
result/meta_rprn.oracleGeneral.zst                              LHD cache size   870908, 88470732 req, miss ratio 0.4911, byte miss ratio 0.4911
result/meta_rprn.oracleGeneral.zst                              LHD cache size  2903028, 88470732 req, miss ratio 0.4523, byte miss ratio 0.4523
result/meta_rprn.oracleGeneral.zst                              LHD cache size  5806056, 88470732 req, miss ratio 0.4187, byte miss ratio 0.4187
result/meta_rprn.oracleGeneral.zst                              LHD cache size 11612112, 88470732 req, miss ratio 0.3794, byte miss ratio 0.3794
result/meta_rprn.oracleGeneral.zst                              LHD cache size 23224225, 88470732 req, miss ratio 0.3306, byte miss ratio 0.3306
result/meta_rprn.oracleGeneral.zst            FIFO_Merge_FREQUENCY cache size    29030, 88470732 req, miss ratio 0.5944, byte miss ratio 0.5944
result/meta_rprn.oracleGeneral.zst            FIFO_Merge_FREQUENCY cache size    87090, 88470732 req, miss ratio 0.5649, byte miss ratio 0.5649
result/meta_rprn.oracleGeneral.zst            FIFO_Merge_FREQUENCY cache size   290302, 88470732 req, miss ratio 0.5289, byte miss ratio 0.5289
result/meta_rprn.oracleGeneral.zst            FIFO_Merge_FREQUENCY cache size   870908, 88470732 req, miss ratio 0.4911, byte miss ratio 0.4911
result/meta_rprn.oracleGeneral.zst            FIFO_Merge_FREQUENCY cache size  2903028, 88470732 req, miss ratio 0.4401, byte miss ratio 0.4401
result/meta_rprn.oracleGeneral.zst            FIFO_Merge_FREQUENCY cache size  5806056, 88470732 req, miss ratio 0.3992, byte miss ratio 0.3992
result/meta_rprn.oracleGeneral.zst            FIFO_Merge_FREQUENCY cache size 11612112, 88470732 req, miss ratio 0.3562, byte miss ratio 0.3562
result/meta_rprn.oracleGeneral.zst            FIFO_Merge_FREQUENCY cache size 23224225, 88470732 req, miss ratio 0.3304, byte miss ratio 0.3304
