result/meta_rnha.oracleGeneral.zst                            LeCaR cache size  1051208, 96680668 req, miss ratio 0.5550, byte miss ratio 0.5550
result/meta_rnha.oracleGeneral.zst                            LeCaR cache size  3504028, 96680668 req, miss ratio 0.4929, byte miss ratio 0.4929
result/meta_rnha.oracleGeneral.zst                            LeCaR cache size  7008056, 96680668 req, miss ratio 0.4442, byte miss ratio 0.4442
result/meta_rnha.oracleGeneral.zst                            LeCaR cache size 14016112, 96680668 req, miss ratio 0.3943, byte miss ratio 0.3943
result/meta_rnha.oracleGeneral.zst                            LeCaR cache size 28032224, 96680668 req, miss ratio 0.3645, byte miss ratio 0.3645
result/meta_rnha.oracleGeneral.zst                  QDLPv2-Clock2 cache size    35040, 96680668 req, miss ratio 0.6567, byte miss ratio 0.6567
result/meta_rnha.oracleGeneral.zst                  QDLPv2-Clock2 cache size   105120, 96680668 req, miss ratio 0.6275, byte miss ratio 0.6275
result/meta_rnha.oracleGeneral.zst                  QDLPv2-Clock2 cache size   350402, 96680668 req, miss ratio 0.5877, byte miss ratio 0.5877
result/meta_rnha.oracleGeneral.zst                  QDLPv2-Clock2 cache size  1051208, 96680668 req, miss ratio 0.5385, byte miss ratio 0.5385
result/meta_rnha.oracleGeneral.zst                  QDLPv2-Clock2 cache size  3504028, 96680668 req, miss ratio 0.4673, byte miss ratio 0.4673
result/meta_rnha.oracleGeneral.zst                  QDLPv2-Clock2 cache size  7008056, 96680668 req, miss ratio 0.4263, byte miss ratio 0.4263
result/meta_rnha.oracleGeneral.zst                  QDLPv2-Clock2 cache size 14016112, 96680668 req, miss ratio 0.3911, byte miss ratio 0.3911
result/meta_rnha.oracleGeneral.zst                  QDLPv2-Clock2 cache size 28032224, 96680668 req, miss ratio 0.3648, byte miss ratio 0.3648
result/meta_rnha.oracleGeneral.zst            FIFO_Merge_FREQUENCY cache size    35040, 96680668 req, miss ratio 0.6685, byte miss ratio 0.6685
result/meta_rnha.oracleGeneral.zst            FIFO_Merge_FREQUENCY cache size   105120, 96680668 req, miss ratio 0.6395, byte miss ratio 0.6395
result/meta_rnha.oracleGeneral.zst            FIFO_Merge_FREQUENCY cache size   350402, 96680668 req, miss ratio 0.5997, byte miss ratio 0.5997
result/meta_rnha.oracleGeneral.zst            FIFO_Merge_FREQUENCY cache size  1051208, 96680668 req, miss ratio 0.5557, byte miss ratio 0.5557
result/meta_rnha.oracleGeneral.zst            FIFO_Merge_FREQUENCY cache size  3504028, 96680668 req, miss ratio 0.4919, byte miss ratio 0.4919
result/meta_rnha.oracleGeneral.zst            FIFO_Merge_FREQUENCY cache size  7008056, 96680668 req, miss ratio 0.4441, byte miss ratio 0.4441
result/meta_rnha.oracleGeneral.zst            FIFO_Merge_FREQUENCY cache size 14016112, 96680668 req, miss ratio 0.3950, byte miss ratio 0.3950
result/meta_rnha.oracleGeneral.zst            FIFO_Merge_FREQUENCY cache size 28032224, 96680668 req, miss ratio 0.3650, byte miss ratio 0.3650
result/meta_rnha.oracleGeneral.zst                              LHD cache size    35040, 96680668 req, miss ratio 0.6552, byte miss ratio 0.6552
result/meta_rnha.oracleGeneral.zst                              LHD cache size   105120, 96680668 req, miss ratio 0.6256, byte miss ratio 0.6256
result/meta_rnha.oracleGeneral.zst                              LHD cache size   350402, 96680668 req, miss ratio 0.5868, byte miss ratio 0.5868
result/meta_rnha.oracleGeneral.zst                              LHD cache size  1051208, 96680668 req, miss ratio 0.5590, byte miss ratio 0.5590
result/meta_rnha.oracleGeneral.zst                              LHD cache size  3504028, 96680668 req, miss ratio 0.5092, byte miss ratio 0.5092
result/meta_rnha.oracleGeneral.zst                              LHD cache size  7008056, 96680668 req, miss ratio 0.4679, byte miss ratio 0.4679
result/meta_rnha.oracleGeneral.zst                              LHD cache size 14016112, 96680668 req, miss ratio 0.4293, byte miss ratio 0.4293
result/meta_rnha.oracleGeneral.zst                              LHD cache size 28032224, 96680668 req, miss ratio 0.3651, byte miss ratio 0.3651
result/meta_rnha.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    35040, 96680668 req, miss ratio 0.6692, byte miss ratio 0.6692
result/meta_rnha.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   105120, 96680668 req, miss ratio 0.6404, byte miss ratio 0.6404
result/meta_rnha.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   350402, 96680668 req, miss ratio 0.6004, byte miss ratio 0.6004
result/meta_rnha.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  1051208, 96680668 req, miss ratio 0.5519, byte miss ratio 0.5519
result/meta_rnha.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  3504028, 96680668 req, miss ratio 0.4851, byte miss ratio 0.4851
result/meta_rnha.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  7008056, 96680668 req, miss ratio 0.4421, byte miss ratio 0.4421
result/meta_rnha.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size 14016112, 96680668 req, miss ratio 0.4031, byte miss ratio 0.4031
result/meta_rnha.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size 28032224, 96680668 req, miss ratio 0.3711, byte miss ratio 0.3711
result/meta_rnha.oracleGeneral.zst    S3FIFO cache size    35040, 96680668 req, miss ratio 0.6557, byte miss ratio 0.6557
result/meta_rnha.oracleGeneral.zst    S3FIFO cache size   105120, 96680668 req, miss ratio 0.6243, byte miss ratio 0.6243
result/meta_rnha.oracleGeneral.zst    S3FIFO cache size   350402, 96680668 req, miss ratio 0.5817, byte miss ratio 0.5817
result/meta_rnha.oracleGeneral.zst    S3FIFO cache size  1051208, 96680668 req, miss ratio 0.5311, byte miss ratio 0.5311
result/meta_rnha.oracleGeneral.zst    S3FIFO cache size  3504028, 96680668 req, miss ratio 0.4639, byte miss ratio 0.4639
result/meta_rnha.oracleGeneral.zst    S3FIFO cache size  7008056, 96680668 req, miss ratio 0.4275, byte miss ratio 0.4275
result/meta_rnha.oracleGeneral.zst    S3FIFO cache size 14016112, 96680668 req, miss ratio 0.3952, byte miss ratio 0.3952
result/meta_rnha.oracleGeneral.zst    S3FIFO cache size 28032224, 96680668 req, miss ratio 0.3656, byte miss ratio 0.3656
result/meta_rnha.oracleGeneral.zst                          Cacheus cache size    35040, 96680668 req, miss ratio 0.6636, byte miss ratio 0.6636
result/meta_rnha.oracleGeneral.zst                          Cacheus cache size   105120, 96680668 req, miss ratio 0.6345, byte miss ratio 0.6345
result/meta_rnha.oracleGeneral.zst                          Cacheus cache size   350402, 96680668 req, miss ratio 0.5888, byte miss ratio 0.5888
result/meta_rnha.oracleGeneral.zst                          Cacheus cache size  1051208, 96680668 req, miss ratio 0.5432, byte miss ratio 0.5432
result/meta_rnha.oracleGeneral.zst                          Cacheus cache size  3504028, 96680668 req, miss ratio 0.4831, byte miss ratio 0.4831
result/meta_rnha.oracleGeneral.zst                          Cacheus cache size  7008056, 96680668 req, miss ratio 0.4324, byte miss ratio 0.4324
result/meta_rnha.oracleGeneral.zst                          Cacheus cache size 14016112, 96680668 req, miss ratio 0.4005, byte miss ratio 0.4005
