result/cdn1_sjc.ns1048.oracleGeneral.bin.zst clock2 cache size     2104, 1226896 req, miss ratio 0.4455, byte miss ratio 0.4455
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst clock2 cache size     4208, 1226896 req, miss ratio 0.3761, byte miss ratio 0.3761
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst clock2 cache size     8416, 1226896 req, miss ratio 0.1851, byte miss ratio 0.1851
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst LeCaR cache size       10, 1226896 req, miss ratio 0.9340, byte miss ratio 0.9340
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst LeCaR cache size       31, 1226896 req, miss ratio 0.8553, byte miss ratio 0.8553
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst LeCaR cache size      105, 1226896 req, miss ratio 0.8157, byte miss ratio 0.8157
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst LeCaR cache size      315, 1226896 req, miss ratio 0.7683, byte miss ratio 0.7683
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst LeCaR cache size     1052, 1226896 req, miss ratio 0.4943, byte miss ratio 0.4943
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst LeCaR cache size     2104, 1226896 req, miss ratio 0.4366, byte miss ratio 0.4366
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst LeCaR cache size     4208, 1226896 req, miss ratio 0.3299, byte miss ratio 0.3299
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst LeCaR cache size     8416, 1226896 req, miss ratio 0.1476, byte miss ratio 0.1476
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst LIRS cache size       10, 1226896 req, miss ratio 0.9841, byte miss ratio 0.9841
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst LIRS cache size       31, 1226896 req, miss ratio 0.9778, byte miss ratio 0.9778
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst LIRS cache size      105, 1226896 req, miss ratio 0.9544, byte miss ratio 0.9544
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst LIRS cache size      315, 1226896 req, miss ratio 0.8732, byte miss ratio 0.8732
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst LIRS cache size     1052, 1226896 req, miss ratio 0.5530, byte miss ratio 0.5530
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst LIRS cache size     2104, 1226896 req, miss ratio 0.4311, byte miss ratio 0.4311
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst LIRS cache size     4208, 1226896 req, miss ratio 0.3067, byte miss ratio 0.3067
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst LIRS cache size     8416, 1226896 req, miss ratio 0.1127, byte miss ratio 0.1127
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst ARC cache size       10, 1226896 req, miss ratio 0.9062, byte miss ratio 0.9062
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst ARC cache size       31, 1226896 req, miss ratio 0.8366, byte miss ratio 0.8366
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst ARC cache size      105, 1226896 req, miss ratio 0.8003, byte miss ratio 0.8003
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst ARC cache size      315, 1226896 req, miss ratio 0.7387, byte miss ratio 0.7387
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst ARC cache size     1052, 1226896 req, miss ratio 0.4841, byte miss ratio 0.4841
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst ARC cache size     2104, 1226896 req, miss ratio 0.4130, byte miss ratio 0.4130
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst ARC cache size     4208, 1226896 req, miss ratio 0.3576, byte miss ratio 0.3576
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst ARC cache size     8416, 1226896 req, miss ratio 0.2534, byte miss ratio 0.2534
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst LHD cache size       10, 1226896 req, miss ratio 0.9821, byte miss ratio 0.9821
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst LHD cache size       31, 1226896 req, miss ratio 0.9692, byte miss ratio 0.9692
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst LHD cache size      105, 1226896 req, miss ratio 0.9230, byte miss ratio 0.9230
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst LHD cache size      315, 1226896 req, miss ratio 0.8030, byte miss ratio 0.8030
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst LHD cache size     1052, 1226896 req, miss ratio 0.5458, byte miss ratio 0.5458
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst LHD cache size     2104, 1226896 req, miss ratio 0.4594, byte miss ratio 0.4594
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst LHD cache size     4208, 1226896 req, miss ratio 0.3694, byte miss ratio 0.3694
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst LHD cache size     8416, 1226896 req, miss ratio 0.1586, byte miss ratio 0.1586
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst FIFO cache size       10, 1226896 req, miss ratio 0.9128, byte miss ratio 0.9128
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst FIFO cache size       31, 1226896 req, miss ratio 0.8452, byte miss ratio 0.8452
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst FIFO cache size      105, 1226896 req, miss ratio 0.8125, byte miss ratio 0.8125
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst FIFO cache size      315, 1226896 req, miss ratio 0.7713, byte miss ratio 0.7713
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst FIFO cache size     1052, 1226896 req, miss ratio 0.5611, byte miss ratio 0.5611
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst FIFO cache size     2104, 1226896 req, miss ratio 0.5013, byte miss ratio 0.5013
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst FIFO cache size     4208, 1226896 req, miss ratio 0.4068, byte miss ratio 0.4068
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst FIFO cache size     8416, 1226896 req, miss ratio 0.1922, byte miss ratio 0.1922
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst S3FIFO-d-1 cache size       10, 1226896 req, miss ratio 0.9086, byte miss ratio 0.9086
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst S3FIFO-d-1 cache size       31, 1226896 req, miss ratio 0.8444, byte miss ratio 0.8444
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst S3FIFO-d-1 cache size      105, 1226896 req, miss ratio 0.8095, byte miss ratio 0.8095
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst S3FIFO-d-1 cache size      315, 1226896 req, miss ratio 0.7499, byte miss ratio 0.7499
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst S3FIFO-d-1 cache size     1052, 1226896 req, miss ratio 0.4754, byte miss ratio 0.4754
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst S3FIFO-d-1 cache size     2104, 1226896 req, miss ratio 0.4005, byte miss ratio 0.4005
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst S3FIFO-d-1 cache size     4208, 1226896 req, miss ratio 0.3239, byte miss ratio 0.3239
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst S3FIFO-d-1 cache size     8416, 1226896 req, miss ratio 0.1300, byte miss ratio 0.1300
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst LRB cache size       10, 1226896 req, miss ratio 0.9627, byte miss ratio 0.9627
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst LRB cache size       31, 1226896 req, miss ratio 0.9415, byte miss ratio 0.9415
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst LRB cache size      105, 1226896 req, miss ratio 0.8920, byte miss ratio 0.8920
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst LRB cache size      315, 1226896 req, miss ratio 0.7750, byte miss ratio 0.7750
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst LRB cache size     1052, 1226896 req, miss ratio 0.4526, byte miss ratio 0.4526
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst LRB cache size     2104, 1226896 req, miss ratio 0.3944, byte miss ratio 0.3944
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst LRB cache size     4208, 1226896 req, miss ratio 0.3051, byte miss ratio 0.3051
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst LRB cache size     8416, 1226896 req, miss ratio 0.1080, byte miss ratio 0.1080
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size       10, 1226896 req, miss ratio 0.9128, byte miss ratio 0.9128
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size       31, 1226896 req, miss ratio 0.8452, byte miss ratio 0.8452
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size      105, 1226896 req, miss ratio 0.8191, byte miss ratio 0.8191
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size      315, 1226896 req, miss ratio 0.7606, byte miss ratio 0.7606
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     1052, 1226896 req, miss ratio 0.5490, byte miss ratio 0.5490
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     2104, 1226896 req, miss ratio 0.4618, byte miss ratio 0.4618
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     4208, 1226896 req, miss ratio 0.3449, byte miss ratio 0.3449
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     8416, 1226896 req, miss ratio 0.1153, byte miss ratio 0.1153
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size       10, 1226896 req, miss ratio 0.9691, byte miss ratio 0.9691
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size       31, 1226896 req, miss ratio 0.9239, byte miss ratio 0.9239
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size      105, 1226896 req, miss ratio 0.8273, byte miss ratio 0.8273
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size      315, 1226896 req, miss ratio 0.7238, byte miss ratio 0.7238
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     1052, 1226896 req, miss ratio 0.4596, byte miss ratio 0.4596
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     2104, 1226896 req, miss ratio 0.3963, byte miss ratio 0.3963
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     4208, 1226896 req, miss ratio 0.3243, byte miss ratio 0.3243
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     8416, 1226896 req, miss ratio 0.1555, byte miss ratio 0.1555
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst TwoQ cache size       10, 1226896 req, miss ratio 0.9684, byte miss ratio 0.9684
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst TwoQ cache size       31, 1226896 req, miss ratio 0.9078, byte miss ratio 0.9078
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst TwoQ cache size      105, 1226896 req, miss ratio 0.8190, byte miss ratio 0.8190
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst TwoQ cache size      315, 1226896 req, miss ratio 0.7145, byte miss ratio 0.7145
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst TwoQ cache size     1052, 1226896 req, miss ratio 0.4370, byte miss ratio 0.4370
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst TwoQ cache size     2104, 1226896 req, miss ratio 0.3892, byte miss ratio 0.3892
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst TwoQ cache size     4208, 1226896 req, miss ratio 0.3220, byte miss ratio 0.3220
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst TwoQ cache size     8416, 1226896 req, miss ratio 0.1485, byte miss ratio 0.1485
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst B-LRU cache size       10, 1226896 req, miss ratio 0.9253, byte miss ratio 0.9253
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst B-LRU cache size       31, 1226896 req, miss ratio 0.8515, byte miss ratio 0.8515
