result/cdn1_nyc.ns35.oracleGeneral.bin.zst LIRS cache size     1743, 1596462 req, miss ratio 0.2175, byte miss ratio 0.2175
result/cdn1_nyc.ns35.oracleGeneral.bin.zst LIRS cache size     5231, 1596462 req, miss ratio 0.1866, byte miss ratio 0.1866
result/cdn1_nyc.ns35.oracleGeneral.bin.zst LIRS cache size    17436, 1596462 req, miss ratio 0.1497, byte miss ratio 0.1497
result/cdn1_nyc.ns35.oracleGeneral.bin.zst LIRS cache size    34873, 1596462 req, miss ratio 0.1283, byte miss ratio 0.1283
result/cdn1_nyc.ns35.oracleGeneral.bin.zst LIRS cache size    69747, 1596462 req, miss ratio 0.1173, byte miss ratio 0.1173
result/cdn1_nyc.ns35.oracleGeneral.bin.zst LIRS cache size   139494, 1596462 req, miss ratio 0.1107, byte miss ratio 0.1107
result/cdn1_nyc.ns35.oracleGeneral.bin.zst LRU cache size      174, 1596462 req, miss ratio 0.2214, byte miss ratio 0.2214
result/cdn1_nyc.ns35.oracleGeneral.bin.zst LRU cache size      523, 1596462 req, miss ratio 0.2136, byte miss ratio 0.2136
result/cdn1_nyc.ns35.oracleGeneral.bin.zst LRU cache size     1743, 1596462 req, miss ratio 0.2038, byte miss ratio 0.2038
result/cdn1_nyc.ns35.oracleGeneral.bin.zst LRU cache size     5231, 1596462 req, miss ratio 0.1868, byte miss ratio 0.1868
result/cdn1_nyc.ns35.oracleGeneral.bin.zst LRU cache size    17436, 1596462 req, miss ratio 0.1531, byte miss ratio 0.1531
result/cdn1_nyc.ns35.oracleGeneral.bin.zst LRU cache size    34873, 1596462 req, miss ratio 0.1321, byte miss ratio 0.1321
result/cdn1_nyc.ns35.oracleGeneral.bin.zst LRU cache size    69747, 1596462 req, miss ratio 0.1168, byte miss ratio 0.1168
result/cdn1_nyc.ns35.oracleGeneral.bin.zst LRU cache size   139494, 1596462 req, miss ratio 0.1103, byte miss ratio 0.1103
result/cdn1_nyc.ns35.oracleGeneral.bin.zst LeCaR cache size      174, 1596462 req, miss ratio 0.2220, byte miss ratio 0.2220
result/cdn1_nyc.ns35.oracleGeneral.bin.zst LeCaR cache size      523, 1596462 req, miss ratio 0.2139, byte miss ratio 0.2139
result/cdn1_nyc.ns35.oracleGeneral.bin.zst LeCaR cache size     1743, 1596462 req, miss ratio 0.2040, byte miss ratio 0.2040
result/cdn1_nyc.ns35.oracleGeneral.bin.zst LeCaR cache size     5231, 1596462 req, miss ratio 0.1858, byte miss ratio 0.1858
result/cdn1_nyc.ns35.oracleGeneral.bin.zst LeCaR cache size    17436, 1596462 req, miss ratio 0.1501, byte miss ratio 0.1501
result/cdn1_nyc.ns35.oracleGeneral.bin.zst LeCaR cache size    34873, 1596462 req, miss ratio 0.1283, byte miss ratio 0.1283
result/cdn1_nyc.ns35.oracleGeneral.bin.zst LeCaR cache size    69747, 1596462 req, miss ratio 0.1163, byte miss ratio 0.1163
result/cdn1_nyc.ns35.oracleGeneral.bin.zst LeCaR cache size   139494, 1596462 req, miss ratio 0.1102, byte miss ratio 0.1102
result/cdn1_nyc.ns35.oracleGeneral.bin.zst clock2 cache size      174, 1596462 req, miss ratio 0.2231, byte miss ratio 0.2231
result/cdn1_nyc.ns35.oracleGeneral.bin.zst clock2 cache size      523, 1596462 req, miss ratio 0.2142, byte miss ratio 0.2142
result/cdn1_nyc.ns35.oracleGeneral.bin.zst clock2 cache size     1743, 1596462 req, miss ratio 0.2043, byte miss ratio 0.2043
result/cdn1_nyc.ns35.oracleGeneral.bin.zst clock2 cache size     5231, 1596462 req, miss ratio 0.1871, byte miss ratio 0.1871
result/cdn1_nyc.ns35.oracleGeneral.bin.zst clock2 cache size    17436, 1596462 req, miss ratio 0.1523, byte miss ratio 0.1523
result/cdn1_nyc.ns35.oracleGeneral.bin.zst clock2 cache size    34873, 1596462 req, miss ratio 0.1305, byte miss ratio 0.1305
result/cdn1_nyc.ns35.oracleGeneral.bin.zst clock2 cache size    69747, 1596462 req, miss ratio 0.1163, byte miss ratio 0.1163
result/cdn1_nyc.ns35.oracleGeneral.bin.zst clock2 cache size   139494, 1596462 req, miss ratio 0.1099, byte miss ratio 0.1099
result/cdn1_nyc.ns35.oracleGeneral.bin.zst S3FIFO-1 cache size      174, 1596462 req, miss ratio 0.2331, byte miss ratio 0.2331
result/cdn1_nyc.ns35.oracleGeneral.bin.zst S3FIFO-1 cache size      523, 1596462 req, miss ratio 0.2139, byte miss ratio 0.2139
result/cdn1_nyc.ns35.oracleGeneral.bin.zst S3FIFO-1 cache size     1743, 1596462 req, miss ratio 0.2017, byte miss ratio 0.2017
result/cdn1_nyc.ns35.oracleGeneral.bin.zst S3FIFO-1 cache size     5231, 1596462 req, miss ratio 0.1802, byte miss ratio 0.1802
result/cdn1_nyc.ns35.oracleGeneral.bin.zst S3FIFO-1 cache size    17436, 1596462 req, miss ratio 0.1423, byte miss ratio 0.1423
result/cdn1_nyc.ns35.oracleGeneral.bin.zst S3FIFO-1 cache size    34873, 1596462 req, miss ratio 0.1255, byte miss ratio 0.1255
result/cdn1_nyc.ns35.oracleGeneral.bin.zst S3FIFO-1 cache size    69747, 1596462 req, miss ratio 0.1166, byte miss ratio 0.1166
result/cdn1_nyc.ns35.oracleGeneral.bin.zst S3FIFO-1 cache size   139494, 1596462 req, miss ratio 0.1099, byte miss ratio 0.1099
result/cdn1_nyc.ns35.oracleGeneral.bin.zst S3FIFO-d-1 cache size      174, 1596462 req, miss ratio 0.2199, byte miss ratio 0.2199
result/cdn1_nyc.ns35.oracleGeneral.bin.zst S3FIFO-d-1 cache size      523, 1596462 req, miss ratio 0.2125, byte miss ratio 0.2125
result/cdn1_nyc.ns35.oracleGeneral.bin.zst S3FIFO-d-1 cache size     1743, 1596462 req, miss ratio 0.2017, byte miss ratio 0.2017
result/cdn1_nyc.ns35.oracleGeneral.bin.zst S3FIFO-d-1 cache size     5231, 1596462 req, miss ratio 0.1802, byte miss ratio 0.1802
result/cdn1_nyc.ns35.oracleGeneral.bin.zst S3FIFO-d-1 cache size    17436, 1596462 req, miss ratio 0.1423, byte miss ratio 0.1423
result/cdn1_nyc.ns35.oracleGeneral.bin.zst S3FIFO-d-1 cache size    34873, 1596462 req, miss ratio 0.1255, byte miss ratio 0.1255
result/cdn1_nyc.ns35.oracleGeneral.bin.zst S3FIFO-d-1 cache size    69747, 1596462 req, miss ratio 0.1166, byte miss ratio 0.1166
result/cdn1_nyc.ns35.oracleGeneral.bin.zst S3FIFO-d-1 cache size   139494, 1596462 req, miss ratio 0.1099, byte miss ratio 0.1099
result/cdn1_nyc.ns35.oracleGeneral.bin.zst LRB cache size      174, 1596462 req, miss ratio 0.2550, byte miss ratio 0.2550
result/cdn1_nyc.ns35.oracleGeneral.bin.zst LRB cache size      523, 1596462 req, miss ratio 0.2372, byte miss ratio 0.2372
result/cdn1_nyc.ns35.oracleGeneral.bin.zst LRB cache size     1743, 1596462 req, miss ratio 0.2060, byte miss ratio 0.2060
result/cdn1_nyc.ns35.oracleGeneral.bin.zst LRB cache size     5231, 1596462 req, miss ratio 0.1818, byte miss ratio 0.1818
result/cdn1_nyc.ns35.oracleGeneral.bin.zst LRB cache size    17436, 1596462 req, miss ratio 0.1464, byte miss ratio 0.1464
result/cdn1_nyc.ns35.oracleGeneral.bin.zst LRB cache size    34873, 1596462 req, miss ratio 0.1273, byte miss ratio 0.1273
result/cdn1_nyc.ns35.oracleGeneral.bin.zst LRB cache size    69747, 1596462 req, miss ratio 0.1166, byte miss ratio 0.1166
result/cdn1_nyc.ns35.oracleGeneral.bin.zst LRB cache size   139494, 1596462 req, miss ratio 0.1103, byte miss ratio 0.1103
result/cdn1_nyc.ns35.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size      174, 1596462 req, miss ratio 0.2225, byte miss ratio 0.2225
result/cdn1_nyc.ns35.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size      523, 1596462 req, miss ratio 0.2145, byte miss ratio 0.2145
