result/cdn1_nyc.ns140.oracleGeneral.bin.zst FIFO cache size      460, 1663924 req, miss ratio 0.9602, byte miss ratio 0.9602
result/cdn1_nyc.ns140.oracleGeneral.bin.zst FIFO cache size     1381, 1663924 req, miss ratio 0.9072, byte miss ratio 0.9072
result/cdn1_nyc.ns140.oracleGeneral.bin.zst FIFO cache size     4606, 1663924 req, miss ratio 0.6645, byte miss ratio 0.6645
result/cdn1_nyc.ns140.oracleGeneral.bin.zst FIFO cache size     9212, 1663924 req, miss ratio 0.4206, byte miss ratio 0.4206
result/cdn1_nyc.ns140.oracleGeneral.bin.zst FIFO cache size    18424, 1663924 req, miss ratio 0.1852, byte miss ratio 0.1852
result/cdn1_nyc.ns140.oracleGeneral.bin.zst FIFO cache size    36848, 1663924 req, miss ratio 0.0446, byte miss ratio 0.0446
result/cdn1_nyc.ns140.oracleGeneral.bin.zst S3FIFO-1 cache size       46, 1663924 req, miss ratio 0.9797, byte miss ratio 0.9797
result/cdn1_nyc.ns140.oracleGeneral.bin.zst S3FIFO-1 cache size      138, 1663924 req, miss ratio 0.9686, byte miss ratio 0.9686
result/cdn1_nyc.ns140.oracleGeneral.bin.zst S3FIFO-1 cache size      460, 1663924 req, miss ratio 0.9250, byte miss ratio 0.9250
result/cdn1_nyc.ns140.oracleGeneral.bin.zst S3FIFO-1 cache size     1381, 1663924 req, miss ratio 0.8048, byte miss ratio 0.8048
result/cdn1_nyc.ns140.oracleGeneral.bin.zst S3FIFO-1 cache size     4606, 1663924 req, miss ratio 0.5105, byte miss ratio 0.5105
result/cdn1_nyc.ns140.oracleGeneral.bin.zst S3FIFO-1 cache size     9212, 1663924 req, miss ratio 0.2849, byte miss ratio 0.2849
result/cdn1_nyc.ns140.oracleGeneral.bin.zst S3FIFO-1 cache size    18424, 1663924 req, miss ratio 0.1026, byte miss ratio 0.1026
result/cdn1_nyc.ns140.oracleGeneral.bin.zst S3FIFO-1 cache size    36848, 1663924 req, miss ratio 0.0309, byte miss ratio 0.0309
result/cdn1_nyc.ns140.oracleGeneral.bin.zst ARC cache size       46, 1663924 req, miss ratio 0.9802, byte miss ratio 0.9802
result/cdn1_nyc.ns140.oracleGeneral.bin.zst ARC cache size      138, 1663924 req, miss ratio 0.9720, byte miss ratio 0.9720
result/cdn1_nyc.ns140.oracleGeneral.bin.zst ARC cache size      460, 1663924 req, miss ratio 0.9338, byte miss ratio 0.9338
