result/cdn1_sjc.ns32.oracleGeneral.bin.zst LIRS cache size      439, 2699115 req, miss ratio 0.9196, byte miss ratio 0.9196
result/cdn1_sjc.ns32.oracleGeneral.bin.zst LIRS cache size     1319, 2699115 req, miss ratio 0.8112, byte miss ratio 0.8112
result/cdn1_sjc.ns32.oracleGeneral.bin.zst LIRS cache size     4399, 2699115 req, miss ratio 0.5964, byte miss ratio 0.5964
result/cdn1_sjc.ns32.oracleGeneral.bin.zst LIRS cache size    13199, 2699115 req, miss ratio 0.4093, byte miss ratio 0.4093
result/cdn1_sjc.ns32.oracleGeneral.bin.zst LIRS cache size    43996, 2699115 req, miss ratio 0.2688, byte miss ratio 0.2688
result/cdn1_sjc.ns32.oracleGeneral.bin.zst LIRS cache size    87993, 2699115 req, miss ratio 0.2246, byte miss ratio 0.2246
result/cdn1_sjc.ns32.oracleGeneral.bin.zst LIRS cache size   175986, 2699115 req, miss ratio 0.1967, byte miss ratio 0.1967
result/cdn1_sjc.ns32.oracleGeneral.bin.zst LIRS cache size   351973, 2699115 req, miss ratio 0.1699, byte miss ratio 0.1699
result/cdn1_sjc.ns32.oracleGeneral.bin.zst Cacheus cache size      439, 2699115 req, miss ratio 0.9162, byte miss ratio 0.9162
result/cdn1_sjc.ns32.oracleGeneral.bin.zst Cacheus cache size     1319, 2699115 req, miss ratio 0.8355, byte miss ratio 0.8355
result/cdn1_sjc.ns32.oracleGeneral.bin.zst Cacheus cache size     4399, 2699115 req, miss ratio 0.6481, byte miss ratio 0.6481
result/cdn1_sjc.ns32.oracleGeneral.bin.zst Cacheus cache size    13199, 2699115 req, miss ratio 0.4415, byte miss ratio 0.4415
result/cdn1_sjc.ns32.oracleGeneral.bin.zst Cacheus cache size    43996, 2699115 req, miss ratio 0.2721, byte miss ratio 0.2721
result/cdn1_sjc.ns32.oracleGeneral.bin.zst Cacheus cache size    87993, 2699115 req, miss ratio 0.2137, byte miss ratio 0.2137
result/cdn1_sjc.ns32.oracleGeneral.bin.zst Cacheus cache size   175986, 2699115 req, miss ratio 0.1835, byte miss ratio 0.1835
result/cdn1_sjc.ns32.oracleGeneral.bin.zst Cacheus cache size   351973, 2699115 req, miss ratio 0.1647, byte miss ratio 0.1647
result/cdn1_sjc.ns32.oracleGeneral.bin.zst LRU cache size      439, 2699115 req, miss ratio 0.9246, byte miss ratio 0.9246
result/cdn1_sjc.ns32.oracleGeneral.bin.zst LRU cache size     1319, 2699115 req, miss ratio 0.8642, byte miss ratio 0.8642
result/cdn1_sjc.ns32.oracleGeneral.bin.zst LRU cache size     4399, 2699115 req, miss ratio 0.7071, byte miss ratio 0.7071
result/cdn1_sjc.ns32.oracleGeneral.bin.zst LRU cache size    13199, 2699115 req, miss ratio 0.4830, byte miss ratio 0.4830
result/cdn1_sjc.ns32.oracleGeneral.bin.zst LRU cache size    43996, 2699115 req, miss ratio 0.2927, byte miss ratio 0.2927
result/cdn1_sjc.ns32.oracleGeneral.bin.zst LRU cache size    87993, 2699115 req, miss ratio 0.2229, byte miss ratio 0.2229
result/cdn1_sjc.ns32.oracleGeneral.bin.zst LRU cache size   175986, 2699115 req, miss ratio 0.1812, byte miss ratio 0.1812
result/cdn1_sjc.ns32.oracleGeneral.bin.zst LRU cache size   351973, 2699115 req, miss ratio 0.1646, byte miss ratio 0.1646
result/cdn1_sjc.ns32.oracleGeneral.bin.zst Clock cache size      439, 2699115 req, miss ratio 0.9240, byte miss ratio 0.9240
result/cdn1_sjc.ns32.oracleGeneral.bin.zst Clock cache size     1319, 2699115 req, miss ratio 0.8610, byte miss ratio 0.8610
result/cdn1_sjc.ns32.oracleGeneral.bin.zst Clock cache size     4399, 2699115 req, miss ratio 0.6933, byte miss ratio 0.6933
result/cdn1_sjc.ns32.oracleGeneral.bin.zst Clock cache size    13199, 2699115 req, miss ratio 0.4670, byte miss ratio 0.4670
result/cdn1_sjc.ns32.oracleGeneral.bin.zst Clock cache size    43996, 2699115 req, miss ratio 0.2826, byte miss ratio 0.2826
result/cdn1_sjc.ns32.oracleGeneral.bin.zst Clock cache size    87993, 2699115 req, miss ratio 0.2178, byte miss ratio 0.2178
result/cdn1_sjc.ns32.oracleGeneral.bin.zst Clock cache size   175986, 2699115 req, miss ratio 0.1789, byte miss ratio 0.1789
result/cdn1_sjc.ns32.oracleGeneral.bin.zst Clock cache size   351973, 2699115 req, miss ratio 0.1644, byte miss ratio 0.1644
result/cdn1_sjc.ns32.oracleGeneral.bin.zst S3FIFO-d-1 cache size      439, 2699115 req, miss ratio 0.9039, byte miss ratio 0.9039
result/cdn1_sjc.ns32.oracleGeneral.bin.zst S3FIFO-d-1 cache size     1319, 2699115 req, miss ratio 0.7892, byte miss ratio 0.7892
result/cdn1_sjc.ns32.oracleGeneral.bin.zst S3FIFO-d-1 cache size     4399, 2699115 req, miss ratio 0.5765, byte miss ratio 0.5765
result/cdn1_sjc.ns32.oracleGeneral.bin.zst S3FIFO-d-1 cache size    13199, 2699115 req, miss ratio 0.3980, byte miss ratio 0.3980
result/cdn1_sjc.ns32.oracleGeneral.bin.zst S3FIFO-d-1 cache size    43996, 2699115 req, miss ratio 0.2565, byte miss ratio 0.2565
result/cdn1_sjc.ns32.oracleGeneral.bin.zst S3FIFO-d-1 cache size    87993, 2699115 req, miss ratio 0.2089, byte miss ratio 0.2089
result/cdn1_sjc.ns32.oracleGeneral.bin.zst S3FIFO-d-1 cache size   175986, 2699115 req, miss ratio 0.1774, byte miss ratio 0.1774
result/cdn1_sjc.ns32.oracleGeneral.bin.zst S3FIFO-d-1 cache size   351973, 2699115 req, miss ratio 0.1644, byte miss ratio 0.1644
result/cdn1_sjc.ns32.oracleGeneral.bin.zst LRB cache size      439, 2699115 req, miss ratio 0.8988, byte miss ratio 0.8988
result/cdn1_sjc.ns32.oracleGeneral.bin.zst LRB cache size     1319, 2699115 req, miss ratio 0.7839, byte miss ratio 0.7839
result/cdn1_sjc.ns32.oracleGeneral.bin.zst LRB cache size     4399, 2699115 req, miss ratio 0.5932, byte miss ratio 0.5932
result/cdn1_sjc.ns32.oracleGeneral.bin.zst LRB cache size    13199, 2699115 req, miss ratio 0.4421, byte miss ratio 0.4421
