result/cdn1_sjc.ns929.oracleGeneral.bin.zst clock2 cache size    20535, 2730177 req, miss ratio 0.0190, byte miss ratio 0.0190
result/cdn1_sjc.ns929.oracleGeneral.bin.zst clock2 cache size    41071, 2730177 req, miss ratio 0.0188, byte miss ratio 0.0188
result/cdn1_sjc.ns929.oracleGeneral.bin.zst Cacheus cache size       51, 2730177 req, miss ratio 0.7721, byte miss ratio 0.7721
result/cdn1_sjc.ns929.oracleGeneral.bin.zst Cacheus cache size      154, 2730177 req, miss ratio 0.7109, byte miss ratio 0.7109
result/cdn1_sjc.ns929.oracleGeneral.bin.zst Cacheus cache size      513, 2730177 req, miss ratio 0.5556, byte miss ratio 0.5556
result/cdn1_sjc.ns929.oracleGeneral.bin.zst Cacheus cache size     1540, 2730177 req, miss ratio 0.1780, byte miss ratio 0.1780
result/cdn1_sjc.ns929.oracleGeneral.bin.zst Cacheus cache size     5133, 2730177 req, miss ratio 0.0278, byte miss ratio 0.0278
result/cdn1_sjc.ns929.oracleGeneral.bin.zst Cacheus cache size    10267, 2730177 req, miss ratio 0.0193, byte miss ratio 0.0193
result/cdn1_sjc.ns929.oracleGeneral.bin.zst Cacheus cache size    20535, 2730177 req, miss ratio 0.0189, byte miss ratio 0.0189
result/cdn1_sjc.ns929.oracleGeneral.bin.zst Cacheus cache size    41071, 2730177 req, miss ratio 0.0188, byte miss ratio 0.0188
result/cdn1_sjc.ns929.oracleGeneral.bin.zst S3FIFO-1 cache size       51, 2730177 req, miss ratio 0.7640, byte miss ratio 0.7640
result/cdn1_sjc.ns929.oracleGeneral.bin.zst S3FIFO-1 cache size      154, 2730177 req, miss ratio 0.6816, byte miss ratio 0.6816
result/cdn1_sjc.ns929.oracleGeneral.bin.zst S3FIFO-1 cache size      513, 2730177 req, miss ratio 0.4972, byte miss ratio 0.4972
result/cdn1_sjc.ns929.oracleGeneral.bin.zst S3FIFO-1 cache size     1540, 2730177 req, miss ratio 0.1953, byte miss ratio 0.1953
result/cdn1_sjc.ns929.oracleGeneral.bin.zst S3FIFO-1 cache size     5133, 2730177 req, miss ratio 0.0309, byte miss ratio 0.0309
result/cdn1_sjc.ns929.oracleGeneral.bin.zst S3FIFO-1 cache size    10267, 2730177 req, miss ratio 0.0235, byte miss ratio 0.0235
result/cdn1_sjc.ns929.oracleGeneral.bin.zst S3FIFO-1 cache size    20535, 2730177 req, miss ratio 0.0201, byte miss ratio 0.0201
result/cdn1_sjc.ns929.oracleGeneral.bin.zst S3FIFO-1 cache size    41071, 2730177 req, miss ratio 0.0188, byte miss ratio 0.0188
result/cdn1_sjc.ns929.oracleGeneral.bin.zst LRU cache size       51, 2730177 req, miss ratio 0.7765, byte miss ratio 0.7765
result/cdn1_sjc.ns929.oracleGeneral.bin.zst LRU cache size      154, 2730177 req, miss ratio 0.7269, byte miss ratio 0.7269
result/cdn1_sjc.ns929.oracleGeneral.bin.zst LRU cache size      513, 2730177 req, miss ratio 0.5846, byte miss ratio 0.5846
result/cdn1_sjc.ns929.oracleGeneral.bin.zst LRU cache size     1540, 2730177 req, miss ratio 0.2452, byte miss ratio 0.2452
result/cdn1_sjc.ns929.oracleGeneral.bin.zst LRU cache size     5133, 2730177 req, miss ratio 0.0275, byte miss ratio 0.0275
result/cdn1_sjc.ns929.oracleGeneral.bin.zst LRU cache size    10267, 2730177 req, miss ratio 0.0191, byte miss ratio 0.0191
result/cdn1_sjc.ns929.oracleGeneral.bin.zst LRU cache size    20535, 2730177 req, miss ratio 0.0189, byte miss ratio 0.0189
result/cdn1_sjc.ns929.oracleGeneral.bin.zst LRU cache size    41071, 2730177 req, miss ratio 0.0188, byte miss ratio 0.0188
result/cdn1_sjc.ns929.oracleGeneral.bin.zst ARC cache size       51, 2730177 req, miss ratio 0.7674, byte miss ratio 0.7674
result/cdn1_sjc.ns929.oracleGeneral.bin.zst ARC cache size      154, 2730177 req, miss ratio 0.6954, byte miss ratio 0.6954
result/cdn1_sjc.ns929.oracleGeneral.bin.zst ARC cache size      513, 2730177 req, miss ratio 0.5266, byte miss ratio 0.5266
result/cdn1_sjc.ns929.oracleGeneral.bin.zst ARC cache size     1540, 2730177 req, miss ratio 0.2066, byte miss ratio 0.2066
result/cdn1_sjc.ns929.oracleGeneral.bin.zst ARC cache size     5133, 2730177 req, miss ratio 0.0284, byte miss ratio 0.0284
result/cdn1_sjc.ns929.oracleGeneral.bin.zst ARC cache size    10267, 2730177 req, miss ratio 0.0199, byte miss ratio 0.0199
result/cdn1_sjc.ns929.oracleGeneral.bin.zst ARC cache size    20535, 2730177 req, miss ratio 0.0196, byte miss ratio 0.0196
result/cdn1_sjc.ns929.oracleGeneral.bin.zst ARC cache size    41071, 2730177 req, miss ratio 0.0188, byte miss ratio 0.0188
result/cdn1_sjc.ns929.oracleGeneral.bin.zst S3FIFO-d-1 cache size       51, 2730177 req, miss ratio 0.7642, byte miss ratio 0.7642
result/cdn1_sjc.ns929.oracleGeneral.bin.zst S3FIFO-d-1 cache size      154, 2730177 req, miss ratio 0.6819, byte miss ratio 0.6819
result/cdn1_sjc.ns929.oracleGeneral.bin.zst S3FIFO-d-1 cache size      513, 2730177 req, miss ratio 0.4893, byte miss ratio 0.4893
result/cdn1_sjc.ns929.oracleGeneral.bin.zst S3FIFO-d-1 cache size     1540, 2730177 req, miss ratio 0.1951, byte miss ratio 0.1951
result/cdn1_sjc.ns929.oracleGeneral.bin.zst S3FIFO-d-1 cache size     5133, 2730177 req, miss ratio 0.0302, byte miss ratio 0.0302
result/cdn1_sjc.ns929.oracleGeneral.bin.zst S3FIFO-d-1 cache size    10267, 2730177 req, miss ratio 0.0228, byte miss ratio 0.0228
result/cdn1_sjc.ns929.oracleGeneral.bin.zst S3FIFO-d-1 cache size    20535, 2730177 req, miss ratio 0.0199, byte miss ratio 0.0199
result/cdn1_sjc.ns929.oracleGeneral.bin.zst S3FIFO-d-1 cache size    41071, 2730177 req, miss ratio 0.0188, byte miss ratio 0.0188
result/cdn1_sjc.ns929.oracleGeneral.bin.zst LRB cache size       51, 2730177 req, miss ratio 0.7633, byte miss ratio 0.7633
result/cdn1_sjc.ns929.oracleGeneral.bin.zst LRB cache size      154, 2730177 req, miss ratio 0.6523, byte miss ratio 0.6523
result/cdn1_sjc.ns929.oracleGeneral.bin.zst LRB cache size      513, 2730177 req, miss ratio 0.4547, byte miss ratio 0.4547
