result/cdn1_lax.ns91.oracleGeneral.bin.zst ARC cache size    18362, 24253201 req, miss ratio 0.1266, byte miss ratio 0.1266
result/cdn1_lax.ns91.oracleGeneral.bin.zst ARC cache size    36725, 24253201 req, miss ratio 0.0061, byte miss ratio 0.0061
result/cdn1_lax.ns91.oracleGeneral.bin.zst Clock cache size       45, 24253201 req, miss ratio 0.5838, byte miss ratio 0.5838
result/cdn1_lax.ns91.oracleGeneral.bin.zst Clock cache size      137, 24253201 req, miss ratio 0.4932, byte miss ratio 0.4932
result/cdn1_lax.ns91.oracleGeneral.bin.zst Clock cache size      459, 24253201 req, miss ratio 0.4293, byte miss ratio 0.4293
result/cdn1_lax.ns91.oracleGeneral.bin.zst Clock cache size     1377, 24253201 req, miss ratio 0.3869, byte miss ratio 0.3869
result/cdn1_lax.ns91.oracleGeneral.bin.zst Clock cache size     4590, 24253201 req, miss ratio 0.3186, byte miss ratio 0.3186
result/cdn1_lax.ns91.oracleGeneral.bin.zst Clock cache size     9181, 24253201 req, miss ratio 0.2423, byte miss ratio 0.2423
result/cdn1_lax.ns91.oracleGeneral.bin.zst Clock cache size    18362, 24253201 req, miss ratio 0.1251, byte miss ratio 0.1251
result/cdn1_lax.ns91.oracleGeneral.bin.zst Clock cache size    36725, 24253201 req, miss ratio 0.0062, byte miss ratio 0.0062
result/cdn1_lax.ns91.oracleGeneral.bin.zst LHD cache size       45, 24253201 req, miss ratio 0.6625, byte miss ratio 0.6625
result/cdn1_lax.ns91.oracleGeneral.bin.zst LHD cache size      137, 24253201 req, miss ratio 0.5255, byte miss ratio 0.5255
result/cdn1_lax.ns91.oracleGeneral.bin.zst LHD cache size      459, 24253201 req, miss ratio 0.4327, byte miss ratio 0.4327
result/cdn1_lax.ns91.oracleGeneral.bin.zst LHD cache size     1377, 24253201 req, miss ratio 0.3862, byte miss ratio 0.3862
result/cdn1_lax.ns91.oracleGeneral.bin.zst LHD cache size     4590, 24253201 req, miss ratio 0.3168, byte miss ratio 0.3168
result/cdn1_lax.ns91.oracleGeneral.bin.zst LHD cache size     9181, 24253201 req, miss ratio 0.2373, byte miss ratio 0.2373
result/cdn1_lax.ns91.oracleGeneral.bin.zst LHD cache size    18362, 24253201 req, miss ratio 0.1209, byte miss ratio 0.1209
result/cdn1_lax.ns91.oracleGeneral.bin.zst LHD cache size    36725, 24253201 req, miss ratio 0.0078, byte miss ratio 0.0078
result/cdn1_lax.ns91.oracleGeneral.bin.zst S3FIFO-1 cache size       45, 24253201 req, miss ratio 0.6216, byte miss ratio 0.6216
