result/cdn1_lax.ns112.oracleGeneral.bin.zst ARC cache size    19542, 117890485 req, miss ratio 0.1668, byte miss ratio 0.1668
result/cdn1_lax.ns112.oracleGeneral.bin.zst ARC cache size    58627, 117890485 req, miss ratio 0.1666, byte miss ratio 0.1666
result/cdn1_lax.ns112.oracleGeneral.bin.zst ARC cache size   195426, 117890485 req, miss ratio 0.1666, byte miss ratio 0.1666
result/cdn1_lax.ns112.oracleGeneral.bin.zst ARC cache size   586278, 117890485 req, miss ratio 0.1665, byte miss ratio 0.1665
result/cdn1_lax.ns112.oracleGeneral.bin.zst ARC cache size  1954262, 117890485 req, miss ratio 0.1665, byte miss ratio 0.1665
result/cdn1_lax.ns112.oracleGeneral.bin.zst ARC cache size  3908525, 117890485 req, miss ratio 0.1664, byte miss ratio 0.1664
result/cdn1_lax.ns112.oracleGeneral.bin.zst ARC cache size  7817050, 117890485 req, miss ratio 0.1662, byte miss ratio 0.1662
result/cdn1_lax.ns112.oracleGeneral.bin.zst ARC cache size 15634100, 117890485 req, miss ratio 0.1658, byte miss ratio 0.1658
result/cdn1_lax.ns112.oracleGeneral.bin.zst S3FIFO-1 cache size    19542, 117890485 req, miss ratio 0.1671, byte miss ratio 0.1671
result/cdn1_lax.ns112.oracleGeneral.bin.zst S3FIFO-1 cache size    58627, 117890485 req, miss ratio 0.1667, byte miss ratio 0.1667
result/cdn1_lax.ns112.oracleGeneral.bin.zst S3FIFO-1 cache size   195426, 117890485 req, miss ratio 0.1665, byte miss ratio 0.1665
result/cdn1_lax.ns112.oracleGeneral.bin.zst S3FIFO-1 cache size   586278, 117890485 req, miss ratio 0.1665, byte miss ratio 0.1665
result/cdn1_lax.ns112.oracleGeneral.bin.zst S3FIFO-1 cache size  1954262, 117890485 req, miss ratio 0.1664, byte miss ratio 0.1664
result/cdn1_lax.ns112.oracleGeneral.bin.zst S3FIFO-1 cache size  3908525, 117890485 req, miss ratio 0.1662, byte miss ratio 0.1662
result/cdn1_lax.ns112.oracleGeneral.bin.zst S3FIFO-1 cache size  7817050, 117890485 req, miss ratio 0.1661, byte miss ratio 0.1661
result/cdn1_lax.ns112.oracleGeneral.bin.zst S3FIFO-1 cache size 15634100, 117890485 req, miss ratio 0.1658, byte miss ratio 0.1658
result/cdn1_lax.ns112.oracleGeneral.bin.zst LIRS cache size    19542, 117890485 req, miss ratio 0.1725, byte miss ratio 0.1725
result/cdn1_lax.ns112.oracleGeneral.bin.zst LIRS cache size    58627, 117890485 req, miss ratio 0.1677, byte miss ratio 0.1677
result/cdn1_lax.ns112.oracleGeneral.bin.zst LIRS cache size   195426, 117890485 req, miss ratio 0.1670, byte miss ratio 0.1670
result/cdn1_lax.ns112.oracleGeneral.bin.zst LIRS cache size   586278, 117890485 req, miss ratio 0.1666, byte miss ratio 0.1666
result/cdn1_lax.ns112.oracleGeneral.bin.zst LIRS cache size  1954262, 117890485 req, miss ratio 0.1664, byte miss ratio 0.1664
result/cdn1_lax.ns112.oracleGeneral.bin.zst LIRS cache size  3908525, 117890485 req, miss ratio 0.1664, byte miss ratio 0.1664
result/cdn1_lax.ns112.oracleGeneral.bin.zst LIRS cache size  7817050, 117890485 req, miss ratio 0.1664, byte miss ratio 0.1664
result/cdn1_lax.ns112.oracleGeneral.bin.zst LIRS cache size 15634100, 117890485 req, miss ratio 0.1658, byte miss ratio 0.1658
result/cdn1_lax.ns112.oracleGeneral.bin.zst Clock cache size    19542, 117890485 req, miss ratio 0.1667, byte miss ratio 0.1667
result/cdn1_lax.ns112.oracleGeneral.bin.zst Clock cache size    58627, 117890485 req, miss ratio 0.1666, byte miss ratio 0.1666
result/cdn1_lax.ns112.oracleGeneral.bin.zst Clock cache size   195426, 117890485 req, miss ratio 0.1665, byte miss ratio 0.1665
result/cdn1_lax.ns112.oracleGeneral.bin.zst Clock cache size   586278, 117890485 req, miss ratio 0.1663, byte miss ratio 0.1663
result/cdn1_lax.ns112.oracleGeneral.bin.zst Clock cache size  1954262, 117890485 req, miss ratio 0.1662, byte miss ratio 0.1662
result/cdn1_lax.ns112.oracleGeneral.bin.zst Clock cache size  3908525, 117890485 req, miss ratio 0.1662, byte miss ratio 0.1662
result/cdn1_lax.ns112.oracleGeneral.bin.zst Clock cache size  7817050, 117890485 req, miss ratio 0.1661, byte miss ratio 0.1661
result/cdn1_lax.ns112.oracleGeneral.bin.zst Clock cache size 15634100, 117890485 req, miss ratio 0.1658, byte miss ratio 0.1658
result/cdn1_lax.ns112.oracleGeneral.bin.zst Cacheus cache size    19542, 117890485 req, miss ratio 0.1668, byte miss ratio 0.1668
result/cdn1_lax.ns112.oracleGeneral.bin.zst Cacheus cache size    58627, 117890485 req, miss ratio 0.1666, byte miss ratio 0.1666
result/cdn1_lax.ns112.oracleGeneral.bin.zst Cacheus cache size   195426, 117890485 req, miss ratio 0.1666, byte miss ratio 0.1666
result/cdn1_lax.ns112.oracleGeneral.bin.zst Cacheus cache size   586278, 117890485 req, miss ratio 0.1667, byte miss ratio 0.1667
result/cdn1_lax.ns112.oracleGeneral.bin.zst Cacheus cache size  1954262, 117890485 req, miss ratio 0.1662, byte miss ratio 0.1662
result/cdn1_lax.ns112.oracleGeneral.bin.zst Cacheus cache size  3908525, 117890485 req, miss ratio 0.1662, byte miss ratio 0.1662
result/cdn1_lax.ns112.oracleGeneral.bin.zst Cacheus cache size  7817050, 117890485 req, miss ratio 0.1662, byte miss ratio 0.1662
result/cdn1_lax.ns112.oracleGeneral.bin.zst Cacheus cache size 15634100, 117890485 req, miss ratio 0.1658, byte miss ratio 0.1658
result/cdn1_lax.ns112.oracleGeneral.bin.zst clock2 cache size    19542, 117890485 req, miss ratio 0.1667, byte miss ratio 0.1667
result/cdn1_lax.ns112.oracleGeneral.bin.zst clock2 cache size    58627, 117890485 req, miss ratio 0.1666, byte miss ratio 0.1666
result/cdn1_lax.ns112.oracleGeneral.bin.zst clock2 cache size   195426, 117890485 req, miss ratio 0.1665, byte miss ratio 0.1665
result/cdn1_lax.ns112.oracleGeneral.bin.zst clock2 cache size   586278, 117890485 req, miss ratio 0.1664, byte miss ratio 0.1664
result/cdn1_lax.ns112.oracleGeneral.bin.zst clock2 cache size  1954262, 117890485 req, miss ratio 0.1662, byte miss ratio 0.1662
result/cdn1_lax.ns112.oracleGeneral.bin.zst clock2 cache size  3908525, 117890485 req, miss ratio 0.1662, byte miss ratio 0.1662
result/cdn1_lax.ns112.oracleGeneral.bin.zst clock2 cache size  7817050, 117890485 req, miss ratio 0.1662, byte miss ratio 0.1662
result/cdn1_lax.ns112.oracleGeneral.bin.zst clock2 cache size 15634100, 117890485 req, miss ratio 0.1658, byte miss ratio 0.1658
result/cdn1_lax.ns112.oracleGeneral.bin.zst S3FIFO-d-1 cache size    19542, 117890485 req, miss ratio 0.1669, byte miss ratio 0.1669
result/cdn1_lax.ns112.oracleGeneral.bin.zst S3FIFO-d-1 cache size    58627, 117890485 req, miss ratio 0.1666, byte miss ratio 0.1666
result/cdn1_lax.ns112.oracleGeneral.bin.zst S3FIFO-d-1 cache size   195426, 117890485 req, miss ratio 0.1665, byte miss ratio 0.1665
result/cdn1_lax.ns112.oracleGeneral.bin.zst S3FIFO-d-1 cache size   586278, 117890485 req, miss ratio 0.1665, byte miss ratio 0.1665
result/cdn1_lax.ns112.oracleGeneral.bin.zst S3FIFO-d-1 cache size  1954262, 117890485 req, miss ratio 0.1664, byte miss ratio 0.1664
result/cdn1_lax.ns112.oracleGeneral.bin.zst S3FIFO-d-1 cache size  3908525, 117890485 req, miss ratio 0.1662, byte miss ratio 0.1662
result/cdn1_lax.ns112.oracleGeneral.bin.zst S3FIFO-d-1 cache size  7817050, 117890485 req, miss ratio 0.1661, byte miss ratio 0.1661
result/cdn1_lax.ns112.oracleGeneral.bin.zst S3FIFO-d-1 cache size 15634100, 117890485 req, miss ratio 0.1658, byte miss ratio 0.1658
result/cdn1_lax.ns112.oracleGeneral.bin.zst LRB cache size    19542, 117890485 req, miss ratio 0.1683, byte miss ratio 0.1683
result/cdn1_lax.ns112.oracleGeneral.bin.zst LRB cache size    58627, 117890485 req, miss ratio 0.1675, byte miss ratio 0.1675
result/cdn1_lax.ns112.oracleGeneral.bin.zst LRB cache size   195426, 117890485 req, miss ratio 0.1669, byte miss ratio 0.1669
result/cdn1_lax.ns112.oracleGeneral.bin.zst LRB cache size   586278, 117890485 req, miss ratio 0.1666, byte miss ratio 0.1666
result/cdn1_lax.ns112.oracleGeneral.bin.zst LRB cache size  1954262, 117890485 req, miss ratio 0.1662, byte miss ratio 0.1662
result/cdn1_lax.ns112.oracleGeneral.bin.zst LRB cache size  3908525, 117890485 req, miss ratio 0.1662, byte miss ratio 0.1662
result/cdn1_lax.ns112.oracleGeneral.bin.zst LRB cache size  7817050, 117890485 req, miss ratio 0.1661, byte miss ratio 0.1661
result/cdn1_lax.ns112.oracleGeneral.bin.zst LRB cache size 15634100, 117890485 req, miss ratio 0.1658, byte miss ratio 0.1658
result/cdn1_lax.ns112.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    19542, 117890485 req, miss ratio 0.1679, byte miss ratio 0.1679
result/cdn1_lax.ns112.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    58627, 117890485 req, miss ratio 0.1670, byte miss ratio 0.1670
result/cdn1_lax.ns112.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   195426, 117890485 req, miss ratio 0.1666, byte miss ratio 0.1666
result/cdn1_lax.ns112.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   586278, 117890485 req, miss ratio 0.1665, byte miss ratio 0.1665
result/cdn1_lax.ns112.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size  1954262, 117890485 req, miss ratio 0.1664, byte miss ratio 0.1664
result/cdn1_lax.ns112.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size  3908525, 117890485 req, miss ratio 0.1662, byte miss ratio 0.1662
result/cdn1_lax.ns112.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size  7817050, 117890485 req, miss ratio 0.1661, byte miss ratio 0.1661
result/cdn1_lax.ns112.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size 15634100, 117890485 req, miss ratio 0.1658, byte miss ratio 0.1658
result/cdn1_lax.ns112.oracleGeneral.bin.zst B-LRU cache size    19542, 117890485 req, miss ratio 0.2680, byte miss ratio 0.2680
result/cdn1_lax.ns112.oracleGeneral.bin.zst B-LRU cache size    58627, 117890485 req, miss ratio 0.2679, byte miss ratio 0.2679
result/cdn1_lax.ns112.oracleGeneral.bin.zst B-LRU cache size   195426, 117890485 req, miss ratio 0.2678, byte miss ratio 0.2678
result/cdn1_lax.ns112.oracleGeneral.bin.zst B-LRU cache size   586278, 117890485 req, miss ratio 0.2676, byte miss ratio 0.2676
result/cdn1_lax.ns112.oracleGeneral.bin.zst B-LRU cache size  1954262, 117890485 req, miss ratio 0.2675, byte miss ratio 0.2675
result/cdn1_lax.ns112.oracleGeneral.bin.zst B-LRU cache size  3908525, 117890485 req, miss ratio 0.2675, byte miss ratio 0.2675
