result/cdn1_lax.ns314.oracleGeneral.bin.zst LHD cache size     1529, 11659479 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn1_lax.ns314.oracleGeneral.bin.zst LeCaR cache size        5, 11659479 req, miss ratio 0.9615, byte miss ratio 0.9615
result/cdn1_lax.ns314.oracleGeneral.bin.zst LeCaR cache size       19, 11659479 req, miss ratio 0.8854, byte miss ratio 0.8854
result/cdn1_lax.ns314.oracleGeneral.bin.zst LeCaR cache size       57, 11659479 req, miss ratio 0.6126, byte miss ratio 0.6126
result/cdn1_lax.ns314.oracleGeneral.bin.zst LeCaR cache size      191, 11659479 req, miss ratio 0.0855, byte miss ratio 0.0855
result/cdn1_lax.ns314.oracleGeneral.bin.zst LeCaR cache size      382, 11659479 req, miss ratio 0.0137, byte miss ratio 0.0137
result/cdn1_lax.ns314.oracleGeneral.bin.zst LeCaR cache size      764, 11659479 req, miss ratio 0.0017, byte miss ratio 0.0017
result/cdn1_lax.ns314.oracleGeneral.bin.zst LeCaR cache size     1529, 11659479 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_lax.ns314.oracleGeneral.bin.zst ARC cache size        5, 11659479 req, miss ratio 0.9509, byte miss ratio 0.9509
result/cdn1_lax.ns314.oracleGeneral.bin.zst ARC cache size       19, 11659479 req, miss ratio 0.8584, byte miss ratio 0.8584
result/cdn1_lax.ns314.oracleGeneral.bin.zst ARC cache size       57, 11659479 req, miss ratio 0.6086, byte miss ratio 0.6086
result/cdn1_lax.ns314.oracleGeneral.bin.zst ARC cache size      191, 11659479 req, miss ratio 0.1070, byte miss ratio 0.1070
result/cdn1_lax.ns314.oracleGeneral.bin.zst ARC cache size      382, 11659479 req, miss ratio 0.0146, byte miss ratio 0.0146
result/cdn1_lax.ns314.oracleGeneral.bin.zst ARC cache size      764, 11659479 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn1_lax.ns314.oracleGeneral.bin.zst ARC cache size     1529, 11659479 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_lax.ns314.oracleGeneral.bin.zst S3FIFO-1 cache size        5, 11659479 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn1_lax.ns314.oracleGeneral.bin.zst S3FIFO-1 cache size       19, 11659479 req, miss ratio 0.8592, byte miss ratio 0.8592
result/cdn1_lax.ns314.oracleGeneral.bin.zst S3FIFO-1 cache size       57, 11659479 req, miss ratio 0.5736, byte miss ratio 0.5736
result/cdn1_lax.ns314.oracleGeneral.bin.zst S3FIFO-1 cache size      191, 11659479 req, miss ratio 0.0832, byte miss ratio 0.0832
result/cdn1_lax.ns314.oracleGeneral.bin.zst S3FIFO-1 cache size      382, 11659479 req, miss ratio 0.0120, byte miss ratio 0.0120
result/cdn1_lax.ns314.oracleGeneral.bin.zst S3FIFO-1 cache size      764, 11659479 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn1_lax.ns314.oracleGeneral.bin.zst S3FIFO-1 cache size     1529, 11659479 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_lax.ns314.oracleGeneral.bin.zst LRU cache size        5, 11659479 req, miss ratio 0.9583, byte miss ratio 0.9583
result/cdn1_lax.ns314.oracleGeneral.bin.zst LRU cache size       19, 11659479 req, miss ratio 0.8847, byte miss ratio 0.8847
result/cdn1_lax.ns314.oracleGeneral.bin.zst LRU cache size       57, 11659479 req, miss ratio 0.6557, byte miss ratio 0.6557
result/cdn1_lax.ns314.oracleGeneral.bin.zst LRU cache size      191, 11659479 req, miss ratio 0.1107, byte miss ratio 0.1107
result/cdn1_lax.ns314.oracleGeneral.bin.zst LRU cache size      382, 11659479 req, miss ratio 0.0147, byte miss ratio 0.0147
result/cdn1_lax.ns314.oracleGeneral.bin.zst LRU cache size      764, 11659479 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn1_lax.ns314.oracleGeneral.bin.zst LRU cache size     1529, 11659479 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_lax.ns314.oracleGeneral.bin.zst Cacheus cache size        5, 11659479 req, miss ratio 0.9635, byte miss ratio 0.9635
result/cdn1_lax.ns314.oracleGeneral.bin.zst Cacheus cache size       19, 11659479 req, miss ratio 0.8831, byte miss ratio 0.8831
result/cdn1_lax.ns314.oracleGeneral.bin.zst Cacheus cache size       57, 11659479 req, miss ratio 0.6373, byte miss ratio 0.6373
result/cdn1_lax.ns314.oracleGeneral.bin.zst Cacheus cache size      191, 11659479 req, miss ratio 0.1107, byte miss ratio 0.1107
result/cdn1_lax.ns314.oracleGeneral.bin.zst Cacheus cache size      382, 11659479 req, miss ratio 0.0145, byte miss ratio 0.0145
result/cdn1_lax.ns314.oracleGeneral.bin.zst Cacheus cache size      764, 11659479 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn1_lax.ns314.oracleGeneral.bin.zst Cacheus cache size     1529, 11659479 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_lax.ns314.oracleGeneral.bin.zst FIFO cache size        5, 11659479 req, miss ratio 0.9573, byte miss ratio 0.9573
result/cdn1_lax.ns314.oracleGeneral.bin.zst FIFO cache size       19, 11659479 req, miss ratio 0.8787, byte miss ratio 0.8787
result/cdn1_lax.ns314.oracleGeneral.bin.zst FIFO cache size       57, 11659479 req, miss ratio 0.6572, byte miss ratio 0.6572
result/cdn1_lax.ns314.oracleGeneral.bin.zst FIFO cache size      191, 11659479 req, miss ratio 0.1464, byte miss ratio 0.1464
result/cdn1_lax.ns314.oracleGeneral.bin.zst FIFO cache size      382, 11659479 req, miss ratio 0.0235, byte miss ratio 0.0235
result/cdn1_lax.ns314.oracleGeneral.bin.zst FIFO cache size      764, 11659479 req, miss ratio 0.0034, byte miss ratio 0.0034
result/cdn1_lax.ns314.oracleGeneral.bin.zst FIFO cache size     1529, 11659479 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn1_lax.ns314.oracleGeneral.bin.zst clock2 cache size        5, 11659479 req, miss ratio 0.9594, byte miss ratio 0.9594
result/cdn1_lax.ns314.oracleGeneral.bin.zst clock2 cache size       19, 11659479 req, miss ratio 0.8864, byte miss ratio 0.8864
result/cdn1_lax.ns314.oracleGeneral.bin.zst clock2 cache size       57, 11659479 req, miss ratio 0.6435, byte miss ratio 0.6435
result/cdn1_lax.ns314.oracleGeneral.bin.zst clock2 cache size      191, 11659479 req, miss ratio 0.0885, byte miss ratio 0.0885
result/cdn1_lax.ns314.oracleGeneral.bin.zst clock2 cache size      382, 11659479 req, miss ratio 0.0128, byte miss ratio 0.0128
result/cdn1_lax.ns314.oracleGeneral.bin.zst clock2 cache size      764, 11659479 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn1_lax.ns314.oracleGeneral.bin.zst clock2 cache size     1529, 11659479 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_lax.ns314.oracleGeneral.bin.zst S3FIFO-d-1 cache size        5, 11659479 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn1_lax.ns314.oracleGeneral.bin.zst S3FIFO-d-1 cache size       19, 11659479 req, miss ratio 0.8571, byte miss ratio 0.8571
result/cdn1_lax.ns314.oracleGeneral.bin.zst S3FIFO-d-1 cache size       57, 11659479 req, miss ratio 0.6127, byte miss ratio 0.6127
result/cdn1_lax.ns314.oracleGeneral.bin.zst S3FIFO-d-1 cache size      191, 11659479 req, miss ratio 0.0826, byte miss ratio 0.0826
result/cdn1_lax.ns314.oracleGeneral.bin.zst S3FIFO-d-1 cache size      382, 11659479 req, miss ratio 0.0118, byte miss ratio 0.0118
