result/cdn1_sjc.ns269.oracleGeneral.bin.zst FIFO cache size  1361672, 6869444 req, miss ratio 0.4957, byte miss ratio 0.4957
result/cdn1_sjc.ns269.oracleGeneral.bin.zst FIFO cache size  2723345, 6869444 req, miss ratio 0.4956, byte miss ratio 0.4956
result/cdn1_sjc.ns269.oracleGeneral.bin.zst Cacheus cache size     3404, 6869444 req, miss ratio 0.5022, byte miss ratio 0.5022
result/cdn1_sjc.ns269.oracleGeneral.bin.zst Cacheus cache size    10212, 6869444 req, miss ratio 0.5013, byte miss ratio 0.5013
result/cdn1_sjc.ns269.oracleGeneral.bin.zst Cacheus cache size    34041, 6869444 req, miss ratio 0.5002, byte miss ratio 0.5002
result/cdn1_sjc.ns269.oracleGeneral.bin.zst Cacheus cache size   102125, 6869444 req, miss ratio 0.4997, byte miss ratio 0.4997
result/cdn1_sjc.ns269.oracleGeneral.bin.zst Cacheus cache size   340418, 6869444 req, miss ratio 0.4969, byte miss ratio 0.4969
result/cdn1_sjc.ns269.oracleGeneral.bin.zst Cacheus cache size   680836, 6869444 req, miss ratio 0.4986, byte miss ratio 0.4986
result/cdn1_sjc.ns269.oracleGeneral.bin.zst Cacheus cache size  1361672, 6869444 req, miss ratio 0.4956, byte miss ratio 0.4956
result/cdn1_sjc.ns269.oracleGeneral.bin.zst Cacheus cache size  2723345, 6869444 req, miss ratio 0.4956, byte miss ratio 0.4956
result/cdn1_sjc.ns269.oracleGeneral.bin.zst Clock cache size     3404, 6869444 req, miss ratio 0.5019, byte miss ratio 0.5019
result/cdn1_sjc.ns269.oracleGeneral.bin.zst Clock cache size    10212, 6869444 req, miss ratio 0.5012, byte miss ratio 0.5012
result/cdn1_sjc.ns269.oracleGeneral.bin.zst Clock cache size    34041, 6869444 req, miss ratio 0.5004, byte miss ratio 0.5004
result/cdn1_sjc.ns269.oracleGeneral.bin.zst Clock cache size   102125, 6869444 req, miss ratio 0.4992, byte miss ratio 0.4992
result/cdn1_sjc.ns269.oracleGeneral.bin.zst Clock cache size   340418, 6869444 req, miss ratio 0.4969, byte miss ratio 0.4969
result/cdn1_sjc.ns269.oracleGeneral.bin.zst Clock cache size   680836, 6869444 req, miss ratio 0.4956, byte miss ratio 0.4956
result/cdn1_sjc.ns269.oracleGeneral.bin.zst Clock cache size  1361672, 6869444 req, miss ratio 0.4956, byte miss ratio 0.4956
result/cdn1_sjc.ns269.oracleGeneral.bin.zst Clock cache size  2723345, 6869444 req, miss ratio 0.4956, byte miss ratio 0.4956
result/cdn1_sjc.ns269.oracleGeneral.bin.zst S3FIFO-d-1 cache size     3404, 6869444 req, miss ratio 0.5063, byte miss ratio 0.5063
result/cdn1_sjc.ns269.oracleGeneral.bin.zst S3FIFO-d-1 cache size    10212, 6869444 req, miss ratio 0.5018, byte miss ratio 0.5018
result/cdn1_sjc.ns269.oracleGeneral.bin.zst S3FIFO-d-1 cache size    34041, 6869444 req, miss ratio 0.5001, byte miss ratio 0.5001
result/cdn1_sjc.ns269.oracleGeneral.bin.zst S3FIFO-d-1 cache size   102125, 6869444 req, miss ratio 0.4997, byte miss ratio 0.4997
result/cdn1_sjc.ns269.oracleGeneral.bin.zst S3FIFO-d-1 cache size   340418, 6869444 req, miss ratio 0.4994, byte miss ratio 0.4994
result/cdn1_sjc.ns269.oracleGeneral.bin.zst S3FIFO-d-1 cache size   680836, 6869444 req, miss ratio 0.4968, byte miss ratio 0.4968
result/cdn1_sjc.ns269.oracleGeneral.bin.zst S3FIFO-d-1 cache size  1361672, 6869444 req, miss ratio 0.4956, byte miss ratio 0.4956
result/cdn1_sjc.ns269.oracleGeneral.bin.zst S3FIFO-d-1 cache size  2723345, 6869444 req, miss ratio 0.4956, byte miss ratio 0.4956
result/cdn1_sjc.ns269.oracleGeneral.bin.zst LRB cache size     3404, 6869444 req, miss ratio 0.5019, byte miss ratio 0.5019
result/cdn1_sjc.ns269.oracleGeneral.bin.zst LRB cache size    10212, 6869444 req, miss ratio 0.5012, byte miss ratio 0.5012
result/cdn1_sjc.ns269.oracleGeneral.bin.zst LRB cache size    34041, 6869444 req, miss ratio 0.5004, byte miss ratio 0.5004
result/cdn1_sjc.ns269.oracleGeneral.bin.zst LRB cache size   102125, 6869444 req, miss ratio 0.4988, byte miss ratio 0.4988
result/cdn1_sjc.ns269.oracleGeneral.bin.zst LRB cache size   340418, 6869444 req, miss ratio 0.4969, byte miss ratio 0.4969
result/cdn1_sjc.ns269.oracleGeneral.bin.zst LRB cache size   680836, 6869444 req, miss ratio 0.4956, byte miss ratio 0.4956
result/cdn1_sjc.ns269.oracleGeneral.bin.zst LRB cache size  1361672, 6869444 req, miss ratio 0.4956, byte miss ratio 0.4956
result/cdn1_sjc.ns269.oracleGeneral.bin.zst LRB cache size  2723345, 6869444 req, miss ratio 0.4956, byte miss ratio 0.4956
result/cdn1_sjc.ns269.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     3404, 6869444 req, miss ratio 0.5061, byte miss ratio 0.5061
result/cdn1_sjc.ns269.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    10212, 6869444 req, miss ratio 0.5025, byte miss ratio 0.5025
result/cdn1_sjc.ns269.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    34041, 6869444 req, miss ratio 0.5006, byte miss ratio 0.5006
result/cdn1_sjc.ns269.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   102125, 6869444 req, miss ratio 0.4993, byte miss ratio 0.4993
result/cdn1_sjc.ns269.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   340418, 6869444 req, miss ratio 0.4968, byte miss ratio 0.4968
result/cdn1_sjc.ns269.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   680836, 6869444 req, miss ratio 0.4985, byte miss ratio 0.4985
result/cdn1_sjc.ns269.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size  1361672, 6869444 req, miss ratio 0.4956, byte miss ratio 0.4956
result/cdn1_sjc.ns269.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size  2723345, 6869444 req, miss ratio 0.4956, byte miss ratio 0.4956
result/cdn1_sjc.ns269.oracleGeneral.bin.zst B-LRU cache size     3404, 6869444 req, miss ratio 0.5955, byte miss ratio 0.5955
result/cdn1_sjc.ns269.oracleGeneral.bin.zst B-LRU cache size    10212, 6869444 req, miss ratio 0.5950, byte miss ratio 0.5950
result/cdn1_sjc.ns269.oracleGeneral.bin.zst B-LRU cache size    34041, 6869444 req, miss ratio 0.5933, byte miss ratio 0.5933
result/cdn1_sjc.ns269.oracleGeneral.bin.zst B-LRU cache size   102125, 6869444 req, miss ratio 0.5931, byte miss ratio 0.5931
result/cdn1_sjc.ns269.oracleGeneral.bin.zst B-LRU cache size   340418, 6869444 req, miss ratio 0.5930, byte miss ratio 0.5930
result/cdn1_sjc.ns269.oracleGeneral.bin.zst B-LRU cache size   680836, 6869444 req, miss ratio 0.5930, byte miss ratio 0.5930
result/cdn1_sjc.ns269.oracleGeneral.bin.zst B-LRU cache size  1361672, 6869444 req, miss ratio 0.5930, byte miss ratio 0.5930
result/cdn1_sjc.ns269.oracleGeneral.bin.zst B-LRU cache size  2723345, 6869444 req, miss ratio 0.5930, byte miss ratio 0.5930
result/cdn1_sjc.ns269.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     3404, 6869444 req, miss ratio 0.5063, byte miss ratio 0.5063
result/cdn1_sjc.ns269.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    10212, 6869444 req, miss ratio 0.5011, byte miss ratio 0.5011
result/cdn1_sjc.ns269.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    34041, 6869444 req, miss ratio 0.5002, byte miss ratio 0.5002
result/cdn1_sjc.ns269.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   102125, 6869444 req, miss ratio 0.4997, byte miss ratio 0.4997
result/cdn1_sjc.ns269.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   340418, 6869444 req, miss ratio 0.4988, byte miss ratio 0.4988
result/cdn1_sjc.ns269.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   680836, 6869444 req, miss ratio 0.4968, byte miss ratio 0.4968
result/cdn1_sjc.ns269.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size  1361672, 6869444 req, miss ratio 0.4968, byte miss ratio 0.4968
result/cdn1_sjc.ns269.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size  2723345, 6869444 req, miss ratio 0.4956, byte miss ratio 0.4956
result/cdn1_sjc.ns269.oracleGeneral.bin.zst TwoQ cache size     3404, 6869444 req, miss ratio 0.5006, byte miss ratio 0.5006
result/cdn1_sjc.ns269.oracleGeneral.bin.zst TwoQ cache size    10212, 6869444 req, miss ratio 0.5001, byte miss ratio 0.5001
result/cdn1_sjc.ns269.oracleGeneral.bin.zst TwoQ cache size    34041, 6869444 req, miss ratio 0.4998, byte miss ratio 0.4998
result/cdn1_sjc.ns269.oracleGeneral.bin.zst TwoQ cache size   102125, 6869444 req, miss ratio 0.4984, byte miss ratio 0.4984
result/cdn1_sjc.ns269.oracleGeneral.bin.zst TwoQ cache size   340418, 6869444 req, miss ratio 0.4969, byte miss ratio 0.4969
result/cdn1_sjc.ns269.oracleGeneral.bin.zst TwoQ cache size   680836, 6869444 req, miss ratio 0.4957, byte miss ratio 0.4957
result/cdn1_sjc.ns269.oracleGeneral.bin.zst TwoQ cache size  1361672, 6869444 req, miss ratio 0.4956, byte miss ratio 0.4956
result/cdn1_sjc.ns269.oracleGeneral.bin.zst TwoQ cache size  2723345, 6869444 req, miss ratio 0.4956, byte miss ratio 0.4956
result/cdn1_sjc.ns269.oracleGeneral.bin.zst S3FIFO cache size     3404, 6869444 req, miss ratio 0.5200, byte miss ratio 0.5200
result/cdn1_sjc.ns269.oracleGeneral.bin.zst S3FIFO cache size    10212, 6869444 req, miss ratio 0.5029, byte miss ratio 0.5029
result/cdn1_sjc.ns269.oracleGeneral.bin.zst S3FIFO cache size    34041, 6869444 req, miss ratio 0.5001, byte miss ratio 0.5001
result/cdn1_sjc.ns269.oracleGeneral.bin.zst S3FIFO cache size   102125, 6869444 req, miss ratio 0.4997, byte miss ratio 0.4997
result/cdn1_sjc.ns269.oracleGeneral.bin.zst S3FIFO cache size   340418, 6869444 req, miss ratio 0.4971, byte miss ratio 0.4971
result/cdn1_sjc.ns269.oracleGeneral.bin.zst S3FIFO cache size   680836, 6869444 req, miss ratio 0.4968, byte miss ratio 0.4968
result/cdn1_sjc.ns269.oracleGeneral.bin.zst S3FIFO cache size  1361672, 6869444 req, miss ratio 0.4956, byte miss ratio 0.4956
result/cdn1_sjc.ns269.oracleGeneral.bin.zst S3FIFO cache size  2723345, 6869444 req, miss ratio 0.4956, byte miss ratio 0.4956
result/cdn1_sjc.ns269.oracleGeneral.bin.zst S3FIFO-d cache size     3404, 6869444 req, miss ratio 0.5070, byte miss ratio 0.5070
result/cdn1_sjc.ns269.oracleGeneral.bin.zst S3FIFO-d cache size    10212, 6869444 req, miss ratio 0.5016, byte miss ratio 0.5016
result/cdn1_sjc.ns269.oracleGeneral.bin.zst S3FIFO-d cache size    34041, 6869444 req, miss ratio 0.5000, byte miss ratio 0.5000
result/cdn1_sjc.ns269.oracleGeneral.bin.zst S3FIFO-d cache size   102125, 6869444 req, miss ratio 0.4997, byte miss ratio 0.4997
result/cdn1_sjc.ns269.oracleGeneral.bin.zst S3FIFO-d cache size   340418, 6869444 req, miss ratio 0.4971, byte miss ratio 0.4971
result/cdn1_sjc.ns269.oracleGeneral.bin.zst S3FIFO-d cache size   680836, 6869444 req, miss ratio 0.4968, byte miss ratio 0.4968
result/cdn1_sjc.ns269.oracleGeneral.bin.zst S3FIFO-d cache size  1361672, 6869444 req, miss ratio 0.4956, byte miss ratio 0.4956
result/cdn1_sjc.ns269.oracleGeneral.bin.zst S3FIFO-d cache size  2723345, 6869444 req, miss ratio 0.4956, byte miss ratio 0.4956
result/cdn1_sjc.ns269.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     3404, 6869444 req, miss ratio 0.6028, byte miss ratio 0.6028
result/cdn1_sjc.ns269.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    10212, 6869444 req, miss ratio 0.5614, byte miss ratio 0.5614
result/cdn1_sjc.ns269.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    34041, 6869444 req, miss ratio 0.5272, byte miss ratio 0.5272
result/cdn1_sjc.ns269.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   102125, 6869444 req, miss ratio 0.5042, byte miss ratio 0.5042
result/cdn1_sjc.ns269.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   340418, 6869444 req, miss ratio 0.4999, byte miss ratio 0.4999
result/cdn1_sjc.ns269.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   680836, 6869444 req, miss ratio 0.4998, byte miss ratio 0.4998
result/cdn1_sjc.ns269.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size  1361672, 6869444 req, miss ratio 0.4995, byte miss ratio 0.4995
result/cdn1_sjc.ns269.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size  2723345, 6869444 req, miss ratio 0.4956, byte miss ratio 0.4956
result/cdn1_sjc.ns269.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     3404, 6869444 req, miss ratio 0.5283, byte miss ratio 0.5283
result/cdn1_sjc.ns269.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    10212, 6869444 req, miss ratio 0.5064, byte miss ratio 0.5064
result/cdn1_sjc.ns269.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    34041, 6869444 req, miss ratio 0.5002, byte miss ratio 0.5002
result/cdn1_sjc.ns269.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   102125, 6869444 req, miss ratio 0.4996, byte miss ratio 0.4996
result/cdn1_sjc.ns269.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   340418, 6869444 req, miss ratio 0.4996, byte miss ratio 0.4996
result/cdn1_sjc.ns269.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   680836, 6869444 req, miss ratio 0.4993, byte miss ratio 0.4993
result/cdn1_sjc.ns269.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size  1361672, 6869444 req, miss ratio 0.4974, byte miss ratio 0.4974
result/cdn1_sjc.ns269.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size  2723345, 6869444 req, miss ratio 0.4956, byte miss ratio 0.4956
