result/cdn1_lax.ns87.oracleGeneral.bin.zst S3FIFO-1 cache size   556257, 7178973 req, miss ratio 0.2353, byte miss ratio 0.2353
result/cdn1_lax.ns87.oracleGeneral.bin.zst S3FIFO-1 cache size  1112514, 7178973 req, miss ratio 0.1978, byte miss ratio 0.1978
result/cdn1_lax.ns87.oracleGeneral.bin.zst LHD cache size     1390, 7178973 req, miss ratio 0.6427, byte miss ratio 0.6427
result/cdn1_lax.ns87.oracleGeneral.bin.zst LHD cache size     4171, 7178973 req, miss ratio 0.5438, byte miss ratio 0.5438
result/cdn1_lax.ns87.oracleGeneral.bin.zst LHD cache size    13906, 7178973 req, miss ratio 0.4732, byte miss ratio 0.4732
result/cdn1_lax.ns87.oracleGeneral.bin.zst LHD cache size    41719, 7178973 req, miss ratio 0.4195, byte miss ratio 0.4195
result/cdn1_lax.ns87.oracleGeneral.bin.zst LHD cache size   139064, 7178973 req, miss ratio 0.3452, byte miss ratio 0.3452
result/cdn1_lax.ns87.oracleGeneral.bin.zst LHD cache size   278128, 7178973 req, miss ratio 0.2980, byte miss ratio 0.2980
result/cdn1_lax.ns87.oracleGeneral.bin.zst LHD cache size   556257, 7178973 req, miss ratio 0.2436, byte miss ratio 0.2436
result/cdn1_lax.ns87.oracleGeneral.bin.zst LHD cache size  1112514, 7178973 req, miss ratio 0.1989, byte miss ratio 0.1989
result/cdn1_lax.ns87.oracleGeneral.bin.zst LeCaR cache size     1390, 7178973 req, miss ratio 0.6422, byte miss ratio 0.6422
result/cdn1_lax.ns87.oracleGeneral.bin.zst LeCaR cache size     4171, 7178973 req, miss ratio 0.5575, byte miss ratio 0.5575
result/cdn1_lax.ns87.oracleGeneral.bin.zst LeCaR cache size    13906, 7178973 req, miss ratio 0.4871, byte miss ratio 0.4871
result/cdn1_lax.ns87.oracleGeneral.bin.zst LeCaR cache size    41719, 7178973 req, miss ratio 0.4342, byte miss ratio 0.4342
result/cdn1_lax.ns87.oracleGeneral.bin.zst LeCaR cache size   139064, 7178973 req, miss ratio 0.3644, byte miss ratio 0.3644
result/cdn1_lax.ns87.oracleGeneral.bin.zst LeCaR cache size   278128, 7178973 req, miss ratio 0.3101, byte miss ratio 0.3101
result/cdn1_lax.ns87.oracleGeneral.bin.zst LeCaR cache size   556257, 7178973 req, miss ratio 0.2447, byte miss ratio 0.2447
result/cdn1_lax.ns87.oracleGeneral.bin.zst LeCaR cache size  1112514, 7178973 req, miss ratio 0.1983, byte miss ratio 0.1983
result/cdn1_lax.ns87.oracleGeneral.bin.zst clock2 cache size     1390, 7178973 req, miss ratio 0.6403, byte miss ratio 0.6403
result/cdn1_lax.ns87.oracleGeneral.bin.zst clock2 cache size     4171, 7178973 req, miss ratio 0.5499, byte miss ratio 0.5499
result/cdn1_lax.ns87.oracleGeneral.bin.zst clock2 cache size    13906, 7178973 req, miss ratio 0.4797, byte miss ratio 0.4797
result/cdn1_lax.ns87.oracleGeneral.bin.zst clock2 cache size    41719, 7178973 req, miss ratio 0.4270, byte miss ratio 0.4270
result/cdn1_lax.ns87.oracleGeneral.bin.zst clock2 cache size   139064, 7178973 req, miss ratio 0.3534, byte miss ratio 0.3534
result/cdn1_lax.ns87.oracleGeneral.bin.zst clock2 cache size   278128, 7178973 req, miss ratio 0.2983, byte miss ratio 0.2983
result/cdn1_lax.ns87.oracleGeneral.bin.zst clock2 cache size   556257, 7178973 req, miss ratio 0.2387, byte miss ratio 0.2387
result/cdn1_lax.ns87.oracleGeneral.bin.zst clock2 cache size  1112514, 7178973 req, miss ratio 0.1978, byte miss ratio 0.1978
result/cdn1_lax.ns87.oracleGeneral.bin.zst LIRS cache size     1390, 7178973 req, miss ratio 0.6062, byte miss ratio 0.6062
result/cdn1_lax.ns87.oracleGeneral.bin.zst LIRS cache size     4171, 7178973 req, miss ratio 0.5310, byte miss ratio 0.5310
result/cdn1_lax.ns87.oracleGeneral.bin.zst LIRS cache size    13906, 7178973 req, miss ratio 0.4724, byte miss ratio 0.4724
result/cdn1_lax.ns87.oracleGeneral.bin.zst LIRS cache size    41719, 7178973 req, miss ratio 0.4201, byte miss ratio 0.4201
result/cdn1_lax.ns87.oracleGeneral.bin.zst LIRS cache size   139064, 7178973 req, miss ratio 0.3426, byte miss ratio 0.3426
result/cdn1_lax.ns87.oracleGeneral.bin.zst LIRS cache size   278128, 7178973 req, miss ratio 0.2904, byte miss ratio 0.2904
result/cdn1_lax.ns87.oracleGeneral.bin.zst LIRS cache size   556257, 7178973 req, miss ratio 0.2393, byte miss ratio 0.2393
result/cdn1_lax.ns87.oracleGeneral.bin.zst LIRS cache size  1112514, 7178973 req, miss ratio 0.1991, byte miss ratio 0.1991
result/cdn1_lax.ns87.oracleGeneral.bin.zst S3FIFO-d-1 cache size     1390, 7178973 req, miss ratio 0.5839, byte miss ratio 0.5839
