result/cdn1_sjc.ns521.oracleGeneral.bin.zst LRU cache size     2788, 4094352 req, miss ratio 0.9737, byte miss ratio 0.9737
result/cdn1_sjc.ns521.oracleGeneral.bin.zst LRU cache size     8365, 4094352 req, miss ratio 0.9713, byte miss ratio 0.9713
result/cdn1_sjc.ns521.oracleGeneral.bin.zst LRU cache size    27885, 4094352 req, miss ratio 0.9653, byte miss ratio 0.9653
result/cdn1_sjc.ns521.oracleGeneral.bin.zst LRU cache size    83656, 4094352 req, miss ratio 0.9497, byte miss ratio 0.9497
result/cdn1_sjc.ns521.oracleGeneral.bin.zst LRU cache size   278855, 4094352 req, miss ratio 0.8856, byte miss ratio 0.8856
result/cdn1_sjc.ns521.oracleGeneral.bin.zst LRU cache size   557711, 4094352 req, miss ratio 0.8114, byte miss ratio 0.8114
result/cdn1_sjc.ns521.oracleGeneral.bin.zst LRU cache size  1115423, 4094352 req, miss ratio 0.7303, byte miss ratio 0.7303
result/cdn1_sjc.ns521.oracleGeneral.bin.zst LRU cache size  2230847, 4094352 req, miss ratio 0.6845, byte miss ratio 0.6845
result/cdn1_sjc.ns521.oracleGeneral.bin.zst S3FIFO-1 cache size     2788, 4094352 req, miss ratio 0.9732, byte miss ratio 0.9732
result/cdn1_sjc.ns521.oracleGeneral.bin.zst S3FIFO-1 cache size     8365, 4094352 req, miss ratio 0.9679, byte miss ratio 0.9679
result/cdn1_sjc.ns521.oracleGeneral.bin.zst S3FIFO-1 cache size    27885, 4094352 req, miss ratio 0.9470, byte miss ratio 0.9470
result/cdn1_sjc.ns521.oracleGeneral.bin.zst S3FIFO-1 cache size    83656, 4094352 req, miss ratio 0.9068, byte miss ratio 0.9068
result/cdn1_sjc.ns521.oracleGeneral.bin.zst S3FIFO-1 cache size   278855, 4094352 req, miss ratio 0.8290, byte miss ratio 0.8290
result/cdn1_sjc.ns521.oracleGeneral.bin.zst S3FIFO-1 cache size   557711, 4094352 req, miss ratio 0.7737, byte miss ratio 0.7737
result/cdn1_sjc.ns521.oracleGeneral.bin.zst S3FIFO-1 cache size  1115423, 4094352 req, miss ratio 0.7210, byte miss ratio 0.7210
result/cdn1_sjc.ns521.oracleGeneral.bin.zst S3FIFO-1 cache size  2230847, 4094352 req, miss ratio 0.6845, byte miss ratio 0.6845
result/cdn1_sjc.ns521.oracleGeneral.bin.zst S3FIFO-d-1 cache size     2788, 4094352 req, miss ratio 0.9732, byte miss ratio 0.9732
result/cdn1_sjc.ns521.oracleGeneral.bin.zst S3FIFO-d-1 cache size     8365, 4094352 req, miss ratio 0.9679, byte miss ratio 0.9679
result/cdn1_sjc.ns521.oracleGeneral.bin.zst S3FIFO-d-1 cache size    27885, 4094352 req, miss ratio 0.9469, byte miss ratio 0.9469
result/cdn1_sjc.ns521.oracleGeneral.bin.zst S3FIFO-d-1 cache size    83656, 4094352 req, miss ratio 0.9068, byte miss ratio 0.9068
result/cdn1_sjc.ns521.oracleGeneral.bin.zst S3FIFO-d-1 cache size   278855, 4094352 req, miss ratio 0.8290, byte miss ratio 0.8290
result/cdn1_sjc.ns521.oracleGeneral.bin.zst S3FIFO-d-1 cache size   557711, 4094352 req, miss ratio 0.7737, byte miss ratio 0.7737
result/cdn1_sjc.ns521.oracleGeneral.bin.zst S3FIFO-d-1 cache size  1115423, 4094352 req, miss ratio 0.7210, byte miss ratio 0.7210
result/cdn1_sjc.ns521.oracleGeneral.bin.zst S3FIFO-d-1 cache size  2230847, 4094352 req, miss ratio 0.6845, byte miss ratio 0.6845
result/cdn1_sjc.ns521.oracleGeneral.bin.zst LRB cache size     2788, 4094352 req, miss ratio 0.9732, byte miss ratio 0.9732
result/cdn1_sjc.ns521.oracleGeneral.bin.zst LRB cache size     8365, 4094352 req, miss ratio 0.9678, byte miss ratio 0.9678
result/cdn1_sjc.ns521.oracleGeneral.bin.zst LRB cache size    27885, 4094352 req, miss ratio 0.9525, byte miss ratio 0.9525
result/cdn1_sjc.ns521.oracleGeneral.bin.zst LRB cache size    83656, 4094352 req, miss ratio 0.9201, byte miss ratio 0.9201
result/cdn1_sjc.ns521.oracleGeneral.bin.zst LRB cache size   278855, 4094352 req, miss ratio 0.8453, byte miss ratio 0.8453
result/cdn1_sjc.ns521.oracleGeneral.bin.zst LRB cache size   557711, 4094352 req, miss ratio 0.7913, byte miss ratio 0.7913
result/cdn1_sjc.ns521.oracleGeneral.bin.zst LRB cache size  1115423, 4094352 req, miss ratio 0.7342, byte miss ratio 0.7342
result/cdn1_sjc.ns521.oracleGeneral.bin.zst LRB cache size  2230847, 4094352 req, miss ratio 0.6845, byte miss ratio 0.6845
result/cdn1_sjc.ns521.oracleGeneral.bin.zst B-LRU cache size     2788, 4094352 req, miss ratio 0.9740, byte miss ratio 0.9740
result/cdn1_sjc.ns521.oracleGeneral.bin.zst B-LRU cache size     8365, 4094352 req, miss ratio 0.9713, byte miss ratio 0.9713
result/cdn1_sjc.ns521.oracleGeneral.bin.zst B-LRU cache size    27885, 4094352 req, miss ratio 0.9611, byte miss ratio 0.9611
result/cdn1_sjc.ns521.oracleGeneral.bin.zst B-LRU cache size    83656, 4094352 req, miss ratio 0.9220, byte miss ratio 0.9220
result/cdn1_sjc.ns521.oracleGeneral.bin.zst B-LRU cache size   278855, 4094352 req, miss ratio 0.8399, byte miss ratio 0.8399
