result/cdn1_lax.ns183.oracleGeneral.bin.zst Cacheus cache size   218249, 2263900 req, miss ratio 0.5689, byte miss ratio 0.5689
result/cdn1_lax.ns183.oracleGeneral.bin.zst Cacheus cache size   436499, 2263900 req, miss ratio 0.5231, byte miss ratio 0.5231
result/cdn1_lax.ns183.oracleGeneral.bin.zst Cacheus cache size   872999, 2263900 req, miss ratio 0.4934, byte miss ratio 0.4934
result/cdn1_lax.ns183.oracleGeneral.bin.zst clock2 cache size     1091, 2263900 req, miss ratio 0.9538, byte miss ratio 0.9538
result/cdn1_lax.ns183.oracleGeneral.bin.zst clock2 cache size     3273, 2263900 req, miss ratio 0.9301, byte miss ratio 0.9301
result/cdn1_lax.ns183.oracleGeneral.bin.zst clock2 cache size    10912, 2263900 req, miss ratio 0.8727, byte miss ratio 0.8727
result/cdn1_lax.ns183.oracleGeneral.bin.zst clock2 cache size    32737, 2263900 req, miss ratio 0.7782, byte miss ratio 0.7782
result/cdn1_lax.ns183.oracleGeneral.bin.zst clock2 cache size   109124, 2263900 req, miss ratio 0.6439, byte miss ratio 0.6439
result/cdn1_lax.ns183.oracleGeneral.bin.zst clock2 cache size   218249, 2263900 req, miss ratio 0.5737, byte miss ratio 0.5737
result/cdn1_lax.ns183.oracleGeneral.bin.zst clock2 cache size   436499, 2263900 req, miss ratio 0.5195, byte miss ratio 0.5195
result/cdn1_lax.ns183.oracleGeneral.bin.zst clock2 cache size   872999, 2263900 req, miss ratio 0.4854, byte miss ratio 0.4854
result/cdn1_lax.ns183.oracleGeneral.bin.zst LIRS cache size     1091, 2263900 req, miss ratio 0.9692, byte miss ratio 0.9692
result/cdn1_lax.ns183.oracleGeneral.bin.zst LIRS cache size     3273, 2263900 req, miss ratio 0.9281, byte miss ratio 0.9281
result/cdn1_lax.ns183.oracleGeneral.bin.zst LIRS cache size    10912, 2263900 req, miss ratio 0.8522, byte miss ratio 0.8522
result/cdn1_lax.ns183.oracleGeneral.bin.zst LIRS cache size    32737, 2263900 req, miss ratio 0.7591, byte miss ratio 0.7591
result/cdn1_lax.ns183.oracleGeneral.bin.zst LIRS cache size   109124, 2263900 req, miss ratio 0.6528, byte miss ratio 0.6528
result/cdn1_lax.ns183.oracleGeneral.bin.zst LIRS cache size   218249, 2263900 req, miss ratio 0.5985, byte miss ratio 0.5985
result/cdn1_lax.ns183.oracleGeneral.bin.zst LIRS cache size   436499, 2263900 req, miss ratio 0.5473, byte miss ratio 0.5473
result/cdn1_lax.ns183.oracleGeneral.bin.zst LIRS cache size   872999, 2263900 req, miss ratio 0.4945, byte miss ratio 0.4945
result/cdn1_lax.ns183.oracleGeneral.bin.zst LeCaR cache size     1091, 2263900 req, miss ratio 0.9541, byte miss ratio 0.9541
result/cdn1_lax.ns183.oracleGeneral.bin.zst LeCaR cache size     3273, 2263900 req, miss ratio 0.9312, byte miss ratio 0.9312
result/cdn1_lax.ns183.oracleGeneral.bin.zst LeCaR cache size    10912, 2263900 req, miss ratio 0.8801, byte miss ratio 0.8801
result/cdn1_lax.ns183.oracleGeneral.bin.zst LeCaR cache size    32737, 2263900 req, miss ratio 0.7933, byte miss ratio 0.7933
result/cdn1_lax.ns183.oracleGeneral.bin.zst LeCaR cache size   109124, 2263900 req, miss ratio 0.6605, byte miss ratio 0.6605
result/cdn1_lax.ns183.oracleGeneral.bin.zst LeCaR cache size   218249, 2263900 req, miss ratio 0.5857, byte miss ratio 0.5857
result/cdn1_lax.ns183.oracleGeneral.bin.zst LeCaR cache size   436499, 2263900 req, miss ratio 0.5234, byte miss ratio 0.5234
result/cdn1_lax.ns183.oracleGeneral.bin.zst LeCaR cache size   872999, 2263900 req, miss ratio 0.4854, byte miss ratio 0.4854
result/cdn1_lax.ns183.oracleGeneral.bin.zst S3FIFO-1 cache size     1091, 2263900 req, miss ratio 0.9560, byte miss ratio 0.9560
result/cdn1_lax.ns183.oracleGeneral.bin.zst S3FIFO-1 cache size     3273, 2263900 req, miss ratio 0.9107, byte miss ratio 0.9107
result/cdn1_lax.ns183.oracleGeneral.bin.zst S3FIFO-1 cache size    10912, 2263900 req, miss ratio 0.8388, byte miss ratio 0.8388
result/cdn1_lax.ns183.oracleGeneral.bin.zst S3FIFO-1 cache size    32737, 2263900 req, miss ratio 0.7444, byte miss ratio 0.7444
result/cdn1_lax.ns183.oracleGeneral.bin.zst S3FIFO-1 cache size   109124, 2263900 req, miss ratio 0.6297, byte miss ratio 0.6297
result/cdn1_lax.ns183.oracleGeneral.bin.zst S3FIFO-1 cache size   218249, 2263900 req, miss ratio 0.5696, byte miss ratio 0.5696
result/cdn1_lax.ns183.oracleGeneral.bin.zst S3FIFO-1 cache size   436499, 2263900 req, miss ratio 0.5169, byte miss ratio 0.5169
result/cdn1_lax.ns183.oracleGeneral.bin.zst S3FIFO-1 cache size   872999, 2263900 req, miss ratio 0.4854, byte miss ratio 0.4854
result/cdn1_lax.ns183.oracleGeneral.bin.zst S3FIFO-d-1 cache size     1091, 2263900 req, miss ratio 0.9512, byte miss ratio 0.9512
result/cdn1_lax.ns183.oracleGeneral.bin.zst S3FIFO-d-1 cache size     3273, 2263900 req, miss ratio 0.9097, byte miss ratio 0.9097
result/cdn1_lax.ns183.oracleGeneral.bin.zst S3FIFO-d-1 cache size    10912, 2263900 req, miss ratio 0.8379, byte miss ratio 0.8379
result/cdn1_lax.ns183.oracleGeneral.bin.zst S3FIFO-d-1 cache size    32737, 2263900 req, miss ratio 0.7435, byte miss ratio 0.7435
result/cdn1_lax.ns183.oracleGeneral.bin.zst S3FIFO-d-1 cache size   109124, 2263900 req, miss ratio 0.6279, byte miss ratio 0.6279
result/cdn1_lax.ns183.oracleGeneral.bin.zst S3FIFO-d-1 cache size   218249, 2263900 req, miss ratio 0.5678, byte miss ratio 0.5678
result/cdn1_lax.ns183.oracleGeneral.bin.zst S3FIFO-d-1 cache size   436499, 2263900 req, miss ratio 0.5169, byte miss ratio 0.5169
