result/cdn1_sjc.ns15.oracleGeneral.bin.zst LHD cache size    98425, 169521174 req, miss ratio 0.1936, byte miss ratio 0.1936
result/cdn1_sjc.ns15.oracleGeneral.bin.zst LHD cache size   328086, 169521174 req, miss ratio 0.1936, byte miss ratio 0.1936
result/cdn1_sjc.ns15.oracleGeneral.bin.zst LHD cache size   984258, 169521174 req, miss ratio 0.1936, byte miss ratio 0.1936
result/cdn1_sjc.ns15.oracleGeneral.bin.zst LHD cache size  3280861, 169521174 req, miss ratio 0.1935, byte miss ratio 0.1935
result/cdn1_sjc.ns15.oracleGeneral.bin.zst LHD cache size  6561723, 169521174 req, miss ratio 0.1935, byte miss ratio 0.1935
result/cdn1_sjc.ns15.oracleGeneral.bin.zst LHD cache size 13123446, 169521174 req, miss ratio 0.1935, byte miss ratio 0.1935
result/cdn1_sjc.ns15.oracleGeneral.bin.zst LHD cache size 26246892, 169521174 req, miss ratio 0.1935, byte miss ratio 0.1935
result/cdn1_sjc.ns15.oracleGeneral.bin.zst LeCaR cache size    32808, 169521174 req, miss ratio 0.1937, byte miss ratio 0.1937
result/cdn1_sjc.ns15.oracleGeneral.bin.zst LeCaR cache size    98425, 169521174 req, miss ratio 0.1936, byte miss ratio 0.1936
result/cdn1_sjc.ns15.oracleGeneral.bin.zst LeCaR cache size   328086, 169521174 req, miss ratio 0.1936, byte miss ratio 0.1936
result/cdn1_sjc.ns15.oracleGeneral.bin.zst LeCaR cache size   984258, 169521174 req, miss ratio 0.1936, byte miss ratio 0.1936
result/cdn1_sjc.ns15.oracleGeneral.bin.zst LeCaR cache size  3280861, 169521174 req, miss ratio 0.1935, byte miss ratio 0.1935
result/cdn1_sjc.ns15.oracleGeneral.bin.zst LeCaR cache size  6561723, 169521174 req, miss ratio 0.1935, byte miss ratio 0.1935
result/cdn1_sjc.ns15.oracleGeneral.bin.zst LeCaR cache size 13123446, 169521174 req, miss ratio 0.1935, byte miss ratio 0.1935
result/cdn1_sjc.ns15.oracleGeneral.bin.zst LeCaR cache size 26246892, 169521174 req, miss ratio 0.1935, byte miss ratio 0.1935
result/cdn1_sjc.ns15.oracleGeneral.bin.zst LRU cache size    32808, 169521174 req, miss ratio 0.1937, byte miss ratio 0.1937
result/cdn1_sjc.ns15.oracleGeneral.bin.zst LRU cache size    98425, 169521174 req, miss ratio 0.1936, byte miss ratio 0.1936
result/cdn1_sjc.ns15.oracleGeneral.bin.zst LRU cache size   328086, 169521174 req, miss ratio 0.1936, byte miss ratio 0.1936
result/cdn1_sjc.ns15.oracleGeneral.bin.zst LRU cache size   984258, 169521174 req, miss ratio 0.1936, byte miss ratio 0.1936
result/cdn1_sjc.ns15.oracleGeneral.bin.zst LRU cache size  3280861, 169521174 req, miss ratio 0.1935, byte miss ratio 0.1935
