result/cdn1_lax.ns471.oracleGeneral.bin.zst LIRS cache size   214727, 11038608 req, miss ratio 0.0487, byte miss ratio 0.0487
result/cdn1_lax.ns471.oracleGeneral.bin.zst LIRS cache size   429454, 11038608 req, miss ratio 0.0486, byte miss ratio 0.0486
result/cdn1_lax.ns471.oracleGeneral.bin.zst LRU cache size      536, 11038608 req, miss ratio 0.3888, byte miss ratio 0.3888
result/cdn1_lax.ns471.oracleGeneral.bin.zst LRU cache size     1610, 11038608 req, miss ratio 0.1877, byte miss ratio 0.1877
result/cdn1_lax.ns471.oracleGeneral.bin.zst LRU cache size     5368, 11038608 req, miss ratio 0.0641, byte miss ratio 0.0641
result/cdn1_lax.ns471.oracleGeneral.bin.zst LRU cache size    16104, 11038608 req, miss ratio 0.0557, byte miss ratio 0.0557
result/cdn1_lax.ns471.oracleGeneral.bin.zst LRU cache size    53681, 11038608 req, miss ratio 0.0516, byte miss ratio 0.0516
result/cdn1_lax.ns471.oracleGeneral.bin.zst LRU cache size   107363, 11038608 req, miss ratio 0.0499, byte miss ratio 0.0499
result/cdn1_lax.ns471.oracleGeneral.bin.zst LRU cache size   214727, 11038608 req, miss ratio 0.0488, byte miss ratio 0.0488
result/cdn1_lax.ns471.oracleGeneral.bin.zst LRU cache size   429454, 11038608 req, miss ratio 0.0486, byte miss ratio 0.0486
result/cdn1_lax.ns471.oracleGeneral.bin.zst FIFO cache size      536, 11038608 req, miss ratio 0.4217, byte miss ratio 0.4217
result/cdn1_lax.ns471.oracleGeneral.bin.zst FIFO cache size     1610, 11038608 req, miss ratio 0.2210, byte miss ratio 0.2210
result/cdn1_lax.ns471.oracleGeneral.bin.zst FIFO cache size     5368, 11038608 req, miss ratio 0.0848, byte miss ratio 0.0848
result/cdn1_lax.ns471.oracleGeneral.bin.zst FIFO cache size    16104, 11038608 req, miss ratio 0.0622, byte miss ratio 0.0622
result/cdn1_lax.ns471.oracleGeneral.bin.zst FIFO cache size    53681, 11038608 req, miss ratio 0.0540, byte miss ratio 0.0540
result/cdn1_lax.ns471.oracleGeneral.bin.zst FIFO cache size   107363, 11038608 req, miss ratio 0.0509, byte miss ratio 0.0509
result/cdn1_lax.ns471.oracleGeneral.bin.zst FIFO cache size   214727, 11038608 req, miss ratio 0.0492, byte miss ratio 0.0492
result/cdn1_lax.ns471.oracleGeneral.bin.zst FIFO cache size   429454, 11038608 req, miss ratio 0.0489, byte miss ratio 0.0489
result/cdn1_lax.ns471.oracleGeneral.bin.zst LHD cache size      536, 11038608 req, miss ratio 0.4052, byte miss ratio 0.4052
result/cdn1_lax.ns471.oracleGeneral.bin.zst LHD cache size     1610, 11038608 req, miss ratio 0.1877, byte miss ratio 0.1877
result/cdn1_lax.ns471.oracleGeneral.bin.zst LHD cache size     5368, 11038608 req, miss ratio 0.0623, byte miss ratio 0.0623
result/cdn1_lax.ns471.oracleGeneral.bin.zst LHD cache size    16104, 11038608 req, miss ratio 0.0539, byte miss ratio 0.0539
result/cdn1_lax.ns471.oracleGeneral.bin.zst LHD cache size    53681, 11038608 req, miss ratio 0.0512, byte miss ratio 0.0512
result/cdn1_lax.ns471.oracleGeneral.bin.zst LHD cache size   107363, 11038608 req, miss ratio 0.0498, byte miss ratio 0.0498
result/cdn1_lax.ns471.oracleGeneral.bin.zst LHD cache size   214727, 11038608 req, miss ratio 0.0488, byte miss ratio 0.0488
result/cdn1_lax.ns471.oracleGeneral.bin.zst LHD cache size   429454, 11038608 req, miss ratio 0.0486, byte miss ratio 0.0486
result/cdn1_lax.ns471.oracleGeneral.bin.zst LeCaR cache size      536, 11038608 req, miss ratio 0.3861, byte miss ratio 0.3861
result/cdn1_lax.ns471.oracleGeneral.bin.zst LeCaR cache size     1610, 11038608 req, miss ratio 0.1730, byte miss ratio 0.1730
result/cdn1_lax.ns471.oracleGeneral.bin.zst LeCaR cache size     5368, 11038608 req, miss ratio 0.0615, byte miss ratio 0.0615
result/cdn1_lax.ns471.oracleGeneral.bin.zst LeCaR cache size    16104, 11038608 req, miss ratio 0.0549, byte miss ratio 0.0549
result/cdn1_lax.ns471.oracleGeneral.bin.zst LeCaR cache size    53681, 11038608 req, miss ratio 0.0514, byte miss ratio 0.0514
result/cdn1_lax.ns471.oracleGeneral.bin.zst LeCaR cache size   107363, 11038608 req, miss ratio 0.0498, byte miss ratio 0.0498
result/cdn1_lax.ns471.oracleGeneral.bin.zst LeCaR cache size   214727, 11038608 req, miss ratio 0.0487, byte miss ratio 0.0487
result/cdn1_lax.ns471.oracleGeneral.bin.zst LeCaR cache size   429454, 11038608 req, miss ratio 0.0486, byte miss ratio 0.0486
result/cdn1_lax.ns471.oracleGeneral.bin.zst S3FIFO-d-1 cache size      536, 11038608 req, miss ratio 0.3817, byte miss ratio 0.3817
result/cdn1_lax.ns471.oracleGeneral.bin.zst S3FIFO-d-1 cache size     1610, 11038608 req, miss ratio 0.1639, byte miss ratio 0.1639
result/cdn1_lax.ns471.oracleGeneral.bin.zst S3FIFO-d-1 cache size     5368, 11038608 req, miss ratio 0.0589, byte miss ratio 0.0589
result/cdn1_lax.ns471.oracleGeneral.bin.zst S3FIFO-d-1 cache size    16104, 11038608 req, miss ratio 0.0530, byte miss ratio 0.0530
result/cdn1_lax.ns471.oracleGeneral.bin.zst S3FIFO-d-1 cache size    53681, 11038608 req, miss ratio 0.0511, byte miss ratio 0.0511
result/cdn1_lax.ns471.oracleGeneral.bin.zst S3FIFO-d-1 cache size   107363, 11038608 req, miss ratio 0.0500, byte miss ratio 0.0500
result/cdn1_lax.ns471.oracleGeneral.bin.zst S3FIFO-d-1 cache size   214727, 11038608 req, miss ratio 0.0487, byte miss ratio 0.0487
result/cdn1_lax.ns471.oracleGeneral.bin.zst S3FIFO-d-1 cache size   429454, 11038608 req, miss ratio 0.0486, byte miss ratio 0.0486
result/cdn1_lax.ns471.oracleGeneral.bin.zst LRB cache size      536, 11038608 req, miss ratio 0.3756, byte miss ratio 0.3756
result/cdn1_lax.ns471.oracleGeneral.bin.zst LRB cache size     1610, 11038608 req, miss ratio 0.1562, byte miss ratio 0.1562
result/cdn1_lax.ns471.oracleGeneral.bin.zst LRB cache size     5368, 11038608 req, miss ratio 0.0587, byte miss ratio 0.0587
result/cdn1_lax.ns471.oracleGeneral.bin.zst LRB cache size    16104, 11038608 req, miss ratio 0.0535, byte miss ratio 0.0535
result/cdn1_lax.ns471.oracleGeneral.bin.zst LRB cache size    53681, 11038608 req, miss ratio 0.0518, byte miss ratio 0.0518
result/cdn1_lax.ns471.oracleGeneral.bin.zst LRB cache size   107363, 11038608 req, miss ratio 0.0496, byte miss ratio 0.0496
result/cdn1_lax.ns471.oracleGeneral.bin.zst LRB cache size   214727, 11038608 req, miss ratio 0.0488, byte miss ratio 0.0488
result/cdn1_lax.ns471.oracleGeneral.bin.zst LRB cache size   429454, 11038608 req, miss ratio 0.0486, byte miss ratio 0.0486
result/cdn1_lax.ns471.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size      536, 11038608 req, miss ratio 0.4110, byte miss ratio 0.4110
result/cdn1_lax.ns471.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     1610, 11038608 req, miss ratio 0.1914, byte miss ratio 0.1914
result/cdn1_lax.ns471.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     5368, 11038608 req, miss ratio 0.0685, byte miss ratio 0.0685
result/cdn1_lax.ns471.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    16104, 11038608 req, miss ratio 0.0563, byte miss ratio 0.0563
result/cdn1_lax.ns471.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    53681, 11038608 req, miss ratio 0.0514, byte miss ratio 0.0514
result/cdn1_lax.ns471.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   107363, 11038608 req, miss ratio 0.0500, byte miss ratio 0.0500
result/cdn1_lax.ns471.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   214727, 11038608 req, miss ratio 0.0487, byte miss ratio 0.0487
result/cdn1_lax.ns471.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   429454, 11038608 req, miss ratio 0.0487, byte miss ratio 0.0487
result/cdn1_lax.ns471.oracleGeneral.bin.zst TwoQ cache size      536, 11038608 req, miss ratio 0.3949, byte miss ratio 0.3949
result/cdn1_lax.ns471.oracleGeneral.bin.zst TwoQ cache size     1610, 11038608 req, miss ratio 0.1791, byte miss ratio 0.1791
