result/cdn2_colo28.ns165.oracleGeneral.zst LRU cache size     4095, 1029366 req, miss ratio 0.0051, byte miss ratio 0.0051
result/cdn2_colo28.ns165.oracleGeneral.zst Clock cache size        5, 1029366 req, miss ratio 0.9165, byte miss ratio 0.9165
result/cdn2_colo28.ns165.oracleGeneral.zst Clock cache size       15, 1029366 req, miss ratio 0.4790, byte miss ratio 0.4790
result/cdn2_colo28.ns165.oracleGeneral.zst Clock cache size       51, 1029366 req, miss ratio 0.0552, byte miss ratio 0.0552
result/cdn2_colo28.ns165.oracleGeneral.zst Clock cache size      153, 1029366 req, miss ratio 0.0322, byte miss ratio 0.0322
result/cdn2_colo28.ns165.oracleGeneral.zst Clock cache size      511, 1029366 req, miss ratio 0.0183, byte miss ratio 0.0183
result/cdn2_colo28.ns165.oracleGeneral.zst Clock cache size     1023, 1029366 req, miss ratio 0.0130, byte miss ratio 0.0130
result/cdn2_colo28.ns165.oracleGeneral.zst Clock cache size     2047, 1029366 req, miss ratio 0.0076, byte miss ratio 0.0076
result/cdn2_colo28.ns165.oracleGeneral.zst Clock cache size     4095, 1029366 req, miss ratio 0.0051, byte miss ratio 0.0051
result/cdn2_colo28.ns165.oracleGeneral.zst clock2 cache size        5, 1029366 req, miss ratio 0.9160, byte miss ratio 0.9160
result/cdn2_colo28.ns165.oracleGeneral.zst clock2 cache size       15, 1029366 req, miss ratio 0.4429, byte miss ratio 0.4429
result/cdn2_colo28.ns165.oracleGeneral.zst clock2 cache size       51, 1029366 req, miss ratio 0.0530, byte miss ratio 0.0530
result/cdn2_colo28.ns165.oracleGeneral.zst clock2 cache size      153, 1029366 req, miss ratio 0.0307, byte miss ratio 0.0307
result/cdn2_colo28.ns165.oracleGeneral.zst clock2 cache size      511, 1029366 req, miss ratio 0.0176, byte miss ratio 0.0176
result/cdn2_colo28.ns165.oracleGeneral.zst clock2 cache size     1023, 1029366 req, miss ratio 0.0122, byte miss ratio 0.0122
result/cdn2_colo28.ns165.oracleGeneral.zst clock2 cache size     2047, 1029366 req, miss ratio 0.0074, byte miss ratio 0.0074
result/cdn2_colo28.ns165.oracleGeneral.zst clock2 cache size     4095, 1029366 req, miss ratio 0.0051, byte miss ratio 0.0051
result/cdn2_colo28.ns165.oracleGeneral.zst LHD cache size        5, 1029366 req, miss ratio 0.7453, byte miss ratio 0.7453
result/cdn2_colo28.ns165.oracleGeneral.zst LHD cache size       15, 1029366 req, miss ratio 0.2720, byte miss ratio 0.2720
result/cdn2_colo28.ns165.oracleGeneral.zst LHD cache size       51, 1029366 req, miss ratio 0.0519, byte miss ratio 0.0519
result/cdn2_colo28.ns165.oracleGeneral.zst LHD cache size      153, 1029366 req, miss ratio 0.0324, byte miss ratio 0.0324
result/cdn2_colo28.ns165.oracleGeneral.zst LHD cache size      511, 1029366 req, miss ratio 0.0184, byte miss ratio 0.0184
result/cdn2_colo28.ns165.oracleGeneral.zst LHD cache size     1023, 1029366 req, miss ratio 0.0132, byte miss ratio 0.0132
result/cdn2_colo28.ns165.oracleGeneral.zst LHD cache size     2047, 1029366 req, miss ratio 0.0079, byte miss ratio 0.0079
result/cdn2_colo28.ns165.oracleGeneral.zst LHD cache size     4095, 1029366 req, miss ratio 0.0052, byte miss ratio 0.0052
result/cdn2_colo28.ns165.oracleGeneral.zst ARC cache size        5, 1029366 req, miss ratio 0.7974, byte miss ratio 0.7974
