result/cdn2_colo28.ns259.oracleGeneral.zst ARC cache size    45004, 5504594 req, miss ratio 0.0104, byte miss ratio 0.0104
result/cdn2_colo28.ns259.oracleGeneral.zst LeCaR cache size       56, 5504594 req, miss ratio 0.6745, byte miss ratio 0.6745
result/cdn2_colo28.ns259.oracleGeneral.zst LeCaR cache size      168, 5504594 req, miss ratio 0.5198, byte miss ratio 0.5198
result/cdn2_colo28.ns259.oracleGeneral.zst LeCaR cache size      562, 5504594 req, miss ratio 0.3517, byte miss ratio 0.3517
result/cdn2_colo28.ns259.oracleGeneral.zst LeCaR cache size     1687, 5504594 req, miss ratio 0.1942, byte miss ratio 0.1942
result/cdn2_colo28.ns259.oracleGeneral.zst LeCaR cache size     5625, 5504594 req, miss ratio 0.0744, byte miss ratio 0.0744
result/cdn2_colo28.ns259.oracleGeneral.zst LeCaR cache size    11251, 5504594 req, miss ratio 0.0354, byte miss ratio 0.0354
result/cdn2_colo28.ns259.oracleGeneral.zst LeCaR cache size    22502, 5504594 req, miss ratio 0.0161, byte miss ratio 0.0161
result/cdn2_colo28.ns259.oracleGeneral.zst LeCaR cache size    45004, 5504594 req, miss ratio 0.0104, byte miss ratio 0.0104
result/cdn2_colo28.ns259.oracleGeneral.zst LRU cache size       56, 5504594 req, miss ratio 0.7030, byte miss ratio 0.7030
result/cdn2_colo28.ns259.oracleGeneral.zst LRU cache size      168, 5504594 req, miss ratio 0.5389, byte miss ratio 0.5389
result/cdn2_colo28.ns259.oracleGeneral.zst LRU cache size      562, 5504594 req, miss ratio 0.3632, byte miss ratio 0.3632
result/cdn2_colo28.ns259.oracleGeneral.zst LRU cache size     1687, 5504594 req, miss ratio 0.2048, byte miss ratio 0.2048
result/cdn2_colo28.ns259.oracleGeneral.zst LRU cache size     5625, 5504594 req, miss ratio 0.0797, byte miss ratio 0.0797
result/cdn2_colo28.ns259.oracleGeneral.zst LRU cache size    11251, 5504594 req, miss ratio 0.0389, byte miss ratio 0.0389
result/cdn2_colo28.ns259.oracleGeneral.zst LRU cache size    22502, 5504594 req, miss ratio 0.0170, byte miss ratio 0.0170
result/cdn2_colo28.ns259.oracleGeneral.zst LRU cache size    45004, 5504594 req, miss ratio 0.0104, byte miss ratio 0.0104
result/cdn2_colo28.ns259.oracleGeneral.zst clock2 cache size       56, 5504594 req, miss ratio 0.6722, byte miss ratio 0.6722
result/cdn2_colo28.ns259.oracleGeneral.zst clock2 cache size      168, 5504594 req, miss ratio 0.5068, byte miss ratio 0.5068
result/cdn2_colo28.ns259.oracleGeneral.zst clock2 cache size      562, 5504594 req, miss ratio 0.3384, byte miss ratio 0.3384
result/cdn2_colo28.ns259.oracleGeneral.zst clock2 cache size     1687, 5504594 req, miss ratio 0.1861, byte miss ratio 0.1861
result/cdn2_colo28.ns259.oracleGeneral.zst clock2 cache size     5625, 5504594 req, miss ratio 0.0715, byte miss ratio 0.0715
result/cdn2_colo28.ns259.oracleGeneral.zst clock2 cache size    11251, 5504594 req, miss ratio 0.0343, byte miss ratio 0.0343
result/cdn2_colo28.ns259.oracleGeneral.zst clock2 cache size    22502, 5504594 req, miss ratio 0.0155, byte miss ratio 0.0155
result/cdn2_colo28.ns259.oracleGeneral.zst clock2 cache size    45004, 5504594 req, miss ratio 0.0104, byte miss ratio 0.0104
result/cdn2_colo28.ns259.oracleGeneral.zst LHD cache size       56, 5504594 req, miss ratio 0.5995, byte miss ratio 0.5995
result/cdn2_colo28.ns259.oracleGeneral.zst LHD cache size      168, 5504594 req, miss ratio 0.4789, byte miss ratio 0.4789
result/cdn2_colo28.ns259.oracleGeneral.zst LHD cache size      562, 5504594 req, miss ratio 0.3246, byte miss ratio 0.3246
result/cdn2_colo28.ns259.oracleGeneral.zst LHD cache size     1687, 5504594 req, miss ratio 0.1807, byte miss ratio 0.1807
result/cdn2_colo28.ns259.oracleGeneral.zst LHD cache size     5625, 5504594 req, miss ratio 0.0727, byte miss ratio 0.0727
result/cdn2_colo28.ns259.oracleGeneral.zst LHD cache size    11251, 5504594 req, miss ratio 0.0356, byte miss ratio 0.0356
result/cdn2_colo28.ns259.oracleGeneral.zst LHD cache size    22502, 5504594 req, miss ratio 0.0162, byte miss ratio 0.0162
result/cdn2_colo28.ns259.oracleGeneral.zst LHD cache size    45004, 5504594 req, miss ratio 0.0105, byte miss ratio 0.0105
result/cdn2_colo28.ns259.oracleGeneral.zst S3FIFO-d-1 cache size       56, 5504594 req, miss ratio 0.5783, byte miss ratio 0.5783
result/cdn2_colo28.ns259.oracleGeneral.zst S3FIFO-d-1 cache size      168, 5504594 req, miss ratio 0.4416, byte miss ratio 0.4416
result/cdn2_colo28.ns259.oracleGeneral.zst S3FIFO-d-1 cache size      562, 5504594 req, miss ratio 0.2915, byte miss ratio 0.2915
result/cdn2_colo28.ns259.oracleGeneral.zst S3FIFO-d-1 cache size     1687, 5504594 req, miss ratio 0.1633, byte miss ratio 0.1633
result/cdn2_colo28.ns259.oracleGeneral.zst S3FIFO-d-1 cache size     5625, 5504594 req, miss ratio 0.0661, byte miss ratio 0.0661
result/cdn2_colo28.ns259.oracleGeneral.zst S3FIFO-d-1 cache size    11251, 5504594 req, miss ratio 0.0320, byte miss ratio 0.0320
result/cdn2_colo28.ns259.oracleGeneral.zst S3FIFO-d-1 cache size    22502, 5504594 req, miss ratio 0.0147, byte miss ratio 0.0147
result/cdn2_colo28.ns259.oracleGeneral.zst S3FIFO-d-1 cache size    45004, 5504594 req, miss ratio 0.0104, byte miss ratio 0.0104
result/cdn2_colo28.ns259.oracleGeneral.zst LRB cache size       56, 5504594 req, miss ratio 0.5735, byte miss ratio 0.5735
result/cdn2_colo28.ns259.oracleGeneral.zst LRB cache size      168, 5504594 req, miss ratio 0.4330, byte miss ratio 0.4330
result/cdn2_colo28.ns259.oracleGeneral.zst LRB cache size      562, 5504594 req, miss ratio 0.2774, byte miss ratio 0.2774
result/cdn2_colo28.ns259.oracleGeneral.zst LRB cache size     1687, 5504594 req, miss ratio 0.1532, byte miss ratio 0.1532
result/cdn2_colo28.ns259.oracleGeneral.zst LRB cache size     5625, 5504594 req, miss ratio 0.0607, byte miss ratio 0.0607
result/cdn2_colo28.ns259.oracleGeneral.zst LRB cache size    11251, 5504594 req, miss ratio 0.0299, byte miss ratio 0.0299
result/cdn2_colo28.ns259.oracleGeneral.zst LRB cache size    22502, 5504594 req, miss ratio 0.0157, byte miss ratio 0.0157
result/cdn2_colo28.ns259.oracleGeneral.zst LRB cache size    45004, 5504594 req, miss ratio 0.0104, byte miss ratio 0.0104
result/cdn2_colo28.ns259.oracleGeneral.zst B-LRU cache size       56, 5504594 req, miss ratio 0.7015, byte miss ratio 0.7015
result/cdn2_colo28.ns259.oracleGeneral.zst B-LRU cache size      168, 5504594 req, miss ratio 0.5369, byte miss ratio 0.5369
result/cdn2_colo28.ns259.oracleGeneral.zst B-LRU cache size      562, 5504594 req, miss ratio 0.3607, byte miss ratio 0.3607
result/cdn2_colo28.ns259.oracleGeneral.zst B-LRU cache size     1687, 5504594 req, miss ratio 0.2014, byte miss ratio 0.2014
result/cdn2_colo28.ns259.oracleGeneral.zst B-LRU cache size     5625, 5504594 req, miss ratio 0.0766, byte miss ratio 0.0766
result/cdn2_colo28.ns259.oracleGeneral.zst B-LRU cache size    11251, 5504594 req, miss ratio 0.0369, byte miss ratio 0.0369
result/cdn2_colo28.ns259.oracleGeneral.zst B-LRU cache size    22502, 5504594 req, miss ratio 0.0177, byte miss ratio 0.0177
result/cdn2_colo28.ns259.oracleGeneral.zst B-LRU cache size    45004, 5504594 req, miss ratio 0.0159, byte miss ratio 0.0159
result/cdn2_colo28.ns259.oracleGeneral.zst S4LRU(25:25:25:25) cache size       56, 5504594 req, miss ratio 0.5909, byte miss ratio 0.5909
result/cdn2_colo28.ns259.oracleGeneral.zst S4LRU(25:25:25:25) cache size      168, 5504594 req, miss ratio 0.4535, byte miss ratio 0.4535
result/cdn2_colo28.ns259.oracleGeneral.zst S4LRU(25:25:25:25) cache size      562, 5504594 req, miss ratio 0.3008, byte miss ratio 0.3008
result/cdn2_colo28.ns259.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1687, 5504594 req, miss ratio 0.1687, byte miss ratio 0.1687
result/cdn2_colo28.ns259.oracleGeneral.zst S4LRU(25:25:25:25) cache size     5625, 5504594 req, miss ratio 0.0680, byte miss ratio 0.0680
result/cdn2_colo28.ns259.oracleGeneral.zst S4LRU(25:25:25:25) cache size    11251, 5504594 req, miss ratio 0.0333, byte miss ratio 0.0333
result/cdn2_colo28.ns259.oracleGeneral.zst S4LRU(25:25:25:25) cache size    22502, 5504594 req, miss ratio 0.0152, byte miss ratio 0.0152
result/cdn2_colo28.ns259.oracleGeneral.zst S4LRU(25:25:25:25) cache size    45004, 5504594 req, miss ratio 0.0104, byte miss ratio 0.0104
result/cdn2_colo28.ns259.oracleGeneral.zst TwoQ cache size       56, 5504594 req, miss ratio 0.5982, byte miss ratio 0.5982
result/cdn2_colo28.ns259.oracleGeneral.zst TwoQ cache size      168, 5504594 req, miss ratio 0.4593, byte miss ratio 0.4593
result/cdn2_colo28.ns259.oracleGeneral.zst TwoQ cache size      562, 5504594 req, miss ratio 0.3065, byte miss ratio 0.3065
result/cdn2_colo28.ns259.oracleGeneral.zst TwoQ cache size     1687, 5504594 req, miss ratio 0.1747, byte miss ratio 0.1747
result/cdn2_colo28.ns259.oracleGeneral.zst TwoQ cache size     5625, 5504594 req, miss ratio 0.0730, byte miss ratio 0.0730
result/cdn2_colo28.ns259.oracleGeneral.zst TwoQ cache size    11251, 5504594 req, miss ratio 0.0373, byte miss ratio 0.0373
result/cdn2_colo28.ns259.oracleGeneral.zst TwoQ cache size    22502, 5504594 req, miss ratio 0.0184, byte miss ratio 0.0184
result/cdn2_colo28.ns259.oracleGeneral.zst TwoQ cache size    45004, 5504594 req, miss ratio 0.0132, byte miss ratio 0.0132
result/cdn2_colo28.ns259.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       56, 5504594 req, miss ratio 0.7336, byte miss ratio 0.7336
result/cdn2_colo28.ns259.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      168, 5504594 req, miss ratio 0.5196, byte miss ratio 0.5196
result/cdn2_colo28.ns259.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      562, 5504594 req, miss ratio 0.3521, byte miss ratio 0.3521
result/cdn2_colo28.ns259.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1687, 5504594 req, miss ratio 0.1995, byte miss ratio 0.1995
result/cdn2_colo28.ns259.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     5625, 5504594 req, miss ratio 0.0806, byte miss ratio 0.0806
result/cdn2_colo28.ns259.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    11251, 5504594 req, miss ratio 0.0399, byte miss ratio 0.0399
result/cdn2_colo28.ns259.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    22502, 5504594 req, miss ratio 0.0184, byte miss ratio 0.0184
result/cdn2_colo28.ns259.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    45004, 5504594 req, miss ratio 0.0123, byte miss ratio 0.0123
result/cdn2_colo28.ns259.oracleGeneral.zst S3FIFO cache size       56, 5504594 req, miss ratio 0.5746, byte miss ratio 0.5746
