result/cdn2_allcolo.ns546.oracleGeneral.zst clock2 cache size     5724, 7329618 req, miss ratio 0.0010, byte miss ratio 0.0010
result/cdn2_allcolo.ns546.oracleGeneral.zst LHD cache size        7, 7329618 req, miss ratio 0.8374, byte miss ratio 0.8374
result/cdn2_allcolo.ns546.oracleGeneral.zst LHD cache size       21, 7329618 req, miss ratio 0.7294, byte miss ratio 0.7294
result/cdn2_allcolo.ns546.oracleGeneral.zst LHD cache size       71, 7329618 req, miss ratio 0.5480, byte miss ratio 0.5480
result/cdn2_allcolo.ns546.oracleGeneral.zst LHD cache size      214, 7329618 req, miss ratio 0.3683, byte miss ratio 0.3683
result/cdn2_allcolo.ns546.oracleGeneral.zst LHD cache size      715, 7329618 req, miss ratio 0.1428, byte miss ratio 0.1428
result/cdn2_allcolo.ns546.oracleGeneral.zst LHD cache size     1431, 7329618 req, miss ratio 0.0555, byte miss ratio 0.0555
result/cdn2_allcolo.ns546.oracleGeneral.zst LHD cache size     2862, 7329618 req, miss ratio 0.0082, byte miss ratio 0.0082
result/cdn2_allcolo.ns546.oracleGeneral.zst LHD cache size     5724, 7329618 req, miss ratio 0.0011, byte miss ratio 0.0011
result/cdn2_allcolo.ns546.oracleGeneral.zst FIFO cache size        7, 7329618 req, miss ratio 0.9003, byte miss ratio 0.9003
result/cdn2_allcolo.ns546.oracleGeneral.zst FIFO cache size       21, 7329618 req, miss ratio 0.8104, byte miss ratio 0.8104
result/cdn2_allcolo.ns546.oracleGeneral.zst FIFO cache size       71, 7329618 req, miss ratio 0.6462, byte miss ratio 0.6462
result/cdn2_allcolo.ns546.oracleGeneral.zst FIFO cache size      214, 7329618 req, miss ratio 0.4409, byte miss ratio 0.4409
result/cdn2_allcolo.ns546.oracleGeneral.zst FIFO cache size      715, 7329618 req, miss ratio 0.1948, byte miss ratio 0.1948
result/cdn2_allcolo.ns546.oracleGeneral.zst FIFO cache size     1431, 7329618 req, miss ratio 0.0809, byte miss ratio 0.0809
