result/cdn2_allcolo.ns2181.oracleGeneral.zst ARC cache size    48886, 1194786 req, miss ratio 0.1429, byte miss ratio 0.1429
result/cdn2_allcolo.ns2181.oracleGeneral.zst ARC cache size    97773, 1194786 req, miss ratio 0.1054, byte miss ratio 0.1054
result/cdn2_allcolo.ns2181.oracleGeneral.zst S3FIFO-1 cache size      122, 1194786 req, miss ratio 0.6886, byte miss ratio 0.6886
result/cdn2_allcolo.ns2181.oracleGeneral.zst S3FIFO-1 cache size      366, 1194786 req, miss ratio 0.5852, byte miss ratio 0.5852
result/cdn2_allcolo.ns2181.oracleGeneral.zst S3FIFO-1 cache size     1222, 1194786 req, miss ratio 0.4714, byte miss ratio 0.4714
result/cdn2_allcolo.ns2181.oracleGeneral.zst S3FIFO-1 cache size     3666, 1194786 req, miss ratio 0.3776, byte miss ratio 0.3776
result/cdn2_allcolo.ns2181.oracleGeneral.zst S3FIFO-1 cache size    12221, 1194786 req, miss ratio 0.2694, byte miss ratio 0.2694
result/cdn2_allcolo.ns2181.oracleGeneral.zst S3FIFO-1 cache size    24443, 1194786 req, miss ratio 0.2023, byte miss ratio 0.2023
result/cdn2_allcolo.ns2181.oracleGeneral.zst S3FIFO-1 cache size    48886, 1194786 req, miss ratio 0.1413, byte miss ratio 0.1413
result/cdn2_allcolo.ns2181.oracleGeneral.zst S3FIFO-1 cache size    97773, 1194786 req, miss ratio 0.1054, byte miss ratio 0.1054
result/cdn2_allcolo.ns2181.oracleGeneral.zst Cacheus cache size      122, 1194786 req, miss ratio 0.7156, byte miss ratio 0.7156
result/cdn2_allcolo.ns2181.oracleGeneral.zst Cacheus cache size      366, 1194786 req, miss ratio 0.6191, byte miss ratio 0.6191
result/cdn2_allcolo.ns2181.oracleGeneral.zst Cacheus cache size     1222, 1194786 req, miss ratio 0.5019, byte miss ratio 0.5019
result/cdn2_allcolo.ns2181.oracleGeneral.zst Cacheus cache size     3666, 1194786 req, miss ratio 0.4014, byte miss ratio 0.4014
result/cdn2_allcolo.ns2181.oracleGeneral.zst Cacheus cache size    12221, 1194786 req, miss ratio 0.2877, byte miss ratio 0.2877
