result/cdn2_allcolo.ns1812.oracleGeneral.zst FIFO cache size       19, 1261603 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_allcolo.ns1812.oracleGeneral.zst FIFO cache size       38, 1261603 req, miss ratio 0.0011, byte miss ratio 0.0011
result/cdn2_allcolo.ns1812.oracleGeneral.zst FIFO cache size       77, 1261603 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_allcolo.ns1812.oracleGeneral.zst FIFO cache size      155, 1261603 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns1812.oracleGeneral.zst S3FIFO-d-1 cache size        5, 1261603 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns1812.oracleGeneral.zst S3FIFO-d-1 cache size       19, 1261603 req, miss ratio 0.0012, byte miss ratio 0.0012
result/cdn2_allcolo.ns1812.oracleGeneral.zst S3FIFO-d-1 cache size       38, 1261603 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn2_allcolo.ns1812.oracleGeneral.zst S3FIFO-d-1 cache size       77, 1261603 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns1812.oracleGeneral.zst S3FIFO-d-1 cache size      155, 1261603 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns1812.oracleGeneral.zst LRB cache size        5, 1261603 req, miss ratio 0.0060, byte miss ratio 0.0060
result/cdn2_allcolo.ns1812.oracleGeneral.zst LRB cache size       19, 1261603 req, miss ratio 0.0014, byte miss ratio 0.0014
result/cdn2_allcolo.ns1812.oracleGeneral.zst LRB cache size       38, 1261603 req, miss ratio 0.0007, byte miss ratio 0.0007
result/cdn2_allcolo.ns1812.oracleGeneral.zst LRB cache size       77, 1261603 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns1812.oracleGeneral.zst LRB cache size      155, 1261603 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns1812.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size        5, 1261603 req, miss ratio 0.0110, byte miss ratio 0.0110
result/cdn2_allcolo.ns1812.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       19, 1261603 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_allcolo.ns1812.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       38, 1261603 req, miss ratio 0.0011, byte miss ratio 0.0011
result/cdn2_allcolo.ns1812.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       77, 1261603 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_allcolo.ns1812.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      155, 1261603 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns1812.oracleGeneral.zst TwoQ cache size        5, 1261603 req, miss ratio 0.0069, byte miss ratio 0.0069
result/cdn2_allcolo.ns1812.oracleGeneral.zst TwoQ cache size       19, 1261603 req, miss ratio 0.0014, byte miss ratio 0.0014
result/cdn2_allcolo.ns1812.oracleGeneral.zst TwoQ cache size       38, 1261603 req, miss ratio 0.0007, byte miss ratio 0.0007
result/cdn2_allcolo.ns1812.oracleGeneral.zst TwoQ cache size       77, 1261603 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns1812.oracleGeneral.zst TwoQ cache size      155, 1261603 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns1812.oracleGeneral.zst B-LRU cache size        5, 1261603 req, miss ratio 0.0065, byte miss ratio 0.0065
result/cdn2_allcolo.ns1812.oracleGeneral.zst B-LRU cache size       19, 1261603 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns1812.oracleGeneral.zst B-LRU cache size       38, 1261603 req, miss ratio 0.0007, byte miss ratio 0.0007
result/cdn2_allcolo.ns1812.oracleGeneral.zst B-LRU cache size       77, 1261603 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn2_allcolo.ns1812.oracleGeneral.zst B-LRU cache size      155, 1261603 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns1812.oracleGeneral.zst S4LRU(25:25:25:25) cache size        5, 1261603 req, miss ratio 0.0065, byte miss ratio 0.0065
result/cdn2_allcolo.ns1812.oracleGeneral.zst S4LRU(25:25:25:25) cache size       19, 1261603 req, miss ratio 0.0014, byte miss ratio 0.0014
result/cdn2_allcolo.ns1812.oracleGeneral.zst S4LRU(25:25:25:25) cache size       38, 1261603 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn2_allcolo.ns1812.oracleGeneral.zst S4LRU(25:25:25:25) cache size       77, 1261603 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns1812.oracleGeneral.zst S4LRU(25:25:25:25) cache size      155, 1261603 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns1812.oracleGeneral.zst S3FIFO-d cache size        5, 1261603 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns1812.oracleGeneral.zst S3FIFO-d cache size       19, 1261603 req, miss ratio 0.0012, byte miss ratio 0.0012
result/cdn2_allcolo.ns1812.oracleGeneral.zst S3FIFO-d cache size       38, 1261603 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn2_allcolo.ns1812.oracleGeneral.zst S3FIFO-d cache size       77, 1261603 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns1812.oracleGeneral.zst S3FIFO-d cache size      155, 1261603 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns1812.oracleGeneral.zst S3FIFO cache size        5, 1261603 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns1812.oracleGeneral.zst S3FIFO cache size       19, 1261603 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns1812.oracleGeneral.zst S3FIFO cache size       38, 1261603 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn2_allcolo.ns1812.oracleGeneral.zst S3FIFO cache size       77, 1261603 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns1812.oracleGeneral.zst S3FIFO cache size      155, 1261603 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns1812.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size        5, 1261603 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns1812.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       19, 1261603 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns1812.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       38, 1261603 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns1812.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       77, 1261603 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns1812.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      155, 1261603 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns1812.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size        5, 1261603 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns1812.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       19, 1261603 req, miss ratio 0.0014, byte miss ratio 0.0014
result/cdn2_allcolo.ns1812.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       38, 1261603 req, miss ratio 0.0008, byte miss ratio 0.0008
result/cdn2_allcolo.ns1812.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       77, 1261603 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns1812.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      155, 1261603 req, miss ratio 0.0002, byte miss ratio 0.0002
