result/cdn2_colo28.ns8275.oracleGeneral.zst LIRS cache size       72, 1104329 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_colo28.ns8275.oracleGeneral.zst LIRS cache size      144, 1104329 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn2_colo28.ns8275.oracleGeneral.zst LIRS cache size      289, 1104329 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_colo28.ns8275.oracleGeneral.zst S3FIFO-d-1 cache size       10, 1104329 req, miss ratio 0.2164, byte miss ratio 0.2164
result/cdn2_colo28.ns8275.oracleGeneral.zst S3FIFO-d-1 cache size       36, 1104329 req, miss ratio 0.0014, byte miss ratio 0.0014
result/cdn2_colo28.ns8275.oracleGeneral.zst S3FIFO-d-1 cache size       72, 1104329 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn2_colo28.ns8275.oracleGeneral.zst S3FIFO-d-1 cache size      144, 1104329 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn2_colo28.ns8275.oracleGeneral.zst S3FIFO-d-1 cache size      289, 1104329 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn2_colo28.ns8275.oracleGeneral.zst LRB cache size       10, 1104329 req, miss ratio 0.1714, byte miss ratio 0.1714
result/cdn2_colo28.ns8275.oracleGeneral.zst LRB cache size       36, 1104329 req, miss ratio 0.0014, byte miss ratio 0.0014
result/cdn2_colo28.ns8275.oracleGeneral.zst LRB cache size       72, 1104329 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_colo28.ns8275.oracleGeneral.zst LRB cache size      144, 1104329 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn2_colo28.ns8275.oracleGeneral.zst LRB cache size      289, 1104329 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_colo28.ns8275.oracleGeneral.zst TwoQ cache size       10, 1104329 req, miss ratio 0.2220, byte miss ratio 0.2220
result/cdn2_colo28.ns8275.oracleGeneral.zst TwoQ cache size       36, 1104329 req, miss ratio 0.0019, byte miss ratio 0.0019
result/cdn2_colo28.ns8275.oracleGeneral.zst TwoQ cache size       72, 1104329 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_colo28.ns8275.oracleGeneral.zst TwoQ cache size      144, 1104329 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn2_colo28.ns8275.oracleGeneral.zst TwoQ cache size      289, 1104329 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn2_colo28.ns8275.oracleGeneral.zst S4LRU(25:25:25:25) cache size       10, 1104329 req, miss ratio 0.3166, byte miss ratio 0.3166
result/cdn2_colo28.ns8275.oracleGeneral.zst S4LRU(25:25:25:25) cache size       36, 1104329 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_colo28.ns8275.oracleGeneral.zst S4LRU(25:25:25:25) cache size       72, 1104329 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_colo28.ns8275.oracleGeneral.zst S4LRU(25:25:25:25) cache size      144, 1104329 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn2_colo28.ns8275.oracleGeneral.zst S4LRU(25:25:25:25) cache size      289, 1104329 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_colo28.ns8275.oracleGeneral.zst B-LRU cache size       10, 1104329 req, miss ratio 0.2778, byte miss ratio 0.2778
result/cdn2_colo28.ns8275.oracleGeneral.zst B-LRU cache size       36, 1104329 req, miss ratio 0.0019, byte miss ratio 0.0019
result/cdn2_colo28.ns8275.oracleGeneral.zst B-LRU cache size       72, 1104329 req, miss ratio 0.0008, byte miss ratio 0.0008
result/cdn2_colo28.ns8275.oracleGeneral.zst B-LRU cache size      144, 1104329 req, miss ratio 0.0007, byte miss ratio 0.0007
result/cdn2_colo28.ns8275.oracleGeneral.zst B-LRU cache size      289, 1104329 req, miss ratio 0.0007, byte miss ratio 0.0007
result/cdn2_colo28.ns8275.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       10, 1104329 req, miss ratio 0.2469, byte miss ratio 0.2469
result/cdn2_colo28.ns8275.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       36, 1104329 req, miss ratio 0.0041, byte miss ratio 0.0041
