result/cdn2_colo28.ns317.oracleGeneral.zst LHD cache size   484462, 8199213 req, miss ratio 0.0744, byte miss ratio 0.0744
result/cdn2_colo28.ns317.oracleGeneral.zst Clock cache size      605, 8199213 req, miss ratio 0.2527, byte miss ratio 0.2527
result/cdn2_colo28.ns317.oracleGeneral.zst Clock cache size     1816, 8199213 req, miss ratio 0.1906, byte miss ratio 0.1906
result/cdn2_colo28.ns317.oracleGeneral.zst Clock cache size     6055, 8199213 req, miss ratio 0.1461, byte miss ratio 0.1461
result/cdn2_colo28.ns317.oracleGeneral.zst Clock cache size    18167, 8199213 req, miss ratio 0.1191, byte miss ratio 0.1191
result/cdn2_colo28.ns317.oracleGeneral.zst Clock cache size    60557, 8199213 req, miss ratio 0.1012, byte miss ratio 0.1012
result/cdn2_colo28.ns317.oracleGeneral.zst Clock cache size   121115, 8199213 req, miss ratio 0.0942, byte miss ratio 0.0942
result/cdn2_colo28.ns317.oracleGeneral.zst Clock cache size   242231, 8199213 req, miss ratio 0.0889, byte miss ratio 0.0889
result/cdn2_colo28.ns317.oracleGeneral.zst Clock cache size   484462, 8199213 req, miss ratio 0.0750, byte miss ratio 0.0750
result/cdn2_colo28.ns317.oracleGeneral.zst LRU cache size      605, 8199213 req, miss ratio 0.2451, byte miss ratio 0.2451
result/cdn2_colo28.ns317.oracleGeneral.zst LRU cache size     1816, 8199213 req, miss ratio 0.1852, byte miss ratio 0.1852
result/cdn2_colo28.ns317.oracleGeneral.zst LRU cache size     6055, 8199213 req, miss ratio 0.1424, byte miss ratio 0.1424
result/cdn2_colo28.ns317.oracleGeneral.zst LRU cache size    18167, 8199213 req, miss ratio 0.1162, byte miss ratio 0.1162
result/cdn2_colo28.ns317.oracleGeneral.zst LRU cache size    60557, 8199213 req, miss ratio 0.0990, byte miss ratio 0.0990
result/cdn2_colo28.ns317.oracleGeneral.zst LRU cache size   121115, 8199213 req, miss ratio 0.0925, byte miss ratio 0.0925
result/cdn2_colo28.ns317.oracleGeneral.zst LRU cache size   242231, 8199213 req, miss ratio 0.0876, byte miss ratio 0.0876
result/cdn2_colo28.ns317.oracleGeneral.zst LRU cache size   484462, 8199213 req, miss ratio 0.0742, byte miss ratio 0.0742
result/cdn2_colo28.ns317.oracleGeneral.zst Cacheus cache size      605, 8199213 req, miss ratio 0.2452, byte miss ratio 0.2452
result/cdn2_colo28.ns317.oracleGeneral.zst Cacheus cache size     1816, 8199213 req, miss ratio 0.1760, byte miss ratio 0.1760
result/cdn2_colo28.ns317.oracleGeneral.zst Cacheus cache size     6055, 8199213 req, miss ratio 0.1424, byte miss ratio 0.1424
result/cdn2_colo28.ns317.oracleGeneral.zst Cacheus cache size    18167, 8199213 req, miss ratio 0.1162, byte miss ratio 0.1162
result/cdn2_colo28.ns317.oracleGeneral.zst Cacheus cache size    60557, 8199213 req, miss ratio 0.0990, byte miss ratio 0.0990
result/cdn2_colo28.ns317.oracleGeneral.zst Cacheus cache size   121115, 8199213 req, miss ratio 0.0925, byte miss ratio 0.0925
result/cdn2_colo28.ns317.oracleGeneral.zst Cacheus cache size   242231, 8199213 req, miss ratio 0.0876, byte miss ratio 0.0876
result/cdn2_colo28.ns317.oracleGeneral.zst Cacheus cache size   484462, 8199213 req, miss ratio 0.0744, byte miss ratio 0.0744
result/cdn2_colo28.ns317.oracleGeneral.zst LeCaR cache size      605, 8199213 req, miss ratio 0.2443, byte miss ratio 0.2443
result/cdn2_colo28.ns317.oracleGeneral.zst LeCaR cache size     1816, 8199213 req, miss ratio 0.1858, byte miss ratio 0.1858
result/cdn2_colo28.ns317.oracleGeneral.zst LeCaR cache size     6055, 8199213 req, miss ratio 0.1430, byte miss ratio 0.1430
