result/cdn2_allcolo.ns3821.oracleGeneral.zst Cacheus cache size       26, 1094474 req, miss ratio 0.1265, byte miss ratio 0.1265
result/cdn2_allcolo.ns3821.oracleGeneral.zst Cacheus cache size       53, 1094474 req, miss ratio 0.0611, byte miss ratio 0.0611
result/cdn2_allcolo.ns3821.oracleGeneral.zst Cacheus cache size      106, 1094474 req, miss ratio 0.0057, byte miss ratio 0.0057
result/cdn2_allcolo.ns3821.oracleGeneral.zst Cacheus cache size      212, 1094474 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns3821.oracleGeneral.zst S3FIFO-d-1 cache size        7, 1094474 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns3821.oracleGeneral.zst S3FIFO-d-1 cache size       26, 1094474 req, miss ratio 0.1264, byte miss ratio 0.1264
result/cdn2_allcolo.ns3821.oracleGeneral.zst S3FIFO-d-1 cache size       53, 1094474 req, miss ratio 0.0510, byte miss ratio 0.0510
result/cdn2_allcolo.ns3821.oracleGeneral.zst S3FIFO-d-1 cache size      106, 1094474 req, miss ratio 0.0067, byte miss ratio 0.0067
result/cdn2_allcolo.ns3821.oracleGeneral.zst S3FIFO-d-1 cache size      212, 1094474 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns3821.oracleGeneral.zst LRB cache size        7, 1094474 req, miss ratio 0.2942, byte miss ratio 0.2942
result/cdn2_allcolo.ns3821.oracleGeneral.zst LRB cache size       26, 1094474 req, miss ratio 0.1154, byte miss ratio 0.1154
result/cdn2_allcolo.ns3821.oracleGeneral.zst LRB cache size       53, 1094474 req, miss ratio 0.0408, byte miss ratio 0.0408
result/cdn2_allcolo.ns3821.oracleGeneral.zst LRB cache size      106, 1094474 req, miss ratio 0.0051, byte miss ratio 0.0051
result/cdn2_allcolo.ns3821.oracleGeneral.zst LRB cache size      212, 1094474 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns3821.oracleGeneral.zst TwoQ cache size        7, 1094474 req, miss ratio 0.3100, byte miss ratio 0.3100
result/cdn2_allcolo.ns3821.oracleGeneral.zst TwoQ cache size       26, 1094474 req, miss ratio 0.1408, byte miss ratio 0.1408
result/cdn2_allcolo.ns3821.oracleGeneral.zst TwoQ cache size       53, 1094474 req, miss ratio 0.0602, byte miss ratio 0.0602
result/cdn2_allcolo.ns3821.oracleGeneral.zst TwoQ cache size      106, 1094474 req, miss ratio 0.0091, byte miss ratio 0.0091
result/cdn2_allcolo.ns3821.oracleGeneral.zst TwoQ cache size      212, 1094474 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_allcolo.ns3821.oracleGeneral.zst S4LRU(25:25:25:25) cache size        7, 1094474 req, miss ratio 0.3433, byte miss ratio 0.3433
result/cdn2_allcolo.ns3821.oracleGeneral.zst S4LRU(25:25:25:25) cache size       26, 1094474 req, miss ratio 0.1313, byte miss ratio 0.1313
result/cdn2_allcolo.ns3821.oracleGeneral.zst S4LRU(25:25:25:25) cache size       53, 1094474 req, miss ratio 0.0515, byte miss ratio 0.0515
result/cdn2_allcolo.ns3821.oracleGeneral.zst S4LRU(25:25:25:25) cache size      106, 1094474 req, miss ratio 0.0074, byte miss ratio 0.0074
result/cdn2_allcolo.ns3821.oracleGeneral.zst S4LRU(25:25:25:25) cache size      212, 1094474 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns3821.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size        7, 1094474 req, miss ratio 0.4325, byte miss ratio 0.4325
result/cdn2_allcolo.ns3821.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       26, 1094474 req, miss ratio 0.1971, byte miss ratio 0.1971
result/cdn2_allcolo.ns3821.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       53, 1094474 req, miss ratio 0.0880, byte miss ratio 0.0880
result/cdn2_allcolo.ns3821.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      106, 1094474 req, miss ratio 0.0115, byte miss ratio 0.0115
result/cdn2_allcolo.ns3821.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      212, 1094474 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_allcolo.ns3821.oracleGeneral.zst B-LRU cache size        7, 1094474 req, miss ratio 0.3756, byte miss ratio 0.3756
result/cdn2_allcolo.ns3821.oracleGeneral.zst B-LRU cache size       26, 1094474 req, miss ratio 0.1558, byte miss ratio 0.1558
result/cdn2_allcolo.ns3821.oracleGeneral.zst B-LRU cache size       53, 1094474 req, miss ratio 0.0602, byte miss ratio 0.0602
result/cdn2_allcolo.ns3821.oracleGeneral.zst B-LRU cache size      106, 1094474 req, miss ratio 0.0077, byte miss ratio 0.0077
result/cdn2_allcolo.ns3821.oracleGeneral.zst B-LRU cache size      212, 1094474 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_allcolo.ns3821.oracleGeneral.zst S3FIFO cache size        7, 1094474 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns3821.oracleGeneral.zst S3FIFO cache size       26, 1094474 req, miss ratio 0.1252, byte miss ratio 0.1252
result/cdn2_allcolo.ns3821.oracleGeneral.zst S3FIFO cache size       53, 1094474 req, miss ratio 0.0506, byte miss ratio 0.0506
result/cdn2_allcolo.ns3821.oracleGeneral.zst S3FIFO cache size      106, 1094474 req, miss ratio 0.0067, byte miss ratio 0.0067
result/cdn2_allcolo.ns3821.oracleGeneral.zst S3FIFO cache size      212, 1094474 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns3821.oracleGeneral.zst S3FIFO-d cache size        7, 1094474 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns3821.oracleGeneral.zst S3FIFO-d cache size       26, 1094474 req, miss ratio 0.1257, byte miss ratio 0.1257
