result/cdn2_colo28.ns991.oracleGeneral.zst LRU cache size    60615, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst FIFO cache size       75, 35158448 req, miss ratio 0.0051, byte miss ratio 0.0051
result/cdn2_colo28.ns991.oracleGeneral.zst FIFO cache size      227, 35158448 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_colo28.ns991.oracleGeneral.zst FIFO cache size      757, 35158448 req, miss ratio 0.0028, byte miss ratio 0.0028
result/cdn2_colo28.ns991.oracleGeneral.zst FIFO cache size     2273, 35158448 req, miss ratio 0.0024, byte miss ratio 0.0024
result/cdn2_colo28.ns991.oracleGeneral.zst FIFO cache size     7576, 35158448 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_colo28.ns991.oracleGeneral.zst FIFO cache size    15153, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst FIFO cache size    30307, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst FIFO cache size    60615, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst LHD cache size       75, 35158448 req, miss ratio 0.0037, byte miss ratio 0.0037
result/cdn2_colo28.ns991.oracleGeneral.zst LHD cache size      227, 35158448 req, miss ratio 0.0030, byte miss ratio 0.0030
result/cdn2_colo28.ns991.oracleGeneral.zst LHD cache size      757, 35158448 req, miss ratio 0.0025, byte miss ratio 0.0025
result/cdn2_colo28.ns991.oracleGeneral.zst LHD cache size     2273, 35158448 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_colo28.ns991.oracleGeneral.zst LHD cache size     7576, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst LHD cache size    15153, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst LHD cache size    30307, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst LHD cache size    60615, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst Cacheus cache size       75, 35158448 req, miss ratio 0.0037, byte miss ratio 0.0037
result/cdn2_colo28.ns991.oracleGeneral.zst Cacheus cache size      227, 35158448 req, miss ratio 0.0026, byte miss ratio 0.0026
result/cdn2_colo28.ns991.oracleGeneral.zst Cacheus cache size      757, 35158448 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_colo28.ns991.oracleGeneral.zst Cacheus cache size     2273, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst Cacheus cache size     7576, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst Cacheus cache size    15153, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst Cacheus cache size    30307, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst Cacheus cache size    60615, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst clock2 cache size       75, 35158448 req, miss ratio 0.0037, byte miss ratio 0.0037
result/cdn2_colo28.ns991.oracleGeneral.zst clock2 cache size      227, 35158448 req, miss ratio 0.0028, byte miss ratio 0.0028
result/cdn2_colo28.ns991.oracleGeneral.zst clock2 cache size      757, 35158448 req, miss ratio 0.0024, byte miss ratio 0.0024
result/cdn2_colo28.ns991.oracleGeneral.zst clock2 cache size     2273, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst clock2 cache size     7576, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
