result/cdn2_allcolo.ns964.oracleGeneral.zst FIFO cache size  4146461, 11620942 req, miss ratio 0.8921, byte miss ratio 0.8921
result/cdn2_allcolo.ns964.oracleGeneral.zst FIFO cache size  8292922, 11620942 req, miss ratio 0.8920, byte miss ratio 0.8920
result/cdn2_allcolo.ns964.oracleGeneral.zst ARC cache size    10366, 11620942 req, miss ratio 0.8923, byte miss ratio 0.8923
result/cdn2_allcolo.ns964.oracleGeneral.zst ARC cache size    31098, 11620942 req, miss ratio 0.8923, byte miss ratio 0.8923
result/cdn2_allcolo.ns964.oracleGeneral.zst ARC cache size   103661, 11620942 req, miss ratio 0.8923, byte miss ratio 0.8923
result/cdn2_allcolo.ns964.oracleGeneral.zst ARC cache size   310984, 11620942 req, miss ratio 0.8923, byte miss ratio 0.8923
result/cdn2_allcolo.ns964.oracleGeneral.zst ARC cache size  1036615, 11620942 req, miss ratio 0.8921, byte miss ratio 0.8921
result/cdn2_allcolo.ns964.oracleGeneral.zst ARC cache size  2073230, 11620942 req, miss ratio 0.8921, byte miss ratio 0.8921
result/cdn2_allcolo.ns964.oracleGeneral.zst ARC cache size  4146461, 11620942 req, miss ratio 0.8920, byte miss ratio 0.8920
result/cdn2_allcolo.ns964.oracleGeneral.zst ARC cache size  8292922, 11620942 req, miss ratio 0.8920, byte miss ratio 0.8920
result/cdn2_allcolo.ns964.oracleGeneral.zst LeCaR cache size    10366, 11620942 req, miss ratio 0.8923, byte miss ratio 0.8923
result/cdn2_allcolo.ns964.oracleGeneral.zst LeCaR cache size    31098, 11620942 req, miss ratio 0.8923, byte miss ratio 0.8923
result/cdn2_allcolo.ns964.oracleGeneral.zst LeCaR cache size   103661, 11620942 req, miss ratio 0.8922, byte miss ratio 0.8922
result/cdn2_allcolo.ns964.oracleGeneral.zst LeCaR cache size   310984, 11620942 req, miss ratio 0.8922, byte miss ratio 0.8922
result/cdn2_allcolo.ns964.oracleGeneral.zst LeCaR cache size  1036615, 11620942 req, miss ratio 0.8921, byte miss ratio 0.8921
result/cdn2_allcolo.ns964.oracleGeneral.zst LeCaR cache size  2073230, 11620942 req, miss ratio 0.8921, byte miss ratio 0.8921
result/cdn2_allcolo.ns964.oracleGeneral.zst LeCaR cache size  4146461, 11620942 req, miss ratio 0.8920, byte miss ratio 0.8920
result/cdn2_allcolo.ns964.oracleGeneral.zst LeCaR cache size  8292922, 11620942 req, miss ratio 0.8920, byte miss ratio 0.8920
result/cdn2_allcolo.ns964.oracleGeneral.zst S3FIFO-1 cache size    10366, 11620942 req, miss ratio 0.8923, byte miss ratio 0.8923
result/cdn2_allcolo.ns964.oracleGeneral.zst S3FIFO-1 cache size    31098, 11620942 req, miss ratio 0.8923, byte miss ratio 0.8923
result/cdn2_allcolo.ns964.oracleGeneral.zst S3FIFO-1 cache size   103661, 11620942 req, miss ratio 0.8922, byte miss ratio 0.8922
result/cdn2_allcolo.ns964.oracleGeneral.zst S3FIFO-1 cache size   310984, 11620942 req, miss ratio 0.8922, byte miss ratio 0.8922
result/cdn2_allcolo.ns964.oracleGeneral.zst S3FIFO-1 cache size  1036615, 11620942 req, miss ratio 0.8921, byte miss ratio 0.8921
result/cdn2_allcolo.ns964.oracleGeneral.zst S3FIFO-1 cache size  2073230, 11620942 req, miss ratio 0.8921, byte miss ratio 0.8921
result/cdn2_allcolo.ns964.oracleGeneral.zst S3FIFO-1 cache size  4146461, 11620942 req, miss ratio 0.8920, byte miss ratio 0.8920
result/cdn2_allcolo.ns964.oracleGeneral.zst S3FIFO-1 cache size  8292922, 11620942 req, miss ratio 0.8920, byte miss ratio 0.8920
result/cdn2_allcolo.ns964.oracleGeneral.zst LHD cache size    10366, 11620942 req, miss ratio 0.8923, byte miss ratio 0.8923
result/cdn2_allcolo.ns964.oracleGeneral.zst LHD cache size    31098, 11620942 req, miss ratio 0.8923, byte miss ratio 0.8923
result/cdn2_allcolo.ns964.oracleGeneral.zst LHD cache size   103661, 11620942 req, miss ratio 0.8922, byte miss ratio 0.8922
result/cdn2_allcolo.ns964.oracleGeneral.zst LHD cache size   310984, 11620942 req, miss ratio 0.8922, byte miss ratio 0.8922
result/cdn2_allcolo.ns964.oracleGeneral.zst LHD cache size  1036615, 11620942 req, miss ratio 0.8921, byte miss ratio 0.8921
result/cdn2_allcolo.ns964.oracleGeneral.zst LHD cache size  2073230, 11620942 req, miss ratio 0.8921, byte miss ratio 0.8921
result/cdn2_allcolo.ns964.oracleGeneral.zst LHD cache size  4146461, 11620942 req, miss ratio 0.8920, byte miss ratio 0.8920
result/cdn2_allcolo.ns964.oracleGeneral.zst LHD cache size  8292922, 11620942 req, miss ratio 0.8920, byte miss ratio 0.8920
result/cdn2_allcolo.ns964.oracleGeneral.zst S3FIFO-d-1 cache size    10366, 11620942 req, miss ratio 0.8923, byte miss ratio 0.8923
result/cdn2_allcolo.ns964.oracleGeneral.zst S3FIFO-d-1 cache size    31098, 11620942 req, miss ratio 0.8923, byte miss ratio 0.8923
result/cdn2_allcolo.ns964.oracleGeneral.zst S3FIFO-d-1 cache size   103661, 11620942 req, miss ratio 0.8922, byte miss ratio 0.8922
result/cdn2_allcolo.ns964.oracleGeneral.zst S3FIFO-d-1 cache size   310984, 11620942 req, miss ratio 0.8922, byte miss ratio 0.8922
result/cdn2_allcolo.ns964.oracleGeneral.zst S3FIFO-d-1 cache size  1036615, 11620942 req, miss ratio 0.8921, byte miss ratio 0.8921
result/cdn2_allcolo.ns964.oracleGeneral.zst S3FIFO-d-1 cache size  2073230, 11620942 req, miss ratio 0.8921, byte miss ratio 0.8921
result/cdn2_allcolo.ns964.oracleGeneral.zst S3FIFO-d-1 cache size  4146461, 11620942 req, miss ratio 0.8920, byte miss ratio 0.8920
result/cdn2_allcolo.ns964.oracleGeneral.zst S3FIFO-d-1 cache size  8292922, 11620942 req, miss ratio 0.8920, byte miss ratio 0.8920
result/cdn2_allcolo.ns964.oracleGeneral.zst LRB cache size    10366, 11620942 req, miss ratio 0.8923, byte miss ratio 0.8923
result/cdn2_allcolo.ns964.oracleGeneral.zst LRB cache size    31098, 11620942 req, miss ratio 0.8923, byte miss ratio 0.8923
result/cdn2_allcolo.ns964.oracleGeneral.zst LRB cache size   103661, 11620942 req, miss ratio 0.8922, byte miss ratio 0.8922
result/cdn2_allcolo.ns964.oracleGeneral.zst LRB cache size   310984, 11620942 req, miss ratio 0.8922, byte miss ratio 0.8922
result/cdn2_allcolo.ns964.oracleGeneral.zst LRB cache size  1036615, 11620942 req, miss ratio 0.8921, byte miss ratio 0.8921
result/cdn2_allcolo.ns964.oracleGeneral.zst LRB cache size  2073230, 11620942 req, miss ratio 0.8921, byte miss ratio 0.8921
result/cdn2_allcolo.ns964.oracleGeneral.zst LRB cache size  4146461, 11620942 req, miss ratio 0.8920, byte miss ratio 0.8920
result/cdn2_allcolo.ns964.oracleGeneral.zst LRB cache size  8292922, 11620942 req, miss ratio 0.8920, byte miss ratio 0.8920
result/cdn2_allcolo.ns964.oracleGeneral.zst S4LRU(25:25:25:25) cache size    10366, 11620942 req, miss ratio 0.8923, byte miss ratio 0.8923
result/cdn2_allcolo.ns964.oracleGeneral.zst S4LRU(25:25:25:25) cache size    31098, 11620942 req, miss ratio 0.8923, byte miss ratio 0.8923
result/cdn2_allcolo.ns964.oracleGeneral.zst S4LRU(25:25:25:25) cache size   103661, 11620942 req, miss ratio 0.8922, byte miss ratio 0.8922
result/cdn2_allcolo.ns964.oracleGeneral.zst S4LRU(25:25:25:25) cache size   310984, 11620942 req, miss ratio 0.8922, byte miss ratio 0.8922
result/cdn2_allcolo.ns964.oracleGeneral.zst S4LRU(25:25:25:25) cache size  1036615, 11620942 req, miss ratio 0.8921, byte miss ratio 0.8921
result/cdn2_allcolo.ns964.oracleGeneral.zst S4LRU(25:25:25:25) cache size  2073230, 11620942 req, miss ratio 0.8921, byte miss ratio 0.8921
result/cdn2_allcolo.ns964.oracleGeneral.zst S4LRU(25:25:25:25) cache size  4146461, 11620942 req, miss ratio 0.8921, byte miss ratio 0.8921
result/cdn2_allcolo.ns964.oracleGeneral.zst S4LRU(25:25:25:25) cache size  8292922, 11620942 req, miss ratio 0.8920, byte miss ratio 0.8920
result/cdn2_allcolo.ns964.oracleGeneral.zst B-LRU cache size    10366, 11620942 req, miss ratio 0.9325, byte miss ratio 0.9325
result/cdn2_allcolo.ns964.oracleGeneral.zst B-LRU cache size    31098, 11620942 req, miss ratio 0.9325, byte miss ratio 0.9325
result/cdn2_allcolo.ns964.oracleGeneral.zst B-LRU cache size   103661, 11620942 req, miss ratio 0.9325, byte miss ratio 0.9325
result/cdn2_allcolo.ns964.oracleGeneral.zst B-LRU cache size   310984, 11620942 req, miss ratio 0.9324, byte miss ratio 0.9324
result/cdn2_allcolo.ns964.oracleGeneral.zst B-LRU cache size  1036615, 11620942 req, miss ratio 0.9324, byte miss ratio 0.9324
result/cdn2_allcolo.ns964.oracleGeneral.zst B-LRU cache size  2073230, 11620942 req, miss ratio 0.9324, byte miss ratio 0.9324
result/cdn2_allcolo.ns964.oracleGeneral.zst B-LRU cache size  4146461, 11620942 req, miss ratio 0.9324, byte miss ratio 0.9324
result/cdn2_allcolo.ns964.oracleGeneral.zst B-LRU cache size  8292922, 11620942 req, miss ratio 0.9324, byte miss ratio 0.9324
result/cdn2_allcolo.ns964.oracleGeneral.zst TwoQ cache size    10366, 11620942 req, miss ratio 0.8923, byte miss ratio 0.8923
result/cdn2_allcolo.ns964.oracleGeneral.zst TwoQ cache size    31098, 11620942 req, miss ratio 0.8923, byte miss ratio 0.8923
result/cdn2_allcolo.ns964.oracleGeneral.zst TwoQ cache size   103661, 11620942 req, miss ratio 0.8922, byte miss ratio 0.8922
result/cdn2_allcolo.ns964.oracleGeneral.zst TwoQ cache size   310984, 11620942 req, miss ratio 0.8922, byte miss ratio 0.8922
result/cdn2_allcolo.ns964.oracleGeneral.zst TwoQ cache size  1036615, 11620942 req, miss ratio 0.8921, byte miss ratio 0.8921
result/cdn2_allcolo.ns964.oracleGeneral.zst TwoQ cache size  2073230, 11620942 req, miss ratio 0.8921, byte miss ratio 0.8921
result/cdn2_allcolo.ns964.oracleGeneral.zst TwoQ cache size  4146461, 11620942 req, miss ratio 0.8921, byte miss ratio 0.8921
result/cdn2_allcolo.ns964.oracleGeneral.zst TwoQ cache size  8292922, 11620942 req, miss ratio 0.8920, byte miss ratio 0.8920
result/cdn2_allcolo.ns964.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    10366, 11620942 req, miss ratio 0.8923, byte miss ratio 0.8923
result/cdn2_allcolo.ns964.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    31098, 11620942 req, miss ratio 0.8923, byte miss ratio 0.8923
result/cdn2_allcolo.ns964.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   103661, 11620942 req, miss ratio 0.8922, byte miss ratio 0.8922
result/cdn2_allcolo.ns964.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   310984, 11620942 req, miss ratio 0.8922, byte miss ratio 0.8922
result/cdn2_allcolo.ns964.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  1036615, 11620942 req, miss ratio 0.8921, byte miss ratio 0.8921
result/cdn2_allcolo.ns964.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  2073230, 11620942 req, miss ratio 0.8921, byte miss ratio 0.8921
result/cdn2_allcolo.ns964.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  4146461, 11620942 req, miss ratio 0.8920, byte miss ratio 0.8920
result/cdn2_allcolo.ns964.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  8292922, 11620942 req, miss ratio 0.8920, byte miss ratio 0.8920
result/cdn2_allcolo.ns964.oracleGeneral.zst S3FIFO-d cache size    10366, 11620942 req, miss ratio 0.8923, byte miss ratio 0.8923
result/cdn2_allcolo.ns964.oracleGeneral.zst S3FIFO-d cache size    31098, 11620942 req, miss ratio 0.8923, byte miss ratio 0.8923
result/cdn2_allcolo.ns964.oracleGeneral.zst S3FIFO-d cache size   103661, 11620942 req, miss ratio 0.8922, byte miss ratio 0.8922
result/cdn2_allcolo.ns964.oracleGeneral.zst S3FIFO-d cache size   310984, 11620942 req, miss ratio 0.8922, byte miss ratio 0.8922
result/cdn2_allcolo.ns964.oracleGeneral.zst S3FIFO-d cache size  1036615, 11620942 req, miss ratio 0.8921, byte miss ratio 0.8921
result/cdn2_allcolo.ns964.oracleGeneral.zst S3FIFO-d cache size  2073230, 11620942 req, miss ratio 0.8921, byte miss ratio 0.8921
result/cdn2_allcolo.ns964.oracleGeneral.zst S3FIFO-d cache size  4146461, 11620942 req, miss ratio 0.8920, byte miss ratio 0.8920
result/cdn2_allcolo.ns964.oracleGeneral.zst S3FIFO-d cache size  8292922, 11620942 req, miss ratio 0.8920, byte miss ratio 0.8920
result/cdn2_allcolo.ns964.oracleGeneral.zst S3FIFO cache size    10366, 11620942 req, miss ratio 0.8923, byte miss ratio 0.8923
result/cdn2_allcolo.ns964.oracleGeneral.zst S3FIFO cache size    31098, 11620942 req, miss ratio 0.8923, byte miss ratio 0.8923
