result/cdn2_allcolo.ns3815.oracleGeneral.zst FIFO cache size   923782, 2347655 req, miss ratio 0.4965, byte miss ratio 0.4965
result/cdn2_allcolo.ns3815.oracleGeneral.zst clock2 cache size     1154, 2347655 req, miss ratio 0.7980, byte miss ratio 0.7980
result/cdn2_allcolo.ns3815.oracleGeneral.zst clock2 cache size     3464, 2347655 req, miss ratio 0.7217, byte miss ratio 0.7217
result/cdn2_allcolo.ns3815.oracleGeneral.zst clock2 cache size    11547, 2347655 req, miss ratio 0.6243, byte miss ratio 0.6243
result/cdn2_allcolo.ns3815.oracleGeneral.zst clock2 cache size    34641, 2347655 req, miss ratio 0.5121, byte miss ratio 0.5121
result/cdn2_allcolo.ns3815.oracleGeneral.zst clock2 cache size   115472, 2347655 req, miss ratio 0.4941, byte miss ratio 0.4941
result/cdn2_allcolo.ns3815.oracleGeneral.zst clock2 cache size   230945, 2347655 req, miss ratio 0.4926, byte miss ratio 0.4926
result/cdn2_allcolo.ns3815.oracleGeneral.zst clock2 cache size   461891, 2347655 req, miss ratio 0.4923, byte miss ratio 0.4923
result/cdn2_allcolo.ns3815.oracleGeneral.zst clock2 cache size   923782, 2347655 req, miss ratio 0.4919, byte miss ratio 0.4919
result/cdn2_allcolo.ns3815.oracleGeneral.zst LeCaR cache size     1154, 2347655 req, miss ratio 0.7788, byte miss ratio 0.7788
result/cdn2_allcolo.ns3815.oracleGeneral.zst LeCaR cache size     3464, 2347655 req, miss ratio 0.7169, byte miss ratio 0.7169
result/cdn2_allcolo.ns3815.oracleGeneral.zst LeCaR cache size    11547, 2347655 req, miss ratio 0.6278, byte miss ratio 0.6278
result/cdn2_allcolo.ns3815.oracleGeneral.zst LeCaR cache size    34641, 2347655 req, miss ratio 0.5041, byte miss ratio 0.5041
result/cdn2_allcolo.ns3815.oracleGeneral.zst LeCaR cache size   115472, 2347655 req, miss ratio 0.4932, byte miss ratio 0.4932
result/cdn2_allcolo.ns3815.oracleGeneral.zst LeCaR cache size   230945, 2347655 req, miss ratio 0.4926, byte miss ratio 0.4926
result/cdn2_allcolo.ns3815.oracleGeneral.zst LeCaR cache size   461891, 2347655 req, miss ratio 0.4925, byte miss ratio 0.4925
result/cdn2_allcolo.ns3815.oracleGeneral.zst LeCaR cache size   923782, 2347655 req, miss ratio 0.4919, byte miss ratio 0.4919
result/cdn2_allcolo.ns3815.oracleGeneral.zst LRU cache size     1154, 2347655 req, miss ratio 0.8243, byte miss ratio 0.8243
result/cdn2_allcolo.ns3815.oracleGeneral.zst LRU cache size     3464, 2347655 req, miss ratio 0.7393, byte miss ratio 0.7393
result/cdn2_allcolo.ns3815.oracleGeneral.zst LRU cache size    11547, 2347655 req, miss ratio 0.6474, byte miss ratio 0.6474
result/cdn2_allcolo.ns3815.oracleGeneral.zst LRU cache size    34641, 2347655 req, miss ratio 0.5435, byte miss ratio 0.5435
result/cdn2_allcolo.ns3815.oracleGeneral.zst LRU cache size   115472, 2347655 req, miss ratio 0.4983, byte miss ratio 0.4983
result/cdn2_allcolo.ns3815.oracleGeneral.zst LRU cache size   230945, 2347655 req, miss ratio 0.4931, byte miss ratio 0.4931
result/cdn2_allcolo.ns3815.oracleGeneral.zst LRU cache size   461891, 2347655 req, miss ratio 0.4926, byte miss ratio 0.4926
result/cdn2_allcolo.ns3815.oracleGeneral.zst LRU cache size   923782, 2347655 req, miss ratio 0.4919, byte miss ratio 0.4919
result/cdn2_allcolo.ns3815.oracleGeneral.zst Cacheus cache size     1154, 2347655 req, miss ratio 0.7483, byte miss ratio 0.7483
result/cdn2_allcolo.ns3815.oracleGeneral.zst Cacheus cache size     3464, 2347655 req, miss ratio 0.6898, byte miss ratio 0.6898
result/cdn2_allcolo.ns3815.oracleGeneral.zst Cacheus cache size    11547, 2347655 req, miss ratio 0.5776, byte miss ratio 0.5776
result/cdn2_allcolo.ns3815.oracleGeneral.zst Cacheus cache size    34641, 2347655 req, miss ratio 0.4969, byte miss ratio 0.4969
result/cdn2_allcolo.ns3815.oracleGeneral.zst Cacheus cache size   115472, 2347655 req, miss ratio 0.4935, byte miss ratio 0.4935
