result/cdn2_allcolo.ns2117.oracleGeneral.zst FIFO cache size    54754, 2980761 req, miss ratio 0.0872, byte miss ratio 0.0872
result/cdn2_allcolo.ns2117.oracleGeneral.zst FIFO cache size   109508, 2980761 req, miss ratio 0.0553, byte miss ratio 0.0553
result/cdn2_allcolo.ns2117.oracleGeneral.zst Cacheus cache size      136, 2980761 req, miss ratio 0.7473, byte miss ratio 0.7473
result/cdn2_allcolo.ns2117.oracleGeneral.zst Cacheus cache size      410, 2980761 req, miss ratio 0.6183, byte miss ratio 0.6183
result/cdn2_allcolo.ns2117.oracleGeneral.zst Cacheus cache size     1368, 2980761 req, miss ratio 0.4380, byte miss ratio 0.4380
result/cdn2_allcolo.ns2117.oracleGeneral.zst Cacheus cache size     4106, 2980761 req, miss ratio 0.2791, byte miss ratio 0.2791
result/cdn2_allcolo.ns2117.oracleGeneral.zst Cacheus cache size    13688, 2980761 req, miss ratio 0.1610, byte miss ratio 0.1610
result/cdn2_allcolo.ns2117.oracleGeneral.zst Cacheus cache size    27377, 2980761 req, miss ratio 0.1018, byte miss ratio 0.1018
result/cdn2_allcolo.ns2117.oracleGeneral.zst Cacheus cache size    54754, 2980761 req, miss ratio 0.0605, byte miss ratio 0.0605
result/cdn2_allcolo.ns2117.oracleGeneral.zst Cacheus cache size   109508, 2980761 req, miss ratio 0.0473, byte miss ratio 0.0473
result/cdn2_allcolo.ns2117.oracleGeneral.zst Clock cache size      136, 2980761 req, miss ratio 0.8052, byte miss ratio 0.8052
result/cdn2_allcolo.ns2117.oracleGeneral.zst Clock cache size      410, 2980761 req, miss ratio 0.6653, byte miss ratio 0.6653
result/cdn2_allcolo.ns2117.oracleGeneral.zst Clock cache size     1368, 2980761 req, miss ratio 0.4899, byte miss ratio 0.4899
result/cdn2_allcolo.ns2117.oracleGeneral.zst Clock cache size     4106, 2980761 req, miss ratio 0.3247, byte miss ratio 0.3247
result/cdn2_allcolo.ns2117.oracleGeneral.zst Clock cache size    13688, 2980761 req, miss ratio 0.1674, byte miss ratio 0.1674
result/cdn2_allcolo.ns2117.oracleGeneral.zst Clock cache size    27377, 2980761 req, miss ratio 0.1044, byte miss ratio 0.1044
result/cdn2_allcolo.ns2117.oracleGeneral.zst Clock cache size    54754, 2980761 req, miss ratio 0.0648, byte miss ratio 0.0648
result/cdn2_allcolo.ns2117.oracleGeneral.zst Clock cache size   109508, 2980761 req, miss ratio 0.0473, byte miss ratio 0.0473
result/cdn2_allcolo.ns2117.oracleGeneral.zst ARC cache size      136, 2980761 req, miss ratio 0.7345, byte miss ratio 0.7345
result/cdn2_allcolo.ns2117.oracleGeneral.zst ARC cache size      410, 2980761 req, miss ratio 0.6047, byte miss ratio 0.6047
result/cdn2_allcolo.ns2117.oracleGeneral.zst ARC cache size     1368, 2980761 req, miss ratio 0.4370, byte miss ratio 0.4370
result/cdn2_allcolo.ns2117.oracleGeneral.zst ARC cache size     4106, 2980761 req, miss ratio 0.2842, byte miss ratio 0.2842
result/cdn2_allcolo.ns2117.oracleGeneral.zst ARC cache size    13688, 2980761 req, miss ratio 0.1467, byte miss ratio 0.1467
result/cdn2_allcolo.ns2117.oracleGeneral.zst ARC cache size    27377, 2980761 req, miss ratio 0.0926, byte miss ratio 0.0926
result/cdn2_allcolo.ns2117.oracleGeneral.zst ARC cache size    54754, 2980761 req, miss ratio 0.0607, byte miss ratio 0.0607
result/cdn2_allcolo.ns2117.oracleGeneral.zst ARC cache size   109508, 2980761 req, miss ratio 0.0473, byte miss ratio 0.0473
result/cdn2_allcolo.ns2117.oracleGeneral.zst S3FIFO-1 cache size      136, 2980761 req, miss ratio 0.7241, byte miss ratio 0.7241
result/cdn2_allcolo.ns2117.oracleGeneral.zst S3FIFO-1 cache size      410, 2980761 req, miss ratio 0.5919, byte miss ratio 0.5919
result/cdn2_allcolo.ns2117.oracleGeneral.zst S3FIFO-1 cache size     1368, 2980761 req, miss ratio 0.4221, byte miss ratio 0.4221
result/cdn2_allcolo.ns2117.oracleGeneral.zst S3FIFO-1 cache size     4106, 2980761 req, miss ratio 0.2730, byte miss ratio 0.2730
result/cdn2_allcolo.ns2117.oracleGeneral.zst S3FIFO-1 cache size    13688, 2980761 req, miss ratio 0.1412, byte miss ratio 0.1412
result/cdn2_allcolo.ns2117.oracleGeneral.zst S3FIFO-1 cache size    27377, 2980761 req, miss ratio 0.0901, byte miss ratio 0.0901
result/cdn2_allcolo.ns2117.oracleGeneral.zst S3FIFO-1 cache size    54754, 2980761 req, miss ratio 0.0606, byte miss ratio 0.0606
result/cdn2_allcolo.ns2117.oracleGeneral.zst S3FIFO-1 cache size   109508, 2980761 req, miss ratio 0.0473, byte miss ratio 0.0473
result/cdn2_allcolo.ns2117.oracleGeneral.zst S3FIFO-d-1 cache size      136, 2980761 req, miss ratio 0.7283, byte miss ratio 0.7283
result/cdn2_allcolo.ns2117.oracleGeneral.zst S3FIFO-d-1 cache size      410, 2980761 req, miss ratio 0.5930, byte miss ratio 0.5930
result/cdn2_allcolo.ns2117.oracleGeneral.zst S3FIFO-d-1 cache size     1368, 2980761 req, miss ratio 0.4221, byte miss ratio 0.4221
result/cdn2_allcolo.ns2117.oracleGeneral.zst S3FIFO-d-1 cache size     4106, 2980761 req, miss ratio 0.2730, byte miss ratio 0.2730
result/cdn2_allcolo.ns2117.oracleGeneral.zst S3FIFO-d-1 cache size    13688, 2980761 req, miss ratio 0.1411, byte miss ratio 0.1411
result/cdn2_allcolo.ns2117.oracleGeneral.zst S3FIFO-d-1 cache size    27377, 2980761 req, miss ratio 0.0901, byte miss ratio 0.0901
result/cdn2_allcolo.ns2117.oracleGeneral.zst S3FIFO-d-1 cache size    54754, 2980761 req, miss ratio 0.0606, byte miss ratio 0.0606
result/cdn2_allcolo.ns2117.oracleGeneral.zst S3FIFO-d-1 cache size   109508, 2980761 req, miss ratio 0.0473, byte miss ratio 0.0473
result/cdn2_allcolo.ns2117.oracleGeneral.zst LRB cache size      136, 2980761 req, miss ratio 0.7110, byte miss ratio 0.7110
result/cdn2_allcolo.ns2117.oracleGeneral.zst LRB cache size      410, 2980761 req, miss ratio 0.5760, byte miss ratio 0.5760
result/cdn2_allcolo.ns2117.oracleGeneral.zst LRB cache size     1368, 2980761 req, miss ratio 0.4075, byte miss ratio 0.4075
result/cdn2_allcolo.ns2117.oracleGeneral.zst LRB cache size     4106, 2980761 req, miss ratio 0.2595, byte miss ratio 0.2595
result/cdn2_allcolo.ns2117.oracleGeneral.zst LRB cache size    13688, 2980761 req, miss ratio 0.1345, byte miss ratio 0.1345
result/cdn2_allcolo.ns2117.oracleGeneral.zst LRB cache size    27377, 2980761 req, miss ratio 0.0906, byte miss ratio 0.0906
result/cdn2_allcolo.ns2117.oracleGeneral.zst LRB cache size    54754, 2980761 req, miss ratio 0.0635, byte miss ratio 0.0635
result/cdn2_allcolo.ns2117.oracleGeneral.zst LRB cache size   109508, 2980761 req, miss ratio 0.0474, byte miss ratio 0.0474
result/cdn2_allcolo.ns2117.oracleGeneral.zst TwoQ cache size      136, 2980761 req, miss ratio 0.7351, byte miss ratio 0.7351
result/cdn2_allcolo.ns2117.oracleGeneral.zst TwoQ cache size      410, 2980761 req, miss ratio 0.6044, byte miss ratio 0.6044
result/cdn2_allcolo.ns2117.oracleGeneral.zst TwoQ cache size     1368, 2980761 req, miss ratio 0.4344, byte miss ratio 0.4344
result/cdn2_allcolo.ns2117.oracleGeneral.zst TwoQ cache size     4106, 2980761 req, miss ratio 0.2857, byte miss ratio 0.2857
result/cdn2_allcolo.ns2117.oracleGeneral.zst TwoQ cache size    13688, 2980761 req, miss ratio 0.1518, byte miss ratio 0.1518
result/cdn2_allcolo.ns2117.oracleGeneral.zst TwoQ cache size    27377, 2980761 req, miss ratio 0.0988, byte miss ratio 0.0988
result/cdn2_allcolo.ns2117.oracleGeneral.zst TwoQ cache size    54754, 2980761 req, miss ratio 0.0700, byte miss ratio 0.0700
result/cdn2_allcolo.ns2117.oracleGeneral.zst TwoQ cache size   109508, 2980761 req, miss ratio 0.0553, byte miss ratio 0.0553
result/cdn2_allcolo.ns2117.oracleGeneral.zst B-LRU cache size      136, 2980761 req, miss ratio 0.8127, byte miss ratio 0.8127
result/cdn2_allcolo.ns2117.oracleGeneral.zst B-LRU cache size      410, 2980761 req, miss ratio 0.6727, byte miss ratio 0.6727
result/cdn2_allcolo.ns2117.oracleGeneral.zst B-LRU cache size     1368, 2980761 req, miss ratio 0.4956, byte miss ratio 0.4956
result/cdn2_allcolo.ns2117.oracleGeneral.zst B-LRU cache size     4106, 2980761 req, miss ratio 0.3263, byte miss ratio 0.3263
result/cdn2_allcolo.ns2117.oracleGeneral.zst B-LRU cache size    13688, 2980761 req, miss ratio 0.1651, byte miss ratio 0.1651
result/cdn2_allcolo.ns2117.oracleGeneral.zst B-LRU cache size    27377, 2980761 req, miss ratio 0.1046, byte miss ratio 0.1046
result/cdn2_allcolo.ns2117.oracleGeneral.zst B-LRU cache size    54754, 2980761 req, miss ratio 0.0752, byte miss ratio 0.0752
result/cdn2_allcolo.ns2117.oracleGeneral.zst B-LRU cache size   109508, 2980761 req, miss ratio 0.0718, byte miss ratio 0.0718
result/cdn2_allcolo.ns2117.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      136, 2980761 req, miss ratio 0.7834, byte miss ratio 0.7834
result/cdn2_allcolo.ns2117.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      410, 2980761 req, miss ratio 0.6602, byte miss ratio 0.6602
result/cdn2_allcolo.ns2117.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1368, 2980761 req, miss ratio 0.4840, byte miss ratio 0.4840
result/cdn2_allcolo.ns2117.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     4106, 2980761 req, miss ratio 0.3210, byte miss ratio 0.3210
result/cdn2_allcolo.ns2117.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    13688, 2980761 req, miss ratio 0.1689, byte miss ratio 0.1689
