result/cdn2_colo28.ns1171.oracleGeneral.zst Clock cache size   528997, 4893350 req, miss ratio 0.1369, byte miss ratio 0.1369
result/cdn2_colo28.ns1171.oracleGeneral.zst S3FIFO-1 cache size      661, 4893350 req, miss ratio 0.6651, byte miss ratio 0.6651
result/cdn2_colo28.ns1171.oracleGeneral.zst S3FIFO-1 cache size     1983, 4893350 req, miss ratio 0.5791, byte miss ratio 0.5791
result/cdn2_colo28.ns1171.oracleGeneral.zst S3FIFO-1 cache size     6612, 4893350 req, miss ratio 0.4658, byte miss ratio 0.4658
result/cdn2_colo28.ns1171.oracleGeneral.zst S3FIFO-1 cache size    19837, 4893350 req, miss ratio 0.3537, byte miss ratio 0.3537
result/cdn2_colo28.ns1171.oracleGeneral.zst S3FIFO-1 cache size    66124, 4893350 req, miss ratio 0.2414, byte miss ratio 0.2414
result/cdn2_colo28.ns1171.oracleGeneral.zst S3FIFO-1 cache size   132249, 4893350 req, miss ratio 0.1913, byte miss ratio 0.1913
result/cdn2_colo28.ns1171.oracleGeneral.zst S3FIFO-1 cache size   264498, 4893350 req, miss ratio 0.1561, byte miss ratio 0.1561
result/cdn2_colo28.ns1171.oracleGeneral.zst S3FIFO-1 cache size   528997, 4893350 req, miss ratio 0.1369, byte miss ratio 0.1369
result/cdn2_colo28.ns1171.oracleGeneral.zst LIRS cache size      661, 4893350 req, miss ratio 0.6735, byte miss ratio 0.6735
result/cdn2_colo28.ns1171.oracleGeneral.zst LIRS cache size     1983, 4893350 req, miss ratio 0.5883, byte miss ratio 0.5883
result/cdn2_colo28.ns1171.oracleGeneral.zst LIRS cache size     6612, 4893350 req, miss ratio 0.4771, byte miss ratio 0.4771
result/cdn2_colo28.ns1171.oracleGeneral.zst LIRS cache size    19837, 4893350 req, miss ratio 0.3662, byte miss ratio 0.3662
result/cdn2_colo28.ns1171.oracleGeneral.zst LIRS cache size    66124, 4893350 req, miss ratio 0.2490, byte miss ratio 0.2490
result/cdn2_colo28.ns1171.oracleGeneral.zst LIRS cache size   132249, 4893350 req, miss ratio 0.1958, byte miss ratio 0.1958
result/cdn2_colo28.ns1171.oracleGeneral.zst LIRS cache size   264498, 4893350 req, miss ratio 0.1601, byte miss ratio 0.1601
result/cdn2_colo28.ns1171.oracleGeneral.zst LIRS cache size   528997, 4893350 req, miss ratio 0.1380, byte miss ratio 0.1380
result/cdn2_colo28.ns1171.oracleGeneral.zst clock2 cache size      661, 4893350 req, miss ratio 0.7384, byte miss ratio 0.7384
result/cdn2_colo28.ns1171.oracleGeneral.zst clock2 cache size     1983, 4893350 req, miss ratio 0.6465, byte miss ratio 0.6465
result/cdn2_colo28.ns1171.oracleGeneral.zst clock2 cache size     6612, 4893350 req, miss ratio 0.5221, byte miss ratio 0.5221
result/cdn2_colo28.ns1171.oracleGeneral.zst clock2 cache size    19837, 4893350 req, miss ratio 0.3974, byte miss ratio 0.3974
result/cdn2_colo28.ns1171.oracleGeneral.zst clock2 cache size    66124, 4893350 req, miss ratio 0.2675, byte miss ratio 0.2675
result/cdn2_colo28.ns1171.oracleGeneral.zst clock2 cache size   132249, 4893350 req, miss ratio 0.2044, byte miss ratio 0.2044
result/cdn2_colo28.ns1171.oracleGeneral.zst clock2 cache size   264498, 4893350 req, miss ratio 0.1594, byte miss ratio 0.1594
result/cdn2_colo28.ns1171.oracleGeneral.zst clock2 cache size   528997, 4893350 req, miss ratio 0.1369, byte miss ratio 0.1369
result/cdn2_colo28.ns1171.oracleGeneral.zst LRU cache size      661, 4893350 req, miss ratio 0.7578, byte miss ratio 0.7578
result/cdn2_colo28.ns1171.oracleGeneral.zst LRU cache size     1983, 4893350 req, miss ratio 0.6670, byte miss ratio 0.6670
result/cdn2_colo28.ns1171.oracleGeneral.zst LRU cache size     6612, 4893350 req, miss ratio 0.5446, byte miss ratio 0.5446
result/cdn2_colo28.ns1171.oracleGeneral.zst LRU cache size    19837, 4893350 req, miss ratio 0.4207, byte miss ratio 0.4207
result/cdn2_colo28.ns1171.oracleGeneral.zst LRU cache size    66124, 4893350 req, miss ratio 0.2866, byte miss ratio 0.2866
result/cdn2_colo28.ns1171.oracleGeneral.zst LRU cache size   132249, 4893350 req, miss ratio 0.2173, byte miss ratio 0.2173
