result/cdn2_colo28.ns630.oracleGeneral.zst Clock cache size    36458, 3909901 req, miss ratio 0.0117, byte miss ratio 0.0117
result/cdn2_colo28.ns630.oracleGeneral.zst LRU cache size       45, 3909901 req, miss ratio 0.4668, byte miss ratio 0.4668
result/cdn2_colo28.ns630.oracleGeneral.zst LRU cache size      136, 3909901 req, miss ratio 0.2519, byte miss ratio 0.2519
result/cdn2_colo28.ns630.oracleGeneral.zst LRU cache size      455, 3909901 req, miss ratio 0.1172, byte miss ratio 0.1172
result/cdn2_colo28.ns630.oracleGeneral.zst LRU cache size     1367, 3909901 req, miss ratio 0.0419, byte miss ratio 0.0419
result/cdn2_colo28.ns630.oracleGeneral.zst LRU cache size     4557, 3909901 req, miss ratio 0.0155, byte miss ratio 0.0155
result/cdn2_colo28.ns630.oracleGeneral.zst LRU cache size     9114, 3909901 req, miss ratio 0.0127, byte miss ratio 0.0127
result/cdn2_colo28.ns630.oracleGeneral.zst LRU cache size    18229, 3909901 req, miss ratio 0.0119, byte miss ratio 0.0119
result/cdn2_colo28.ns630.oracleGeneral.zst LRU cache size    36458, 3909901 req, miss ratio 0.0117, byte miss ratio 0.0117
result/cdn2_colo28.ns630.oracleGeneral.zst clock2 cache size       45, 3909901 req, miss ratio 0.4318, byte miss ratio 0.4318
result/cdn2_colo28.ns630.oracleGeneral.zst clock2 cache size      136, 3909901 req, miss ratio 0.2368, byte miss ratio 0.2368
result/cdn2_colo28.ns630.oracleGeneral.zst clock2 cache size      455, 3909901 req, miss ratio 0.1072, byte miss ratio 0.1072
result/cdn2_colo28.ns630.oracleGeneral.zst clock2 cache size     1367, 3909901 req, miss ratio 0.0365, byte miss ratio 0.0365
result/cdn2_colo28.ns630.oracleGeneral.zst clock2 cache size     4557, 3909901 req, miss ratio 0.0139, byte miss ratio 0.0139
result/cdn2_colo28.ns630.oracleGeneral.zst clock2 cache size     9114, 3909901 req, miss ratio 0.0122, byte miss ratio 0.0122
result/cdn2_colo28.ns630.oracleGeneral.zst clock2 cache size    18229, 3909901 req, miss ratio 0.0118, byte miss ratio 0.0118
result/cdn2_colo28.ns630.oracleGeneral.zst clock2 cache size    36458, 3909901 req, miss ratio 0.0117, byte miss ratio 0.0117
result/cdn2_colo28.ns630.oracleGeneral.zst LIRS cache size       45, 3909901 req, miss ratio 0.3859, byte miss ratio 0.3859
result/cdn2_colo28.ns630.oracleGeneral.zst LIRS cache size      136, 3909901 req, miss ratio 0.2339, byte miss ratio 0.2339
result/cdn2_colo28.ns630.oracleGeneral.zst LIRS cache size      455, 3909901 req, miss ratio 0.1058, byte miss ratio 0.1058
result/cdn2_colo28.ns630.oracleGeneral.zst LIRS cache size     1367, 3909901 req, miss ratio 0.0327, byte miss ratio 0.0327
result/cdn2_colo28.ns630.oracleGeneral.zst LIRS cache size     4557, 3909901 req, miss ratio 0.0124, byte miss ratio 0.0124
result/cdn2_colo28.ns630.oracleGeneral.zst LIRS cache size     9114, 3909901 req, miss ratio 0.0120, byte miss ratio 0.0120
result/cdn2_colo28.ns630.oracleGeneral.zst LIRS cache size    18229, 3909901 req, miss ratio 0.0118, byte miss ratio 0.0118
result/cdn2_colo28.ns630.oracleGeneral.zst LIRS cache size    36458, 3909901 req, miss ratio 0.0117, byte miss ratio 0.0117
