result/cdn2_allcolo.ns2524.oracleGeneral.zst LIRS cache size     3979, 2570645 req, miss ratio 0.0117, byte miss ratio 0.0117
result/cdn2_allcolo.ns2524.oracleGeneral.zst LIRS cache size     7959, 2570645 req, miss ratio 0.0041, byte miss ratio 0.0041
result/cdn2_allcolo.ns2524.oracleGeneral.zst clock2 cache size        9, 2570645 req, miss ratio 0.1066, byte miss ratio 0.1066
result/cdn2_allcolo.ns2524.oracleGeneral.zst clock2 cache size       29, 2570645 req, miss ratio 0.0841, byte miss ratio 0.0841
result/cdn2_allcolo.ns2524.oracleGeneral.zst clock2 cache size       99, 2570645 req, miss ratio 0.0625, byte miss ratio 0.0625
result/cdn2_allcolo.ns2524.oracleGeneral.zst clock2 cache size      298, 2570645 req, miss ratio 0.0450, byte miss ratio 0.0450
result/cdn2_allcolo.ns2524.oracleGeneral.zst clock2 cache size      994, 2570645 req, miss ratio 0.0314, byte miss ratio 0.0314
result/cdn2_allcolo.ns2524.oracleGeneral.zst clock2 cache size     1989, 2570645 req, miss ratio 0.0240, byte miss ratio 0.0240
result/cdn2_allcolo.ns2524.oracleGeneral.zst clock2 cache size     3979, 2570645 req, miss ratio 0.0139, byte miss ratio 0.0139
result/cdn2_allcolo.ns2524.oracleGeneral.zst clock2 cache size     7959, 2570645 req, miss ratio 0.0041, byte miss ratio 0.0041
result/cdn2_allcolo.ns2524.oracleGeneral.zst ARC cache size        9, 2570645 req, miss ratio 0.1076, byte miss ratio 0.1076
result/cdn2_allcolo.ns2524.oracleGeneral.zst ARC cache size       29, 2570645 req, miss ratio 0.0831, byte miss ratio 0.0831
result/cdn2_allcolo.ns2524.oracleGeneral.zst ARC cache size       99, 2570645 req, miss ratio 0.0615, byte miss ratio 0.0615
result/cdn2_allcolo.ns2524.oracleGeneral.zst ARC cache size      298, 2570645 req, miss ratio 0.0445, byte miss ratio 0.0445
result/cdn2_allcolo.ns2524.oracleGeneral.zst ARC cache size      994, 2570645 req, miss ratio 0.0311, byte miss ratio 0.0311
result/cdn2_allcolo.ns2524.oracleGeneral.zst ARC cache size     1989, 2570645 req, miss ratio 0.0249, byte miss ratio 0.0249
