result/cdn2_allcolo.ns2580.oracleGeneral.zst ARC cache size    18645, 8903915 req, miss ratio 0.0166, byte miss ratio 0.0166
result/cdn2_allcolo.ns2580.oracleGeneral.zst ARC cache size    37291, 8903915 req, miss ratio 0.0056, byte miss ratio 0.0056
result/cdn2_allcolo.ns2580.oracleGeneral.zst LHD cache size       46, 8903915 req, miss ratio 0.8931, byte miss ratio 0.8931
result/cdn2_allcolo.ns2580.oracleGeneral.zst LHD cache size      139, 8903915 req, miss ratio 0.8031, byte miss ratio 0.8031
result/cdn2_allcolo.ns2580.oracleGeneral.zst LHD cache size      466, 8903915 req, miss ratio 0.6533, byte miss ratio 0.6533
result/cdn2_allcolo.ns2580.oracleGeneral.zst LHD cache size     1398, 8903915 req, miss ratio 0.3582, byte miss ratio 0.3582
result/cdn2_allcolo.ns2580.oracleGeneral.zst LHD cache size     4661, 8903915 req, miss ratio 0.1053, byte miss ratio 0.1053
result/cdn2_allcolo.ns2580.oracleGeneral.zst LHD cache size     9322, 8903915 req, miss ratio 0.0466, byte miss ratio 0.0466
result/cdn2_allcolo.ns2580.oracleGeneral.zst LHD cache size    18645, 8903915 req, miss ratio 0.0175, byte miss ratio 0.0175
result/cdn2_allcolo.ns2580.oracleGeneral.zst LHD cache size    37291, 8903915 req, miss ratio 0.0059, byte miss ratio 0.0059
result/cdn2_allcolo.ns2580.oracleGeneral.zst Cacheus cache size       46, 8903915 req, miss ratio 0.8678, byte miss ratio 0.8678
result/cdn2_allcolo.ns2580.oracleGeneral.zst Cacheus cache size      139, 8903915 req, miss ratio 0.7916, byte miss ratio 0.7916
result/cdn2_allcolo.ns2580.oracleGeneral.zst Cacheus cache size      466, 8903915 req, miss ratio 0.5706, byte miss ratio 0.5706
result/cdn2_allcolo.ns2580.oracleGeneral.zst Cacheus cache size     1398, 8903915 req, miss ratio 0.2973, byte miss ratio 0.2973
result/cdn2_allcolo.ns2580.oracleGeneral.zst Cacheus cache size     4661, 8903915 req, miss ratio 0.1036, byte miss ratio 0.1036
result/cdn2_allcolo.ns2580.oracleGeneral.zst Cacheus cache size     9322, 8903915 req, miss ratio 0.0400, byte miss ratio 0.0400
result/cdn2_allcolo.ns2580.oracleGeneral.zst Cacheus cache size    18645, 8903915 req, miss ratio 0.0179, byte miss ratio 0.0179
result/cdn2_allcolo.ns2580.oracleGeneral.zst Cacheus cache size    37291, 8903915 req, miss ratio 0.0057, byte miss ratio 0.0057
result/cdn2_allcolo.ns2580.oracleGeneral.zst LRU cache size       46, 8903915 req, miss ratio 0.9312, byte miss ratio 0.9312
result/cdn2_allcolo.ns2580.oracleGeneral.zst LRU cache size      139, 8903915 req, miss ratio 0.8447, byte miss ratio 0.8447
result/cdn2_allcolo.ns2580.oracleGeneral.zst LRU cache size      466, 8903915 req, miss ratio 0.6633, byte miss ratio 0.6633
result/cdn2_allcolo.ns2580.oracleGeneral.zst LRU cache size     1398, 8903915 req, miss ratio 0.3913, byte miss ratio 0.3913
result/cdn2_allcolo.ns2580.oracleGeneral.zst LRU cache size     4661, 8903915 req, miss ratio 0.1092, byte miss ratio 0.1092
result/cdn2_allcolo.ns2580.oracleGeneral.zst LRU cache size     9322, 8903915 req, miss ratio 0.0488, byte miss ratio 0.0488
result/cdn2_allcolo.ns2580.oracleGeneral.zst LRU cache size    18645, 8903915 req, miss ratio 0.0182, byte miss ratio 0.0182
result/cdn2_allcolo.ns2580.oracleGeneral.zst LRU cache size    37291, 8903915 req, miss ratio 0.0057, byte miss ratio 0.0057
result/cdn2_allcolo.ns2580.oracleGeneral.zst LeCaR cache size       46, 8903915 req, miss ratio 0.9251, byte miss ratio 0.9251
result/cdn2_allcolo.ns2580.oracleGeneral.zst LeCaR cache size      139, 8903915 req, miss ratio 0.8391, byte miss ratio 0.8391
result/cdn2_allcolo.ns2580.oracleGeneral.zst LeCaR cache size      466, 8903915 req, miss ratio 0.6594, byte miss ratio 0.6594
result/cdn2_allcolo.ns2580.oracleGeneral.zst LeCaR cache size     1398, 8903915 req, miss ratio 0.3734, byte miss ratio 0.3734
result/cdn2_allcolo.ns2580.oracleGeneral.zst LeCaR cache size     4661, 8903915 req, miss ratio 0.0981, byte miss ratio 0.0981
result/cdn2_allcolo.ns2580.oracleGeneral.zst LeCaR cache size     9322, 8903915 req, miss ratio 0.0460, byte miss ratio 0.0460
result/cdn2_allcolo.ns2580.oracleGeneral.zst LeCaR cache size    18645, 8903915 req, miss ratio 0.0167, byte miss ratio 0.0167
result/cdn2_allcolo.ns2580.oracleGeneral.zst LeCaR cache size    37291, 8903915 req, miss ratio 0.0057, byte miss ratio 0.0057
result/cdn2_allcolo.ns2580.oracleGeneral.zst S3FIFO-d-1 cache size       46, 8903915 req, miss ratio 0.8385, byte miss ratio 0.8385
result/cdn2_allcolo.ns2580.oracleGeneral.zst S3FIFO-d-1 cache size      139, 8903915 req, miss ratio 0.7417, byte miss ratio 0.7417
result/cdn2_allcolo.ns2580.oracleGeneral.zst S3FIFO-d-1 cache size      466, 8903915 req, miss ratio 0.5575, byte miss ratio 0.5575
result/cdn2_allcolo.ns2580.oracleGeneral.zst S3FIFO-d-1 cache size     1398, 8903915 req, miss ratio 0.3061, byte miss ratio 0.3061
result/cdn2_allcolo.ns2580.oracleGeneral.zst S3FIFO-d-1 cache size     4661, 8903915 req, miss ratio 0.0868, byte miss ratio 0.0868
result/cdn2_allcolo.ns2580.oracleGeneral.zst S3FIFO-d-1 cache size     9322, 8903915 req, miss ratio 0.0422, byte miss ratio 0.0422
result/cdn2_allcolo.ns2580.oracleGeneral.zst S3FIFO-d-1 cache size    18645, 8903915 req, miss ratio 0.0161, byte miss ratio 0.0161
result/cdn2_allcolo.ns2580.oracleGeneral.zst S3FIFO-d-1 cache size    37291, 8903915 req, miss ratio 0.0056, byte miss ratio 0.0056
result/cdn2_allcolo.ns2580.oracleGeneral.zst LRB cache size       46, 8903915 req, miss ratio 0.8248, byte miss ratio 0.8248
result/cdn2_allcolo.ns2580.oracleGeneral.zst LRB cache size      139, 8903915 req, miss ratio 0.7165, byte miss ratio 0.7165
result/cdn2_allcolo.ns2580.oracleGeneral.zst LRB cache size      466, 8903915 req, miss ratio 0.5189, byte miss ratio 0.5189
result/cdn2_allcolo.ns2580.oracleGeneral.zst LRB cache size     1398, 8903915 req, miss ratio 0.2680, byte miss ratio 0.2680
result/cdn2_allcolo.ns2580.oracleGeneral.zst LRB cache size     4661, 8903915 req, miss ratio 0.0750, byte miss ratio 0.0750
result/cdn2_allcolo.ns2580.oracleGeneral.zst LRB cache size     9322, 8903915 req, miss ratio 0.0378, byte miss ratio 0.0378
result/cdn2_allcolo.ns2580.oracleGeneral.zst LRB cache size    18645, 8903915 req, miss ratio 0.0163, byte miss ratio 0.0163
