result/cdn2_allcolo.ns1519.oracleGeneral.zst Cacheus cache size    69921, 7156933 req, miss ratio 0.0269, byte miss ratio 0.0269
result/cdn2_allcolo.ns1519.oracleGeneral.zst Cacheus cache size   139842, 7156933 req, miss ratio 0.0248, byte miss ratio 0.0248
result/cdn2_allcolo.ns1519.oracleGeneral.zst LeCaR cache size      174, 7156933 req, miss ratio 0.0575, byte miss ratio 0.0575
result/cdn2_allcolo.ns1519.oracleGeneral.zst LeCaR cache size      524, 7156933 req, miss ratio 0.0521, byte miss ratio 0.0521
result/cdn2_allcolo.ns1519.oracleGeneral.zst LeCaR cache size     1748, 7156933 req, miss ratio 0.0471, byte miss ratio 0.0471
result/cdn2_allcolo.ns1519.oracleGeneral.zst LeCaR cache size     5244, 7156933 req, miss ratio 0.0425, byte miss ratio 0.0425
result/cdn2_allcolo.ns1519.oracleGeneral.zst LeCaR cache size    17480, 7156933 req, miss ratio 0.0340, byte miss ratio 0.0340
result/cdn2_allcolo.ns1519.oracleGeneral.zst LeCaR cache size    34960, 7156933 req, miss ratio 0.0308, byte miss ratio 0.0308
result/cdn2_allcolo.ns1519.oracleGeneral.zst LeCaR cache size    69921, 7156933 req, miss ratio 0.0274, byte miss ratio 0.0274
result/cdn2_allcolo.ns1519.oracleGeneral.zst LeCaR cache size   139842, 7156933 req, miss ratio 0.0247, byte miss ratio 0.0247
result/cdn2_allcolo.ns1519.oracleGeneral.zst Clock cache size      174, 7156933 req, miss ratio 0.0577, byte miss ratio 0.0577
result/cdn2_allcolo.ns1519.oracleGeneral.zst Clock cache size      524, 7156933 req, miss ratio 0.0525, byte miss ratio 0.0525
result/cdn2_allcolo.ns1519.oracleGeneral.zst Clock cache size     1748, 7156933 req, miss ratio 0.0473, byte miss ratio 0.0473
result/cdn2_allcolo.ns1519.oracleGeneral.zst Clock cache size     5244, 7156933 req, miss ratio 0.0427, byte miss ratio 0.0427
result/cdn2_allcolo.ns1519.oracleGeneral.zst Clock cache size    17480, 7156933 req, miss ratio 0.0355, byte miss ratio 0.0355
result/cdn2_allcolo.ns1519.oracleGeneral.zst Clock cache size    34960, 7156933 req, miss ratio 0.0314, byte miss ratio 0.0314
result/cdn2_allcolo.ns1519.oracleGeneral.zst Clock cache size    69921, 7156933 req, miss ratio 0.0271, byte miss ratio 0.0271
result/cdn2_allcolo.ns1519.oracleGeneral.zst Clock cache size   139842, 7156933 req, miss ratio 0.0246, byte miss ratio 0.0246
result/cdn2_allcolo.ns1519.oracleGeneral.zst LRU cache size      174, 7156933 req, miss ratio 0.0578, byte miss ratio 0.0578
result/cdn2_allcolo.ns1519.oracleGeneral.zst LRU cache size      524, 7156933 req, miss ratio 0.0527, byte miss ratio 0.0527
result/cdn2_allcolo.ns1519.oracleGeneral.zst LRU cache size     1748, 7156933 req, miss ratio 0.0476, byte miss ratio 0.0476
result/cdn2_allcolo.ns1519.oracleGeneral.zst LRU cache size     5244, 7156933 req, miss ratio 0.0430, byte miss ratio 0.0430
result/cdn2_allcolo.ns1519.oracleGeneral.zst LRU cache size    17480, 7156933 req, miss ratio 0.0361, byte miss ratio 0.0361
result/cdn2_allcolo.ns1519.oracleGeneral.zst LRU cache size    34960, 7156933 req, miss ratio 0.0318, byte miss ratio 0.0318
result/cdn2_allcolo.ns1519.oracleGeneral.zst LRU cache size    69921, 7156933 req, miss ratio 0.0276, byte miss ratio 0.0276
result/cdn2_allcolo.ns1519.oracleGeneral.zst LRU cache size   139842, 7156933 req, miss ratio 0.0247, byte miss ratio 0.0247
result/cdn2_allcolo.ns1519.oracleGeneral.zst S3FIFO-1 cache size      174, 7156933 req, miss ratio 0.0550, byte miss ratio 0.0550
result/cdn2_allcolo.ns1519.oracleGeneral.zst S3FIFO-1 cache size      524, 7156933 req, miss ratio 0.0501, byte miss ratio 0.0501
result/cdn2_allcolo.ns1519.oracleGeneral.zst S3FIFO-1 cache size     1748, 7156933 req, miss ratio 0.0453, byte miss ratio 0.0453
result/cdn2_allcolo.ns1519.oracleGeneral.zst S3FIFO-1 cache size     5244, 7156933 req, miss ratio 0.0394, byte miss ratio 0.0394
result/cdn2_allcolo.ns1519.oracleGeneral.zst S3FIFO-1 cache size    17480, 7156933 req, miss ratio 0.0325, byte miss ratio 0.0325
result/cdn2_allcolo.ns1519.oracleGeneral.zst S3FIFO-1 cache size    34960, 7156933 req, miss ratio 0.0291, byte miss ratio 0.0291
result/cdn2_allcolo.ns1519.oracleGeneral.zst S3FIFO-1 cache size    69921, 7156933 req, miss ratio 0.0266, byte miss ratio 0.0266
result/cdn2_allcolo.ns1519.oracleGeneral.zst S3FIFO-1 cache size   139842, 7156933 req, miss ratio 0.0246, byte miss ratio 0.0246
result/cdn2_allcolo.ns1519.oracleGeneral.zst S3FIFO-d-1 cache size      174, 7156933 req, miss ratio 0.0552, byte miss ratio 0.0552
result/cdn2_allcolo.ns1519.oracleGeneral.zst S3FIFO-d-1 cache size      524, 7156933 req, miss ratio 0.0500, byte miss ratio 0.0500
result/cdn2_allcolo.ns1519.oracleGeneral.zst S3FIFO-d-1 cache size     1748, 7156933 req, miss ratio 0.0453, byte miss ratio 0.0453
result/cdn2_allcolo.ns1519.oracleGeneral.zst S3FIFO-d-1 cache size     5244, 7156933 req, miss ratio 0.0394, byte miss ratio 0.0394
result/cdn2_allcolo.ns1519.oracleGeneral.zst S3FIFO-d-1 cache size    17480, 7156933 req, miss ratio 0.0325, byte miss ratio 0.0325
result/cdn2_allcolo.ns1519.oracleGeneral.zst S3FIFO-d-1 cache size    34960, 7156933 req, miss ratio 0.0291, byte miss ratio 0.0291
result/cdn2_allcolo.ns1519.oracleGeneral.zst S3FIFO-d-1 cache size    69921, 7156933 req, miss ratio 0.0266, byte miss ratio 0.0266
result/cdn2_allcolo.ns1519.oracleGeneral.zst S3FIFO-d-1 cache size   139842, 7156933 req, miss ratio 0.0246, byte miss ratio 0.0246
result/cdn2_allcolo.ns1519.oracleGeneral.zst LRB cache size      174, 7156933 req, miss ratio 0.0533, byte miss ratio 0.0533
result/cdn2_allcolo.ns1519.oracleGeneral.zst LRB cache size      524, 7156933 req, miss ratio 0.0493, byte miss ratio 0.0493
result/cdn2_allcolo.ns1519.oracleGeneral.zst LRB cache size     1748, 7156933 req, miss ratio 0.0440, byte miss ratio 0.0440
result/cdn2_allcolo.ns1519.oracleGeneral.zst LRB cache size     5244, 7156933 req, miss ratio 0.0389, byte miss ratio 0.0389
result/cdn2_allcolo.ns1519.oracleGeneral.zst LRB cache size    17480, 7156933 req, miss ratio 0.0332, byte miss ratio 0.0332
result/cdn2_allcolo.ns1519.oracleGeneral.zst LRB cache size    34960, 7156933 req, miss ratio 0.0301, byte miss ratio 0.0301
result/cdn2_allcolo.ns1519.oracleGeneral.zst LRB cache size    69921, 7156933 req, miss ratio 0.0272, byte miss ratio 0.0272
result/cdn2_allcolo.ns1519.oracleGeneral.zst LRB cache size   139842, 7156933 req, miss ratio 0.0247, byte miss ratio 0.0247
result/cdn2_allcolo.ns1519.oracleGeneral.zst TwoQ cache size      174, 7156933 req, miss ratio 0.0531, byte miss ratio 0.0531
result/cdn2_allcolo.ns1519.oracleGeneral.zst TwoQ cache size      524, 7156933 req, miss ratio 0.0491, byte miss ratio 0.0491
result/cdn2_allcolo.ns1519.oracleGeneral.zst TwoQ cache size     1748, 7156933 req, miss ratio 0.0443, byte miss ratio 0.0443
result/cdn2_allcolo.ns1519.oracleGeneral.zst TwoQ cache size     5244, 7156933 req, miss ratio 0.0392, byte miss ratio 0.0392
result/cdn2_allcolo.ns1519.oracleGeneral.zst TwoQ cache size    17480, 7156933 req, miss ratio 0.0339, byte miss ratio 0.0339
result/cdn2_allcolo.ns1519.oracleGeneral.zst TwoQ cache size    34960, 7156933 req, miss ratio 0.0314, byte miss ratio 0.0314
result/cdn2_allcolo.ns1519.oracleGeneral.zst TwoQ cache size    69921, 7156933 req, miss ratio 0.0286, byte miss ratio 0.0286
result/cdn2_allcolo.ns1519.oracleGeneral.zst TwoQ cache size   139842, 7156933 req, miss ratio 0.0255, byte miss ratio 0.0255
result/cdn2_allcolo.ns1519.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      174, 7156933 req, miss ratio 0.0579, byte miss ratio 0.0579
result/cdn2_allcolo.ns1519.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      524, 7156933 req, miss ratio 0.0525, byte miss ratio 0.0525
result/cdn2_allcolo.ns1519.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1748, 7156933 req, miss ratio 0.0469, byte miss ratio 0.0469
result/cdn2_allcolo.ns1519.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     5244, 7156933 req, miss ratio 0.0419, byte miss ratio 0.0419
result/cdn2_allcolo.ns1519.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    17480, 7156933 req, miss ratio 0.0348, byte miss ratio 0.0348
result/cdn2_allcolo.ns1519.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    34960, 7156933 req, miss ratio 0.0307, byte miss ratio 0.0307
result/cdn2_allcolo.ns1519.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    69921, 7156933 req, miss ratio 0.0274, byte miss ratio 0.0274
result/cdn2_allcolo.ns1519.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   139842, 7156933 req, miss ratio 0.0249, byte miss ratio 0.0249
result/cdn2_allcolo.ns1519.oracleGeneral.zst S4LRU(25:25:25:25) cache size      174, 7156933 req, miss ratio 0.0551, byte miss ratio 0.0551
result/cdn2_allcolo.ns1519.oracleGeneral.zst S4LRU(25:25:25:25) cache size      524, 7156933 req, miss ratio 0.0499, byte miss ratio 0.0499
result/cdn2_allcolo.ns1519.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1748, 7156933 req, miss ratio 0.0452, byte miss ratio 0.0452
result/cdn2_allcolo.ns1519.oracleGeneral.zst S4LRU(25:25:25:25) cache size     5244, 7156933 req, miss ratio 0.0394, byte miss ratio 0.0394
result/cdn2_allcolo.ns1519.oracleGeneral.zst S4LRU(25:25:25:25) cache size    17480, 7156933 req, miss ratio 0.0329, byte miss ratio 0.0329
result/cdn2_allcolo.ns1519.oracleGeneral.zst S4LRU(25:25:25:25) cache size    34960, 7156933 req, miss ratio 0.0297, byte miss ratio 0.0297
result/cdn2_allcolo.ns1519.oracleGeneral.zst S4LRU(25:25:25:25) cache size    69921, 7156933 req, miss ratio 0.0268, byte miss ratio 0.0268
result/cdn2_allcolo.ns1519.oracleGeneral.zst S4LRU(25:25:25:25) cache size   139842, 7156933 req, miss ratio 0.0246, byte miss ratio 0.0246
