result/cdn2_colo28.ns814.oracleGeneral.zst Cacheus cache size    31465, 1153099 req, miss ratio 0.0348, byte miss ratio 0.0348
result/cdn2_colo28.ns814.oracleGeneral.zst clock2 cache size       39, 1153099 req, miss ratio 0.5140, byte miss ratio 0.5140
result/cdn2_colo28.ns814.oracleGeneral.zst clock2 cache size      117, 1153099 req, miss ratio 0.4436, byte miss ratio 0.4436
result/cdn2_colo28.ns814.oracleGeneral.zst clock2 cache size      393, 1153099 req, miss ratio 0.3563, byte miss ratio 0.3563
result/cdn2_colo28.ns814.oracleGeneral.zst clock2 cache size     1179, 1153099 req, miss ratio 0.2430, byte miss ratio 0.2430
result/cdn2_colo28.ns814.oracleGeneral.zst clock2 cache size     3933, 1153099 req, miss ratio 0.1187, byte miss ratio 0.1187
result/cdn2_colo28.ns814.oracleGeneral.zst clock2 cache size     7866, 1153099 req, miss ratio 0.0702, byte miss ratio 0.0702
result/cdn2_colo28.ns814.oracleGeneral.zst clock2 cache size    15732, 1153099 req, miss ratio 0.0449, byte miss ratio 0.0449
result/cdn2_colo28.ns814.oracleGeneral.zst clock2 cache size    31465, 1153099 req, miss ratio 0.0347, byte miss ratio 0.0347
result/cdn2_colo28.ns814.oracleGeneral.zst LHD cache size       39, 1153099 req, miss ratio 0.4715, byte miss ratio 0.4715
result/cdn2_colo28.ns814.oracleGeneral.zst LHD cache size      117, 1153099 req, miss ratio 0.4289, byte miss ratio 0.4289
result/cdn2_colo28.ns814.oracleGeneral.zst LHD cache size      393, 1153099 req, miss ratio 0.3618, byte miss ratio 0.3618
result/cdn2_colo28.ns814.oracleGeneral.zst LHD cache size     1179, 1153099 req, miss ratio 0.2503, byte miss ratio 0.2503
result/cdn2_colo28.ns814.oracleGeneral.zst LHD cache size     3933, 1153099 req, miss ratio 0.1274, byte miss ratio 0.1274
result/cdn2_colo28.ns814.oracleGeneral.zst LHD cache size     7866, 1153099 req, miss ratio 0.0765, byte miss ratio 0.0765
result/cdn2_colo28.ns814.oracleGeneral.zst LHD cache size    15732, 1153099 req, miss ratio 0.0473, byte miss ratio 0.0473
result/cdn2_colo28.ns814.oracleGeneral.zst LHD cache size    31465, 1153099 req, miss ratio 0.0350, byte miss ratio 0.0350
result/cdn2_colo28.ns814.oracleGeneral.zst ARC cache size       39, 1153099 req, miss ratio 0.4618, byte miss ratio 0.4618
result/cdn2_colo28.ns814.oracleGeneral.zst ARC cache size      117, 1153099 req, miss ratio 0.4044, byte miss ratio 0.4044
result/cdn2_colo28.ns814.oracleGeneral.zst ARC cache size      393, 1153099 req, miss ratio 0.3151, byte miss ratio 0.3151
result/cdn2_colo28.ns814.oracleGeneral.zst ARC cache size     1179, 1153099 req, miss ratio 0.2150, byte miss ratio 0.2150
result/cdn2_colo28.ns814.oracleGeneral.zst ARC cache size     3933, 1153099 req, miss ratio 0.1064, byte miss ratio 0.1064
result/cdn2_colo28.ns814.oracleGeneral.zst ARC cache size     7866, 1153099 req, miss ratio 0.0636, byte miss ratio 0.0636
result/cdn2_colo28.ns814.oracleGeneral.zst ARC cache size    15732, 1153099 req, miss ratio 0.0428, byte miss ratio 0.0428
result/cdn2_colo28.ns814.oracleGeneral.zst ARC cache size    31465, 1153099 req, miss ratio 0.0347, byte miss ratio 0.0347
result/cdn2_colo28.ns814.oracleGeneral.zst LRU cache size       39, 1153099 req, miss ratio 0.5561, byte miss ratio 0.5561
result/cdn2_colo28.ns814.oracleGeneral.zst LRU cache size      117, 1153099 req, miss ratio 0.4572, byte miss ratio 0.4572
result/cdn2_colo28.ns814.oracleGeneral.zst LRU cache size      393, 1153099 req, miss ratio 0.3714, byte miss ratio 0.3714
result/cdn2_colo28.ns814.oracleGeneral.zst LRU cache size     1179, 1153099 req, miss ratio 0.2629, byte miss ratio 0.2629
result/cdn2_colo28.ns814.oracleGeneral.zst LRU cache size     3933, 1153099 req, miss ratio 0.1335, byte miss ratio 0.1335
result/cdn2_colo28.ns814.oracleGeneral.zst LRU cache size     7866, 1153099 req, miss ratio 0.0789, byte miss ratio 0.0789
