result/cdn2_colo28.ns19.oracleGeneral.zst LeCaR cache size 12086654, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
result/cdn2_colo28.ns19.oracleGeneral.zst LIRS cache size    15108, 120746519 req, miss ratio 0.3139, byte miss ratio 0.3139
result/cdn2_colo28.ns19.oracleGeneral.zst LIRS cache size    45324, 120746519 req, miss ratio 0.1988, byte miss ratio 0.1988
result/cdn2_colo28.ns19.oracleGeneral.zst LIRS cache size   151083, 120746519 req, miss ratio 0.1759, byte miss ratio 0.1759
result/cdn2_colo28.ns19.oracleGeneral.zst LIRS cache size   453249, 120746519 req, miss ratio 0.1663, byte miss ratio 0.1663
result/cdn2_colo28.ns19.oracleGeneral.zst LIRS cache size  1510831, 120746519 req, miss ratio 0.1505, byte miss ratio 0.1505
result/cdn2_colo28.ns19.oracleGeneral.zst LIRS cache size  3021663, 120746519 req, miss ratio 0.1395, byte miss ratio 0.1395
result/cdn2_colo28.ns19.oracleGeneral.zst LIRS cache size  6043327, 120746519 req, miss ratio 0.1297, byte miss ratio 0.1297
result/cdn2_colo28.ns19.oracleGeneral.zst LIRS cache size 12086654, 120746519 req, miss ratio 0.1253, byte miss ratio 0.1253
result/cdn2_colo28.ns19.oracleGeneral.zst FIFO cache size    15108, 120746519 req, miss ratio 0.4383, byte miss ratio 0.4383
result/cdn2_colo28.ns19.oracleGeneral.zst FIFO cache size    45324, 120746519 req, miss ratio 0.2414, byte miss ratio 0.2414
result/cdn2_colo28.ns19.oracleGeneral.zst FIFO cache size   151083, 120746519 req, miss ratio 0.1339, byte miss ratio 0.1339
result/cdn2_colo28.ns19.oracleGeneral.zst FIFO cache size   453249, 120746519 req, miss ratio 0.1252, byte miss ratio 0.1252
result/cdn2_colo28.ns19.oracleGeneral.zst FIFO cache size  1510831, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
result/cdn2_colo28.ns19.oracleGeneral.zst FIFO cache size  3021663, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
result/cdn2_colo28.ns19.oracleGeneral.zst FIFO cache size  6043327, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
result/cdn2_colo28.ns19.oracleGeneral.zst FIFO cache size 12086654, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
result/cdn2_colo28.ns19.oracleGeneral.zst Clock cache size    15108, 120746519 req, miss ratio 0.3536, byte miss ratio 0.3536
result/cdn2_colo28.ns19.oracleGeneral.zst Clock cache size    45324, 120746519 req, miss ratio 0.1871, byte miss ratio 0.1871
result/cdn2_colo28.ns19.oracleGeneral.zst Clock cache size   151083, 120746519 req, miss ratio 0.1277, byte miss ratio 0.1277
result/cdn2_colo28.ns19.oracleGeneral.zst Clock cache size   453249, 120746519 req, miss ratio 0.1252, byte miss ratio 0.1252
result/cdn2_colo28.ns19.oracleGeneral.zst Clock cache size  1510831, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
result/cdn2_colo28.ns19.oracleGeneral.zst Clock cache size  3021663, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
result/cdn2_colo28.ns19.oracleGeneral.zst Clock cache size  6043327, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
result/cdn2_colo28.ns19.oracleGeneral.zst Clock cache size 12086654, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
result/cdn2_colo28.ns19.oracleGeneral.zst ARC cache size    15108, 120746519 req, miss ratio 0.3126, byte miss ratio 0.3126
result/cdn2_colo28.ns19.oracleGeneral.zst ARC cache size    45324, 120746519 req, miss ratio 0.1865, byte miss ratio 0.1865
result/cdn2_colo28.ns19.oracleGeneral.zst ARC cache size   151083, 120746519 req, miss ratio 0.1274, byte miss ratio 0.1274
result/cdn2_colo28.ns19.oracleGeneral.zst ARC cache size   453249, 120746519 req, miss ratio 0.1259, byte miss ratio 0.1259
result/cdn2_colo28.ns19.oracleGeneral.zst ARC cache size  1510831, 120746519 req, miss ratio 0.1259, byte miss ratio 0.1259
result/cdn2_colo28.ns19.oracleGeneral.zst ARC cache size  3021663, 120746519 req, miss ratio 0.1259, byte miss ratio 0.1259
result/cdn2_colo28.ns19.oracleGeneral.zst ARC cache size  6043327, 120746519 req, miss ratio 0.1257, byte miss ratio 0.1257
result/cdn2_colo28.ns19.oracleGeneral.zst ARC cache size 12086654, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
result/cdn2_colo28.ns19.oracleGeneral.zst Cacheus cache size    15108, 120746519 req, miss ratio 0.3127, byte miss ratio 0.3127
result/cdn2_colo28.ns19.oracleGeneral.zst Cacheus cache size    45324, 120746519 req, miss ratio 0.1844, byte miss ratio 0.1844
result/cdn2_colo28.ns19.oracleGeneral.zst Cacheus cache size   151083, 120746519 req, miss ratio 0.1300, byte miss ratio 0.1300
result/cdn2_colo28.ns19.oracleGeneral.zst Cacheus cache size   453249, 120746519 req, miss ratio 0.1252, byte miss ratio 0.1252
result/cdn2_colo28.ns19.oracleGeneral.zst Cacheus cache size  1510831, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
result/cdn2_colo28.ns19.oracleGeneral.zst Cacheus cache size  3021663, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
result/cdn2_colo28.ns19.oracleGeneral.zst Cacheus cache size  6043327, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
result/cdn2_colo28.ns19.oracleGeneral.zst Cacheus cache size 12086654, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
result/cdn2_colo28.ns19.oracleGeneral.zst clock2 cache size    15108, 120746519 req, miss ratio 0.3348, byte miss ratio 0.3348
result/cdn2_colo28.ns19.oracleGeneral.zst clock2 cache size    45324, 120746519 req, miss ratio 0.1836, byte miss ratio 0.1836
result/cdn2_colo28.ns19.oracleGeneral.zst clock2 cache size   151083, 120746519 req, miss ratio 0.1309, byte miss ratio 0.1309
result/cdn2_colo28.ns19.oracleGeneral.zst clock2 cache size   453249, 120746519 req, miss ratio 0.1252, byte miss ratio 0.1252
result/cdn2_colo28.ns19.oracleGeneral.zst clock2 cache size  1510831, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
result/cdn2_colo28.ns19.oracleGeneral.zst clock2 cache size  3021663, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
result/cdn2_colo28.ns19.oracleGeneral.zst clock2 cache size  6043327, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
result/cdn2_colo28.ns19.oracleGeneral.zst clock2 cache size 12086654, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
result/cdn2_colo28.ns19.oracleGeneral.zst LHD cache size    15108, 120746519 req, miss ratio 0.3187, byte miss ratio 0.3187
result/cdn2_colo28.ns19.oracleGeneral.zst LHD cache size    45324, 120746519 req, miss ratio 0.1839, byte miss ratio 0.1839
result/cdn2_colo28.ns19.oracleGeneral.zst LHD cache size   151083, 120746519 req, miss ratio 0.1275, byte miss ratio 0.1275
result/cdn2_colo28.ns19.oracleGeneral.zst LHD cache size   453249, 120746519 req, miss ratio 0.1252, byte miss ratio 0.1252
result/cdn2_colo28.ns19.oracleGeneral.zst LHD cache size  1510831, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
result/cdn2_colo28.ns19.oracleGeneral.zst LHD cache size  3021663, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
result/cdn2_colo28.ns19.oracleGeneral.zst LHD cache size  6043327, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
result/cdn2_colo28.ns19.oracleGeneral.zst LHD cache size 12086654, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
result/cdn2_colo28.ns19.oracleGeneral.zst S3FIFO-d-1 cache size    15108, 120746519 req, miss ratio 0.3094, byte miss ratio 0.3094
result/cdn2_colo28.ns19.oracleGeneral.zst S3FIFO-d-1 cache size    45324, 120746519 req, miss ratio 0.1850, byte miss ratio 0.1850
result/cdn2_colo28.ns19.oracleGeneral.zst S3FIFO-d-1 cache size   151083, 120746519 req, miss ratio 0.1278, byte miss ratio 0.1278
result/cdn2_colo28.ns19.oracleGeneral.zst S3FIFO-d-1 cache size   453249, 120746519 req, miss ratio 0.1255, byte miss ratio 0.1255
result/cdn2_colo28.ns19.oracleGeneral.zst S3FIFO-d-1 cache size  1510831, 120746519 req, miss ratio 0.1252, byte miss ratio 0.1252
result/cdn2_colo28.ns19.oracleGeneral.zst S3FIFO-d-1 cache size  3021663, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
result/cdn2_colo28.ns19.oracleGeneral.zst S3FIFO-d-1 cache size  6043327, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
result/cdn2_colo28.ns19.oracleGeneral.zst S3FIFO-d-1 cache size 12086654, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
