result/cdn2_colo28.ns1094.oracleGeneral.zst clock2 cache size     7842, 1165209 req, miss ratio 0.0095, byte miss ratio 0.0095
result/cdn2_colo28.ns1094.oracleGeneral.zst FIFO cache size        9, 1165209 req, miss ratio 0.8292, byte miss ratio 0.8292
result/cdn2_colo28.ns1094.oracleGeneral.zst FIFO cache size       29, 1165209 req, miss ratio 0.7502, byte miss ratio 0.7502
result/cdn2_colo28.ns1094.oracleGeneral.zst FIFO cache size       98, 1165209 req, miss ratio 0.6239, byte miss ratio 0.6239
result/cdn2_colo28.ns1094.oracleGeneral.zst FIFO cache size      294, 1165209 req, miss ratio 0.4684, byte miss ratio 0.4684
result/cdn2_colo28.ns1094.oracleGeneral.zst FIFO cache size      980, 1165209 req, miss ratio 0.2598, byte miss ratio 0.2598
result/cdn2_colo28.ns1094.oracleGeneral.zst FIFO cache size     1960, 1165209 req, miss ratio 0.1518, byte miss ratio 0.1518
result/cdn2_colo28.ns1094.oracleGeneral.zst FIFO cache size     3921, 1165209 req, miss ratio 0.0654, byte miss ratio 0.0654
result/cdn2_colo28.ns1094.oracleGeneral.zst FIFO cache size     7842, 1165209 req, miss ratio 0.0153, byte miss ratio 0.0153
result/cdn2_colo28.ns1094.oracleGeneral.zst LHD cache size        9, 1165209 req, miss ratio 0.8079, byte miss ratio 0.8079
result/cdn2_colo28.ns1094.oracleGeneral.zst LHD cache size       29, 1165209 req, miss ratio 0.7486, byte miss ratio 0.7486
result/cdn2_colo28.ns1094.oracleGeneral.zst LHD cache size       98, 1165209 req, miss ratio 0.5869, byte miss ratio 0.5869
result/cdn2_colo28.ns1094.oracleGeneral.zst LHD cache size      294, 1165209 req, miss ratio 0.4019, byte miss ratio 0.4019
result/cdn2_colo28.ns1094.oracleGeneral.zst LHD cache size      980, 1165209 req, miss ratio 0.2002, byte miss ratio 0.2002
result/cdn2_colo28.ns1094.oracleGeneral.zst LHD cache size     1960, 1165209 req, miss ratio 0.1102, byte miss ratio 0.1102
result/cdn2_colo28.ns1094.oracleGeneral.zst LHD cache size     3921, 1165209 req, miss ratio 0.0445, byte miss ratio 0.0445
result/cdn2_colo28.ns1094.oracleGeneral.zst LHD cache size     7842, 1165209 req, miss ratio 0.0101, byte miss ratio 0.0101
result/cdn2_colo28.ns1094.oracleGeneral.zst LRU cache size        9, 1165209 req, miss ratio 0.8265, byte miss ratio 0.8265
result/cdn2_colo28.ns1094.oracleGeneral.zst LRU cache size       29, 1165209 req, miss ratio 0.7372, byte miss ratio 0.7372
result/cdn2_colo28.ns1094.oracleGeneral.zst LRU cache size       98, 1165209 req, miss ratio 0.5977, byte miss ratio 0.5977
result/cdn2_colo28.ns1094.oracleGeneral.zst LRU cache size      294, 1165209 req, miss ratio 0.4312, byte miss ratio 0.4312
result/cdn2_colo28.ns1094.oracleGeneral.zst LRU cache size      980, 1165209 req, miss ratio 0.2086, byte miss ratio 0.2086
result/cdn2_colo28.ns1094.oracleGeneral.zst LRU cache size     1960, 1165209 req, miss ratio 0.1130, byte miss ratio 0.1130
result/cdn2_colo28.ns1094.oracleGeneral.zst LRU cache size     3921, 1165209 req, miss ratio 0.0444, byte miss ratio 0.0444
result/cdn2_colo28.ns1094.oracleGeneral.zst LRU cache size     7842, 1165209 req, miss ratio 0.0096, byte miss ratio 0.0096
result/cdn2_colo28.ns1094.oracleGeneral.zst S3FIFO-1 cache size        9, 1165209 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns1094.oracleGeneral.zst S3FIFO-1 cache size       29, 1165209 req, miss ratio 0.6896, byte miss ratio 0.6896
result/cdn2_colo28.ns1094.oracleGeneral.zst S3FIFO-1 cache size       98, 1165209 req, miss ratio 0.5462, byte miss ratio 0.5462
result/cdn2_colo28.ns1094.oracleGeneral.zst S3FIFO-1 cache size      294, 1165209 req, miss ratio 0.3625, byte miss ratio 0.3625
result/cdn2_colo28.ns1094.oracleGeneral.zst S3FIFO-1 cache size      980, 1165209 req, miss ratio 0.1716, byte miss ratio 0.1716
result/cdn2_colo28.ns1094.oracleGeneral.zst S3FIFO-1 cache size     1960, 1165209 req, miss ratio 0.0987, byte miss ratio 0.0987
result/cdn2_colo28.ns1094.oracleGeneral.zst S3FIFO-1 cache size     3921, 1165209 req, miss ratio 0.0390, byte miss ratio 0.0390
