result/cdn2_allcolo.ns218.oracleGeneral.zst LHD cache size  3690590, 103174175 req, miss ratio 0.1036, byte miss ratio 0.1036
result/cdn2_allcolo.ns218.oracleGeneral.zst LHD cache size  7381180, 103174175 req, miss ratio 0.0902, byte miss ratio 0.0902
result/cdn2_allcolo.ns218.oracleGeneral.zst ARC cache size     9226, 103174175 req, miss ratio 0.3782, byte miss ratio 0.3782
result/cdn2_allcolo.ns218.oracleGeneral.zst ARC cache size    27679, 103174175 req, miss ratio 0.3014, byte miss ratio 0.3014
result/cdn2_allcolo.ns218.oracleGeneral.zst ARC cache size    92264, 103174175 req, miss ratio 0.2362, byte miss ratio 0.2362
result/cdn2_allcolo.ns218.oracleGeneral.zst ARC cache size   276794, 103174175 req, miss ratio 0.1930, byte miss ratio 0.1930
result/cdn2_allcolo.ns218.oracleGeneral.zst ARC cache size   922647, 103174175 req, miss ratio 0.1470, byte miss ratio 0.1470
result/cdn2_allcolo.ns218.oracleGeneral.zst ARC cache size  1845295, 103174175 req, miss ratio 0.1189, byte miss ratio 0.1189
result/cdn2_allcolo.ns218.oracleGeneral.zst ARC cache size  3690590, 103174175 req, miss ratio 0.0991, byte miss ratio 0.0991
result/cdn2_allcolo.ns218.oracleGeneral.zst ARC cache size  7381180, 103174175 req, miss ratio 0.0902, byte miss ratio 0.0902
result/cdn2_allcolo.ns218.oracleGeneral.zst LeCaR cache size     9226, 103174175 req, miss ratio 0.4245, byte miss ratio 0.4245
result/cdn2_allcolo.ns218.oracleGeneral.zst LeCaR cache size    27679, 103174175 req, miss ratio 0.3230, byte miss ratio 0.3230
result/cdn2_allcolo.ns218.oracleGeneral.zst LeCaR cache size    92264, 103174175 req, miss ratio 0.2498, byte miss ratio 0.2498
result/cdn2_allcolo.ns218.oracleGeneral.zst LeCaR cache size   276794, 103174175 req, miss ratio 0.2002, byte miss ratio 0.2002
result/cdn2_allcolo.ns218.oracleGeneral.zst LeCaR cache size   922647, 103174175 req, miss ratio 0.1520, byte miss ratio 0.1520
result/cdn2_allcolo.ns218.oracleGeneral.zst LeCaR cache size  1845295, 103174175 req, miss ratio 0.1232, byte miss ratio 0.1232
result/cdn2_allcolo.ns218.oracleGeneral.zst LeCaR cache size  3690590, 103174175 req, miss ratio 0.1016, byte miss ratio 0.1016
result/cdn2_allcolo.ns218.oracleGeneral.zst LeCaR cache size  7381180, 103174175 req, miss ratio 0.0902, byte miss ratio 0.0902
result/cdn2_allcolo.ns218.oracleGeneral.zst clock2 cache size     9226, 103174175 req, miss ratio 0.4079, byte miss ratio 0.4079
result/cdn2_allcolo.ns218.oracleGeneral.zst clock2 cache size    27679, 103174175 req, miss ratio 0.3135, byte miss ratio 0.3135
result/cdn2_allcolo.ns218.oracleGeneral.zst clock2 cache size    92264, 103174175 req, miss ratio 0.2437, byte miss ratio 0.2437
result/cdn2_allcolo.ns218.oracleGeneral.zst clock2 cache size   276794, 103174175 req, miss ratio 0.1958, byte miss ratio 0.1958
