result/cdn2_allcolo.ns2001.oracleGeneral.zst LRU cache size       57, 1644031 req, miss ratio 0.0912, byte miss ratio 0.0912
result/cdn2_allcolo.ns2001.oracleGeneral.zst LRU cache size      173, 1644031 req, miss ratio 0.0550, byte miss ratio 0.0550
result/cdn2_allcolo.ns2001.oracleGeneral.zst LRU cache size      577, 1644031 req, miss ratio 0.0418, byte miss ratio 0.0418
result/cdn2_allcolo.ns2001.oracleGeneral.zst LRU cache size     1733, 1644031 req, miss ratio 0.0377, byte miss ratio 0.0377
result/cdn2_allcolo.ns2001.oracleGeneral.zst LRU cache size     5779, 1644031 req, miss ratio 0.0359, byte miss ratio 0.0359
result/cdn2_allcolo.ns2001.oracleGeneral.zst LRU cache size    11559, 1644031 req, miss ratio 0.0354, byte miss ratio 0.0354
result/cdn2_allcolo.ns2001.oracleGeneral.zst LRU cache size    23118, 1644031 req, miss ratio 0.0352, byte miss ratio 0.0352
result/cdn2_allcolo.ns2001.oracleGeneral.zst LRU cache size    46236, 1644031 req, miss ratio 0.0352, byte miss ratio 0.0352
result/cdn2_allcolo.ns2001.oracleGeneral.zst clock2 cache size       57, 1644031 req, miss ratio 0.0821, byte miss ratio 0.0821
result/cdn2_allcolo.ns2001.oracleGeneral.zst clock2 cache size      173, 1644031 req, miss ratio 0.0503, byte miss ratio 0.0503
result/cdn2_allcolo.ns2001.oracleGeneral.zst clock2 cache size      577, 1644031 req, miss ratio 0.0397, byte miss ratio 0.0397
result/cdn2_allcolo.ns2001.oracleGeneral.zst clock2 cache size     1733, 1644031 req, miss ratio 0.0367, byte miss ratio 0.0367
result/cdn2_allcolo.ns2001.oracleGeneral.zst clock2 cache size     5779, 1644031 req, miss ratio 0.0355, byte miss ratio 0.0355
result/cdn2_allcolo.ns2001.oracleGeneral.zst clock2 cache size    11559, 1644031 req, miss ratio 0.0353, byte miss ratio 0.0353
result/cdn2_allcolo.ns2001.oracleGeneral.zst clock2 cache size    23118, 1644031 req, miss ratio 0.0352, byte miss ratio 0.0352
result/cdn2_allcolo.ns2001.oracleGeneral.zst clock2 cache size    46236, 1644031 req, miss ratio 0.0352, byte miss ratio 0.0352
result/cdn2_allcolo.ns2001.oracleGeneral.zst LIRS cache size       57, 1644031 req, miss ratio 0.0686, byte miss ratio 0.0686
result/cdn2_allcolo.ns2001.oracleGeneral.zst LIRS cache size      173, 1644031 req, miss ratio 0.0425, byte miss ratio 0.0425
result/cdn2_allcolo.ns2001.oracleGeneral.zst LIRS cache size      577, 1644031 req, miss ratio 0.0367, byte miss ratio 0.0367
result/cdn2_allcolo.ns2001.oracleGeneral.zst LIRS cache size     1733, 1644031 req, miss ratio 0.0358, byte miss ratio 0.0358
result/cdn2_allcolo.ns2001.oracleGeneral.zst LIRS cache size     5779, 1644031 req, miss ratio 0.0354, byte miss ratio 0.0354
result/cdn2_allcolo.ns2001.oracleGeneral.zst LIRS cache size    11559, 1644031 req, miss ratio 0.0353, byte miss ratio 0.0353
result/cdn2_allcolo.ns2001.oracleGeneral.zst LIRS cache size    23118, 1644031 req, miss ratio 0.0352, byte miss ratio 0.0352
result/cdn2_allcolo.ns2001.oracleGeneral.zst LIRS cache size    46236, 1644031 req, miss ratio 0.0352, byte miss ratio 0.0352
result/cdn2_allcolo.ns2001.oracleGeneral.zst Cacheus cache size       57, 1644031 req, miss ratio 0.0831, byte miss ratio 0.0831
result/cdn2_allcolo.ns2001.oracleGeneral.zst Cacheus cache size      173, 1644031 req, miss ratio 0.0492, byte miss ratio 0.0492
result/cdn2_allcolo.ns2001.oracleGeneral.zst Cacheus cache size      577, 1644031 req, miss ratio 0.0377, byte miss ratio 0.0377
result/cdn2_allcolo.ns2001.oracleGeneral.zst Cacheus cache size     1733, 1644031 req, miss ratio 0.0358, byte miss ratio 0.0358
result/cdn2_allcolo.ns2001.oracleGeneral.zst Cacheus cache size     5779, 1644031 req, miss ratio 0.0354, byte miss ratio 0.0354
result/cdn2_allcolo.ns2001.oracleGeneral.zst Cacheus cache size    11559, 1644031 req, miss ratio 0.0353, byte miss ratio 0.0353
result/cdn2_allcolo.ns2001.oracleGeneral.zst Cacheus cache size    23118, 1644031 req, miss ratio 0.0352, byte miss ratio 0.0352
result/cdn2_allcolo.ns2001.oracleGeneral.zst Cacheus cache size    46236, 1644031 req, miss ratio 0.0352, byte miss ratio 0.0352
result/cdn2_allcolo.ns2001.oracleGeneral.zst Clock cache size       57, 1644031 req, miss ratio 0.0871, byte miss ratio 0.0871
result/cdn2_allcolo.ns2001.oracleGeneral.zst Clock cache size      173, 1644031 req, miss ratio 0.0528, byte miss ratio 0.0528
result/cdn2_allcolo.ns2001.oracleGeneral.zst Clock cache size      577, 1644031 req, miss ratio 0.0408, byte miss ratio 0.0408
result/cdn2_allcolo.ns2001.oracleGeneral.zst Clock cache size     1733, 1644031 req, miss ratio 0.0373, byte miss ratio 0.0373
result/cdn2_allcolo.ns2001.oracleGeneral.zst Clock cache size     5779, 1644031 req, miss ratio 0.0357, byte miss ratio 0.0357
result/cdn2_allcolo.ns2001.oracleGeneral.zst Clock cache size    11559, 1644031 req, miss ratio 0.0354, byte miss ratio 0.0354
result/cdn2_allcolo.ns2001.oracleGeneral.zst Clock cache size    23118, 1644031 req, miss ratio 0.0352, byte miss ratio 0.0352
result/cdn2_allcolo.ns2001.oracleGeneral.zst Clock cache size    46236, 1644031 req, miss ratio 0.0352, byte miss ratio 0.0352
result/cdn2_allcolo.ns2001.oracleGeneral.zst LHD cache size       57, 1644031 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cdn2_allcolo.ns2001.oracleGeneral.zst LHD cache size      173, 1644031 req, miss ratio 0.0512, byte miss ratio 0.0512
result/cdn2_allcolo.ns2001.oracleGeneral.zst LHD cache size      577, 1644031 req, miss ratio 0.0404, byte miss ratio 0.0404
result/cdn2_allcolo.ns2001.oracleGeneral.zst LHD cache size     1733, 1644031 req, miss ratio 0.0371, byte miss ratio 0.0371
result/cdn2_allcolo.ns2001.oracleGeneral.zst LHD cache size     5779, 1644031 req, miss ratio 0.0357, byte miss ratio 0.0357
result/cdn2_allcolo.ns2001.oracleGeneral.zst LHD cache size    11559, 1644031 req, miss ratio 0.0354, byte miss ratio 0.0354
result/cdn2_allcolo.ns2001.oracleGeneral.zst LHD cache size    23118, 1644031 req, miss ratio 0.0352, byte miss ratio 0.0352
result/cdn2_allcolo.ns2001.oracleGeneral.zst LHD cache size    46236, 1644031 req, miss ratio 0.0352, byte miss ratio 0.0352
result/cdn2_allcolo.ns2001.oracleGeneral.zst ARC cache size       57, 1644031 req, miss ratio 0.0696, byte miss ratio 0.0696
result/cdn2_allcolo.ns2001.oracleGeneral.zst ARC cache size      173, 1644031 req, miss ratio 0.0426, byte miss ratio 0.0426
result/cdn2_allcolo.ns2001.oracleGeneral.zst ARC cache size      577, 1644031 req, miss ratio 0.0366, byte miss ratio 0.0366
result/cdn2_allcolo.ns2001.oracleGeneral.zst ARC cache size     1733, 1644031 req, miss ratio 0.0357, byte miss ratio 0.0357
result/cdn2_allcolo.ns2001.oracleGeneral.zst ARC cache size     5779, 1644031 req, miss ratio 0.0354, byte miss ratio 0.0354
result/cdn2_allcolo.ns2001.oracleGeneral.zst ARC cache size    11559, 1644031 req, miss ratio 0.0353, byte miss ratio 0.0353
result/cdn2_allcolo.ns2001.oracleGeneral.zst ARC cache size    23118, 1644031 req, miss ratio 0.0352, byte miss ratio 0.0352
result/cdn2_allcolo.ns2001.oracleGeneral.zst ARC cache size    46236, 1644031 req, miss ratio 0.0352, byte miss ratio 0.0352
