result/cdn2_allcolo.ns1104.oracleGeneral.zst LRU cache size      653, 1504221 req, miss ratio 0.0223, byte miss ratio 0.0223
result/cdn2_allcolo.ns1104.oracleGeneral.zst LRU cache size     1307, 1504221 req, miss ratio 0.0033, byte miss ratio 0.0033
result/cdn2_allcolo.ns1104.oracleGeneral.zst LIRS cache size       16, 1504221 req, miss ratio 0.0446, byte miss ratio 0.0446
result/cdn2_allcolo.ns1104.oracleGeneral.zst LIRS cache size       49, 1504221 req, miss ratio 0.0423, byte miss ratio 0.0423
result/cdn2_allcolo.ns1104.oracleGeneral.zst LIRS cache size      163, 1504221 req, miss ratio 0.0380, byte miss ratio 0.0380
result/cdn2_allcolo.ns1104.oracleGeneral.zst LIRS cache size      326, 1504221 req, miss ratio 0.0325, byte miss ratio 0.0325
result/cdn2_allcolo.ns1104.oracleGeneral.zst LIRS cache size      653, 1504221 req, miss ratio 0.0223, byte miss ratio 0.0223
result/cdn2_allcolo.ns1104.oracleGeneral.zst LIRS cache size     1307, 1504221 req, miss ratio 0.0033, byte miss ratio 0.0033
result/cdn2_allcolo.ns1104.oracleGeneral.zst Cacheus cache size       16, 1504221 req, miss ratio 0.0440, byte miss ratio 0.0440
result/cdn2_allcolo.ns1104.oracleGeneral.zst Cacheus cache size       49, 1504221 req, miss ratio 0.0422, byte miss ratio 0.0422
result/cdn2_allcolo.ns1104.oracleGeneral.zst Cacheus cache size      163, 1504221 req, miss ratio 0.0379, byte miss ratio 0.0379
result/cdn2_allcolo.ns1104.oracleGeneral.zst Cacheus cache size      326, 1504221 req, miss ratio 0.0324, byte miss ratio 0.0324
result/cdn2_allcolo.ns1104.oracleGeneral.zst Cacheus cache size      653, 1504221 req, miss ratio 0.0223, byte miss ratio 0.0223
result/cdn2_allcolo.ns1104.oracleGeneral.zst Cacheus cache size     1307, 1504221 req, miss ratio 0.0033, byte miss ratio 0.0033
result/cdn2_allcolo.ns1104.oracleGeneral.zst S3FIFO-d-1 cache size       16, 1504221 req, miss ratio 0.0437, byte miss ratio 0.0437
result/cdn2_allcolo.ns1104.oracleGeneral.zst S3FIFO-d-1 cache size       49, 1504221 req, miss ratio 0.0419, byte miss ratio 0.0419
result/cdn2_allcolo.ns1104.oracleGeneral.zst S3FIFO-d-1 cache size      163, 1504221 req, miss ratio 0.0377, byte miss ratio 0.0377
result/cdn2_allcolo.ns1104.oracleGeneral.zst S3FIFO-d-1 cache size      326, 1504221 req, miss ratio 0.0325, byte miss ratio 0.0325
result/cdn2_allcolo.ns1104.oracleGeneral.zst S3FIFO-d-1 cache size      653, 1504221 req, miss ratio 0.0222, byte miss ratio 0.0222
result/cdn2_allcolo.ns1104.oracleGeneral.zst S3FIFO-d-1 cache size     1307, 1504221 req, miss ratio 0.0031, byte miss ratio 0.0031
result/cdn2_allcolo.ns1104.oracleGeneral.zst LRB cache size       16, 1504221 req, miss ratio 0.0469, byte miss ratio 0.0469
result/cdn2_allcolo.ns1104.oracleGeneral.zst LRB cache size       49, 1504221 req, miss ratio 0.0457, byte miss ratio 0.0457
result/cdn2_allcolo.ns1104.oracleGeneral.zst LRB cache size      163, 1504221 req, miss ratio 0.0389, byte miss ratio 0.0389
result/cdn2_allcolo.ns1104.oracleGeneral.zst LRB cache size      326, 1504221 req, miss ratio 0.0328, byte miss ratio 0.0328
result/cdn2_allcolo.ns1104.oracleGeneral.zst LRB cache size      653, 1504221 req, miss ratio 0.0229, byte miss ratio 0.0229
result/cdn2_allcolo.ns1104.oracleGeneral.zst LRB cache size     1307, 1504221 req, miss ratio 0.0034, byte miss ratio 0.0034
result/cdn2_allcolo.ns1104.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       16, 1504221 req, miss ratio 0.0468, byte miss ratio 0.0468
result/cdn2_allcolo.ns1104.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       49, 1504221 req, miss ratio 0.0434, byte miss ratio 0.0434
result/cdn2_allcolo.ns1104.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      163, 1504221 req, miss ratio 0.0380, byte miss ratio 0.0380
result/cdn2_allcolo.ns1104.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      326, 1504221 req, miss ratio 0.0328, byte miss ratio 0.0328
result/cdn2_allcolo.ns1104.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      653, 1504221 req, miss ratio 0.0225, byte miss ratio 0.0225
result/cdn2_allcolo.ns1104.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1307, 1504221 req, miss ratio 0.0042, byte miss ratio 0.0042
result/cdn2_allcolo.ns1104.oracleGeneral.zst S4LRU(25:25:25:25) cache size       16, 1504221 req, miss ratio 0.0427, byte miss ratio 0.0427
result/cdn2_allcolo.ns1104.oracleGeneral.zst S4LRU(25:25:25:25) cache size       49, 1504221 req, miss ratio 0.0414, byte miss ratio 0.0414
result/cdn2_allcolo.ns1104.oracleGeneral.zst S4LRU(25:25:25:25) cache size      163, 1504221 req, miss ratio 0.0377, byte miss ratio 0.0377
result/cdn2_allcolo.ns1104.oracleGeneral.zst S4LRU(25:25:25:25) cache size      326, 1504221 req, miss ratio 0.0324, byte miss ratio 0.0324
result/cdn2_allcolo.ns1104.oracleGeneral.zst S4LRU(25:25:25:25) cache size      653, 1504221 req, miss ratio 0.0222, byte miss ratio 0.0222
result/cdn2_allcolo.ns1104.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1307, 1504221 req, miss ratio 0.0033, byte miss ratio 0.0033
result/cdn2_allcolo.ns1104.oracleGeneral.zst B-LRU cache size       16, 1504221 req, miss ratio 0.0455, byte miss ratio 0.0455
result/cdn2_allcolo.ns1104.oracleGeneral.zst B-LRU cache size       49, 1504221 req, miss ratio 0.0433, byte miss ratio 0.0433
result/cdn2_allcolo.ns1104.oracleGeneral.zst B-LRU cache size      163, 1504221 req, miss ratio 0.0390, byte miss ratio 0.0390
result/cdn2_allcolo.ns1104.oracleGeneral.zst B-LRU cache size      326, 1504221 req, miss ratio 0.0336, byte miss ratio 0.0336
result/cdn2_allcolo.ns1104.oracleGeneral.zst B-LRU cache size      653, 1504221 req, miss ratio 0.0233, byte miss ratio 0.0233
result/cdn2_allcolo.ns1104.oracleGeneral.zst B-LRU cache size     1307, 1504221 req, miss ratio 0.0043, byte miss ratio 0.0043
result/cdn2_allcolo.ns1104.oracleGeneral.zst TwoQ cache size       16, 1504221 req, miss ratio 0.0426, byte miss ratio 0.0426
result/cdn2_allcolo.ns1104.oracleGeneral.zst TwoQ cache size       49, 1504221 req, miss ratio 0.0414, byte miss ratio 0.0414
result/cdn2_allcolo.ns1104.oracleGeneral.zst TwoQ cache size      163, 1504221 req, miss ratio 0.0375, byte miss ratio 0.0375
result/cdn2_allcolo.ns1104.oracleGeneral.zst TwoQ cache size      326, 1504221 req, miss ratio 0.0323, byte miss ratio 0.0323
result/cdn2_allcolo.ns1104.oracleGeneral.zst TwoQ cache size      653, 1504221 req, miss ratio 0.0223, byte miss ratio 0.0223
result/cdn2_allcolo.ns1104.oracleGeneral.zst TwoQ cache size     1307, 1504221 req, miss ratio 0.0039, byte miss ratio 0.0039
result/cdn2_allcolo.ns1104.oracleGeneral.zst S3FIFO cache size       16, 1504221 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns1104.oracleGeneral.zst S3FIFO cache size       49, 1504221 req, miss ratio 0.0413, byte miss ratio 0.0413
result/cdn2_allcolo.ns1104.oracleGeneral.zst S3FIFO cache size      163, 1504221 req, miss ratio 0.0374, byte miss ratio 0.0374
result/cdn2_allcolo.ns1104.oracleGeneral.zst S3FIFO cache size      326, 1504221 req, miss ratio 0.0323, byte miss ratio 0.0323
result/cdn2_allcolo.ns1104.oracleGeneral.zst S3FIFO cache size      653, 1504221 req, miss ratio 0.0222, byte miss ratio 0.0222
result/cdn2_allcolo.ns1104.oracleGeneral.zst S3FIFO cache size     1307, 1504221 req, miss ratio 0.0031, byte miss ratio 0.0031
result/cdn2_allcolo.ns1104.oracleGeneral.zst S3FIFO-d cache size       16, 1504221 req, miss ratio 0.0427, byte miss ratio 0.0427
result/cdn2_allcolo.ns1104.oracleGeneral.zst S3FIFO-d cache size       49, 1504221 req, miss ratio 0.0412, byte miss ratio 0.0412
result/cdn2_allcolo.ns1104.oracleGeneral.zst S3FIFO-d cache size      163, 1504221 req, miss ratio 0.0374, byte miss ratio 0.0374
result/cdn2_allcolo.ns1104.oracleGeneral.zst S3FIFO-d cache size      326, 1504221 req, miss ratio 0.0323, byte miss ratio 0.0323
result/cdn2_allcolo.ns1104.oracleGeneral.zst S3FIFO-d cache size      653, 1504221 req, miss ratio 0.0222, byte miss ratio 0.0222
result/cdn2_allcolo.ns1104.oracleGeneral.zst S3FIFO-d cache size     1307, 1504221 req, miss ratio 0.0031, byte miss ratio 0.0031
result/cdn2_allcolo.ns1104.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       16, 1504221 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns1104.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       49, 1504221 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns1104.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      163, 1504221 req, miss ratio 0.0376, byte miss ratio 0.0376
result/cdn2_allcolo.ns1104.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      326, 1504221 req, miss ratio 0.0325, byte miss ratio 0.0325
result/cdn2_allcolo.ns1104.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      653, 1504221 req, miss ratio 0.0222, byte miss ratio 0.0222
result/cdn2_allcolo.ns1104.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1307, 1504221 req, miss ratio 0.0030, byte miss ratio 0.0030
result/cdn2_allcolo.ns1104.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       16, 1504221 req, miss ratio 0.0430, byte miss ratio 0.0430
result/cdn2_allcolo.ns1104.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       49, 1504221 req, miss ratio 0.0420, byte miss ratio 0.0420
result/cdn2_allcolo.ns1104.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      163, 1504221 req, miss ratio 0.0378, byte miss ratio 0.0378
result/cdn2_allcolo.ns1104.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      326, 1504221 req, miss ratio 0.0326, byte miss ratio 0.0326
result/cdn2_allcolo.ns1104.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      653, 1504221 req, miss ratio 0.0221, byte miss ratio 0.0221
result/cdn2_allcolo.ns1104.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1307, 1504221 req, miss ratio 0.0030, byte miss ratio 0.0030
