result/cdn2_allcolo.ns212.oracleGeneral.zst LIRS cache size    10881, 18672332 req, miss ratio 0.0021, byte miss ratio 0.0021
result/cdn2_allcolo.ns212.oracleGeneral.zst LIRS cache size    21763, 18672332 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns212.oracleGeneral.zst LHD cache size       27, 18672332 req, miss ratio 0.0417, byte miss ratio 0.0417
result/cdn2_allcolo.ns212.oracleGeneral.zst LHD cache size       81, 18672332 req, miss ratio 0.0277, byte miss ratio 0.0277
result/cdn2_allcolo.ns212.oracleGeneral.zst LHD cache size      272, 18672332 req, miss ratio 0.0183, byte miss ratio 0.0183
result/cdn2_allcolo.ns212.oracleGeneral.zst LHD cache size      816, 18672332 req, miss ratio 0.0117, byte miss ratio 0.0117
result/cdn2_allcolo.ns212.oracleGeneral.zst LHD cache size     2720, 18672332 req, miss ratio 0.0064, byte miss ratio 0.0064
result/cdn2_allcolo.ns212.oracleGeneral.zst LHD cache size     5440, 18672332 req, miss ratio 0.0040, byte miss ratio 0.0040
result/cdn2_allcolo.ns212.oracleGeneral.zst LHD cache size    10881, 18672332 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_allcolo.ns212.oracleGeneral.zst LHD cache size    21763, 18672332 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn2_allcolo.ns212.oracleGeneral.zst ARC cache size       27, 18672332 req, miss ratio 0.0341, byte miss ratio 0.0341
result/cdn2_allcolo.ns212.oracleGeneral.zst ARC cache size       81, 18672332 req, miss ratio 0.0247, byte miss ratio 0.0247
result/cdn2_allcolo.ns212.oracleGeneral.zst ARC cache size      272, 18672332 req, miss ratio 0.0170, byte miss ratio 0.0170
result/cdn2_allcolo.ns212.oracleGeneral.zst ARC cache size      816, 18672332 req, miss ratio 0.0112, byte miss ratio 0.0112
result/cdn2_allcolo.ns212.oracleGeneral.zst ARC cache size     2720, 18672332 req, miss ratio 0.0060, byte miss ratio 0.0060
result/cdn2_allcolo.ns212.oracleGeneral.zst ARC cache size     5440, 18672332 req, miss ratio 0.0037, byte miss ratio 0.0037
result/cdn2_allcolo.ns212.oracleGeneral.zst ARC cache size    10881, 18672332 req, miss ratio 0.0021, byte miss ratio 0.0021
result/cdn2_allcolo.ns212.oracleGeneral.zst ARC cache size    21763, 18672332 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns212.oracleGeneral.zst FIFO cache size       27, 18672332 req, miss ratio 0.0546, byte miss ratio 0.0546
result/cdn2_allcolo.ns212.oracleGeneral.zst FIFO cache size       81, 18672332 req, miss ratio 0.0342, byte miss ratio 0.0342
result/cdn2_allcolo.ns212.oracleGeneral.zst FIFO cache size      272, 18672332 req, miss ratio 0.0225, byte miss ratio 0.0225
result/cdn2_allcolo.ns212.oracleGeneral.zst FIFO cache size      816, 18672332 req, miss ratio 0.0149, byte miss ratio 0.0149
result/cdn2_allcolo.ns212.oracleGeneral.zst FIFO cache size     2720, 18672332 req, miss ratio 0.0082, byte miss ratio 0.0082
result/cdn2_allcolo.ns212.oracleGeneral.zst FIFO cache size     5440, 18672332 req, miss ratio 0.0052, byte miss ratio 0.0052
result/cdn2_allcolo.ns212.oracleGeneral.zst FIFO cache size    10881, 18672332 req, miss ratio 0.0030, byte miss ratio 0.0030
result/cdn2_allcolo.ns212.oracleGeneral.zst FIFO cache size    21763, 18672332 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_allcolo.ns212.oracleGeneral.zst LRU cache size       27, 18672332 req, miss ratio 0.0409, byte miss ratio 0.0409
result/cdn2_allcolo.ns212.oracleGeneral.zst LRU cache size       81, 18672332 req, miss ratio 0.0279, byte miss ratio 0.0279
result/cdn2_allcolo.ns212.oracleGeneral.zst LRU cache size      272, 18672332 req, miss ratio 0.0192, byte miss ratio 0.0192
result/cdn2_allcolo.ns212.oracleGeneral.zst LRU cache size      816, 18672332 req, miss ratio 0.0126, byte miss ratio 0.0126
result/cdn2_allcolo.ns212.oracleGeneral.zst LRU cache size     2720, 18672332 req, miss ratio 0.0066, byte miss ratio 0.0066
result/cdn2_allcolo.ns212.oracleGeneral.zst LRU cache size     5440, 18672332 req, miss ratio 0.0040, byte miss ratio 0.0040
result/cdn2_allcolo.ns212.oracleGeneral.zst LRU cache size    10881, 18672332 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_allcolo.ns212.oracleGeneral.zst LRU cache size    21763, 18672332 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns212.oracleGeneral.zst S3FIFO-d-1 cache size       27, 18672332 req, miss ratio 0.0330, byte miss ratio 0.0330
result/cdn2_allcolo.ns212.oracleGeneral.zst S3FIFO-d-1 cache size       81, 18672332 req, miss ratio 0.0241, byte miss ratio 0.0241
result/cdn2_allcolo.ns212.oracleGeneral.zst S3FIFO-d-1 cache size      272, 18672332 req, miss ratio 0.0163, byte miss ratio 0.0163
result/cdn2_allcolo.ns212.oracleGeneral.zst S3FIFO-d-1 cache size      816, 18672332 req, miss ratio 0.0106, byte miss ratio 0.0106
result/cdn2_allcolo.ns212.oracleGeneral.zst S3FIFO-d-1 cache size     2720, 18672332 req, miss ratio 0.0057, byte miss ratio 0.0057
result/cdn2_allcolo.ns212.oracleGeneral.zst S3FIFO-d-1 cache size     5440, 18672332 req, miss ratio 0.0034, byte miss ratio 0.0034
result/cdn2_allcolo.ns212.oracleGeneral.zst S3FIFO-d-1 cache size    10881, 18672332 req, miss ratio 0.0021, byte miss ratio 0.0021
result/cdn2_allcolo.ns212.oracleGeneral.zst S3FIFO-d-1 cache size    21763, 18672332 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns212.oracleGeneral.zst LRB cache size       27, 18672332 req, miss ratio 0.0315, byte miss ratio 0.0315
result/cdn2_allcolo.ns212.oracleGeneral.zst LRB cache size       81, 18672332 req, miss ratio 0.0230, byte miss ratio 0.0230
result/cdn2_allcolo.ns212.oracleGeneral.zst LRB cache size      272, 18672332 req, miss ratio 0.0156, byte miss ratio 0.0156
result/cdn2_allcolo.ns212.oracleGeneral.zst LRB cache size      816, 18672332 req, miss ratio 0.0101, byte miss ratio 0.0101
result/cdn2_allcolo.ns212.oracleGeneral.zst LRB cache size     2720, 18672332 req, miss ratio 0.0054, byte miss ratio 0.0054
result/cdn2_allcolo.ns212.oracleGeneral.zst LRB cache size     5440, 18672332 req, miss ratio 0.0034, byte miss ratio 0.0034
result/cdn2_allcolo.ns212.oracleGeneral.zst LRB cache size    10881, 18672332 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_allcolo.ns212.oracleGeneral.zst LRB cache size    21763, 18672332 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns212.oracleGeneral.zst S4LRU(25:25:25:25) cache size       27, 18672332 req, miss ratio 0.0352, byte miss ratio 0.0352
result/cdn2_allcolo.ns212.oracleGeneral.zst S4LRU(25:25:25:25) cache size       81, 18672332 req, miss ratio 0.0246, byte miss ratio 0.0246
result/cdn2_allcolo.ns212.oracleGeneral.zst S4LRU(25:25:25:25) cache size      272, 18672332 req, miss ratio 0.0168, byte miss ratio 0.0168
result/cdn2_allcolo.ns212.oracleGeneral.zst S4LRU(25:25:25:25) cache size      816, 18672332 req, miss ratio 0.0110, byte miss ratio 0.0110
result/cdn2_allcolo.ns212.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2720, 18672332 req, miss ratio 0.0058, byte miss ratio 0.0058
result/cdn2_allcolo.ns212.oracleGeneral.zst S4LRU(25:25:25:25) cache size     5440, 18672332 req, miss ratio 0.0036, byte miss ratio 0.0036
result/cdn2_allcolo.ns212.oracleGeneral.zst S4LRU(25:25:25:25) cache size    10881, 18672332 req, miss ratio 0.0021, byte miss ratio 0.0021
result/cdn2_allcolo.ns212.oracleGeneral.zst S4LRU(25:25:25:25) cache size    21763, 18672332 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns212.oracleGeneral.zst B-LRU cache size       27, 18672332 req, miss ratio 0.0408, byte miss ratio 0.0408
result/cdn2_allcolo.ns212.oracleGeneral.zst B-LRU cache size       81, 18672332 req, miss ratio 0.0280, byte miss ratio 0.0280
result/cdn2_allcolo.ns212.oracleGeneral.zst B-LRU cache size      272, 18672332 req, miss ratio 0.0192, byte miss ratio 0.0192
result/cdn2_allcolo.ns212.oracleGeneral.zst B-LRU cache size      816, 18672332 req, miss ratio 0.0126, byte miss ratio 0.0126
result/cdn2_allcolo.ns212.oracleGeneral.zst B-LRU cache size     2720, 18672332 req, miss ratio 0.0067, byte miss ratio 0.0067
result/cdn2_allcolo.ns212.oracleGeneral.zst B-LRU cache size     5440, 18672332 req, miss ratio 0.0042, byte miss ratio 0.0042
result/cdn2_allcolo.ns212.oracleGeneral.zst B-LRU cache size    10881, 18672332 req, miss ratio 0.0027, byte miss ratio 0.0027
result/cdn2_allcolo.ns212.oracleGeneral.zst B-LRU cache size    21763, 18672332 req, miss ratio 0.0025, byte miss ratio 0.0025
result/cdn2_allcolo.ns212.oracleGeneral.zst TwoQ cache size       27, 18672332 req, miss ratio 0.0342, byte miss ratio 0.0342
result/cdn2_allcolo.ns212.oracleGeneral.zst TwoQ cache size       81, 18672332 req, miss ratio 0.0244, byte miss ratio 0.0244
result/cdn2_allcolo.ns212.oracleGeneral.zst TwoQ cache size      272, 18672332 req, miss ratio 0.0165, byte miss ratio 0.0165
result/cdn2_allcolo.ns212.oracleGeneral.zst TwoQ cache size      816, 18672332 req, miss ratio 0.0108, byte miss ratio 0.0108
result/cdn2_allcolo.ns212.oracleGeneral.zst TwoQ cache size     2720, 18672332 req, miss ratio 0.0059, byte miss ratio 0.0059
result/cdn2_allcolo.ns212.oracleGeneral.zst TwoQ cache size     5440, 18672332 req, miss ratio 0.0037, byte miss ratio 0.0037
result/cdn2_allcolo.ns212.oracleGeneral.zst TwoQ cache size    10881, 18672332 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_allcolo.ns212.oracleGeneral.zst TwoQ cache size    21763, 18672332 req, miss ratio 0.0018, byte miss ratio 0.0018
