result/cdn2_allcolo.ns54664.oracleGeneral.zst LIRS cache size     3407, 1112954 req, miss ratio 0.0078, byte miss ratio 0.0078
result/cdn2_allcolo.ns54664.oracleGeneral.zst LIRS cache size     6814, 1112954 req, miss ratio 0.0077, byte miss ratio 0.0077
result/cdn2_allcolo.ns54664.oracleGeneral.zst LRU cache size        8, 1112954 req, miss ratio 0.5978, byte miss ratio 0.5978
result/cdn2_allcolo.ns54664.oracleGeneral.zst LRU cache size       25, 1112954 req, miss ratio 0.3155, byte miss ratio 0.3155
result/cdn2_allcolo.ns54664.oracleGeneral.zst LRU cache size       85, 1112954 req, miss ratio 0.0134, byte miss ratio 0.0134
result/cdn2_allcolo.ns54664.oracleGeneral.zst LRU cache size      255, 1112954 req, miss ratio 0.0084, byte miss ratio 0.0084
result/cdn2_allcolo.ns54664.oracleGeneral.zst LRU cache size      851, 1112954 req, miss ratio 0.0081, byte miss ratio 0.0081
result/cdn2_allcolo.ns54664.oracleGeneral.zst LRU cache size     1703, 1112954 req, miss ratio 0.0079, byte miss ratio 0.0079
result/cdn2_allcolo.ns54664.oracleGeneral.zst LRU cache size     3407, 1112954 req, miss ratio 0.0078, byte miss ratio 0.0078
result/cdn2_allcolo.ns54664.oracleGeneral.zst LRU cache size     6814, 1112954 req, miss ratio 0.0077, byte miss ratio 0.0077
result/cdn2_allcolo.ns54664.oracleGeneral.zst clock2 cache size        8, 1112954 req, miss ratio 0.5856, byte miss ratio 0.5856
result/cdn2_allcolo.ns54664.oracleGeneral.zst clock2 cache size       25, 1112954 req, miss ratio 0.2846, byte miss ratio 0.2846
result/cdn2_allcolo.ns54664.oracleGeneral.zst clock2 cache size       85, 1112954 req, miss ratio 0.0110, byte miss ratio 0.0110
result/cdn2_allcolo.ns54664.oracleGeneral.zst clock2 cache size      255, 1112954 req, miss ratio 0.0083, byte miss ratio 0.0083
result/cdn2_allcolo.ns54664.oracleGeneral.zst clock2 cache size      851, 1112954 req, miss ratio 0.0080, byte miss ratio 0.0080
result/cdn2_allcolo.ns54664.oracleGeneral.zst clock2 cache size     1703, 1112954 req, miss ratio 0.0079, byte miss ratio 0.0079
result/cdn2_allcolo.ns54664.oracleGeneral.zst clock2 cache size     3407, 1112954 req, miss ratio 0.0078, byte miss ratio 0.0078
result/cdn2_allcolo.ns54664.oracleGeneral.zst clock2 cache size     6814, 1112954 req, miss ratio 0.0077, byte miss ratio 0.0077
result/cdn2_allcolo.ns54664.oracleGeneral.zst Cacheus cache size        8, 1112954 req, miss ratio 0.5618, byte miss ratio 0.5618
result/cdn2_allcolo.ns54664.oracleGeneral.zst Cacheus cache size       25, 1112954 req, miss ratio 0.3150, byte miss ratio 0.3150
result/cdn2_allcolo.ns54664.oracleGeneral.zst Cacheus cache size       85, 1112954 req, miss ratio 0.0133, byte miss ratio 0.0133
result/cdn2_allcolo.ns54664.oracleGeneral.zst Cacheus cache size      255, 1112954 req, miss ratio 0.0082, byte miss ratio 0.0082
result/cdn2_allcolo.ns54664.oracleGeneral.zst Cacheus cache size      851, 1112954 req, miss ratio 0.0080, byte miss ratio 0.0080
result/cdn2_allcolo.ns54664.oracleGeneral.zst Cacheus cache size     1703, 1112954 req, miss ratio 0.0079, byte miss ratio 0.0079
result/cdn2_allcolo.ns54664.oracleGeneral.zst Cacheus cache size     3407, 1112954 req, miss ratio 0.0078, byte miss ratio 0.0078
result/cdn2_allcolo.ns54664.oracleGeneral.zst Cacheus cache size     6814, 1112954 req, miss ratio 0.0077, byte miss ratio 0.0077
result/cdn2_allcolo.ns54664.oracleGeneral.zst ARC cache size        8, 1112954 req, miss ratio 0.5674, byte miss ratio 0.5674
result/cdn2_allcolo.ns54664.oracleGeneral.zst ARC cache size       25, 1112954 req, miss ratio 0.2925, byte miss ratio 0.2925
result/cdn2_allcolo.ns54664.oracleGeneral.zst ARC cache size       85, 1112954 req, miss ratio 0.0096, byte miss ratio 0.0096
result/cdn2_allcolo.ns54664.oracleGeneral.zst ARC cache size      255, 1112954 req, miss ratio 0.0082, byte miss ratio 0.0082
result/cdn2_allcolo.ns54664.oracleGeneral.zst ARC cache size      851, 1112954 req, miss ratio 0.0080, byte miss ratio 0.0080
result/cdn2_allcolo.ns54664.oracleGeneral.zst ARC cache size     1703, 1112954 req, miss ratio 0.0079, byte miss ratio 0.0079
result/cdn2_allcolo.ns54664.oracleGeneral.zst ARC cache size     3407, 1112954 req, miss ratio 0.0077, byte miss ratio 0.0077
result/cdn2_allcolo.ns54664.oracleGeneral.zst ARC cache size     6814, 1112954 req, miss ratio 0.0077, byte miss ratio 0.0077
result/cdn2_allcolo.ns54664.oracleGeneral.zst S3FIFO-d-1 cache size        8, 1112954 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns54664.oracleGeneral.zst S3FIFO-d-1 cache size       25, 1112954 req, miss ratio 0.2689, byte miss ratio 0.2689
result/cdn2_allcolo.ns54664.oracleGeneral.zst S3FIFO-d-1 cache size       85, 1112954 req, miss ratio 0.0097, byte miss ratio 0.0097
result/cdn2_allcolo.ns54664.oracleGeneral.zst S3FIFO-d-1 cache size      255, 1112954 req, miss ratio 0.0082, byte miss ratio 0.0082
result/cdn2_allcolo.ns54664.oracleGeneral.zst S3FIFO-d-1 cache size      851, 1112954 req, miss ratio 0.0080, byte miss ratio 0.0080
result/cdn2_allcolo.ns54664.oracleGeneral.zst S3FIFO-d-1 cache size     1703, 1112954 req, miss ratio 0.0079, byte miss ratio 0.0079
result/cdn2_allcolo.ns54664.oracleGeneral.zst S3FIFO-d-1 cache size     3407, 1112954 req, miss ratio 0.0077, byte miss ratio 0.0077
result/cdn2_allcolo.ns54664.oracleGeneral.zst S3FIFO-d-1 cache size     6814, 1112954 req, miss ratio 0.0077, byte miss ratio 0.0077
result/cdn2_allcolo.ns54664.oracleGeneral.zst LRB cache size        8, 1112954 req, miss ratio 0.5978, byte miss ratio 0.5978
result/cdn2_allcolo.ns54664.oracleGeneral.zst LRB cache size       25, 1112954 req, miss ratio 0.3155, byte miss ratio 0.3155
result/cdn2_allcolo.ns54664.oracleGeneral.zst LRB cache size       85, 1112954 req, miss ratio 0.0134, byte miss ratio 0.0134
result/cdn2_allcolo.ns54664.oracleGeneral.zst LRB cache size      255, 1112954 req, miss ratio 0.0084, byte miss ratio 0.0084
result/cdn2_allcolo.ns54664.oracleGeneral.zst LRB cache size      851, 1112954 req, miss ratio 0.0081, byte miss ratio 0.0081
result/cdn2_allcolo.ns54664.oracleGeneral.zst LRB cache size     1703, 1112954 req, miss ratio 0.0079, byte miss ratio 0.0079
result/cdn2_allcolo.ns54664.oracleGeneral.zst LRB cache size     3407, 1112954 req, miss ratio 0.0078, byte miss ratio 0.0078
result/cdn2_allcolo.ns54664.oracleGeneral.zst LRB cache size     6814, 1112954 req, miss ratio 0.0077, byte miss ratio 0.0077
result/cdn2_allcolo.ns54664.oracleGeneral.zst B-LRU cache size        8, 1112954 req, miss ratio 0.5963, byte miss ratio 0.5963
result/cdn2_allcolo.ns54664.oracleGeneral.zst B-LRU cache size       25, 1112954 req, miss ratio 0.3110, byte miss ratio 0.3110
result/cdn2_allcolo.ns54664.oracleGeneral.zst B-LRU cache size       85, 1112954 req, miss ratio 0.0103, byte miss ratio 0.0103
result/cdn2_allcolo.ns54664.oracleGeneral.zst B-LRU cache size      255, 1112954 req, miss ratio 0.0089, byte miss ratio 0.0089
result/cdn2_allcolo.ns54664.oracleGeneral.zst B-LRU cache size      851, 1112954 req, miss ratio 0.0088, byte miss ratio 0.0088
result/cdn2_allcolo.ns54664.oracleGeneral.zst B-LRU cache size     1703, 1112954 req, miss ratio 0.0088, byte miss ratio 0.0088
result/cdn2_allcolo.ns54664.oracleGeneral.zst B-LRU cache size     3407, 1112954 req, miss ratio 0.0088, byte miss ratio 0.0088
result/cdn2_allcolo.ns54664.oracleGeneral.zst B-LRU cache size     6814, 1112954 req, miss ratio 0.0088, byte miss ratio 0.0088
result/cdn2_allcolo.ns54664.oracleGeneral.zst S4LRU(25:25:25:25) cache size        8, 1112954 req, miss ratio 0.5417, byte miss ratio 0.5417
result/cdn2_allcolo.ns54664.oracleGeneral.zst S4LRU(25:25:25:25) cache size       25, 1112954 req, miss ratio 0.2669, byte miss ratio 0.2669
result/cdn2_allcolo.ns54664.oracleGeneral.zst S4LRU(25:25:25:25) cache size       85, 1112954 req, miss ratio 0.0121, byte miss ratio 0.0121
result/cdn2_allcolo.ns54664.oracleGeneral.zst S4LRU(25:25:25:25) cache size      255, 1112954 req, miss ratio 0.0082, byte miss ratio 0.0082
result/cdn2_allcolo.ns54664.oracleGeneral.zst S4LRU(25:25:25:25) cache size      851, 1112954 req, miss ratio 0.0080, byte miss ratio 0.0080
result/cdn2_allcolo.ns54664.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1703, 1112954 req, miss ratio 0.0079, byte miss ratio 0.0079
result/cdn2_allcolo.ns54664.oracleGeneral.zst S4LRU(25:25:25:25) cache size     3407, 1112954 req, miss ratio 0.0078, byte miss ratio 0.0078
result/cdn2_allcolo.ns54664.oracleGeneral.zst S4LRU(25:25:25:25) cache size     6814, 1112954 req, miss ratio 0.0077, byte miss ratio 0.0077
result/cdn2_allcolo.ns54664.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size        8, 1112954 req, miss ratio 0.6157, byte miss ratio 0.6157
result/cdn2_allcolo.ns54664.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       25, 1112954 req, miss ratio 0.3519, byte miss ratio 0.3519
result/cdn2_allcolo.ns54664.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       85, 1112954 req, miss ratio 0.0382, byte miss ratio 0.0382
result/cdn2_allcolo.ns54664.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      255, 1112954 req, miss ratio 0.0090, byte miss ratio 0.0090
result/cdn2_allcolo.ns54664.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      851, 1112954 req, miss ratio 0.0081, byte miss ratio 0.0081
result/cdn2_allcolo.ns54664.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1703, 1112954 req, miss ratio 0.0079, byte miss ratio 0.0079
result/cdn2_allcolo.ns54664.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     3407, 1112954 req, miss ratio 0.0078, byte miss ratio 0.0078
result/cdn2_allcolo.ns54664.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     6814, 1112954 req, miss ratio 0.0077, byte miss ratio 0.0077
result/cdn2_allcolo.ns54664.oracleGeneral.zst TwoQ cache size        8, 1112954 req, miss ratio 0.5653, byte miss ratio 0.5653
result/cdn2_allcolo.ns54664.oracleGeneral.zst TwoQ cache size       25, 1112954 req, miss ratio 0.2964, byte miss ratio 0.2964
result/cdn2_allcolo.ns54664.oracleGeneral.zst TwoQ cache size       85, 1112954 req, miss ratio 0.0157, byte miss ratio 0.0157
result/cdn2_allcolo.ns54664.oracleGeneral.zst TwoQ cache size      255, 1112954 req, miss ratio 0.0083, byte miss ratio 0.0083
result/cdn2_allcolo.ns54664.oracleGeneral.zst TwoQ cache size      851, 1112954 req, miss ratio 0.0081, byte miss ratio 0.0081
result/cdn2_allcolo.ns54664.oracleGeneral.zst TwoQ cache size     1703, 1112954 req, miss ratio 0.0080, byte miss ratio 0.0080
result/cdn2_allcolo.ns54664.oracleGeneral.zst TwoQ cache size     3407, 1112954 req, miss ratio 0.0079, byte miss ratio 0.0079
result/cdn2_allcolo.ns54664.oracleGeneral.zst TwoQ cache size     6814, 1112954 req, miss ratio 0.0078, byte miss ratio 0.0078
result/cdn2_allcolo.ns54664.oracleGeneral.zst S3FIFO cache size        8, 1112954 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns54664.oracleGeneral.zst S3FIFO cache size       25, 1112954 req, miss ratio 0.2684, byte miss ratio 0.2684
result/cdn2_allcolo.ns54664.oracleGeneral.zst S3FIFO cache size       85, 1112954 req, miss ratio 0.0097, byte miss ratio 0.0097
result/cdn2_allcolo.ns54664.oracleGeneral.zst S3FIFO cache size      255, 1112954 req, miss ratio 0.0082, byte miss ratio 0.0082
result/cdn2_allcolo.ns54664.oracleGeneral.zst S3FIFO cache size      851, 1112954 req, miss ratio 0.0080, byte miss ratio 0.0080
result/cdn2_allcolo.ns54664.oracleGeneral.zst S3FIFO cache size     1703, 1112954 req, miss ratio 0.0079, byte miss ratio 0.0079
result/cdn2_allcolo.ns54664.oracleGeneral.zst S3FIFO cache size     3407, 1112954 req, miss ratio 0.0078, byte miss ratio 0.0078
result/cdn2_allcolo.ns54664.oracleGeneral.zst S3FIFO cache size     6814, 1112954 req, miss ratio 0.0077, byte miss ratio 0.0077
result/cdn2_allcolo.ns54664.oracleGeneral.zst S3FIFO-d cache size        8, 1112954 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns54664.oracleGeneral.zst S3FIFO-d cache size       25, 1112954 req, miss ratio 0.2783, byte miss ratio 0.2783
