result/cdn2_colo28.ns300.oracleGeneral.zst Clock cache size    74050, 4212182 req, miss ratio 0.0228, byte miss ratio 0.0228
result/cdn2_colo28.ns300.oracleGeneral.zst Cacheus cache size       92, 4212182 req, miss ratio 0.4519, byte miss ratio 0.4519
result/cdn2_colo28.ns300.oracleGeneral.zst Cacheus cache size      277, 4212182 req, miss ratio 0.4055, byte miss ratio 0.4055
result/cdn2_colo28.ns300.oracleGeneral.zst Cacheus cache size      925, 4212182 req, miss ratio 0.3163, byte miss ratio 0.3163
result/cdn2_colo28.ns300.oracleGeneral.zst Cacheus cache size     2776, 4212182 req, miss ratio 0.1874, byte miss ratio 0.1874
result/cdn2_colo28.ns300.oracleGeneral.zst Cacheus cache size     9256, 4212182 req, miss ratio 0.1013, byte miss ratio 0.1013
result/cdn2_colo28.ns300.oracleGeneral.zst Cacheus cache size    18512, 4212182 req, miss ratio 0.0484, byte miss ratio 0.0484
result/cdn2_colo28.ns300.oracleGeneral.zst Cacheus cache size    37025, 4212182 req, miss ratio 0.0338, byte miss ratio 0.0338
result/cdn2_colo28.ns300.oracleGeneral.zst Cacheus cache size    74050, 4212182 req, miss ratio 0.0228, byte miss ratio 0.0228
result/cdn2_colo28.ns300.oracleGeneral.zst ARC cache size       92, 4212182 req, miss ratio 0.4460, byte miss ratio 0.4460
result/cdn2_colo28.ns300.oracleGeneral.zst ARC cache size      277, 4212182 req, miss ratio 0.3806, byte miss ratio 0.3806
result/cdn2_colo28.ns300.oracleGeneral.zst ARC cache size      925, 4212182 req, miss ratio 0.2900, byte miss ratio 0.2900
result/cdn2_colo28.ns300.oracleGeneral.zst ARC cache size     2776, 4212182 req, miss ratio 0.1912, byte miss ratio 0.1912
result/cdn2_colo28.ns300.oracleGeneral.zst ARC cache size     9256, 4212182 req, miss ratio 0.0879, byte miss ratio 0.0879
result/cdn2_colo28.ns300.oracleGeneral.zst ARC cache size    18512, 4212182 req, miss ratio 0.0506, byte miss ratio 0.0506
result/cdn2_colo28.ns300.oracleGeneral.zst ARC cache size    37025, 4212182 req, miss ratio 0.0316, byte miss ratio 0.0316
result/cdn2_colo28.ns300.oracleGeneral.zst ARC cache size    74050, 4212182 req, miss ratio 0.0228, byte miss ratio 0.0228
result/cdn2_colo28.ns300.oracleGeneral.zst clock2 cache size       92, 4212182 req, miss ratio 0.5038, byte miss ratio 0.5038
result/cdn2_colo28.ns300.oracleGeneral.zst clock2 cache size      277, 4212182 req, miss ratio 0.4245, byte miss ratio 0.4245
result/cdn2_colo28.ns300.oracleGeneral.zst clock2 cache size      925, 4212182 req, miss ratio 0.3282, byte miss ratio 0.3282
result/cdn2_colo28.ns300.oracleGeneral.zst clock2 cache size     2776, 4212182 req, miss ratio 0.2154, byte miss ratio 0.2154
result/cdn2_colo28.ns300.oracleGeneral.zst clock2 cache size     9256, 4212182 req, miss ratio 0.0968, byte miss ratio 0.0968
