result/cdn2_colo28.ns89.oracleGeneral.zst ARC cache size  4487909, 151714436 req, miss ratio 0.0370, byte miss ratio 0.0370
result/cdn2_colo28.ns89.oracleGeneral.zst LHD cache size     5609, 151714436 req, miss ratio 0.0458, byte miss ratio 0.0458
result/cdn2_colo28.ns89.oracleGeneral.zst LHD cache size    16829, 151714436 req, miss ratio 0.0408, byte miss ratio 0.0408
result/cdn2_colo28.ns89.oracleGeneral.zst LHD cache size    56098, 151714436 req, miss ratio 0.0387, byte miss ratio 0.0387
result/cdn2_colo28.ns89.oracleGeneral.zst LHD cache size   168296, 151714436 req, miss ratio 0.0377, byte miss ratio 0.0377
result/cdn2_colo28.ns89.oracleGeneral.zst LHD cache size   560988, 151714436 req, miss ratio 0.0372, byte miss ratio 0.0372
result/cdn2_colo28.ns89.oracleGeneral.zst LHD cache size  1121977, 151714436 req, miss ratio 0.0372, byte miss ratio 0.0372
result/cdn2_colo28.ns89.oracleGeneral.zst LHD cache size  2243954, 151714436 req, miss ratio 0.0370, byte miss ratio 0.0370
result/cdn2_colo28.ns89.oracleGeneral.zst LHD cache size  4487909, 151714436 req, miss ratio 0.0370, byte miss ratio 0.0370
result/cdn2_colo28.ns89.oracleGeneral.zst S3FIFO-1 cache size     5609, 151714436 req, miss ratio 0.0491, byte miss ratio 0.0491
result/cdn2_colo28.ns89.oracleGeneral.zst S3FIFO-1 cache size    16829, 151714436 req, miss ratio 0.0429, byte miss ratio 0.0429
result/cdn2_colo28.ns89.oracleGeneral.zst S3FIFO-1 cache size    56098, 151714436 req, miss ratio 0.0389, byte miss ratio 0.0389
result/cdn2_colo28.ns89.oracleGeneral.zst S3FIFO-1 cache size   168296, 151714436 req, miss ratio 0.0378, byte miss ratio 0.0378
result/cdn2_colo28.ns89.oracleGeneral.zst S3FIFO-1 cache size   560988, 151714436 req, miss ratio 0.0372, byte miss ratio 0.0372
result/cdn2_colo28.ns89.oracleGeneral.zst S3FIFO-1 cache size  1121977, 151714436 req, miss ratio 0.0371, byte miss ratio 0.0371
result/cdn2_colo28.ns89.oracleGeneral.zst S3FIFO-1 cache size  2243954, 151714436 req, miss ratio 0.0370, byte miss ratio 0.0370
result/cdn2_colo28.ns89.oracleGeneral.zst S3FIFO-1 cache size  4487909, 151714436 req, miss ratio 0.0370, byte miss ratio 0.0370
result/cdn2_colo28.ns89.oracleGeneral.zst LRU cache size     5609, 151714436 req, miss ratio 0.0462, byte miss ratio 0.0462
result/cdn2_colo28.ns89.oracleGeneral.zst LRU cache size    16829, 151714436 req, miss ratio 0.0415, byte miss ratio 0.0415
result/cdn2_colo28.ns89.oracleGeneral.zst LRU cache size    56098, 151714436 req, miss ratio 0.0396, byte miss ratio 0.0396
result/cdn2_colo28.ns89.oracleGeneral.zst LRU cache size   168296, 151714436 req, miss ratio 0.0383, byte miss ratio 0.0383
result/cdn2_colo28.ns89.oracleGeneral.zst LRU cache size   560988, 151714436 req, miss ratio 0.0374, byte miss ratio 0.0374
result/cdn2_colo28.ns89.oracleGeneral.zst LRU cache size  1121977, 151714436 req, miss ratio 0.0371, byte miss ratio 0.0371
result/cdn2_colo28.ns89.oracleGeneral.zst LRU cache size  2243954, 151714436 req, miss ratio 0.0370, byte miss ratio 0.0370
result/cdn2_colo28.ns89.oracleGeneral.zst LRU cache size  4487909, 151714436 req, miss ratio 0.0370, byte miss ratio 0.0370
result/cdn2_colo28.ns89.oracleGeneral.zst LIRS cache size     5609, 151714436 req, miss ratio 0.0614, byte miss ratio 0.0614
result/cdn2_colo28.ns89.oracleGeneral.zst LIRS cache size    16829, 151714436 req, miss ratio 0.0536, byte miss ratio 0.0536
result/cdn2_colo28.ns89.oracleGeneral.zst LIRS cache size    56098, 151714436 req, miss ratio 0.0446, byte miss ratio 0.0446
result/cdn2_colo28.ns89.oracleGeneral.zst LIRS cache size   168296, 151714436 req, miss ratio 0.0400, byte miss ratio 0.0400
result/cdn2_colo28.ns89.oracleGeneral.zst LIRS cache size   560988, 151714436 req, miss ratio 0.0374, byte miss ratio 0.0374
result/cdn2_colo28.ns89.oracleGeneral.zst LIRS cache size  1121977, 151714436 req, miss ratio 0.0371, byte miss ratio 0.0371
result/cdn2_colo28.ns89.oracleGeneral.zst LIRS cache size  2243954, 151714436 req, miss ratio 0.0370, byte miss ratio 0.0370
result/cdn2_colo28.ns89.oracleGeneral.zst LIRS cache size  4487909, 151714436 req, miss ratio 0.0370, byte miss ratio 0.0370
result/cdn2_colo28.ns89.oracleGeneral.zst S3FIFO-d-1 cache size     5609, 151714436 req, miss ratio 0.0461, byte miss ratio 0.0461
