result/cdn2_allcolo.ns146.oracleGeneral.zst S3FIFO-1 cache size   463614, 107854061 req, miss ratio 0.0160, byte miss ratio 0.0160
result/cdn2_allcolo.ns146.oracleGeneral.zst S3FIFO-1 cache size   927229, 107854061 req, miss ratio 0.0111, byte miss ratio 0.0111
result/cdn2_allcolo.ns146.oracleGeneral.zst ARC cache size     1159, 107854061 req, miss ratio 0.3413, byte miss ratio 0.3413
result/cdn2_allcolo.ns146.oracleGeneral.zst ARC cache size     3477, 107854061 req, miss ratio 0.2652, byte miss ratio 0.2652
result/cdn2_allcolo.ns146.oracleGeneral.zst ARC cache size    11590, 107854061 req, miss ratio 0.1803, byte miss ratio 0.1803
result/cdn2_allcolo.ns146.oracleGeneral.zst ARC cache size    34771, 107854061 req, miss ratio 0.1080, byte miss ratio 0.1080
result/cdn2_allcolo.ns146.oracleGeneral.zst ARC cache size   115903, 107854061 req, miss ratio 0.0514, byte miss ratio 0.0514
result/cdn2_allcolo.ns146.oracleGeneral.zst ARC cache size   231807, 107854061 req, miss ratio 0.0309, byte miss ratio 0.0309
result/cdn2_allcolo.ns146.oracleGeneral.zst ARC cache size   463614, 107854061 req, miss ratio 0.0162, byte miss ratio 0.0162
result/cdn2_allcolo.ns146.oracleGeneral.zst ARC cache size   927229, 107854061 req, miss ratio 0.0111, byte miss ratio 0.0111
result/cdn2_allcolo.ns146.oracleGeneral.zst FIFO cache size     1159, 107854061 req, miss ratio 0.4131, byte miss ratio 0.4131
result/cdn2_allcolo.ns146.oracleGeneral.zst FIFO cache size     3477, 107854061 req, miss ratio 0.3256, byte miss ratio 0.3256
result/cdn2_allcolo.ns146.oracleGeneral.zst FIFO cache size    11590, 107854061 req, miss ratio 0.2321, byte miss ratio 0.2321
result/cdn2_allcolo.ns146.oracleGeneral.zst FIFO cache size    34771, 107854061 req, miss ratio 0.1487, byte miss ratio 0.1487
result/cdn2_allcolo.ns146.oracleGeneral.zst FIFO cache size   115903, 107854061 req, miss ratio 0.0728, byte miss ratio 0.0728
result/cdn2_allcolo.ns146.oracleGeneral.zst FIFO cache size   231807, 107854061 req, miss ratio 0.0443, byte miss ratio 0.0443
result/cdn2_allcolo.ns146.oracleGeneral.zst FIFO cache size   463614, 107854061 req, miss ratio 0.0247, byte miss ratio 0.0247
result/cdn2_allcolo.ns146.oracleGeneral.zst FIFO cache size   927229, 107854061 req, miss ratio 0.0137, byte miss ratio 0.0137
result/cdn2_allcolo.ns146.oracleGeneral.zst LeCaR cache size     1159, 107854061 req, miss ratio 0.3747, byte miss ratio 0.3747
result/cdn2_allcolo.ns146.oracleGeneral.zst LeCaR cache size     3477, 107854061 req, miss ratio 0.2910, byte miss ratio 0.2910
result/cdn2_allcolo.ns146.oracleGeneral.zst LeCaR cache size    11590, 107854061 req, miss ratio 0.1998, byte miss ratio 0.1998
result/cdn2_allcolo.ns146.oracleGeneral.zst LeCaR cache size    34771, 107854061 req, miss ratio 0.1183, byte miss ratio 0.1183
result/cdn2_allcolo.ns146.oracleGeneral.zst LeCaR cache size   115903, 107854061 req, miss ratio 0.0532, byte miss ratio 0.0532
result/cdn2_allcolo.ns146.oracleGeneral.zst LeCaR cache size   231807, 107854061 req, miss ratio 0.0311, byte miss ratio 0.0311
result/cdn2_allcolo.ns146.oracleGeneral.zst LeCaR cache size   463614, 107854061 req, miss ratio 0.0172, byte miss ratio 0.0172
result/cdn2_allcolo.ns146.oracleGeneral.zst LeCaR cache size   927229, 107854061 req, miss ratio 0.0112, byte miss ratio 0.0112
result/cdn2_allcolo.ns146.oracleGeneral.zst LIRS cache size     1159, 107854061 req, miss ratio 0.3415, byte miss ratio 0.3415
result/cdn2_allcolo.ns146.oracleGeneral.zst LIRS cache size     3477, 107854061 req, miss ratio 0.2665, byte miss ratio 0.2665
result/cdn2_allcolo.ns146.oracleGeneral.zst LIRS cache size    11590, 107854061 req, miss ratio 0.1803, byte miss ratio 0.1803
result/cdn2_allcolo.ns146.oracleGeneral.zst LIRS cache size    34771, 107854061 req, miss ratio 0.1077, byte miss ratio 0.1077
result/cdn2_allcolo.ns146.oracleGeneral.zst LIRS cache size   115903, 107854061 req, miss ratio 0.0511, byte miss ratio 0.0511
result/cdn2_allcolo.ns146.oracleGeneral.zst LIRS cache size   231807, 107854061 req, miss ratio 0.0301, byte miss ratio 0.0301
result/cdn2_allcolo.ns146.oracleGeneral.zst LIRS cache size   463614, 107854061 req, miss ratio 0.0160, byte miss ratio 0.0160
result/cdn2_allcolo.ns146.oracleGeneral.zst LIRS cache size   927229, 107854061 req, miss ratio 0.0111, byte miss ratio 0.0111
result/cdn2_allcolo.ns146.oracleGeneral.zst S3FIFO-d-1 cache size     1159, 107854061 req, miss ratio 0.3313, byte miss ratio 0.3313
result/cdn2_allcolo.ns146.oracleGeneral.zst S3FIFO-d-1 cache size     3477, 107854061 req, miss ratio 0.2550, byte miss ratio 0.2550
result/cdn2_allcolo.ns146.oracleGeneral.zst S3FIFO-d-1 cache size    11590, 107854061 req, miss ratio 0.1724, byte miss ratio 0.1724
result/cdn2_allcolo.ns146.oracleGeneral.zst S3FIFO-d-1 cache size    34771, 107854061 req, miss ratio 0.1048, byte miss ratio 0.1048
result/cdn2_allcolo.ns146.oracleGeneral.zst S3FIFO-d-1 cache size   115903, 107854061 req, miss ratio 0.0496, byte miss ratio 0.0496
result/cdn2_allcolo.ns146.oracleGeneral.zst S3FIFO-d-1 cache size   231807, 107854061 req, miss ratio 0.0278, byte miss ratio 0.0278
result/cdn2_allcolo.ns146.oracleGeneral.zst S3FIFO-d-1 cache size   463614, 107854061 req, miss ratio 0.0160, byte miss ratio 0.0160
result/cdn2_allcolo.ns146.oracleGeneral.zst S3FIFO-d-1 cache size   927229, 107854061 req, miss ratio 0.0111, byte miss ratio 0.0111
result/cdn2_allcolo.ns146.oracleGeneral.zst LRB cache size     1159, 107854061 req, miss ratio 0.3172, byte miss ratio 0.3172
result/cdn2_allcolo.ns146.oracleGeneral.zst LRB cache size     3477, 107854061 req, miss ratio 0.2425, byte miss ratio 0.2425
result/cdn2_allcolo.ns146.oracleGeneral.zst LRB cache size    11590, 107854061 req, miss ratio 0.1637, byte miss ratio 0.1637
result/cdn2_allcolo.ns146.oracleGeneral.zst LRB cache size    34771, 107854061 req, miss ratio 0.0996, byte miss ratio 0.0996
result/cdn2_allcolo.ns146.oracleGeneral.zst LRB cache size   115903, 107854061 req, miss ratio 0.0468, byte miss ratio 0.0468
result/cdn2_allcolo.ns146.oracleGeneral.zst LRB cache size   231807, 107854061 req, miss ratio 0.0274, byte miss ratio 0.0274
result/cdn2_allcolo.ns146.oracleGeneral.zst LRB cache size   463614, 107854061 req, miss ratio 0.0165, byte miss ratio 0.0165
result/cdn2_allcolo.ns146.oracleGeneral.zst LRB cache size   927229, 107854061 req, miss ratio 0.0112, byte miss ratio 0.0112
result/cdn2_allcolo.ns146.oracleGeneral.zst B-LRU cache size     1159, 107854061 req, miss ratio 0.3778, byte miss ratio 0.3778
result/cdn2_allcolo.ns146.oracleGeneral.zst B-LRU cache size     3477, 107854061 req, miss ratio 0.2933, byte miss ratio 0.2933
result/cdn2_allcolo.ns146.oracleGeneral.zst B-LRU cache size    11590, 107854061 req, miss ratio 0.2025, byte miss ratio 0.2025
result/cdn2_allcolo.ns146.oracleGeneral.zst B-LRU cache size    34771, 107854061 req, miss ratio 0.1217, byte miss ratio 0.1217
result/cdn2_allcolo.ns146.oracleGeneral.zst B-LRU cache size   115903, 107854061 req, miss ratio 0.0542, byte miss ratio 0.0542
result/cdn2_allcolo.ns146.oracleGeneral.zst B-LRU cache size   231807, 107854061 req, miss ratio 0.0328, byte miss ratio 0.0328
result/cdn2_allcolo.ns146.oracleGeneral.zst B-LRU cache size   463614, 107854061 req, miss ratio 0.0194, byte miss ratio 0.0194
result/cdn2_allcolo.ns146.oracleGeneral.zst B-LRU cache size   927229, 107854061 req, miss ratio 0.0174, byte miss ratio 0.0174
result/cdn2_allcolo.ns146.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1159, 107854061 req, miss ratio 0.3751, byte miss ratio 0.3751
result/cdn2_allcolo.ns146.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     3477, 107854061 req, miss ratio 0.2914, byte miss ratio 0.2914
result/cdn2_allcolo.ns146.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    11590, 107854061 req, miss ratio 0.2008, byte miss ratio 0.2008
result/cdn2_allcolo.ns146.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    34771, 107854061 req, miss ratio 0.1225, byte miss ratio 0.1225
result/cdn2_allcolo.ns146.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   115903, 107854061 req, miss ratio 0.0578, byte miss ratio 0.0578
result/cdn2_allcolo.ns146.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   231807, 107854061 req, miss ratio 0.0332, byte miss ratio 0.0332
result/cdn2_allcolo.ns146.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   463614, 107854061 req, miss ratio 0.0184, byte miss ratio 0.0184
result/cdn2_allcolo.ns146.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   927229, 107854061 req, miss ratio 0.0127, byte miss ratio 0.0127
result/cdn2_allcolo.ns146.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1159, 107854061 req, miss ratio 0.3407, byte miss ratio 0.3407
result/cdn2_allcolo.ns146.oracleGeneral.zst S4LRU(25:25:25:25) cache size     3477, 107854061 req, miss ratio 0.2632, byte miss ratio 0.2632
result/cdn2_allcolo.ns146.oracleGeneral.zst S4LRU(25:25:25:25) cache size    11590, 107854061 req, miss ratio 0.1792, byte miss ratio 0.1792
result/cdn2_allcolo.ns146.oracleGeneral.zst S4LRU(25:25:25:25) cache size    34771, 107854061 req, miss ratio 0.1081, byte miss ratio 0.1081
result/cdn2_allcolo.ns146.oracleGeneral.zst S4LRU(25:25:25:25) cache size   115903, 107854061 req, miss ratio 0.0505, byte miss ratio 0.0505
result/cdn2_allcolo.ns146.oracleGeneral.zst S4LRU(25:25:25:25) cache size   231807, 107854061 req, miss ratio 0.0291, byte miss ratio 0.0291
result/cdn2_allcolo.ns146.oracleGeneral.zst S4LRU(25:25:25:25) cache size   463614, 107854061 req, miss ratio 0.0163, byte miss ratio 0.0163
result/cdn2_allcolo.ns146.oracleGeneral.zst S4LRU(25:25:25:25) cache size   927229, 107854061 req, miss ratio 0.0111, byte miss ratio 0.0111
result/cdn2_allcolo.ns146.oracleGeneral.zst TwoQ cache size     1159, 107854061 req, miss ratio 0.3313, byte miss ratio 0.3313
result/cdn2_allcolo.ns146.oracleGeneral.zst TwoQ cache size     3477, 107854061 req, miss ratio 0.2556, byte miss ratio 0.2556
result/cdn2_allcolo.ns146.oracleGeneral.zst TwoQ cache size    11590, 107854061 req, miss ratio 0.1764, byte miss ratio 0.1764
result/cdn2_allcolo.ns146.oracleGeneral.zst TwoQ cache size    34771, 107854061 req, miss ratio 0.1093, byte miss ratio 0.1093
result/cdn2_allcolo.ns146.oracleGeneral.zst TwoQ cache size   115903, 107854061 req, miss ratio 0.0534, byte miss ratio 0.0534
result/cdn2_allcolo.ns146.oracleGeneral.zst TwoQ cache size   231807, 107854061 req, miss ratio 0.0314, byte miss ratio 0.0314
result/cdn2_allcolo.ns146.oracleGeneral.zst TwoQ cache size   463614, 107854061 req, miss ratio 0.0190, byte miss ratio 0.0190
result/cdn2_allcolo.ns146.oracleGeneral.zst TwoQ cache size   927229, 107854061 req, miss ratio 0.0137, byte miss ratio 0.0137
result/cdn2_allcolo.ns146.oracleGeneral.zst S3FIFO cache size     1159, 107854061 req, miss ratio 0.3282, byte miss ratio 0.3282
result/cdn2_allcolo.ns146.oracleGeneral.zst S3FIFO cache size     3477, 107854061 req, miss ratio 0.2515, byte miss ratio 0.2515
result/cdn2_allcolo.ns146.oracleGeneral.zst S3FIFO cache size    11590, 107854061 req, miss ratio 0.1707, byte miss ratio 0.1707
result/cdn2_allcolo.ns146.oracleGeneral.zst S3FIFO cache size    34771, 107854061 req, miss ratio 0.1042, byte miss ratio 0.1042
result/cdn2_allcolo.ns146.oracleGeneral.zst S3FIFO cache size   115903, 107854061 req, miss ratio 0.0496, byte miss ratio 0.0496
result/cdn2_allcolo.ns146.oracleGeneral.zst S3FIFO cache size   231807, 107854061 req, miss ratio 0.0278, byte miss ratio 0.0278
result/cdn2_allcolo.ns146.oracleGeneral.zst S3FIFO cache size   463614, 107854061 req, miss ratio 0.0162, byte miss ratio 0.0162
result/cdn2_allcolo.ns146.oracleGeneral.zst S3FIFO cache size   927229, 107854061 req, miss ratio 0.0112, byte miss ratio 0.0112
result/cdn2_allcolo.ns146.oracleGeneral.zst S3FIFO-d cache size     1159, 107854061 req, miss ratio 0.3273, byte miss ratio 0.3273
result/cdn2_allcolo.ns146.oracleGeneral.zst S3FIFO-d cache size     3477, 107854061 req, miss ratio 0.2525, byte miss ratio 0.2525
result/cdn2_allcolo.ns146.oracleGeneral.zst S3FIFO-d cache size    11590, 107854061 req, miss ratio 0.1717, byte miss ratio 0.1717
result/cdn2_allcolo.ns146.oracleGeneral.zst S3FIFO-d cache size    34771, 107854061 req, miss ratio 0.1096, byte miss ratio 0.1096
result/cdn2_allcolo.ns146.oracleGeneral.zst S3FIFO-d cache size   115903, 107854061 req, miss ratio 0.0511, byte miss ratio 0.0511
result/cdn2_allcolo.ns146.oracleGeneral.zst S3FIFO-d cache size   231807, 107854061 req, miss ratio 0.0286, byte miss ratio 0.0286
result/cdn2_allcolo.ns146.oracleGeneral.zst S3FIFO-d cache size   463614, 107854061 req, miss ratio 0.0168, byte miss ratio 0.0168
result/cdn2_allcolo.ns146.oracleGeneral.zst S3FIFO-d cache size   927229, 107854061 req, miss ratio 0.0112, byte miss ratio 0.0112
result/cdn2_allcolo.ns146.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1159, 107854061 req, miss ratio 0.3275, byte miss ratio 0.3275
result/cdn2_allcolo.ns146.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     3477, 107854061 req, miss ratio 0.2556, byte miss ratio 0.2556
result/cdn2_allcolo.ns146.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    11590, 107854061 req, miss ratio 0.1885, byte miss ratio 0.1885
result/cdn2_allcolo.ns146.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    34771, 107854061 req, miss ratio 0.1065, byte miss ratio 0.1065
result/cdn2_allcolo.ns146.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   115903, 107854061 req, miss ratio 0.0499, byte miss ratio 0.0499
result/cdn2_allcolo.ns146.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   231807, 107854061 req, miss ratio 0.0279, byte miss ratio 0.0279
result/cdn2_allcolo.ns146.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   463614, 107854061 req, miss ratio 0.0163, byte miss ratio 0.0163
result/cdn2_allcolo.ns146.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   927229, 107854061 req, miss ratio 0.0113, byte miss ratio 0.0113
result/cdn2_allcolo.ns146.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1159, 107854061 req, miss ratio 0.3239, byte miss ratio 0.3239
result/cdn2_allcolo.ns146.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     3477, 107854061 req, miss ratio 0.2888, byte miss ratio 0.2888
result/cdn2_allcolo.ns146.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    11590, 107854061 req, miss ratio 0.1711, byte miss ratio 0.1711
result/cdn2_allcolo.ns146.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    34771, 107854061 req, miss ratio 0.1069, byte miss ratio 0.1069
result/cdn2_allcolo.ns146.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   115903, 107854061 req, miss ratio 0.0495, byte miss ratio 0.0495
result/cdn2_allcolo.ns146.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   231807, 107854061 req, miss ratio 0.0281, byte miss ratio 0.0281
result/cdn2_allcolo.ns146.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   463614, 107854061 req, miss ratio 0.0167, byte miss ratio 0.0167
result/cdn2_allcolo.ns146.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   927229, 107854061 req, miss ratio 0.0118, byte miss ratio 0.0118
