result/cdn2_allcolo.ns229.oracleGeneral.zst S3FIFO-1 cache size       22, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst S3FIFO-1 cache size       67, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst S3FIFO-1 cache size      224, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst S3FIFO-1 cache size      672, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst S3FIFO-1 cache size     2241, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst S3FIFO-1 cache size     4483, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst S3FIFO-1 cache size     8966, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst S3FIFO-1 cache size    17932, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst Cacheus cache size       22, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst Cacheus cache size       67, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst Cacheus cache size      224, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst Cacheus cache size      672, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst Cacheus cache size     2241, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst Cacheus cache size     4483, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst Cacheus cache size     8966, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst Cacheus cache size    17932, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst LIRS cache size       22, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst LIRS cache size       67, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst LIRS cache size      224, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst LIRS cache size      672, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst LIRS cache size     2241, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst LIRS cache size     4483, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst LIRS cache size     8966, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst LIRS cache size    17932, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst LeCaR cache size       22, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst LeCaR cache size       67, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst LeCaR cache size      224, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
