result/cdn2_allcolo.ns83.oracleGeneral.zst LeCaR cache size       57, 5707204 req, miss ratio 0.0156, byte miss ratio 0.0156
result/cdn2_allcolo.ns83.oracleGeneral.zst LeCaR cache size      191, 5707204 req, miss ratio 0.0113, byte miss ratio 0.0113
result/cdn2_allcolo.ns83.oracleGeneral.zst LeCaR cache size      574, 5707204 req, miss ratio 0.0089, byte miss ratio 0.0089
result/cdn2_allcolo.ns83.oracleGeneral.zst LeCaR cache size     1914, 5707204 req, miss ratio 0.0068, byte miss ratio 0.0068
result/cdn2_allcolo.ns83.oracleGeneral.zst LeCaR cache size     3829, 5707204 req, miss ratio 0.0052, byte miss ratio 0.0052
result/cdn2_allcolo.ns83.oracleGeneral.zst LeCaR cache size     7658, 5707204 req, miss ratio 0.0040, byte miss ratio 0.0040
result/cdn2_allcolo.ns83.oracleGeneral.zst LeCaR cache size    15317, 5707204 req, miss ratio 0.0034, byte miss ratio 0.0034
result/cdn2_allcolo.ns83.oracleGeneral.zst ARC cache size       19, 5707204 req, miss ratio 0.0230, byte miss ratio 0.0230
result/cdn2_allcolo.ns83.oracleGeneral.zst ARC cache size       57, 5707204 req, miss ratio 0.0156, byte miss ratio 0.0156
result/cdn2_allcolo.ns83.oracleGeneral.zst ARC cache size      191, 5707204 req, miss ratio 0.0113, byte miss ratio 0.0113
result/cdn2_allcolo.ns83.oracleGeneral.zst ARC cache size      574, 5707204 req, miss ratio 0.0089, byte miss ratio 0.0089
result/cdn2_allcolo.ns83.oracleGeneral.zst ARC cache size     1914, 5707204 req, miss ratio 0.0068, byte miss ratio 0.0068
result/cdn2_allcolo.ns83.oracleGeneral.zst ARC cache size     3829, 5707204 req, miss ratio 0.0052, byte miss ratio 0.0052
result/cdn2_allcolo.ns83.oracleGeneral.zst ARC cache size     7658, 5707204 req, miss ratio 0.0040, byte miss ratio 0.0040
result/cdn2_allcolo.ns83.oracleGeneral.zst ARC cache size    15317, 5707204 req, miss ratio 0.0034, byte miss ratio 0.0034
