result/tencentBlock.ns19067.oracleGeneral.zst clock2 cache size      623, 3914028 req, miss ratio 0.6045, byte miss ratio 0.6045
result/tencentBlock.ns19067.oracleGeneral.zst clock2 cache size     1870, 3914028 req, miss ratio 0.5733, byte miss ratio 0.5733
result/tencentBlock.ns19067.oracleGeneral.zst clock2 cache size     6236, 3914028 req, miss ratio 0.5275, byte miss ratio 0.5275
result/tencentBlock.ns19067.oracleGeneral.zst clock2 cache size    18708, 3914028 req, miss ratio 0.4872, byte miss ratio 0.4872
result/tencentBlock.ns19067.oracleGeneral.zst clock2 cache size    62360, 3914028 req, miss ratio 0.3925, byte miss ratio 0.3925
result/tencentBlock.ns19067.oracleGeneral.zst clock2 cache size   124720, 3914028 req, miss ratio 0.2962, byte miss ratio 0.2962
result/tencentBlock.ns19067.oracleGeneral.zst clock2 cache size   249440, 3914028 req, miss ratio 0.1966, byte miss ratio 0.1966
result/tencentBlock.ns19067.oracleGeneral.zst clock2 cache size   498880, 3914028 req, miss ratio 0.1634, byte miss ratio 0.1634
result/tencentBlock.ns19067.oracleGeneral.zst LeCaR cache size      623, 3914028 req, miss ratio 0.6030, byte miss ratio 0.6030
result/tencentBlock.ns19067.oracleGeneral.zst LeCaR cache size     1870, 3914028 req, miss ratio 0.5718, byte miss ratio 0.5718
result/tencentBlock.ns19067.oracleGeneral.zst LeCaR cache size     6236, 3914028 req, miss ratio 0.5287, byte miss ratio 0.5287
result/tencentBlock.ns19067.oracleGeneral.zst LeCaR cache size    18708, 3914028 req, miss ratio 0.4891, byte miss ratio 0.4891
result/tencentBlock.ns19067.oracleGeneral.zst LeCaR cache size    62360, 3914028 req, miss ratio 0.3928, byte miss ratio 0.3928
result/tencentBlock.ns19067.oracleGeneral.zst LeCaR cache size   124720, 3914028 req, miss ratio 0.2961, byte miss ratio 0.2961
result/tencentBlock.ns19067.oracleGeneral.zst LeCaR cache size   249440, 3914028 req, miss ratio 0.1981, byte miss ratio 0.1981
result/tencentBlock.ns19067.oracleGeneral.zst LeCaR cache size   498880, 3914028 req, miss ratio 0.1634, byte miss ratio 0.1634
result/tencentBlock.ns19067.oracleGeneral.zst Cacheus cache size      623, 3914028 req, miss ratio 0.5861, byte miss ratio 0.5861
result/tencentBlock.ns19067.oracleGeneral.zst Cacheus cache size     1870, 3914028 req, miss ratio 0.5536, byte miss ratio 0.5536
result/tencentBlock.ns19067.oracleGeneral.zst Cacheus cache size     6236, 3914028 req, miss ratio 0.5130, byte miss ratio 0.5130
result/tencentBlock.ns19067.oracleGeneral.zst Cacheus cache size    18708, 3914028 req, miss ratio 0.4711, byte miss ratio 0.4711
result/tencentBlock.ns19067.oracleGeneral.zst Cacheus cache size    62360, 3914028 req, miss ratio 0.3883, byte miss ratio 0.3883
result/tencentBlock.ns19067.oracleGeneral.zst Cacheus cache size   124720, 3914028 req, miss ratio 0.2819, byte miss ratio 0.2819
