result/cdn2_colo28.ns3628.oracleGeneral.zst ARC cache size    51448, 1377456 req, miss ratio 0.0469, byte miss ratio 0.0469
result/cdn2_colo28.ns3628.oracleGeneral.zst Cacheus cache size       64, 1377456 req, miss ratio 0.1465, byte miss ratio 0.1465
result/cdn2_colo28.ns3628.oracleGeneral.zst Cacheus cache size      192, 1377456 req, miss ratio 0.0811, byte miss ratio 0.0811
result/cdn2_colo28.ns3628.oracleGeneral.zst Cacheus cache size      643, 1377456 req, miss ratio 0.0676, byte miss ratio 0.0676
result/cdn2_colo28.ns3628.oracleGeneral.zst Cacheus cache size     1929, 1377456 req, miss ratio 0.0612, byte miss ratio 0.0612
result/cdn2_colo28.ns3628.oracleGeneral.zst Cacheus cache size     6431, 1377456 req, miss ratio 0.0561, byte miss ratio 0.0561
result/cdn2_colo28.ns3628.oracleGeneral.zst Cacheus cache size    12862, 1377456 req, miss ratio 0.0537, byte miss ratio 0.0537
result/cdn2_colo28.ns3628.oracleGeneral.zst Cacheus cache size    25724, 1377456 req, miss ratio 0.0500, byte miss ratio 0.0500
result/cdn2_colo28.ns3628.oracleGeneral.zst Cacheus cache size    51448, 1377456 req, miss ratio 0.0470, byte miss ratio 0.0470
result/cdn2_colo28.ns3628.oracleGeneral.zst S3FIFO-1 cache size       64, 1377456 req, miss ratio 0.1796, byte miss ratio 0.1796
result/cdn2_colo28.ns3628.oracleGeneral.zst S3FIFO-1 cache size      192, 1377456 req, miss ratio 0.0786, byte miss ratio 0.0786
result/cdn2_colo28.ns3628.oracleGeneral.zst S3FIFO-1 cache size      643, 1377456 req, miss ratio 0.0650, byte miss ratio 0.0650
result/cdn2_colo28.ns3628.oracleGeneral.zst S3FIFO-1 cache size     1929, 1377456 req, miss ratio 0.0597, byte miss ratio 0.0597
result/cdn2_colo28.ns3628.oracleGeneral.zst S3FIFO-1 cache size     6431, 1377456 req, miss ratio 0.0553, byte miss ratio 0.0553
result/cdn2_colo28.ns3628.oracleGeneral.zst S3FIFO-1 cache size    12862, 1377456 req, miss ratio 0.0530, byte miss ratio 0.0530
